"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Rb2 Sr4 Pd1)
Reduced Formula: Rb2Sr4Pd
abc   :   6.155037   6.155042  12.867464
angles: 103.816774 103.792539  89.999996
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Sr    0.902271  0.718883  0.438559  [-0.0026828572154045105, -0.0028375089168548584, -0.010023564100265503]
  1  Rb    0.095483  0.911591  0.823048  [-0.00875143799930811, -0.009465085342526436, -0.0344325415790081]
  2  Sr    0.779576  0.09598   0.192455  [0.0003546811640262604, 0.0007586653809994459, 0.0008060632972046733]
  3  Sr    0.657034  0.473233  0.946527  [0.00203058123588562, 0.0021767020225524902, 0.008221745491027832]
  4  Rb    0.463725  0.280464  0.561904  [0.009228602983057499, 0.00971815176308155, 0.03546496853232384]
  5  Sr    0.279627  0.596036  0.192505  [0.0007311394438147545, 8.587852789787576e-06, 0.00033068167977035046]
  6  Pd    0.779705  0.596046  0.192553  [-0.0009107142686843872, -0.00035952951293438673, -0.0003673303872346878]","Rb2Sr4Pd","('Pd', 'Rb', 'Sr')","0.014716368201508281","0","# generated using pymatgen
data_Rb2Sr4Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.15503661
_cell_length_b   6.15504158
_cell_length_c   12.86746433
_cell_angle_alpha   103.81677361
_cell_angle_beta   103.79253868
_cell_angle_gamma   89.99999578
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2Sr4Pd
_chemical_formula_sum   'Rb2 Sr4 Pd1'
_cell_volume   458.88396577
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.90227050  0.71888327  0.43855854  1
  Rb  Rb1  1  0.09548271  0.91159105  0.82304763  1
  Sr  Sr2  1  0.77957638  0.09598007  0.19245529  1
  Sr  Sr3  1  0.65703387  0.47323291  0.94652748  1
  Rb  Rb4  1  0.46372533  0.28046369  0.56190350  1
  Sr  Sr5  1  0.27962740  0.59603594  0.19250516  1
  Pd  Pd6  1  0.77970517  0.59604647  0.19255315  1
"
"Full Formula (Co1 Pd1 Ir1 Pt1)
Reduced Formula: CoIrPdPt
abc   :   2.737565   2.737660   7.644715
angles:  89.995860  89.997641  90.001556
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Pd    0.42037   0.404023  0.083392  [0.0019502945942804217, 0.0001309205254074186, 0.003509312868118286]
  1  Ir    0.420765  0.404009  0.54424   [0.00012871157377958298, 0.0002023189445026219, 0.04205489158630371]
  2  Co    0.920723  0.904095  0.32289   [-0.00052327272715047, -0.00038821162888780236, -0.040818408131599426]
  3  Pt    0.920881  0.904016  0.807315  [-0.001555796479806304, 5.495262303156778e-05, -0.004745855927467346]","CoIrPdPt","('Co', 'Ir', 'Pd', 'Pt')","0.0","1","# generated using pymatgen
data_CoIrPdPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.73756523
_cell_length_b   2.73766033
_cell_length_c   7.64471460
_cell_angle_alpha   89.99585979
_cell_angle_beta   89.99764119
_cell_angle_gamma   90.00155610
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoIrPdPt
_chemical_formula_sum   'Co1 Pd1 Ir1 Pt1'
_cell_volume   57.29349486
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.42037045  0.40402263  0.08339197  1
  Ir  Ir1  1  0.42076463  0.40400917  0.54424025  1
  Co  Co2  1  0.92072266  0.90409515  0.32289005  1
  Pt  Pt3  1  0.92088148  0.90401610  0.80731539  1
"
"Full Formula (Ag4 Pd3 Au5)
Reduced Formula: Ag4Pd3Au5
abc   :   2.920535   7.091288  10.064781
angles:  89.537186  89.995736  89.988384
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ag    0.792415  0.660678  0.708815  [-0.0005665243370458484, 0.013612743467092514, 0.010501213371753693]
  1  Pd    0.292602  0.330156  0.296041  [-0.0014946237206459045, -0.016749747097492218, -0.009385520592331886]
  2  Ag    0.292294  0.329228  0.795842  [0.00016731861978769302, -0.002237744629383087, -0.010186322033405304]
  3  Ag    0.792205  0.325364  0.053063  [0.0003789995680563152, -0.013174246996641159, 0.010314971208572388]
  4  Pd    0.292469  0.662428  0.458897  [-6.284317350946367e-05, 0.022282879799604416, -0.010527551174163818]
  5  Ag    0.291876  0.654141  0.968373  [0.001704227994196117, -0.0035785138607025146, -0.005232848227024078]
  6  Au    0.292449  0.99524   0.627025  [-0.00020310288527980447, 0.029712695628404617, -0.0016311593353748322]
  7  Au    0.792501  0.992969  0.377905  [-0.0004953026073053479, -0.017297562211751938, 0.0023235250264406204]
  8  Au    0.292213  0.985421  0.132714  [0.000486268982058391, -0.004434116184711456, -0.0011356547474861145]
  9  Pd    0.792259  0.653529  0.216971  [0.00030239461921155453, -0.018415380269289017, 0.014441415667533875]
 10  Au    0.792024  0.991418  0.880613  [0.0006036378908902407, 0.0013925228267908096, -0.0005400045774877071]
 11  Au    0.79263   0.337945  0.539434  [-0.0008204460027627647, 0.008886430412530899, 0.0010579153895378113]","Ag4Pd3Au5","('Ag', 'Au', 'Pd')","0.0","1","# generated using pymatgen
data_Ag4Pd3Au5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.92053492
_cell_length_b   7.09128813
_cell_length_c   10.06478068
_cell_angle_alpha   89.53718628
_cell_angle_beta   89.99573599
_cell_angle_gamma   89.98838369
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag4Pd3Au5
_chemical_formula_sum   'Ag4 Pd3 Au5'
_cell_volume   208.43837145
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.79241452  0.66067751  0.70881533  1
  Pd  Pd1  1  0.29260243  0.33015596  0.29604083  1
  Ag  Ag2  1  0.29229443  0.32922822  0.79584224  1
  Ag  Ag3  1  0.79220528  0.32536360  0.05306321  1
  Pd  Pd4  1  0.29246940  0.66242788  0.45889659  1
  Ag  Ag5  1  0.29187587  0.65414056  0.96837259  1
  Au  Au6  1  0.29244911  0.99524005  0.62702538  1
  Au  Au7  1  0.79250133  0.99296943  0.37790473  1
  Au  Au8  1  0.29221287  0.98542083  0.13271394  1
  Pd  Pd9  1  0.79225930  0.65352933  0.21697100  1
  Au  Au10  1  0.79202430  0.99141770  0.88061304  1
  Au  Au11  1  0.79263032  0.33794466  0.53943382  1
"
"Full Formula (Tb4 Tl2 Cu1 Hg1)
Reduced Formula: Tb4Tl2CuHg
abc   :   5.276029   5.276447   9.124147
angles:  73.204451  73.203593  60.007620
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Tb    0.167478  0.992409  0.449673  [0.004973411560058594, 0.0020405356772243977, -0.003293578512966633]
  1  Tb    0.659979  0.484883  0.972502  [-0.0031296720262616873, -0.00345703586935997, 0.005108894780278206]
  2  Tl    0.78808   0.612995  0.588476  [-0.003345482051372528, -0.001334961038082838, 0.0003149844706058502]
  3  Tb    0.418294  0.243317  0.697547  [0.0026153167709708214, 0.0001951158046722412, -0.009870268404483795]
  4  Tl    0.290261  0.114992  0.081447  [0.0051902662962675095, 0.0031420402228832245, -0.0038164332509040833]
  5  Hg    0.039139  0.864014  0.834943  [0.0010635833023115993, 0.0009595043957233429, -0.0010578776709735394]
  6  Cu    0.539278  0.363882  0.33492   [-0.00013312185183167458, 0.00019608146976679564, 0.0002742256037890911]
  7  Tb    0.911052  0.735532  0.219901  [-0.007234336342662573, -0.001741256332024932, 0.012340052053332329]","Tb4Tl2CuHg","('Cu', 'Hg', 'Tb', 'Tl')","0.0","2","# generated using pymatgen
data_Tb4Tl2CuHg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.27602914
_cell_length_b   5.27644666
_cell_length_c   9.12414682
_cell_angle_alpha   73.20445087
_cell_angle_beta   73.20359281
_cell_angle_gamma   60.00761978
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb4Tl2CuHg
_chemical_formula_sum   'Tb4 Tl2 Cu1 Hg1'
_cell_volume   207.38252385
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.16747757  0.99240925  0.44967343  1
  Tb  Tb1  1  0.65997940  0.48488287  0.97250223  1
  Tl  Tl2  1  0.78808042  0.61299529  0.58847630  1
  Tb  Tb3  1  0.41829408  0.24331657  0.69754711  1
  Tl  Tl4  1  0.29026099  0.11499166  0.08144659  1
  Hg  Hg5  1  0.03913885  0.86401396  0.83494325  1
  Cu  Cu6  1  0.53927832  0.36388165  0.33491990  1
  Tb  Tb7  1  0.91105241  0.73553193  0.21990064  1
"
"Full Formula (Li2 Ho1 Hg1 Pb2)
Reduced Formula: Li2HoHgPb2
abc   :   5.098771   5.104600   6.322917
angles:  89.951052  89.966263 119.984989
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Li    0.02065   0.024472  0.314751  [0.0007496904581785202, 0.00016858268645592034, 0.011561468243598938]
  1  Hg    0.687365  0.357787  0.488426  [3.9857346564531326e-05, 9.18111763894558e-05, -0.004583501722663641]
  2  Pb    0.354394  0.691368  0.180272  [-0.003196710254997015, -0.0007847757078707218, -0.04535689204931259]
  3  Li    0.35429   0.691216  0.661007  [-0.0015782508999109268, -4.947558045387268e-05, -0.013416584581136703]
  4  Ho    0.687374  0.357915  0.988138  [0.0008247457444667816, -0.0008428581058979034, 0.0006126370280981064]
  5  Pb    0.020378  0.024343  0.795071  [0.0031606629490852356, 0.0014167018234729767, 0.05118285119533539]","Li2HoHgPb2","('Hg', 'Ho', 'Li', 'Pb')","0.0","2","# generated using pymatgen
data_Li2HoHgPb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09877077
_cell_length_b   5.10460020
_cell_length_c   6.32291738
_cell_angle_alpha   89.95105192
_cell_angle_beta   89.96626263
_cell_angle_gamma   119.98498864
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2HoHgPb2
_chemical_formula_sum   'Li2 Ho1 Hg1 Pb2'
_cell_volume   142.54125398
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.02065018  0.02447214  0.31475119  1
  Hg  Hg1  1  0.68736523  0.35778679  0.48842560  1
  Pb  Pb2  1  0.35439371  0.69136771  0.18027183  1
  Li  Li3  1  0.35429012  0.69121552  0.66100697  1
  Ho  Ho4  1  0.68737381  0.35791496  0.98813796  1
  Pb  Pb5  1  0.02037843  0.02434299  0.79507147  1
"
"Full Formula (Yb2 Al7 Au5)
Reduced Formula: Yb2Al7Au5
abc   :   4.128827   8.160660   7.972807
angles:  88.641989  90.000213  90.000350
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Al    0.890822  0.925911  0.253822  [-0.0010991215240210295, 0.00921565666794777, -0.04521573334932327]
  1  Al    0.890814  0.187513  0.011738  [-0.0012278237845748663, 0.006598129868507385, 0.0032608583569526672]
  2  Yb    0.890724  0.343578  0.41994   [-0.0003278767690062523, -0.002680158242583275, 0.021520549431443214]
  3  Al    0.390617  0.258767  0.764159  [0.0007173982448875904, 0.031251825392246246, -0.0009058713912963867]
  4  Yb    0.390529  0.844351  0.911328  [0.0009606601670384407, 0.01776965521275997, 0.0018217191100120544]
  5  Al    0.390667  0.675129  0.335549  [4.855890438193455e-05, -0.04887749254703522, 0.0049800146371126175]
  6  Au    0.890615  0.633544  0.127522  [0.00022524551604874432, -0.007785719819366932, 0.008740205317735672]
  7  Au    0.390637  0.541505  0.633807  [0.0009035248658619821, 0.04374252259731293, 0.006753966212272644]
  8  Al    0.890644  0.519414  0.829563  [-0.0003351106133777648, 0.011577025055885315, -0.02462020516395569]
  9  Al    0.390693  0.991495  0.50983   [0.00016533248708583415, 0.004914827644824982, -0.0008730944246053696]
 10  Au    0.890627  0.077857  0.71522   [-0.00013701105490326881, -0.014199972152709961, 0.003655359148979187]
 11  Au    0.390805  0.130125  0.211169  [6.361152918543667e-05, -0.012514730915427208, 0.016115836799144745]
 12  Au    0.890707  0.775851  0.557708  [-0.0007277653785422444, -0.01867370307445526, -0.002515643835067749]
 13  Al    0.390598  0.429391  0.082444  [0.0007704016170464456, -0.02033766359090805, 0.007282078266143799]","Yb2Al7Au5","('Al', 'Au', 'Yb')","0.0","3","# generated using pymatgen
data_Yb2Al7Au5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.12882684
_cell_length_b   8.16066011
_cell_length_c   7.97280714
_cell_angle_alpha   88.64198890
_cell_angle_beta   90.00021254
_cell_angle_gamma   90.00035038
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Yb2Al7Au5
_chemical_formula_sum   'Yb2 Al7 Au5'
_cell_volume   268.55993237
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.89082230  0.92591092  0.25382166  1
  Al  Al1  1  0.89081360  0.18751326  0.01173779  1
  Yb  Yb2  1  0.89072413  0.34357793  0.41993969  1
  Al  Al3  1  0.39061724  0.25876706  0.76415903  1
  Yb  Yb4  1  0.39052856  0.84435080  0.91132835  1
  Al  Al5  1  0.39066669  0.67512932  0.33554883  1
  Au  Au6  1  0.89061541  0.63354371  0.12752204  1
  Au  Au7  1  0.39063743  0.54150540  0.63380745  1
  Al  Al8  1  0.89064411  0.51941415  0.82956275  1
  Al  Al9  1  0.39069293  0.99149541  0.50982991  1
  Au  Au10  1  0.89062653  0.07785666  0.71522045  1
  Au  Au11  1  0.39080549  0.13012542  0.21116906  1
  Au  Au12  1  0.89070726  0.77585086  0.55770755  1
  Al  Al13  1  0.39059792  0.42939128  0.08244429  1
"
"Full Formula (Tb2 Pr4 Dy4)
Reduced Formula: Tb(PrDy)2
abc   :   3.578514   6.959376  14.128947
angles:  98.323273  89.984561 104.825395
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Tb    0.333478  0.340962  0.764424  [0.0009546923683956265, -0.010781202465295792, -0.014367051422595978]
  1  Tb    0.352697  0.376011  0.142055  [-0.001346101053059101, 0.011710228398442268, 0.01444433256983757]
  2  Dy    0.683585  0.039227  0.555622  [-0.0011120510753244162, 0.011106960475444794, 0.005714656785130501]
  3  Pr    0.707536  0.088916  0.936579  [0.0005246717482805252, 0.017468728125095367, 0.0391615554690361]
  4  Pr    0.425069  0.521182  0.548948  [0.0017856020713225007, -0.03060198575258255, -0.007016954943537712]
  5  Dy    1.0028    0.677665  0.35085   [0.0008379360660910606, -0.01124490424990654, -0.005393261089920998]
  6  Dy    0.068957  0.810978  0.739624  [0.0004490638093557209, 0.013845540583133698, 0.003834957256913185]
  7  Pr    0.978483  0.629032  0.970029  [0.000518319895491004, -0.020331205800175667, -0.0405941940844059]
  8  Pr    0.261108  0.195638  0.357491  [-0.0016315472312271595, 0.031346745789051056, 0.007692171260714531]
  9  Dy    0.617349  0.905946  0.166926  [-0.0009805858135223389, -0.012518917210400105, -0.0034762336872518063]","Tb(PrDy)2","('Dy', 'Pr', 'Tb')","0.0","4","# generated using pymatgen
data_Tb(PrDy)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57851380
_cell_length_b   6.95937566
_cell_length_c   14.12894693
_cell_angle_alpha   98.32327320
_cell_angle_beta   89.98456099
_cell_angle_gamma   104.82539500
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb(PrDy)2
_chemical_formula_sum   'Tb2 Pr4 Dy4'
_cell_volume   336.32506281
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.33347837  0.34096206  0.76442422  1
  Tb  Tb1  1  0.35269724  0.37601145  0.14205470  1
  Dy  Dy2  1  0.68358541  0.03922716  0.55562201  1
  Pr  Pr3  1  0.70753588  0.08891600  0.93657869  1
  Pr  Pr4  1  0.42506868  0.52118222  0.54894821  1
  Dy  Dy5  1  1.00279654  0.67766458  0.35084955  1
  Dy  Dy6  1  0.06895669  0.81097764  0.73962408  1
  Pr  Pr7  1  0.97848302  0.62903237  0.97002906  1
  Pr  Pr8  1  0.26110808  0.19563786  0.35749144  1
  Dy  Dy9  1  0.61734948  0.90594641  0.16692598  1
"
"Full Formula (Na2 Ce3 Y1 Te6)
Reduced Formula: Na2Ce3YTe6
abc   :   7.842307   7.794988   7.795432
angles: 119.978994  99.503145  99.514266
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Na    0.088859  0.350665  0.55921   [-0.001328442245721817, 0.00019193999469280243, 0.00045042578130960464]
  1  Y     0.088511  0.016177  0.893969  [0.0026042722165584564, 0.0003581242635846138, -0.005491060204803944]
  2  Na    0.088817  0.681842  0.22825   [0.00027156248688697815, -0.0001833755522966385, 0.00029333680868148804]
  3  Ce    0.588561  0.846466  0.06338   [-0.0036753416061401367, 0.0248725526034832, -0.04196944832801819]
  4  Te    0.332573  0.097542  0.30182   [0.008594423532485962, 0.0029164254665374756, -0.022970929741859436]
  5  Ce    0.588728  0.516383  0.393949  [0.0003667534328997135, -0.001095819752663374, -0.0031463811174035072]
  6  Te    0.840917  0.259898  0.137196  [0.01549898087978363, -0.020229369401931763, -0.005375757813453674]
  7  Te    0.336432  0.772761  0.650386  [-0.01656585931777954, 0.01765914261341095, 0.010490074753761292]
  8  Te    0.332422  0.42411   0.97515   [0.01731055974960327, -0.01598256081342697, 0.00907249003648758]
  9  Ce    0.588778  0.185919  0.724159  [0.0055391788482666016, -0.02533278614282608, 0.04006747156381607]
 10  Te    0.844886  0.608133  0.812438  [-0.01522129774093628, 0.017969369888305664, -0.010367557406425476]
 11  Te    0.845072  0.934933  0.485593  [-0.01339481770992279, -0.0011436641216278076, 0.028947263956069946]","Na2Ce3YTe6","('Ce', 'Na', 'Te', 'Y')","0.0","4","# generated using pymatgen
data_Na2Ce3YTe6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.84230661
_cell_length_b   7.79498843
_cell_length_c   7.79543197
_cell_angle_alpha   119.97899439
_cell_angle_beta   99.50314531
_cell_angle_gamma   99.51426619
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2Ce3YTe6
_chemical_formula_sum   'Na2 Ce3 Y1 Te6'
_cell_volume   389.61757445
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.08885860  0.35066469  0.55920986  1
  Y  Y1  1  0.08851128  0.01617728  0.89396892  1
  Na  Na2  1  0.08881661  0.68184235  0.22825011  1
  Ce  Ce3  1  0.58856109  0.84646620  0.06337954  1
  Te  Te4  1  0.33257311  0.09754202  0.30182042  1
  Ce  Ce5  1  0.58872775  0.51638253  0.39394884  1
  Te  Te6  1  0.84091741  0.25989803  0.13719629  1
  Te  Te7  1  0.33643238  0.77276084  0.65038609  1
  Te  Te8  1  0.33242235  0.42410983  0.97515011  1
  Ce  Ce9  1  0.58877757  0.18591889  0.72415912  1
  Te  Te10  1  0.84488622  0.60813263  0.81243750  1
  Te  Te11  1  0.84507226  0.93493295  0.48559305  1
"
"Full Formula (Sm5 Dy5 Y2)
Reduced Formula: Sm5Dy5Y2
abc   :   6.346671   7.327132   9.561602
angles: 112.475775 102.514996  90.510492
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Sm    0.843872  0.86581   0.12213   [0.0022125309333205223, 0.002324542496353388, 0.001225268468260765]
  1  Sm    0.566591  0.948869  0.788326  [-0.004332738928496838, 0.006191670894622803, 0.00028749252669513226]
  2  Dy    0.78935   0.280976  0.453955  [-0.0021359017118811607, -0.0015585892833769321, -0.00327016762457788]
  3  Dy    0.290094  0.031325  0.454221  [0.0007550278678536415, -0.0009927358478307724, -0.0063232239335775375]
  4  Sm    0.789704  0.780137  0.453616  [-0.0022175137419253588, 0.0014151306822896004, -0.002273593097925186]
  5  Sm    0.06815   0.697818  0.789217  [0.0029461681842803955, -0.003581677097827196, 0.0028294986113905907]
  6  Dy    0.845019  0.363382  0.121068  [-0.00015972438268363476, -0.00017257081344723701, 0.0016781839076429605]
  7  Dy    0.344621  0.614534  0.120875  [-0.0009919628500938416, 7.695797830820084e-05, 0.0019283671863377094]
  8  Dy    0.344787  0.114353  0.121355  [0.0019949693232774734, 0.001854793168604374, 0.002602124121040106]
  9  Y     0.567633  0.446614  0.787845  [0.0014501431724056602, -0.002525772899389267, 0.0027439258992671967]
 10  Sm    0.2905    0.529706  0.452892  [-0.0002764617092907429, -0.007066047750413418, -0.002508997917175293]
 11  Y     0.067856  0.198415  0.788472  [0.0007554581388831139, 0.004034297540783882, 0.0010811216197907925]","Sm5Dy5Y2","('Dy', 'Sm', 'Y')","0.0","4","# generated using pymatgen
data_Sm5Dy5Y2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.34667144
_cell_length_b   7.32713176
_cell_length_c   9.56160157
_cell_angle_alpha   112.47577543
_cell_angle_beta   102.51499558
_cell_angle_gamma   90.51049170
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm5Dy5Y2
_chemical_formula_sum   'Sm5 Dy5 Y2'
_cell_volume   399.02514950
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.84387241  0.86580992  0.12213032  1
  Sm  Sm1  1  0.56659091  0.94886878  0.78832614  1
  Dy  Dy2  1  0.78935012  0.28097552  0.45395501  1
  Dy  Dy3  1  0.29009420  0.03132486  0.45422135  1
  Sm  Sm4  1  0.78970447  0.78013709  0.45361623  1
  Sm  Sm5  1  0.06814957  0.69781758  0.78921686  1
  Dy  Dy6  1  0.84501864  0.36338220  0.12106777  1
  Dy  Dy7  1  0.34462098  0.61453362  0.12087484  1
  Dy  Dy8  1  0.34478722  0.11435278  0.12135519  1
  Y  Y9  1  0.56763307  0.44661425  0.78784523  1
  Sm  Sm10  1  0.29049991  0.52970577  0.45289177  1
  Y  Y11  1  0.06785607  0.19841548  0.78847158  1
"
"Full Formula (Ca1 Ho1 Mg1 Au1)
Reduced Formula: CaHoMgAu
abc   :   3.709108   3.708030   7.660953
angles:  90.008221  90.009665  90.104430
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Mg    0.712865  0.005517  0.483544  [-0.0001310478983214125, 0.00033659106702543795, -0.0015230970457196236]
  1  Ca    0.212844  0.505589  0.189955  [3.0310344300232828e-05, -0.0003498941659927368, 0.011553332209587097]
  2  Ho    0.21289   0.505601  0.737991  [-0.00015115411952137947, -0.0009315256029367447, 0.013984352350234985]
  3  Au    0.712891  0.005481  0.929297  [0.0002519078552722931, 0.0009448118507862091, -0.024014580994844437]","CaHoMgAu","('Au', 'Ca', 'Ho', 'Mg')","0.0","4","# generated using pymatgen
data_CaHoMgAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70910783
_cell_length_b   3.70803010
_cell_length_c   7.66095293
_cell_angle_alpha   90.00822090
_cell_angle_beta   90.00966525
_cell_angle_gamma   90.10443013
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaHoMgAu
_chemical_formula_sum   'Ca1 Ho1 Mg1 Au1'
_cell_volume   105.36461215
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.71286496  0.00551717  0.48354423  1
  Ca  Ca1  1  0.21284367  0.50558884  0.18995525  1
  Ho  Ho2  1  0.21288958  0.50560117  0.73799096  1
  Au  Au3  1  0.71289055  0.00548149  0.92929691  1
"
