cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,11,4,11,0,0,1.5000,449,0.3441,0.0000,0.0851,0.0563,3003.95
1,9,4,4,5,0,1.5000,449,nan,0.0000,0.0851,0.0563,499.51
2,7,4,4,3,0,1.5000,453,0.3350,0.0000,0.0853,0.0565,893.17
3,15,4,4,11,0,1.5000,455,0.2447,0.0000,0.0821,0.0534,544.08
4,12,4,4,8,0,1.5000,458,0.4644,0.0000,0.0813,0.0540,502.84
5,7,4,4,3,0,1.5000,458,nan,0.0001,0.0813,0.0540,484.52
6,10,4,4,6,0,1.5000,461,0.2427,0.0001,0.0837,0.0557,324.90
7,12,4,4,8,0,1.5000,463,0.2169,0.0001,0.0838,0.0565,411.55
8,15,4,4,11,0,1.5000,466,0.2775,0.0001,0.0819,0.0555,336.29
9,9,4,4,5,0,1.5000,469,0.3506,0.0001,0.0868,0.0575,391.36
10,16,4,4,12,0,1.5000,471,0.2408,0.0001,0.0826,0.0569,399.93
11,13,4,4,9,0,1.5000,473,0.2577,0.0001,0.0814,0.0540,467.12
12,11,4,4,7,0,1.5000,475,0.2745,0.0001,0.0797,0.0546,304.44
13,8,4,4,4,0,1.5000,478,0.3461,0.0001,0.0855,0.0559,441.93
14,12,4,4,8,0,1.5000,481,0.2896,0.0001,0.0822,0.0564,256.96
15,12,4,4,8,0,1.5000,483,0.2292,0.0001,0.0842,0.0557,220.14
16,10,4,4,6,0,1.5000,486,0.1886,0.0002,0.0806,0.0554,289.05
17,10,4,4,6,0,1.5000,488,0.3926,0.0002,0.0801,0.0537,320.31
18,7,4,4,3,0,1.5000,489,0.4562,0.0002,0.0815,0.0552,562.02
19,11,4,4,7,0,1.5000,491,0.5102,0.0002,0.0795,0.0535,389.70
