"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Gd1 Ir1)
Reduced Formula: GdIr
abc   :   3.475207   3.460824   3.460263
angles:  90.003424  89.998744  90.016388
pbc   :       True       True       True
Sites (2)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------
  0  Gd    0.79942   0.216278  0.011311  [-0.014642600901424885, 0.02777041122317314, -0.022901376709342003]
  1  Ir    0.297964  0.719087  0.509001  [0.014642606489360332, -0.027770452201366425, 0.022901378571987152]","GdIr","('Gd', 'Ir')","0.0","0.0","# generated using pymatgen
data_GdIr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.47520691
_cell_length_b   3.46082397
_cell_length_c   3.46026337
_cell_angle_alpha   90.00342377
_cell_angle_beta   89.99874370
_cell_angle_gamma   90.01638762
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdIr
_chemical_formula_sum   'Gd1 Ir1'
_cell_volume   41.61686051
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.79942040  0.21627833  0.01131106  1
  Ir  Ir1  1  0.29796376  0.71908659  0.50900117  1
"
"Full Formula (Cr2 Ag1 Se4)
Reduced Formula: Cr2AgSe4
abc   :   3.709842   6.372267   7.188596
angles: 114.535346 104.928661  90.001477
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ag    0.661878  0.538897  0.881997  [0.004010153003036976, -0.03556876257061958, 0.013615071773529053]
  1  Cr    0.411037  0.264579  0.380006  [-0.0032084565609693527, 0.01748090237379074, -0.011545702815055847]
  2  Cr    0.91237   0.799451  0.382893  [2.9595568776130676e-05, 0.002626478672027588, -0.00011167675256729126]
  3  Se    0.307588  0.515055  0.173043  [0.0033398717641830444, -0.01622641086578369, 0.013667017221450806]
  4  Se    0.525272  1.05006   0.609035  [-0.0033796876668930054, 0.022687673568725586, -0.013889670372009277]
  5  Se    1.01496   0.549078  0.588194  [-0.0018530040979385376, 0.034934282302856445, -0.007369041442871094]
  6  Se    0.798411  0.015999  0.154421  [0.0010615140199661255, -0.02593424916267395, 0.005634009838104248]","Cr2AgSe4","('Ag', 'Cr', 'Se')","0.03974251884531669","0.0","# generated using pymatgen
data_Cr2AgSe4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70984160
_cell_length_b   6.37226673
_cell_length_c   7.18859619
_cell_angle_alpha   114.53534600
_cell_angle_beta   104.92866112
_cell_angle_gamma   90.00147674
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2AgSe4
_chemical_formula_sum   'Cr2 Ag1 Se4'
_cell_volume   148.26564462
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.66187777  0.53889700  0.88199678  1
  Cr  Cr1  1  0.41103714  0.26457942  0.38000629  1
  Cr  Cr2  1  0.91236952  0.79945077  0.38289322  1
  Se  Se3  1  0.30758783  0.51505516  0.17304279  1
  Se  Se4  1  0.52527222  1.05005828  0.60903508  1
  Se  Se5  1  1.01496184  0.54907758  0.58819448  1
  Se  Se6  1  0.79841124  0.01599867  0.15442127  1
"
"Full Formula (Cu1 I2)
Reduced Formula: CuI2
abc   :   4.714015   4.738133   8.191072
angles:  73.239382 108.488260 134.721826
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Cu    0.6001    0.978928  0.424006  [-0.029669655486941338, 0.02460443414747715, 0.0022891988046467304]
  1  I     0.942853  0.594798  0.198961  [0.02282271720468998, -0.0036289412528276443, 0.00654374435544014]
  2  I     0.251742  0.369839  0.650706  [0.006846947595477104, -0.020975494757294655, -0.008832946419715881]","CuI2","('Cu', 'I')","0.0","0.0","# generated using pymatgen
data_CuI2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.71401504
_cell_length_b   4.73813339
_cell_length_c   8.19107190
_cell_angle_alpha   73.23938191
_cell_angle_beta   108.48825981
_cell_angle_gamma   134.72182614
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuI2
_chemical_formula_sum   'Cu1 I2'
_cell_volume   122.70550738
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.60009950  0.97892778  0.42400620  1
  I  I1  1  0.94285270  0.59479822  0.19896127  1
  I  I2  1  0.25174238  0.36983919  0.65070561  1
"
"Full Formula (Sr2 La2 Mg2 Ni2 O12)
Reduced Formula: SrLaMgNiO6
abc   :   5.543081   5.461194   7.753166
angles:  89.290152  89.738374  89.936575
pbc   :       True       True       True
Sites (20)
  #  SP            a         b          c  forces
---  ----  ---------  --------  ---------  ----------------------------------------------------------------------
  0  Sr     0.197186  0.230841   0.21692   [0.0025819670408964157, 0.0020241662859916687, -0.018012037500739098]
  1  Sr     0.697666  0.730948   0.713771  [0.004430994391441345, -0.002439050003886223, 0.018311265856027603]
  2  La     0.701066  0.726678   0.215737  [-0.007271513342857361, 0.0009296983480453491, 0.008775968104600906]
  3  La     0.202025  0.227789   0.720056  [-0.004329770803451538, 0.003378242254257202, -0.018010102212429047]
  4  Mg     0.196551  0.731293   0.465341  [0.00956481508910656, -0.007299389224499464, 0.010372395627200603]
  5  Mg     0.699347  0.230047   0.965388  [-0.0030244048684835434, 0.011655203998088837, 0.006155590061098337]
  6  Ni     0.199252  0.729826   0.96654   [-0.01223310362547636, 0.004288507625460625, -0.0023505613207817078]
  7  Ni     0.695883  0.230543   0.466241  [0.010302577167749405, -0.002351570874452591, 0.002949953079223633]
  8  O      0.946252  0.504708  -0.007916  [-0.013708055019378662, 0.0016394630074501038, 0.0018967986106872559]
  9  O      0.421922  0.47479    0.938621  [-0.0304252989590168, -0.01732856035232544, -0.003003329038619995]
 10  O      0.254968  0.726192   0.205039  [-0.018808752298355103, 0.01205290574580431, 0.0016859769821166992]
 11  O      0.441517  0.007175   0.493905  [0.004541218280792236, -0.00702225137501955, -0.017835617065429688]
 12  O      0.464187  0.477073   0.491886  [0.010269373655319214, -0.00031301379203796387, -0.019129469990730286]
 13  O      0.444659  0.962537   0.942688  [-0.021199867129325867, 0.02265062928199768, -0.0031161457300186157]
 14  O      0.916432  0.973621   0.436793  [0.020712383091449738, 0.010707318782806396, 0.02304968237876892]
 15  O      0.938904  0.465718   0.440964  [0.036531962454319, -0.02101418375968933, 0.01952524483203888]
 16  O      0.157198  0.736337   0.727488  [0.007456719875335693, -0.011716045439243317, -0.002111494541168213]
 17  O      0.654753  0.236637   0.227149  [0.01655295491218567, -0.009773939847946167, 0.0008904039859771729]
 18  O      0.7548    0.227213   0.704535  [-0.0071166157722473145, -0.003113560378551483, 0.0057753026485443115]
 19  O     -0.03151   0.977245  -0.008787  [-0.004827916622161865, 0.013045519590377808, -0.015819787979125977]","SrLaMgNiO6","('La', 'Mg', 'Ni', 'O', 'Sr')","0.1553410192225043","0.0","# generated using pymatgen
data_SrLaMgNiO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.54308099
_cell_length_b   5.46119401
_cell_length_c   7.75316565
_cell_angle_alpha   89.29015190
_cell_angle_beta   89.73837397
_cell_angle_gamma   89.93657540
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrLaMgNiO6
_chemical_formula_sum   'Sr2 La2 Mg2 Ni2 O12'
_cell_volume   234.68200714
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.19718599  0.23084120  0.21692008  1
  Sr  Sr1  1  0.69766561  0.73094836  0.71377123  1
  La  La2  1  0.70106646  0.72667840  0.21573660  1
  La  La3  1  0.20202535  0.22778882  0.72005588  1
  Mg  Mg4  1  0.19655052  0.73129307  0.46534142  1
  Mg  Mg5  1  0.69934702  0.23004745  0.96538786  1
  Ni  Ni6  1  0.19925187  0.72982564  0.96654027  1
  Ni  Ni7  1  0.69588294  0.23054323  0.46624142  1
  O  O8  1  0.94625218  0.50470772  -0.00791628  1
  O  O9  1  0.42192198  0.47479050  0.93862102  1
  O  O10  1  0.25496847  0.72619153  0.20503851  1
  O  O11  1  0.44151729  0.00717547  0.49390455  1
  O  O12  1  0.46418695  0.47707252  0.49188570  1
  O  O13  1  0.44465935  0.96253726  0.94268820  1
  O  O14  1  0.91643211  0.97362080  0.43679332  1
  O  O15  1  0.93890446  0.46571836  0.44096398  1
  O  O16  1  0.15719848  0.73633657  0.72748777  1
  O  O17  1  0.65475319  0.23663693  0.22714852  1
  O  O18  1  0.75479979  0.22721266  0.70453463  1
  O  O19  1  -0.03150995  0.97724467  -0.00878714  1
"
"Full Formula (Hf4 Al4 Au4)
Reduced Formula: HfAlAu
abc   :   5.440158   5.445475   8.450329
angles:  90.006180  90.295601 119.205720
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Hf    0.374667  0.129783  0.04703   [-0.011178997345268726, -0.006405625957995653, -0.01871359348297119]
  1  Hf    0.698277  0.797353  0.923599  [-0.00015659257769584656, -0.0015227925032377243, 0.04919501394033432]
  2  Hf    0.707239  0.79908   0.533222  [0.011377447284758091, 0.005288129672408104, -0.0481715127825737]
  3  Hf    0.375875  0.12861   0.409647  [-0.001312625128775835, 0.0008612489327788353, 0.019385434687137604]
  4  Al    0.036693  0.455332  0.975057  [-0.005285712890326977, 0.02320941351354122, -0.011814083904027939]
  5  Al    0.044286  0.472222  0.481635  [0.004332191310822964, -0.027524162083864212, 0.016776662319898605]
  6  Al    0.394487  0.636246  0.228212  [-0.012720987200737, 0.013754498213529587, 0.003950705751776695]
  7  Al    0.870562  0.109916  0.230158  [0.024716364219784737, 0.0021032914519309998, -0.01419934630393982]
  8  Au    0.874589  0.628826  0.226544  [-0.0042240917682647705, -0.025899402797222137, 0.008726765401661396]
  9  Au    0.136992  0.804505  0.735484  [-0.016141176223754883, 0.009369798004627228, -0.034578535705804825]
 10  Au    0.700964  0.221938  0.725158  [0.0025827856734395027, -0.01327793300151825, 0.01637791283428669]
 11  Au    0.284647  0.365404  0.724955  [0.008011281490325928, 0.020043589174747467, 0.013064630329608917]","HfAlAu","('Al', 'Au', 'Hf')","0.0","1.0","# generated using pymatgen
data_HfAlAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44015846
_cell_length_b   5.44547523
_cell_length_c   8.45032911
_cell_angle_alpha   90.00618011
_cell_angle_beta   90.29560136
_cell_angle_gamma   119.20572010
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfAlAu
_chemical_formula_sum   'Hf4 Al4 Au4'
_cell_volume   218.50654965
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.37466657  0.12978339  0.04703044  1
  Hf  Hf1  1  0.69827678  0.79735297  0.92359885  1
  Hf  Hf2  1  0.70723869  0.79908032  0.53322176  1
  Hf  Hf3  1  0.37587525  0.12861019  0.40964704  1
  Al  Al4  1  0.03669328  0.45533229  0.97505681  1
  Al  Al5  1  0.04428637  0.47222162  0.48163545  1
  Al  Al6  1  0.39448674  0.63624619  0.22821235  1
  Al  Al7  1  0.87056231  0.10991635  0.23015758  1
  Au  Au8  1  0.87458901  0.62882561  0.22654393  1
  Au  Au9  1  0.13699199  0.80450454  0.73548417  1
  Au  Au10  1  0.70096421  0.22193756  0.72515759  1
  Au  Au11  1  0.28464706  0.36540360  0.72495526  1
"
"Full Formula (Ca1 Nd1 Ag2)
Reduced Formula: CaNdAg2
abc   :   3.916071   4.902062   6.129305
angles:  89.968913  68.743141  89.991795
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ca    0.253263  0.609571  0.69783   [0.03123795986175537, 0.0006942944601178169, -0.005214128643274307]
  1  Nd    0.575463  0.110185  0.13078   [-0.045936599373817444, 0.0011958375107496977, 0.0032557696104049683]
  2  Ag    0.002909  0.610877  0.257959  [0.004966335371136665, -0.005850706249475479, 0.0050617605447769165]
  3  Ag    0.825037  0.109211  0.563205  [0.009732295759022236, 0.003960581496357918, -0.0031033814884722233]","CaNdAg2","('Ag', 'Ca', 'Nd')","0.0","1.0","# generated using pymatgen
data_CaNdAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.91607066
_cell_length_b   4.90206247
_cell_length_c   6.12930539
_cell_angle_alpha   89.96891347
_cell_angle_beta   68.74314052
_cell_angle_gamma   89.99179506
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaNdAg2
_chemical_formula_sum   'Ca1 Nd1 Ag2'
_cell_volume   109.65789707
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.25326281  0.60957076  0.69783027  1
  Nd  Nd1  1  0.57546347  0.11018486  0.13077963  1
  Ag  Ag2  1  0.00290902  0.61087682  0.25795914  1
  Ag  Ag3  1  0.82503729  0.10921105  0.56320456  1
"
"Full Formula (Ni4 Bi4 O12)
Reduced Formula: NiBiO3
abc   :   5.624413   5.641508   7.897030
angles:  91.524977  89.018384  90.258855
pbc   :       True       True       True
Sites (20)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Ni    0.923825  0.735922   0.743167  [-0.008586164563894272, 0.007480740547180176, -0.0002714991569519043]
  1  Ni    0.423861  0.26116    0.232947  [0.005042031407356262, -0.01660121977329254, 0.0020288676023483276]
  2  Ni    0.927867  0.764555   0.235     [0.00678744912147522, -0.005979476496577263, 0.006316354498267174]
  3  Ni    0.420358  0.236958   0.741279  [2.812594175338745e-05, 0.009310431778430939, 0.0010194331407546997]
  4  Bi    0.425226  0.751481   0.015612  [0.007110387086868286, -0.02478649467229843, 0.0015089455991983414]
  5  Bi    0.425453  0.661402   0.530864  [-0.005588555708527565, 0.010243982076644897, -0.002325870096683502]
  6  Bi    0.925269  0.182248   0.517812  [-0.0028026383370161057, 0.018486589193344116, 0.0044389814138412476]
  7  Bi    0.922095  0.259451   0.027099  [6.463751196861267e-05, -0.009027980268001556, 0.005644768476486206]
  8  O     0.594507  0.613733   0.28693   [0.0066407471895217896, 0.004079412668943405, 0.004237473011016846]
  9  O     0.068201  0.790933   0.487037  [-0.0029082894325256348, 0.013024687767028809, -0.0016963537782430649]
 10  O     0.320999  0.29302    0.485736  [0.004190325736999512, 0.0014058947563171387, -0.0018959827721118927]
 11  O     0.829543  0.649735  -0.015794  [0.013455629348754883, -0.028637602925300598, 2.588331699371338e-05]
 12  O     0.620491  0.945383   0.651109  [-0.0035723745822906494, 0.010305672883987427, 0.0017413496971130371]
 13  O     0.706249  0.465141   0.658556  [-0.013736516237258911, 0.015029221773147583, 0.0026041269302368164]
 14  O     0.071273  1.09259    0.798583  [-0.01585496962070465, 0.019885927438735962, -0.0006943941116333008]
 15  O     0.551668  0.198724   0.974365  [0.004251807928085327, -0.0034667551517486572, 0.0037989914417266846]
 16  O     0.747093  0.102058   0.258329  [0.010970503091812134, -0.002318084239959717, -0.004962563514709473]
 17  O     0.175391  1.00458    0.154583  [0.0001429915428161621, -0.014432847499847412, -0.0209265798330307]
 18  O     0.252595  0.578687   0.775722  [-0.007916808128356934, 0.014567703008651733, -0.006225794553756714]
 19  O     0.165387  0.487921   1.16446   [0.0022820234298706055, -0.0185701847076416, 0.005633495282381773]","NiBiO3","('Bi', 'Ni', 'O')","0.049426528431210696","2.0","# generated using pymatgen
data_NiBiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.62441296
_cell_length_b   5.64150756
_cell_length_c   7.89702971
_cell_angle_alpha   91.52497674
_cell_angle_beta   89.01838376
_cell_angle_gamma   90.25885502
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NiBiO3
_chemical_formula_sum   'Ni4 Bi4 O12'
_cell_volume   250.44650408
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.92382468  0.73592188  0.74316732  1
  Ni  Ni1  1  0.42386143  0.26115974  0.23294691  1
  Ni  Ni2  1  0.92786651  0.76455494  0.23500047  1
  Ni  Ni3  1  0.42035759  0.23695837  0.74127885  1
  Bi  Bi4  1  0.42522552  0.75148144  0.01561204  1
  Bi  Bi5  1  0.42545291  0.66140240  0.53086444  1
  Bi  Bi6  1  0.92526921  0.18224798  0.51781151  1
  Bi  Bi7  1  0.92209500  0.25945104  0.02709897  1
  O  O8  1  0.59450657  0.61373289  0.28693042  1
  O  O9  1  0.06820131  0.79093259  0.48703730  1
  O  O10  1  0.32099868  0.29301964  0.48573551  1
  O  O11  1  0.82954292  0.64973545  -0.01579381  1
  O  O12  1  0.62049148  0.94538338  0.65110921  1
  O  O13  1  0.70624925  0.46514053  0.65855553  1
  O  O14  1  0.07127273  1.09259206  0.79858297  1
  O  O15  1  0.55166826  0.19872447  0.97436458  1
  O  O16  1  0.74709339  0.10205843  0.25832878  1
  O  O17  1  0.17539066  1.00457847  0.15458258  1
  O  O18  1  0.25259485  0.57868724  0.77572189  1
  O  O19  1  0.16538703  0.48792064  1.16445725  1
"
"Full Formula (Mg3 Ga3)
Reduced Formula: MgGa
abc   :   3.107974   5.830918   7.001092
angles:  97.600925  90.013787 105.443645
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Mg    0.698587  0.186036  0.15415   [0.0013767083873972297, 0.022837359458208084, -0.03823138773441315]
  1  Mg    0.954168  0.695531  0.092402  [-0.00158357759937644, 0.009806785732507706, 0.014768598601222038]
  2  Mg    0.552857  0.892303  0.760947  [-0.00011324882507324219, -0.04456092417240143, -0.005965005606412888]
  3  Ga    0.287256  0.362713  0.799954  [0.001250115456059575, -0.01580893062055111, 0.042849451303482056]
  4  Ga    0.372336  0.533558  0.426126  [0.001251343172043562, -0.007113028317689896, -0.0076017603278160095]
  5  Ga    0.113655  1.0143    0.453695  [-0.00218132883310318, 0.03483876213431358, -0.005819849669933319]","MgGa","('Ga', 'Mg')","0.15463125793538765","2.0","# generated using pymatgen
data_MgGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.10797377
_cell_length_b   5.83091828
_cell_length_c   7.00109195
_cell_angle_alpha   97.60092458
_cell_angle_beta   90.01378742
_cell_angle_gamma   105.44364514
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgGa
_chemical_formula_sum   'Mg3 Ga3'
_cell_volume   121.13694583
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.69858711  0.18603609  0.15415002  1
  Mg  Mg1  1  0.95416779  0.69553135  0.09240203  1
  Mg  Mg2  1  0.55285741  0.89230328  0.76094716  1
  Ga  Ga3  1  0.28725644  0.36271312  0.79995441  1
  Ga  Ga4  1  0.37233573  0.53355843  0.42612614  1
  Ga  Ga5  1  0.11365471  1.01430022  0.45369484  1
"
"Full Formula (Ca2 Ga3 Ge1)
Reduced Formula: Ca2Ga3Ge
abc   :   4.361158   4.359820   7.143980
angles:  89.675232  89.992907  90.013441
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ca    0.394518  0.605379  0.027806  [0.001185072585940361, -0.009966655634343624, 0.007576487958431244]
  1  Ca    0.894654  0.094739  0.687071  [0.0026978980749845505, 0.03265604004263878, -0.02526804804801941]
  2  Ga    0.394507  0.100128  0.356879  [0.001977904001250863, 0.008431635797023773, -0.0034955963492393494]
  3  Ga    0.894799  0.604649  0.356764  [0.00032222503796219826, -0.027795538306236267, 0.004311755299568176]
  4  Ga    0.894558  0.107518  0.13104   [-0.0012301012175157666, -0.014330265112221241, 0.01777554675936699]
  5  Ge    0.395159  0.595474  0.600337  [-0.004953011870384216, 0.011004777625203133, -0.00090017169713974]","Ca2Ga3Ge","('Ca', 'Ga', 'Ge')","0.09014976319724623","3.0","# generated using pymatgen
data_Ca2Ga3Ge
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36115791
_cell_length_b   4.35982038
_cell_length_c   7.14397967
_cell_angle_alpha   89.67523199
_cell_angle_beta   89.99290730
_cell_angle_gamma   90.01344140
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca2Ga3Ge
_chemical_formula_sum   'Ca2 Ga3 Ge1'
_cell_volume   135.83247901
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.39451793  0.60537931  0.02780551  1
  Ca  Ca1  1  0.89465366  0.09473899  0.68707090  1
  Ga  Ga2  1  0.39450747  0.10012774  0.35687921  1
  Ga  Ga3  1  0.89479854  0.60464923  0.35676422  1
  Ga  Ga4  1  0.89455812  0.10751765  0.13104042  1
  Ge  Ge5  1  0.39515922  0.59547435  0.60033690  1
"
"Full Formula (Ce1 Rh2 Se4)
Reduced Formula: Ce(RhSe2)2
abc   :   3.930665   6.654844   7.276385
angles: 115.679261 105.589931  90.060606
pbc   :       True       True       True
Sites (7)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  Ce    0.390148   0.146772  0.049749  [0.0008412600727751851, 0.01169886440038681, -0.005837073549628258]
  1  Rh    0.142405   0.905372  0.552404  [0.0005593150854110718, 0.0037358999252319336, -0.028669700026512146]
  2  Rh    0.6407     0.38853   0.547516  [-0.014604289084672928, -0.014508634805679321, -0.0056449174880981445]
  3  Se    1.03405    0.467793  0.33682   [0.012849584221839905, -0.008193939924240112, 0.0242156982421875]
  4  Se    0.74647    0.826328  0.762415  [0.002017337828874588, -0.005761891603469849, -0.017560333013534546]
  5  Se    0.237531   0.328067  0.741972  [0.009652093052864075, 0.004861012101173401, 0.03350478410720825]
  6  Se    0.5456    -0.034774  0.356668  [-0.011315226554870605, 0.00816861167550087, -8.374452590942383e-06]","Ce(RhSe2)2","('Ce', 'Rh', 'Se')","0.002987454800851941","3.0","# generated using pymatgen
data_Ce(RhSe2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.93066515
_cell_length_b   6.65484438
_cell_length_c   7.27638470
_cell_angle_alpha   115.67926103
_cell_angle_beta   105.58993056
_cell_angle_gamma   90.06060616
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce(RhSe2)2
_chemical_formula_sum   'Ce1 Rh2 Se4'
_cell_volume   163.70486184
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.39014796  0.14677240  0.04974856  1
  Rh  Rh1  1  0.14240495  0.90537223  0.55240381  1
  Rh  Rh2  1  0.64069979  0.38852972  0.54751607  1
  Se  Se3  1  1.03405301  0.46779339  0.33681960  1
  Se  Se4  1  0.74646990  0.82632784  0.76241490  1
  Se  Se5  1  0.23753139  0.32806674  0.74197247  1
  Se  Se6  1  0.54559990  -0.03477424  0.35666810  1
"
