"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Dy1 Ga1 Ni4)
Reduced Formula: DyGaNi4
abc   :   3.891156   5.026935   5.027218
angles: 120.008640  90.026946  90.015634
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Dy    0.060387  0.457672  0.266424  [0.027684157714247704, -0.012461885809898376, -0.0044394610449671745]
  1  Ga    0.069808  0.124281  0.599611  [-0.008713753893971443, -0.00087723508477211, -0.0008742846548557281]
  2  Ni    0.069408  0.789485  0.932479  [-0.01041618175804615, 0.029809147119522095, -0.00734566617757082]
  3  Ni    0.568522  0.463071  0.768243  [0.015563327819108963, 6.026029586791992e-05, 0.01378715317696333]
  4  Ni    0.569273  0.95471   0.76902   [-0.009512992575764656, -0.001107439398765564, -0.00043063610792160034]
  5  Ni    0.569482  0.955152  0.26041   [-0.014604464173316956, -0.015422813594341278, -0.0006970390677452087]","DyGaNi4","('Dy', 'Ga', 'Ni')","0.030405506772068706","0","# generated using pymatgen
data_DyGaNi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.89115641
_cell_length_b   5.02693517
_cell_length_c   5.02721808
_cell_angle_alpha   120.00863993
_cell_angle_beta   90.02694643
_cell_angle_gamma   90.01563433
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyGaNi4
_chemical_formula_sum   'Dy1 Ga1 Ni4'
_cell_volume   85.15347759
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.06038680  0.45767182  0.26642428  1
  Ga  Ga1  1  0.06980845  0.12428090  0.59961063  1
  Ni  Ni2  1  0.06940760  0.78948458  0.93247856  1
  Ni  Ni3  1  0.56852227  0.46307068  0.76824298  1
  Ni  Ni4  1  0.56927325  0.95471007  0.76902039  1
  Ni  Ni5  1  0.56948166  0.95515193  0.26040961  1
"
"Full Formula (Li1 Eu1 Cu2 Bi2)
Reduced Formula: LiEu(CuBi)2
abc   :   4.622852   4.622588   7.410321
angles:  90.149914  89.730381 120.008362
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Li    0.05233   0.039613  0.319786  [-0.010230602696537971, 0.001767146633937955, -0.014789882116019726]
  1  Eu    0.049901  0.039947  0.818604  [-0.007043356075882912, 0.00215494935400784, -0.039551958441734314]
  2  Cu    0.379223  0.706848  0.145409  [0.006190710701048374, 0.0007880141492933035, 0.03874952346086502]
  3  Cu    0.719895  0.373291  0.48465   [-0.008109204471111298, 0.0016968423733487725, -0.005607878789305687]
  4  Bi    0.713101  0.373657  0.089091  [0.01711420901119709, -0.00327109033241868, -0.012272268533706665]
  5  Bi    0.385691  0.706763  0.544403  [0.0020782514475286007, -0.003135860664770007, 0.0334724485874176]","LiEu(CuBi)2","('Bi', 'Cu', 'Eu', 'Li')","0.0","1","# generated using pymatgen
data_LiEu(CuBi)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.62285152
_cell_length_b   4.62258807
_cell_length_c   7.41032138
_cell_angle_alpha   90.14991371
_cell_angle_beta   89.73038093
_cell_angle_gamma   120.00836217
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiEu(CuBi)2
_chemical_formula_sum   'Li1 Eu1 Cu2 Bi2'
_cell_volume   137.12649791
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.05232987  0.03961268  0.31978594  1
  Eu  Eu1  1  0.04990073  0.03994679  0.81860375  1
  Cu  Cu2  1  0.37922260  0.70684798  0.14540914  1
  Cu  Cu3  1  0.71989460  0.37329114  0.48465038  1
  Bi  Bi4  1  0.71310077  0.37365703  0.08909081  1
  Bi  Bi5  1  0.38569054  0.70676301  0.54440250  1
"
"Full Formula (Nd1 Gd1)
Reduced Formula: NdGd
abc   :   3.653892   3.656204   6.279016
angles:  73.383641  73.123808  60.212857
pbc   :       True       True       True
Sites (2)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------
  0  Gd    0.932128  0.848806  0.112745  [0.031566403806209564, 0.0026113055646419525, 0.0314212441444397]
  1  Nd    0.468155  0.354121  0.615743  [-0.031566403806209564, -0.002611305331811309, -0.0314212441444397]","NdGd","('Gd', 'Nd')","0.0","1","# generated using pymatgen
data_NdGd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.65389169
_cell_length_b   3.65620374
_cell_length_c   6.27901637
_cell_angle_alpha   73.38364053
_cell_angle_beta   73.12380805
_cell_angle_gamma   60.21285715
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdGd
_chemical_formula_sum   'Nd1 Gd1'
_cell_volume   68.64337070
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.93212776  0.84880607  0.11274548  1
  Nd  Nd1  1  0.46815489  0.35412081  0.61574282  1
"
"Full Formula (Ce4 As1 I5)
Reduced Formula: Ce4AsI5
abc   :   4.255562   9.198320   9.928035
angles: 102.617385 100.857336  90.065795
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ce    0.193755  0.172739  0.481139  [-0.0010107457637786865, -0.019591130316257477, 0.015837926417589188]
  1  Ce    0.928674  1.01042   0.87335   [1.5458092093467712e-05, 0.02968817949295044, 0.026021592319011688]
  2  Ce    0.557203  0.307657  0.174895  [0.010225105099380016, 0.01761259138584137, -0.01595638133585453]
  3  Ce    0.559587  0.875424  0.181677  [0.00832727923989296, 0.02391207218170166, 0.0010952558368444443]
  4  As    0.058651  0.091729  0.177463  [-0.01495748944580555, -0.026391787454485893, 0.001081232912838459]
  5  I     0.408434  0.265607  0.834768  [-0.0007768571376800537, 0.020863980054855347, -0.022771745920181274]
  6  I     0.713479  0.91893   0.521907  [0.005110708996653557, -0.03186994791030884, 0.011743560433387756]
  7  I     0.415349  0.743721  0.846766  [-0.005227167159318924, 0.03616267442703247, 0.020316198468208313]
  8  I     0.708988  0.438927  0.509569  [-0.006586771458387375, -0.02817600965499878, -0.006217271089553833]
  9  I     0.060606  0.59396   0.1854    [0.004880528897047043, -0.022210393100976944, -0.03115042671561241]","Ce4AsI5","('As', 'Ce', 'I')","0.0","1","# generated using pymatgen
data_Ce4AsI5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.25556201
_cell_length_b   9.19832019
_cell_length_c   9.92803506
_cell_angle_alpha   102.61738483
_cell_angle_beta   100.85733596
_cell_angle_gamma   90.06579484
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce4AsI5
_chemical_formula_sum   'Ce4 As1 I5'
_cell_volume   372.08666710
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.19375541  0.17273932  0.48113883  1
  Ce  Ce1  1  0.92867375  1.01041768  0.87335034  1
  Ce  Ce2  1  0.55720341  0.30765708  0.17489527  1
  Ce  Ce3  1  0.55958666  0.87542436  0.18167702  1
  As  As4  1  0.05865085  0.09172886  0.17746297  1
  I  I5  1  0.40843446  0.26560694  0.83476796  1
  I  I6  1  0.71347851  0.91892965  0.52190737  1
  I  I7  1  0.41534939  0.74372117  0.84676591  1
  I  I8  1  0.70898751  0.43892744  0.50956878  1
  I  I9  1  0.06060642  0.59396023  0.18540039  1
"
"Full Formula (Sr2 Dy1 Fe1 O6)
Reduced Formula: Sr2DyFeO6
abc   :   5.784463   5.711967   5.781033
angles:  59.577183  60.059913  59.640987
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Sr    0.945821  0.602534  0.775815  [-0.0009267227724194527, 0.027640294283628464, -0.0009729357552714646]
  1  Sr    0.452887  0.087533  0.280003  [0.0017417967319488525, -0.02497340738773346, 0.0014718992169946432]
  2  Dy    0.199322  0.845181  0.027842  [-4.081614315509796e-05, 0.0011861715465784073, 0.0018761632964015007]
  3  Fe    0.699304  0.34524   0.527846  [2.983433660119772e-05, -1.590524334460497e-06, 8.150737266987562e-05]
  4  O     0.415068  0.577184  0.351429  [-0.02602332830429077, 0.007665842771530151, 0.024583488702774048]
  5  O     0.879051  0.113405  0.298625  [-0.036951661109924316, -0.00803723931312561, -0.012975245714187622]
  6  O     0.476035  0.107587  0.810332  [0.012362182140350342, -0.012999564409255981, 0.037520118057727814]
  7  O     0.922468  0.583029  0.245375  [-0.012063980102539062, 0.011734157800674438, -0.03858674690127373]
  8  O     0.519583  0.577214  0.756967  [0.03674320876598358, 0.0060266852378845215, 0.011700689792633057]
  9  O     0.983549  0.1134    0.704241  [0.0251295268535614, -0.00824129581451416, -0.024698346853256226]","Sr2DyFeO6","('Dy', 'Fe', 'O', 'Sr')","0.10993576362424744","2","# generated using pymatgen
data_Sr2DyFeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.78446256
_cell_length_b   5.71196726
_cell_length_c   5.78103330
_cell_angle_alpha   59.57718283
_cell_angle_beta   60.05991263
_cell_angle_gamma   59.64098662
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sr2DyFeO6
_chemical_formula_sum   'Sr2 Dy1 Fe1 O6'
_cell_volume   134.32018569
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.94582148  0.60253407  0.77581461  1
  Sr  Sr1  1  0.45288692  0.08753330  0.28000253  1
  Dy  Dy2  1  0.19932204  0.84518119  0.02784179  1
  Fe  Fe3  1  0.69930352  0.34524048  0.52784576  1
  O  O4  1  0.41506776  0.57718417  0.35142941  1
  O  O5  1  0.87905092  0.11340464  0.29862525  1
  O  O6  1  0.47603541  0.10758702  0.81033188  1
  O  O7  1  0.92246771  0.58302871  0.24537470  1
  O  O8  1  0.51958316  0.57721364  0.75696747  1
  O  O9  1  0.98354883  0.11340046  0.70424088  1
"
"Full Formula (Pr2 Ga7 Co1)
Reduced Formula: Pr2Ga7Co
abc   :   4.345397   4.345134  10.373169
angles:  89.975057  89.911983  89.984473
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Pr    0.245716  0.149848  0.968967  [-0.004068509675562382, -0.0010712146759033203, 0.002540118992328644]
  1  Pr    0.742063  0.648161  0.453638  [0.0034905148204416037, 0.007946174591779709, -0.013890018686652184]
  2  Ga    0.241893  0.649022  0.201159  [0.012617195956408978, 0.0072081913240253925, -0.011461339890956879]
  3  Ga    0.743593  0.150529  0.723617  [-0.00043961487244814634, -0.0036697667092084885, -0.004490563180297613]
  4  Ga    0.743476  0.151961  0.201256  [-0.006244596093893051, -0.02292187139391899, -0.015050648711621761]
  5  Ga    0.247288  0.647488  0.723592  [-0.0070464336313307285, 0.00691375695168972, -0.003189715789631009]
  6  Ga    0.242751  0.147069  0.584718  [0.0002713266294449568, 0.003346115117892623, -0.01691487431526184]
  7  Ga    0.242358  0.148471  0.346098  [0.01039334386587143, -0.003689203877002001, 0.04072581231594086]
  8  Ga    0.746991  0.650545  0.881128  [-0.009917504154145718, -0.0010868869721889496, 0.0030387714505195618]
  9  Co    0.742503  0.651607  0.103942  [0.0009442635346204042, 0.0070246863178908825, 0.018692433834075928]","Pr2Ga7Co","('Co', 'Ga', 'Pr')","0.02360017736280248","3","# generated using pymatgen
data_Pr2Ga7Co
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34539729
_cell_length_b   4.34513369
_cell_length_c   10.37316946
_cell_angle_alpha   89.97505679
_cell_angle_beta   89.91198301
_cell_angle_gamma   89.98447283
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2Ga7Co
_chemical_formula_sum   'Pr2 Ga7 Co1'
_cell_volume   195.85900124
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.24571569  0.14984837  0.96896689  1
  Pr  Pr1  1  0.74206306  0.64816118  0.45363777  1
  Ga  Ga2  1  0.24189265  0.64902249  0.20115882  1
  Ga  Ga3  1  0.74359287  0.15052861  0.72361687  1
  Ga  Ga4  1  0.74347646  0.15196066  0.20125567  1
  Ga  Ga5  1  0.24728822  0.64748843  0.72359155  1
  Ga  Ga6  1  0.24275146  0.14706867  0.58471825  1
  Ga  Ga7  1  0.24235827  0.14847125  0.34609776  1
  Ga  Ga8  1  0.74699128  0.65054530  0.88112846  1
  Co  Co9  1  0.74250265  0.65160662  0.10394213  1
"
"Full Formula (Pr2 Co2 Ru2)
Reduced Formula: PrCoRu
abc   :   5.405905   5.191876   5.362087
angles: 118.976819 120.277496  89.987631
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Pr    0.650267  0.098767  0.19939   [0.00798007845878601, 0.007710267789661884, -0.0010851486586034298]
  1  Pr    0.903373  0.852025  0.705002  [-0.0013231481425464153, -0.005104726180434227, 0.0021051056683063507]
  2  Co    0.277932  0.470271  0.944201  [0.006773799657821655, 0.021544940769672394, 0.009072219021618366]
  3  Co    0.77025   0.473304  0.946159  [0.010209446772933006, -0.0008605706971138716, 0.019299518316984177]
  4  Ru    0.281102  0.474389  0.458567  [-0.03353253751993179, -0.015400903299450874, -0.02434258908033371]
  5  Ru    0.274384  0.968088  0.448719  [0.009892350062727928, -0.0078890360891819, -0.005049114115536213]","PrCoRu","('Co', 'Pr', 'Ru')","0.0","3","# generated using pymatgen
data_PrCoRu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.40590502
_cell_length_b   5.19187596
_cell_length_c   5.36208724
_cell_angle_alpha   118.97681897
_cell_angle_beta   120.27749558
_cell_angle_gamma   89.98763146
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrCoRu
_chemical_formula_sum   'Pr2 Co2 Ru2'
_cell_volume   107.60263103
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.65026721  0.09876714  0.19938960  1
  Pr  Pr1  1  0.90337317  0.85202457  0.70500186  1
  Co  Co2  1  0.27793177  0.47027100  0.94420142  1
  Co  Co3  1  0.77024952  0.47330379  0.94615903  1
  Ru  Ru4  1  0.28110245  0.47438931  0.45856720  1
  Ru  Ru5  1  0.27438435  0.96808842  0.44871938  1
"
"Full Formula (Ta3 S1 Br7)
Reduced Formula: Ta3SBr7
abc   :   7.177643   7.171577   7.188108
angles:  93.398637 105.216925  59.955561
pbc   :       True       True       True
Sites (11)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ----------------------------------------------------------------------
  0  Ta     0.327293  0.742964  1.0327    [-0.008598625659942627, -0.02547702193260193, -0.027246400713920593]
  1  Ta     0.728005  0.339814  1.03049   [0.003941938281059265, 0.019334018230438232, 0.028575807809829712]
  2  Ta     0.729108  0.741373  1.03305   [0.003542184829711914, 0.001101762056350708, 0.012275204062461853]
  3  S      0.515749  0.633949  0.779786  [-0.011836506426334381, -0.0027890056371688843, -0.013319134712219238]
  4  Br     0.003988  0.415968  0.282068  [0.029601573944091797, 0.0024679601192474365, 0.027048707008361816]
  5  Br     0.504277  0.417038  0.278996  [0.014991939067840576, -0.04411053657531738, 0.009258687496185303]
  6  Br     0.507131  0.91665   0.283489  [-0.002473995089530945, -0.015913456678390503, -0.0291404128074646]
  7  Br     0.035071  0.621668  0.830465  [-0.010306216776371002, 0.03099200874567032, -0.035470716655254364]
  8  Br    -0.008273  0.922661  0.235425  [-0.019534703344106674, -0.019815117120742798, -0.04612350091338158]
  9  Br     1.03071   0.127036  0.823302  [-0.00813433900475502, 0.03141620010137558, 0.03881622105836868]
 10  Br     0.529083  0.126943  0.824647  [0.008806811645627022, 0.02279312163591385, 0.03532551974058151]","Ta3SBr7","('Br', 'S', 'Ta')","0.0","3","# generated using pymatgen
data_Ta3SBr7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.17764342
_cell_length_b   7.17157696
_cell_length_c   7.18810770
_cell_angle_alpha   93.39863711
_cell_angle_beta   105.21692526
_cell_angle_gamma   59.95556141
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ta3SBr7
_chemical_formula_sum   'Ta3 S1 Br7'
_cell_volume   307.90845094
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.32729317  0.74296387  1.03270493  1
  Ta  Ta1  1  0.72800516  0.33981412  1.03049073  1
  Ta  Ta2  1  0.72910753  0.74137310  1.03305064  1
  S  S3  1  0.51574899  0.63394879  0.77978587  1
  Br  Br4  1  0.00398785  0.41596758  0.28206823  1
  Br  Br5  1  0.50427712  0.41703850  0.27899567  1
  Br  Br6  1  0.50713091  0.91664952  0.28348930  1
  Br  Br7  1  0.03507076  0.62166845  0.83046518  1
  Br  Br8  1  -0.00827253  0.92266145  0.23542518  1
  Br  Br9  1  1.03070729  0.12703610  0.82330171  1
  Br  Br10  1  0.52908288  0.12694334  0.82464720  1
"
"Full Formula (K3 Na1 Mn1 Cl6)
Reduced Formula: K3NaMnCl6
abc   :   7.428888   7.781118   7.909609
angles:  98.382911 104.080785 121.265184
pbc   :       True       True       True
Sites (11)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  K     0.791375  0.486584  0.348089  [0.03846580162644386, 0.013342456892132759, -0.03063015639781952]
  1  K     0.216135  0.209837  0.467609  [0.009530249983072281, -0.01745767891407013, -0.019168399274349213]
  2  K     0.729736  0.987536  0.891437  [0.017711810767650604, 0.00625649094581604, 0.004833559971302748]
  3  Na    0.042595  0.602717  0.875468  [-0.012427262961864471, 0.020725052803754807, -0.027724390849471092]
  4  Mn    0.480206  0.864541  0.345854  [0.00036663562059402466, -0.00463000126183033, 0.02219390869140625]
  5  Cl    0.136265  0.468495  0.16849   [-0.045066360384225845, -0.0009859651327133179, 0.0070448145270347595]
  6  Cl    0.720506  0.8109    0.221162  [-0.024479083716869354, -0.04123227298259735, 0.02935492992401123]
  7  Cl    0.692323  0.601603  0.690053  [-0.0080229751765728, 0.012322049587965012, -0.03789646178483963]
  8  Cl    0.855129  0.215225  0.594396  [0.017000608146190643, 0.0038597360253334045, -0.0082388985902071]
  9  Cl    0.364565  0.014966  0.131088  [-0.009119600057601929, 0.002411291003227234, 0.03024248778820038]
 10  Cl    0.301256  0.861946  0.567835  [0.016040191054344177, 0.0053888000547885895, 0.0299886092543602]","K3NaMnCl6","('Cl', 'K', 'Mn', 'Na')","0.22979426347307483","3","# generated using pymatgen
data_K3NaMnCl6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.42888831
_cell_length_b   7.78111809
_cell_length_c   7.90960935
_cell_angle_alpha   98.38291129
_cell_angle_beta   104.08078467
_cell_angle_gamma   121.26518381
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K3NaMnCl6
_chemical_formula_sum   'K3 Na1 Mn1 Cl6'
_cell_volume   358.08423855
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.79137468  0.48658422  0.34808913  1
  K  K1  1  0.21613526  0.20983720  0.46760935  1
  K  K2  1  0.72973610  0.98753584  0.89143666  1
  Na  Na3  1  0.04259491  0.60271686  0.87546837  1
  Mn  Mn4  1  0.48020641  0.86454074  0.34585379  1
  Cl  Cl5  1  0.13626474  0.46849463  0.16849042  1
  Cl  Cl6  1  0.72050592  0.81090024  0.22116193  1
  Cl  Cl7  1  0.69232339  0.60160347  0.69005318  1
  Cl  Cl8  1  0.85512865  0.21522531  0.59439616  1
  Cl  Cl9  1  0.36456461  0.01496552  0.13108770  1
  Cl  Cl10  1  0.30125611  0.86194577  0.56783549  1
"
"Full Formula (Zr4 Al4 Zn4)
Reduced Formula: ZrAlZn
abc   :   5.287440   5.320345   8.650001
angles:  90.013915  89.984895 120.172525
pbc   :       True       True       True
Sites (12)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Zr    0.815469  0.434027  -0.022065  [0.005296448711305857, 0.00043101818300783634, 0.0077340081334114075]
  1  Zr    0.481183  0.763884   0.844654  [-0.009379198774695396, 0.01290159858763218, -0.008522246032953262]
  2  Zr    0.481411  0.76563    0.478503  [-0.004937647841870785, -0.0007878784090280533, 8.190050721168518e-05]
  3  Zr    0.815786  0.434774   0.344925  [-0.0006323922425508499, -0.002207722282037139, -0.01172717660665512]
  4  Al    0.149269  0.111456   0.911434  [-0.014668997377157211, 0.00784272700548172, -0.008398517034947872]
  5  Al    0.146678  0.113746   0.412535  [0.01728806458413601, -0.003631994128227234, -0.04148389771580696]
  6  Al    0.971989  0.745104   0.660639  [-0.0036346400156617165, 0.029056906700134277, 0.013937510550022125]
  7  Al    0.326811  0.93087    0.160744  [-0.0027316585183143616, -0.023127365857362747, 0.027426008135080338]
  8  Zn    0.803823  0.924643   0.160961  [0.013576574623584747, 0.011131629347801208, 0.01071158330887556]
  9  Zn    0.492861  0.26546    0.661166  [-0.01832132786512375, 0.007030211389064789, 0.002796347253024578]
 10  Zn    0.973121  0.26825    0.662388  [0.0030087530612945557, -0.007463909685611725, -0.007342190947383642]
 11  Zn    0.322313  0.449959   0.160839  [0.015135984867811203, -0.031175263226032257, 0.014786767773330212]","ZrAlZn","('Al', 'Zn', 'Zr')","0.07716934277851976","4","# generated using pymatgen
data_ZrAlZn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.28743963
_cell_length_b   5.32034455
_cell_length_c   8.65000062
_cell_angle_alpha   90.01391475
_cell_angle_beta   89.98489480
_cell_angle_gamma   120.17252459
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrAlZn
_chemical_formula_sum   'Zr4 Al4 Zn4'
_cell_volume   210.36539235
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.81546853  0.43402729  -0.02206526  1
  Zr  Zr1  1  0.48118288  0.76388354  0.84465357  1
  Zr  Zr2  1  0.48141052  0.76563006  0.47850345  1
  Zr  Zr3  1  0.81578574  0.43477438  0.34492474  1
  Al  Al4  1  0.14926906  0.11145584  0.91143434  1
  Al  Al5  1  0.14667784  0.11374595  0.41253463  1
  Al  Al6  1  0.97198932  0.74510419  0.66063911  1
  Al  Al7  1  0.32681135  0.93087021  0.16074392  1
  Zn  Zn8  1  0.80382269  0.92464349  0.16096051  1
  Zn  Zn9  1  0.49286087  0.26545996  0.66116646  1
  Zn  Zn10  1  0.97312138  0.26825009  0.66238816  1
  Zn  Zn11  1  0.32231253  0.44995945  0.16083922  1
"
