cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,9,4,9,0,0,1.5000,451,0.3146,0.0000,0.0832,0.0554,846.04
1,7,4,4,3,0,1.5000,453,0.3154,0.0000,0.0826,0.0551,256.95
2,2,1,1,1,0,1.5000,454,0.2995,0.0000,0.0836,0.0559,149.23
3,4,2,2,2,0,1.5000,455,0.1537,0.0000,0.0818,0.0549,169.81
4,6,3,3,3,0,1.5000,457,0.2296,0.0000,0.0820,0.0548,219.86
5,9,4,4,5,0,1.5000,457,nan,0.0000,0.0820,0.0548,325.20
6,4,2,2,2,0,1.5000,457,nan,0.0001,0.0820,0.0548,185.91
7,3,2,2,1,0,1.5000,458,0.4810,0.0001,0.0828,0.0549,190.99
8,9,4,4,5,0,1.5000,460,0.2217,0.0001,0.0819,0.0545,311.30
9,9,4,4,5,0,1.5000,462,0.2622,0.0001,0.0829,0.0550,568.93
10,8,4,4,4,0,1.5000,464,0.2833,0.0001,0.0842,0.0561,399.87
11,5,3,3,2,0,1.5000,465,0.1361,0.0001,0.0832,0.0551,317.23
12,7,4,4,3,0,1.5000,466,0.4127,0.0001,0.0809,0.0528,419.94
13,8,4,4,4,0,1.5000,468,0.2968,0.0001,0.0805,0.0544,354.51
14,6,3,3,3,0,1.5000,469,0.2568,0.0001,0.0809,0.0539,217.47
15,4,2,2,2,0,1.5000,470,0.2248,0.0001,0.0816,0.0531,248.71
16,7,4,4,3,0,1.5000,472,0.5583,0.0001,0.0812,0.0535,359.08
17,4,2,2,2,0,1.5000,473,0.6022,0.0002,0.0808,0.0538,636.93
18,10,4,4,6,0,1.5000,475,0.3009,0.0002,0.0790,0.0537,439.93
19,9,4,4,5,0,1.5000,477,0.2307,0.0002,0.0808,0.0535,427.57
