"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Nd4 Sn3 Pd5)
Reduced Formula: Nd4Sn3Pd5
abc   :   4.621514   7.441965   8.177634
angles:  87.795995  89.997457  89.997400
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Nd    0.197598  0.822205  0.625062  [3.4703873097896576e-05, -0.01112954318523407, 0.013223417103290558]
  1  Nd    0.697646  0.280123  0.160222  [-0.0003001868026331067, 0.011528372764587402, 0.007653685286641121]
  2  Pd    0.197505  0.569249  0.037701  [0.0002677738666534424, -0.004682913422584534, -0.014509446918964386]
  3  Pd    0.197667  0.09304   0.342966  [-0.0004969873698428273, 0.019736528396606445, 0.01189955323934555]
  4  Pd    0.697625  0.11454   0.531445  [0.000475423876196146, -0.04688436910510063, 0.009680747985839844]
  5  Sn    0.697522  0.602711  0.859821  [0.00022912185522727668, -0.010905809700489044, -0.0025850534439086914]
  6  Nd    0.697603  0.798004  0.229887  [-0.00021154223941266537, 0.014843333512544632, 0.0029770731925964355]
  7  Pd    0.197603  1.00595   1.02104   [-0.0003877701237797737, 0.02815660461783409, 0.0020159929990768433]
  8  Pd    0.697553  0.527237  0.532167  [0.0003105002106167376, -0.012884683907032013, -0.009087160229682922]
  9  Sn    0.197584  0.480757  0.363907  [-0.00021987489890307188, 0.026895850896835327, -0.014029953628778458]
 10  Nd    0.197544  0.305508  0.733378  [0.00034344359301030636, -0.009237170219421387, -0.019783951342105865]
 11  Sn    0.697603  0.004304  0.851854  [-4.459172487258911e-05, -0.005436265841126442, 0.012545101344585419]","Nd4Sn3Pd5","('Nd', 'Pd', 'Sn')","0.0","0.0","# generated using pymatgen
data_Nd4Sn3Pd5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.62151450
_cell_length_b   7.44196545
_cell_length_c   8.17763403
_cell_angle_alpha   87.79599464
_cell_angle_beta   89.99745706
_cell_angle_gamma   89.99739953
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd4Sn3Pd5
_chemical_formula_sum   'Nd4 Sn3 Pd5'
_cell_volume   281.04653972
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.19759764  0.82220546  0.62506157  1
  Nd  Nd1  1  0.69764599  0.28012282  0.16022201  1
  Pd  Pd2  1  0.19750460  0.56924946  0.03770083  1
  Pd  Pd3  1  0.19766668  0.09303997  0.34296634  1
  Pd  Pd4  1  0.69762511  0.11454040  0.53144546  1
  Sn  Sn5  1  0.69752154  0.60271148  0.85982059  1
  Nd  Nd6  1  0.69760340  0.79800447  0.22988705  1
  Pd  Pd7  1  0.19760280  1.00595167  1.02104103  1
  Pd  Pd8  1  0.69755290  0.52723676  0.53216747  1
  Sn  Sn9  1  0.19758371  0.48075669  0.36390672  1
  Nd  Nd10  1  0.19754396  0.30550831  0.73337782  1
  Sn  Sn11  1  0.69760347  0.00430387  0.85185384  1
"
"Full Formula (Sm1 Dy1 In3)
Reduced Formula: SmDyIn3
abc   :   3.553146   4.827994   8.161957
angles: 107.258168  90.212723  90.003644
pbc   :       True       True       True
Sites (5)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Dy    0.54816   0.77315    0.335672  [-0.011440214700996876, -0.0005960159469395876, 0.01935688778758049]
  1  In    0.037043  0.388478   0.566707  [0.04428080469369888, -0.0028940988704562187, -0.021511420607566833]
  2  Sm    0.544674  1.00531    0.80015   [-0.0037272144109010696, 0.0005288887768983841, -0.002631865441799164]
  3  In    0.048335  0.589671  -0.031415  [-0.012291278690099716, -0.009261373430490494, 0.012744955718517303]
  4  In    1.04989   0.193019   0.176524  [-0.016822095960378647, 0.012222649529576302, -0.007958564907312393]","SmDyIn3","('Dy', 'In', 'Sm')","0.0","0.0","# generated using pymatgen
data_SmDyIn3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.55314556
_cell_length_b   4.82799434
_cell_length_c   8.16195676
_cell_angle_alpha   107.25816760
_cell_angle_beta   90.21272274
_cell_angle_gamma   90.00364382
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SmDyIn3
_chemical_formula_sum   'Sm1 Dy1 In3'
_cell_volume   133.71001513
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.54815978  0.77314953  0.33567158  1
  In  In1  1  0.03704265  0.38847801  0.56670726  1
  Sm  Sm2  1  0.54467381  1.00530604  0.80014983  1
  In  In3  1  0.04833506  0.58967073  -0.03141489  1
  In  In4  1  1.04989002  0.19301947  0.17652440  1
"
"Full Formula (Yb1 Dy1 Sn1 Au1)
Reduced Formula: YbDySnAu
abc   :   5.188536   5.197029   5.343070
angles:  60.834165  60.937096  59.425292
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Yb    0.314848  0.832005  0.116188  [0.0013336818665266037, 0.005234533920884132, -0.0052672214806079865]
  1  Dy    0.825413  0.34259   0.590434  [0.011412739753723145, -0.004101894795894623, 0.007739327847957611]
  2  Au    0.551219  0.064933  0.43248   [-0.037200577557086945, -0.014882114715874195, -0.00928792729973793]
  3  Sn    0.07063   0.588252  0.848341  [0.02445414289832115, 0.013749465346336365, 0.006815832108259201]","YbDySnAu","('Au', 'Dy', 'Sn', 'Yb')","0.0","0.0","# generated using pymatgen
data_YbDySnAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.18853589
_cell_length_b   5.19702947
_cell_length_c   5.34307036
_cell_angle_alpha   60.83416495
_cell_angle_beta   60.93709604
_cell_angle_gamma   59.42529239
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbDySnAu
_chemical_formula_sum   'Yb1 Dy1 Sn1 Au1'
_cell_volume   102.75213034
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.31484759  0.83200501  0.11618832  1
  Dy  Dy1  1  0.82541317  0.34258991  0.59043372  1
  Au  Au2  1  0.55121865  0.06493287  0.43248014  1
  Sn  Sn3  1  0.07063008  0.58825223  0.84834071  1
"
"Full Formula (K3 Sm1 Cl6)
Reduced Formula: K3SmCl6
abc   :   8.078741   8.176228   8.172206
angles:  57.197151  55.631935  56.751242
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Cl    0.699547  0.284119   0.659275  [-0.045418791472911835, -0.002551879733800888, 0.01926589012145996]
  1  Cl    0.32384   0.864643   0.447792  [-0.001947689801454544, 0.006348371505737305, -0.003383111208677292]
  2  K     0.078262  0.025415   0.839963  [0.0019375737756490707, 0.0035564200952649117, -0.0005698772147297859]
  3  K     0.344289  0.317496   0.142554  [0.034897737205028534, -0.0034336280077695847, -0.030107218772172928]
  4  Cl    0.765619  0.176818   0.223887  [0.005786270834505558, 0.002120722085237503, 0.00571612361818552]
  5  K     0.860611  0.836746   0.626981  [0.005998522043228149, -0.007918018847703934, 0.004244651645421982]
  6  Cl    0.915098  0.643348   0.069     [-0.0112985260784626, -0.005939435213804245, 0.018145259469747543]
  7  Cl    0.214143  0.415805   0.550091  [0.005951854400336742, 0.0027129435911774635, -0.014161652885377407]
  8  Sm    0.56953   0.522201   0.331484  [-0.006528057157993317, 0.0015082992613315582, 0.004434168338775635]
  9  Cl    0.454055  0.720355  -0.005867  [0.010621096938848495, 0.003596232272684574, -0.0035841967910528183]","K3SmCl6","('Cl', 'K', 'Sm')","0.14471835317659476","0.0","# generated using pymatgen
data_K3SmCl6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.07874149
_cell_length_b   8.17622814
_cell_length_c   8.17220623
_cell_angle_alpha   57.19715134
_cell_angle_beta   55.63193466
_cell_angle_gamma   56.75124241
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K3SmCl6
_chemical_formula_sum   'K3 Sm1 Cl6'
_cell_volume   350.90659154
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cl  Cl0  1  0.69954725  0.28411932  0.65927495  1
  Cl  Cl1  1  0.32383989  0.86464315  0.44779239  1
  K  K2  1  0.07826202  0.02541516  0.83996335  1
  K  K3  1  0.34428895  0.31749643  0.14255352  1
  Cl  Cl4  1  0.76561850  0.17681773  0.22388746  1
  K  K5  1  0.86061110  0.83674631  0.62698144  1
  Cl  Cl6  1  0.91509787  0.64334785  0.06899986  1
  Cl  Cl7  1  0.21414276  0.41580457  0.55009112  1
  Sm  Sm8  1  0.56952966  0.52220080  0.33148435  1
  Cl  Cl9  1  0.45405510  0.72035481  -0.00586667  1
"
"Full Formula (Pr2 Mn2 Sb4)
Reduced Formula: PrMnSb2
abc   :   4.363815   4.366179  11.142253
angles:  78.792529 101.315570  89.984892
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Sb    0.792161  0.899392  0.833005  [-0.02207767218351364, 0.033558376133441925, 0.025633234530687332]
  1  Sb    0.610882  0.584591  0.488874  [0.030836306512355804, -0.011574654839932919, 0.0028475672006607056]
  2  Pr    0.167175  0.030958  0.595531  [-0.009474897757172585, -0.02612542361021042, -0.028343312442302704]
  3  Sb    0.295914  0.40182   0.8344    [-0.04053134471178055, 0.026065703481435776, -0.013261753134429455]
  4  Mn    0.534467  0.16169   0.333261  [0.012374072335660458, -0.005321853794157505, 0.011129596270620823]
  5  Sb    0.957376  0.237484  0.178008  [-0.00950284581631422, 0.021208856254816055, -0.030825279653072357]
  6  Mn    0.032047  0.66315   0.332798  [0.021830381825566292, -0.03982360661029816, 0.025708232074975967]
  7  Pr    0.404811  0.788588  0.071922  [0.016546018421649933, 0.002012617653235793, 0.007111715152859688]","PrMnSb2","('Mn', 'Pr', 'Sb')","0.0","0.0","# generated using pymatgen
data_PrMnSb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36381485
_cell_length_b   4.36617886
_cell_length_c   11.14225256
_cell_angle_alpha   78.79252910
_cell_angle_beta   101.31556989
_cell_angle_gamma   89.98489191
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrMnSb2
_chemical_formula_sum   'Pr2 Mn2 Sb4'
_cell_volume   204.03618193
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.79216116  0.89939190  0.83300462  1
  Sb  Sb1  1  0.61088153  0.58459106  0.48887372  1
  Pr  Pr2  1  0.16717474  0.03095790  0.59553081  1
  Sb  Sb3  1  0.29591439  0.40181998  0.83439988  1
  Mn  Mn4  1  0.53446655  0.16169000  0.33326068  1
  Sb  Sb5  1  0.95737579  0.23748391  0.17800773  1
  Mn  Mn6  1  0.03204713  0.66315020  0.33279850  1
  Pr  Pr7  1  0.40481114  0.78858787  0.07192219  1
"
"Full Formula (Li5 Ca1 Mg2)
Reduced Formula: Li5CaMg2
abc   :   3.238677   4.649432  12.717216
angles:  90.041246 105.348316  90.102341
pbc   :       True       True       True
Sites (8)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Li    0.465925   0.930591  0.2068    [-0.03590422868728638, 0.0019220700487494469, -0.0022934763692319393]
  1  Ca    0.649052   0.432617  0.593711  [0.015041627921164036, 0.000366880907677114, 0.010587271302938461]
  2  Li    0.031448   0.929061  0.432545  [-0.03368419408798218, 0.008607307448983192, -0.018982257694005966]
  3  Li    0.089477   0.936329  0.980352  [0.03499256446957588, -0.00988096371293068, 0.0005423007532954216]
  4  Li    0.849174   0.436057  0.85846   [0.05352634936571121, -0.0022200013045221567, 0.008780218660831451]
  5  Mg    0.289785  -0.065271  0.756897  [0.04135250672698021, -0.0017418526113033295, 0.009967677295207977]
  6  Mg    0.739381   0.433169  0.091939  [-0.0213912483304739, 0.0004796136636286974, -0.0009686918929219246]
  7  Li    0.389682   0.429083  0.322211  [-0.05393334478139877, 0.0024669591803103685, -0.007633058354258537]","Li5CaMg2","('Ca', 'Li', 'Mg')","0.723321528673405","1.0","# generated using pymatgen
data_Li5CaMg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.23867712
_cell_length_b   4.64943192
_cell_length_c   12.71721559
_cell_angle_alpha   90.04124581
_cell_angle_beta   105.34831585
_cell_angle_gamma   90.10234073
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li5CaMg2
_chemical_formula_sum   'Li5 Ca1 Mg2'
_cell_volume   184.66572114
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.46592492  0.93059094  0.20680019  1
  Ca  Ca1  1  0.64905221  0.43261692  0.59371088  1
  Li  Li2  1  0.03144757  0.92906101  0.43254531  1
  Li  Li3  1  0.08947707  0.93632935  0.98035192  1
  Li  Li4  1  0.84917367  0.43605714  0.85845993  1
  Mg  Mg5  1  0.28978490  -0.06527100  0.75689701  1
  Mg  Mg6  1  0.73938106  0.43316943  0.09193875  1
  Li  Li7  1  0.38968185  0.42908345  0.32221058  1
"
"Full Formula (Gd1 Y1 Co1 Ir1)
Reduced Formula: GdYCoIr
abc   :   4.835707   4.834633   4.842115
angles:  59.989161  59.961476  60.086061
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Y     0.520958  0.655617  0.005926  [0.005857512354850769, 0.0027007348835468292, -0.006620710715651512]
  1  Co    0.271919  0.406414  0.751541  [-0.011478428728878498, -0.007841373793780804, 0.039287127554416656]
  2  Ir    0.770875  0.905501  0.25678   [0.005323705729097128, 0.0036536736879497766, -0.01868848316371441]
  3  Gd    0.021082  0.155639  0.506132  [0.0002972291549667716, 0.0014869659207761288, -0.013977952301502228]","GdYCoIr","('Co', 'Gd', 'Ir', 'Y')","0.0","2.0","# generated using pymatgen
data_GdYCoIr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.83570661
_cell_length_b   4.83463324
_cell_length_c   4.84211506
_cell_angle_alpha   59.98916143
_cell_angle_beta   59.96147616
_cell_angle_gamma   60.08606110
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdYCoIr
_chemical_formula_sum   'Gd1 Y1 Co1 Ir1'
_cell_volume   80.06871854
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.52095798  0.65561674  0.00592620  1
  Co  Co1  1  0.27191913  0.40641365  0.75154086  1
  Ir  Ir2  1  0.77087457  0.90550067  0.25678027  1
  Gd  Gd3  1  0.02108230  0.15563921  0.50613223  1
"
"Full Formula (Sr3 Sb5 Pt4)
Reduced Formula: Sr3Sb5Pt4
abc   :   4.694755   7.316133  10.274334
angles:  75.683903  90.013463  89.929226
pbc   :       True       True       True
Sites (12)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Sr    0.061112  -0.145025  0.820045  [0.004718346055597067, -0.002174990251660347, -0.003423742949962616]
  1  Pt    0.561197   0.533252  0.970306  [0.005754544399678707, -0.023218587040901184, 0.005655952729284763]
  2  Pt    0.060919   0.974057  0.09765   [0.008189371787011623, -0.03875383734703064, 0.010917335748672485]
  3  Pt    0.563627   0.163699  0.613764  [-0.006511629559099674, 0.038443803787231445, -0.021271884441375732]
  4  Pt    1.0633     0.307352  0.712609  [-0.0036112964153289795, 0.010201995261013508, -0.002377450466156006]
  5  Sb    0.561519   0.790301  0.111718  [0.004784744698554277, -0.0497986376285553, 0.025371160358190536]
  6  Sb    0.562898   0.466815  0.728039  [-0.0017661163583397865, 0.020082592964172363, -0.006831854581832886]
  7  Sb    0.061682   0.338125  0.972516  [0.004870681092143059, -0.034449271857738495, 0.008024543523788452]
  8  Sr    0.063813   0.660113  0.377153  [-0.007440114393830299, 0.021102599799633026, 0.005805019289255142]
  9  Sr    0.562154   0.198767  0.232578  [0.0027533979155123234, -0.018647514283657074, 0.0012442320585250854]
 10  Sb    0.063497   0.179636  0.483142  [-0.006849023513495922, 0.04975960776209831, -0.021637260913848877]
 11  Sb    0.563673   0.839625  0.537387  [-0.00489286333322525, 0.027452141046524048, -0.0014761090278625488]","Sr3Sb5Pt4","('Pt', 'Sb', 'Sr')","0.0","2.0","# generated using pymatgen
data_Sr3Sb5Pt4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.69475501
_cell_length_b   7.31613326
_cell_length_c   10.27433358
_cell_angle_alpha   75.68390276
_cell_angle_beta   90.01346270
_cell_angle_gamma   89.92922627
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sr3Sb5Pt4
_chemical_formula_sum   'Sr3 Sb5 Pt4'
_cell_volume   341.93811502
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.06111159  -0.14502495  0.82004476  1
  Pt  Pt1  1  0.56119723  0.53325192  0.97030565  1
  Pt  Pt2  1  0.06091853  0.97405658  0.09765048  1
  Pt  Pt3  1  0.56362738  0.16369887  0.61376375  1
  Pt  Pt4  1  1.06330354  0.30735164  0.71260886  1
  Sb  Sb5  1  0.56151857  0.79030062  0.11171844  1
  Sb  Sb6  1  0.56289843  0.46681498  0.72803908  1
  Sb  Sb7  1  0.06168171  0.33812529  0.97251556  1
  Sr  Sr8  1  0.06381285  0.66011272  0.37715319  1
  Sr  Sr9  1  0.56215423  0.19876659  0.23257825  1
  Sb  Sb10  1  0.06349702  0.17963569  0.48314245  1
  Sb  Sb11  1  0.56367310  0.83962517  0.53738727  1
"
"Full Formula (Gd1 Tm1 Ru2)
Reduced Formula: GdTmRu2
abc   :   4.795240   4.797072   4.800085
angles:  60.089845  60.082298  60.059814
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ru    0.370904  0.781448  0.884117  [0.011113631539046764, 0.008224206045269966, -0.02074015885591507]
  1  Tm    0.121581  0.532042  0.632626  [-0.012024292722344398, -0.007065268699079752, -0.010104519315063953]
  2  Gd    0.621157  0.031902  0.132447  [0.0063368091359734535, -0.0009412870276719332, 0.009541378356516361]
  3  Ru    0.871705  0.281992  0.381284  [-0.005426197312772274, -0.00021764449775218964, 0.021303316578269005]","GdTmRu2","('Gd', 'Ru', 'Tm')","0.0","3.0","# generated using pymatgen
data_GdTmRu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.79523964
_cell_length_b   4.79707163
_cell_length_c   4.80008483
_cell_angle_alpha   60.08984454
_cell_angle_beta   60.08229824
_cell_angle_gamma   60.05981394
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdTmRu2
_chemical_formula_sum   'Gd1 Tm1 Ru2'
_cell_volume   78.21330814
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ru  Ru0  1  0.37090400  0.78144756  0.88411708  1
  Tm  Tm1  1  0.12158111  0.53204167  0.63262622  1
  Gd  Gd2  1  0.62115738  0.03190159  0.13244726  1
  Ru  Ru3  1  0.87170532  0.28199192  0.38128417  1
"
"Full Formula (Ca1 Hf1 H5)
Reduced Formula: CaHfH5
abc   :   3.456480   3.454276   5.260240
angles:  90.191511  90.015637  90.068542
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  H     0.63734   0.096592  0.560532  [0.02125498652458191, -0.033455248922109604, -0.015257298946380615]
  1  H     0.639352  0.599024  0.783698  [0.017252402380108833, -0.015053000301122665, 0.01137608289718628]
  2  H     0.638894  0.093523  0.15075   [0.01684659719467163, 0.01605917513370514, 0.021902471780776978]
  3  Hf    0.641023  0.594026  0.378702  [-0.025266384705901146, 0.00011146068572998047, -0.0185537189245224]
  4  H     0.139976  0.596392  0.15256   [0.008227557875216007, -0.01071605458855629, -0.006083458662033081]
  5  Ca    0.141286  0.093606  0.860784  [-0.016190283000469208, -0.0028796354308724403, 0.008019402623176575]
  6  H     0.141317  0.581743  0.55929   [-0.022124849259853363, 0.04593334347009659, -0.0014033019542694092]","CaHfH5","('Ca', 'H', 'Hf')","0.06316833057609318","3.0","# generated using pymatgen
data_CaHfH5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.45647954
_cell_length_b   3.45427569
_cell_length_c   5.26024007
_cell_angle_alpha   90.19151130
_cell_angle_beta   90.01563655
_cell_angle_gamma   90.06854190
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaHfH5
_chemical_formula_sum   'Ca1 Hf1 H5'
_cell_volume   62.80493903
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  H  H0  1  0.63734026  0.09659176  0.56053174  1
  H  H1  1  0.63935190  0.59902425  0.78369811  1
  H  H2  1  0.63889427  0.09352263  0.15074991  1
  Hf  Hf3  1  0.64102332  0.59402557  0.37870198  1
  H  H4  1  0.13997642  0.59639181  0.15255954  1
  Ca  Ca5  1  0.14128609  0.09360552  0.86078358  1
  H  H6  1  0.14131746  0.58174320  0.55929025  1
"
