"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Li2 Yb2)
Reduced Formula: LiYb
abc   :   5.605444   5.605958   5.603664
angles:  59.935831  59.953908  59.932363
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Li    0.98261   0.830522  0.90256   [-0.013417328707873821, -0.004523276351392269, -0.007531429640948772]
  1  Li    0.481533  0.329244  0.406518  [-0.00506232026964426, 0.0017542496789246798, -0.026087459176778793]
  2  Yb    0.731163  0.580443  0.653665  [0.0011739588808268309, -0.010145329870283604, -0.0010696875397115946]
  3  Yb    0.230758  0.079031  0.152644  [0.017305690795183182, 0.012914353981614113, 0.03468858078122139]","LiYb","('Li', 'Yb')","0.008377701734864391","0.0","# generated using pymatgen
data_LiYb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.60544450
_cell_length_b   5.60595844
_cell_length_c   5.60366422
_cell_angle_alpha   59.93583106
_cell_angle_beta   59.95390752
_cell_angle_gamma   59.93236336
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiYb
_chemical_formula_sum   'Li2 Yb2'
_cell_volume   124.34619386
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.98261045  0.83052200  0.90256046  1
  Li  Li1  1  0.48153277  0.32924372  0.40651763  1
  Yb  Yb2  1  0.73116251  0.58044262  0.65366485  1
  Yb  Yb3  1  0.23075759  0.07903139  0.15264421  1
"
"Full Formula (Pr3 Ag1)
Reduced Formula: Pr3Ag
abc   :   3.773232   3.773980   9.023615
angles:  89.916766  89.850138  89.961448
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Pr    0.382894  0.780768  0.561465  [-0.007767515257000923, 0.006267413962632418, -0.01985761523246765]
  1  Pr    0.372097  0.773807  0.981867  [0.027666503563523293, 0.022597163915634155, 0.015769019722938538]
  2  Ag    0.877922  0.281033  0.768301  [-0.002857540501281619, -0.013925056904554367, 0.018134502694010735]
  3  Pr    0.884947  0.285355  0.274474  [-0.017041457816958427, -0.014939526095986366, -0.01404591090977192]","Pr3Ag","('Ag', 'Pr')","0.0","0.0","# generated using pymatgen
data_Pr3Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77323228
_cell_length_b   3.77397969
_cell_length_c   9.02361508
_cell_angle_alpha   89.91676560
_cell_angle_beta   89.85013798
_cell_angle_gamma   89.96144751
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr3Ag
_chemical_formula_sum   'Pr3 Ag1'
_cell_volume   128.49659528
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.38289375  0.78076830  0.56146533  1
  Pr  Pr1  1  0.37209725  0.77380655  0.98186676  1
  Ag  Ag2  1  0.87792151  0.28103265  0.76830050  1
  Pr  Pr3  1  0.88494736  0.28535511  0.27447383  1
"
"Full Formula (Mg1 Zn5)
Reduced Formula: MgZn5
abc   :   2.931938   2.935344  13.332285
angles:  83.603649  83.641556  59.932582
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Zn    0.614216  0.429629  0.034542  [0.004987236112356186, 0.0032823120709508657, 0.004094131290912628]
  1  Mg    0.732929  0.548     0.69435   [-0.0036850732285529375, 0.0064501091837882996, 0.014215008355677128]
  2  Zn    1.00063   0.819538  0.873914  [0.006414943374693394, -0.0021800764370709658, 0.0036711152642965317]
  3  Zn    0.126055  0.948994  0.514939  [-0.014914743602275848, -0.011562719941139221, 0.007401661016047001]
  4  Zn    0.230869  0.044897  0.194282  [-0.006653035059571266, 0.004398737568408251, 0.017495907843112946]
  5  Zn    0.507271  0.333095  0.354912  [0.013850660063326359, -0.0003883466124534607, -0.04687780514359474]","MgZn5","('Mg', 'Zn')","0.09535282540554554","0.0","# generated using pymatgen
data_MgZn5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.93193778
_cell_length_b   2.93534394
_cell_length_c   13.33228493
_cell_angle_alpha   83.60364925
_cell_angle_beta   83.64155564
_cell_angle_gamma   59.93258166
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgZn5
_chemical_formula_sum   'Mg1 Zn5'
_cell_volume   98.48133876
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.61421579  0.42962909  0.03454153  1
  Mg  Mg1  1  0.73292901  0.54799981  0.69434980  1
  Zn  Zn2  1  1.00062454  0.81953752  0.87391431  1
  Zn  Zn3  1  0.12605502  0.94899421  0.51493918  1
  Zn  Zn4  1  0.23086876  0.04489726  0.19428172  1
  Zn  Zn5  1  0.50727119  0.33309472  0.35491214  1
"
"Full Formula (Fe10 Re4)
Reduced Formula: Fe5Re2
abc   :   4.519576   6.239020   6.397203
angles:  88.317072  80.078709  71.970994
pbc   :       True       True       True
Sites (14)
  #  SP            a          b         c  forces
---  ----  ---------  ---------  --------  -----------------------------------------------------------------------
  0  Re     0.339205   0.636594  0.915337  [0.022755054756999016, 0.006656347773969173, 0.015518732368946075]
  1  Fe     0.045294   1.04643   0.085093  [-0.025705184787511826, -0.00477328896522522, -0.031390413641929626]
  2  Fe     0.301038  -0.013103  0.699146  [0.04267615079879761, 0.008147649466991425, -0.01316785253584385]
  3  Fe     0.728975   0.753528  0.115161  [0.012083811685442924, -0.0072535499930381775, 0.02274477109313011]
  4  Fe    -0.074063   0.404551  0.874508  [-0.0039003107231110334, -0.004780144430696964, -0.00312872976064682]
  5  Fe     0.601332   0.409967  0.224592  [-0.003719177097082138, 0.0020719487220048904, 0.008718371391296387]
  6  Re     0.857609   0.193251  0.526357  [-0.03125154972076416, -0.020307591184973717, 0.0006699785590171814]
  7  Fe     0.275671   0.409433  0.576713  [-0.011071465909481049, 0.009052090346813202, -0.010369539260864258]
  8  Re     0.153364   0.772296  0.363998  [0.0070186518132686615, 0.002173006534576416, 0.0026309266686439514]
  9  Re     0.52348    0.181928  0.927635  [-0.011806144379079342, 0.007787231355905533, -0.0007905811071395874]
 10  Fe     0.675108   0.628572  0.517864  [0.006586931645870209, -0.009556915611028671, 0.01896677166223526]
 11  Fe     0.48243    1.06107   0.336478  [-0.02699083834886551, 0.010933533310890198, -0.044032033532857895]
 12  Fe     0.865167   0.814175  0.746954  [0.03190907835960388, 9.874813258647919e-05, 0.03512280434370041]
 13  Fe     0.098816   0.405538  0.225595  [-0.008585095405578613, -0.0002490747720003128, -0.0014932677149772644]","Fe5Re2","('Fe', 'Re')","0.004604405107666639","1.0","# generated using pymatgen
data_Fe5Re2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.51957572
_cell_length_b   6.23902010
_cell_length_c   6.39720302
_cell_angle_alpha   88.31707167
_cell_angle_beta   80.07870884
_cell_angle_gamma   71.97099423
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe5Re2
_chemical_formula_sum   'Fe10 Re4'
_cell_volume   168.90914168
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Re  Re0  1  0.33920481  0.63659401  0.91533731  1
  Fe  Fe1  1  0.04529427  1.04643263  0.08509284  1
  Fe  Fe2  1  0.30103808  -0.01310282  0.69914620  1
  Fe  Fe3  1  0.72897547  0.75352824  0.11516068  1
  Fe  Fe4  1  -0.07406260  0.40455088  0.87450751  1
  Fe  Fe5  1  0.60133208  0.40996655  0.22459210  1
  Re  Re6  1  0.85760928  0.19325066  0.52635657  1
  Fe  Fe7  1  0.27567083  0.40943345  0.57671298  1
  Re  Re8  1  0.15336389  0.77229631  0.36399777  1
  Re  Re9  1  0.52347994  0.18192752  0.92763529  1
  Fe  Fe10  1  0.67510801  0.62857224  0.51786396  1
  Fe  Fe11  1  0.48242975  1.06106662  0.33647776  1
  Fe  Fe12  1  0.86516650  0.81417469  0.74695376  1
  Fe  Fe13  1  0.09881596  0.40553771  0.22559545  1
"
"Full Formula (Na2 Bi2 O6)
Reduced Formula: NaBiO3
abc   :   5.787126   5.787382   5.860822
angles:  60.481389  60.491237  60.031457
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Na    0.176596  0.698013  0.538593  [0.01316533237695694, 0.0007290393114089966, -0.04135902225971222]
  1  O     0.761964  0.648897  0.631097  [-0.003948122262954712, -0.0017476528882980347, 0.0005083382129669189]
  2  Bi    0.906452  0.42541   0.3498    [-0.0017714491114020348, -0.0009002313017845154, -0.002605491317808628]
  3  O     0.545721  0.280702  0.622297  [-0.0029999809339642525, -0.00141240656375885, 0.05183578282594681]
  4  Bi    0.406379  0.925447  0.849814  [-0.0016264216974377632, -0.0011132315266877413, -0.00256896298378706]
  5  O     0.26181   0.564583  0.122829  [-0.004321523010730743, 0.0003400389105081558, 0.04961444437503815]
  6  O     0.048087  0.146768  0.132552  [-0.007955953478813171, 0.006729550659656525, -0.005974954925477505]
  7  O     0.629962  0.781183  0.131007  [-0.0037057995796203613, -0.002948656678199768, 0.00036125630140304565]
  8  Na    0.678737  0.195942  1.03861   [0.007781364023685455, 0.009659968316555023, -0.040778353810310364]
  9  O     0.127335  0.066975  0.632984  [0.005382716655731201, -0.009336458519101143, -0.009033095091581345]","NaBiO3","('Bi', 'Na', 'O')","0.0738641259413967","1.0","# generated using pymatgen
data_NaBiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.78712592
_cell_length_b   5.78738228
_cell_length_c   5.86082232
_cell_angle_alpha   60.48138945
_cell_angle_beta   60.49123694
_cell_angle_gamma   60.03145746
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaBiO3
_chemical_formula_sum   'Na2 Bi2 O6'
_cell_volume   139.84495818
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.17659580  0.69801271  0.53859334  1
  O  O1  1  0.76196372  0.64889658  0.63109711  1
  Bi  Bi2  1  0.90645250  0.42541040  0.34980016  1
  O  O3  1  0.54572050  0.28070214  0.62229749  1
  Bi  Bi4  1  0.40637885  0.92544726  0.84981396  1
  O  O5  1  0.26181040  0.56458333  0.12282948  1
  O  O6  1  0.04808693  0.14676819  0.13255240  1
  O  O7  1  0.62996209  0.78118295  0.13100717  1
  Na  Na8  1  0.67873714  0.19594242  1.03860939  1
  O  O9  1  0.12733499  0.06697475  0.63298358  1
"
"Full Formula (Dy1 In1 Ni4)
Reduced Formula: DyInNi4
abc   :   7.001803   4.977085   4.975682
angles:  47.650921  44.927870  61.571511
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Dy    1.06046   0.486518  0.208707  [-0.005386456847190857, -0.015186559408903122, -0.0065161846578121185]
  1  Ni    0.31369   0.775527  0.24474   [0.0008749775588512421, 0.008427235297858715, 0.02090606838464737]
  2  In    0.561342  1.06125   0.284284  [-0.009382359683513641, 0.011925499886274338, -0.0001082736998796463]
  3  Ni    0.559517  0.348804  0.572526  [-0.0007883235812187195, -0.022753827273845673, -0.017706871032714844]
  4  Ni    0.061389  0.197035  0.918316  [-0.018133744597434998, -0.020727165043354034, -0.007363930344581604]
  5  Ni    0.804796  0.772947  0.752939  [0.032815948128700256, 0.03831476345658302, 0.01078932173550129]","DyInNi4","('Dy', 'In', 'Ni')","0.018041890998623078","1.0","# generated using pymatgen
data_DyInNi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.00180326
_cell_length_b   4.97708542
_cell_length_c   4.97568154
_cell_angle_alpha   47.65092126
_cell_angle_beta   44.92787041
_cell_angle_gamma   61.57151073
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyInNi4
_chemical_formula_sum   'Dy1 In1 Ni4'
_cell_volume   90.50048517
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  1.06045988  0.48651785  0.20870701  1
  Ni  Ni1  1  0.31368992  0.77552668  0.24473971  1
  In  In2  1  0.56134221  1.06124967  0.28428379  1
  Ni  Ni3  1  0.55951693  0.34880379  0.57252619  1
  Ni  Ni4  1  0.06138852  0.19703528  0.91831562  1
  Ni  Ni5  1  0.80479637  0.77294688  0.75293946  1
"
"Full Formula (Li2 Ag2 O4)
Reduced Formula: LiAgO2
abc   :   2.937009   5.997531   6.349163
angles:  90.507110 117.440142  90.453302
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Li    0.613189  0.359242  0.279499  [0.05974597483873367, -0.014341302216053009, 0.031122367829084396]
  1  Ag    0.11943   0.291816  0.772058  [0.012370683252811432, -0.013388603925704956, 0.017773807048797607]
  2  Li    0.900055  0.71636   1.04418   [-0.003447422757744789, 0.00899200513958931, -0.01182406023144722]
  3  O     0.166692  0.829058  0.803766  [-0.03189697861671448, 0.030329912900924683, -0.032903850078582764]
  4  O     0.370536  0.244824  0.522648  [0.004615262150764465, -0.026507258415222168, 0.020718038082122803]
  5  O     0.675724  0.702409  0.313689  [-0.02182479202747345, -0.005202174186706543, -0.0030135512351989746]
  6  O     0.859711  0.372422  1.0122    [0.013361364603042603, 0.005232453346252441, 0.002382040023803711]
  7  Ag    0.416947  0.782481  0.55395   [-0.032924409955739975, 0.01488468050956726, -0.024254776537418365]","LiAgO2","('Ag', 'Li', 'O')","0.17607952309696545","1.0","# generated using pymatgen
data_LiAgO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.93700928
_cell_length_b   5.99753076
_cell_length_c   6.34916295
_cell_angle_alpha   90.50710954
_cell_angle_beta   117.44014154
_cell_angle_gamma   90.45330194
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiAgO2
_chemical_formula_sum   'Li2 Ag2 O4'
_cell_volume   99.24358393
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.61318945  0.35924162  0.27949894  1
  Ag  Ag1  1  0.11942977  0.29181633  0.77205796  1
  Li  Li2  1  0.90005510  0.71636014  1.04418179  1
  O  O3  1  0.16669157  0.82905783  0.80376636  1
  O  O4  1  0.37053553  0.24482380  0.52264807  1
  O  O5  1  0.67572408  0.70240949  0.31368858  1
  O  O6  1  0.85971110  0.37242195  1.01220122  1
  Ag  Ag7  1  0.41694689  0.78248081  0.55395040  1
"
"Full Formula (Gd1 Tm1 Ga2)
Reduced Formula: GdTmGa2
abc   :   5.069640   5.040074   5.057201
angles:  60.197842  59.722486  60.048451
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Gd    0.630715  0.059571  0.014397  [-0.01931345835328102, -0.009996917098760605, -0.007794629782438278]
  1  Ga    0.880567  0.30737   0.262552  [-0.0027105510234832764, 0.018839024007320404, 0.028689514845609665]
  2  Ga    0.379879  0.809927  0.767783  [-0.0032278839498758316, -0.00566878542304039, -0.04374450445175171]
  3  Tm    0.128218  0.559278  0.514247  [0.02525189146399498, -0.003173310309648514, 0.022849619388580322]","GdTmGa2","('Ga', 'Gd', 'Tm')","0.0","2.0","# generated using pymatgen
data_GdTmGa2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06963952
_cell_length_b   5.04007418
_cell_length_c   5.05720076
_cell_angle_alpha   60.19784246
_cell_angle_beta   59.72248645
_cell_angle_gamma   60.04845119
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdTmGa2
_chemical_formula_sum   'Gd1 Tm1 Ga2'
_cell_volume   91.34633006
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.63071516  0.05957098  0.01439663  1
  Ga  Ga1  1  0.88056675  0.30737042  0.26255249  1
  Ga  Ga2  1  0.37987855  0.80992695  0.76778309  1
  Tm  Tm3  1  0.12821822  0.55927772  0.51424707  1
"
"Full Formula (Eu2 Mg3 Ta2 Cu1 O12)
Reduced Formula: Eu2Mg3Ta2CuO12
abc   :   5.395327   5.477740   8.655116
angles:  90.434351  89.601270 100.099575
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  O     0.785569  0.12773   0.230218  [0.0012766364961862564, 0.005785718560218811, -0.0005819797515869141]
  1  Mg    0.563558  0.515644  0.603645  [0.004719942808151245, -0.01439473032951355, 0.00036915019154548645]
  2  O     0.789664  0.774193  0.464306  [0.004765212535858154, -0.014445781707763672, -0.00842835009098053]
  3  Mg    0.585622  0.441128  0.957859  [-0.005533929914236069, 0.04768383875489235, 0.012377716600894928]
  4  Cu    0.571074  0.985113  0.069232  [-0.004915505647659302, 0.025371670722961426, -0.004872679710388184]
  5  O     0.826152  0.171389  0.929778  [-0.009297192096710205, 0.02681446075439453, 0.0014238953590393066]
  6  O     0.301653  0.863289  0.925352  [-0.009699523448944092, -0.005658254027366638, -0.00032910704612731934]
  7  O     0.317724  0.38712   0.783296  [-0.008310079574584961, 0.0059375762939453125, 0.005162835121154785]
  8  O     0.326628  0.776383  0.542403  [0.006216675043106079, -0.020291537046432495, -0.011584252119064331]
  9  O     0.266755  0.375525  1.08918   [-0.008748352527618408, 0.00023061037063598633, 0.00451582670211792]
 10  Ta    0.090534  0.531863  0.921769  [-0.018916010856628418, -0.014281690120697021, -0.00016987323760986328]
 11  O     0.792398  0.25605   0.536964  [0.006197601556777954, -0.016075104475021362, 0.004154831171035767]
 12  O     0.837578  0.618793  0.781927  [-0.007265567779541016, 0.018147557973861694, 0.0021231621503829956]
 13  O     0.873332  0.646106  0.089328  [0.003202199935913086, 0.010314017534255981, 0.002535223960876465]
 14  O     0.329672  0.256117  0.459708  [0.006014049053192139, -0.019916415214538574, 0.006898663938045502]
 15  O     0.338371  0.881253  0.230815  [0.007667597383260727, 0.0031387358903884888, -0.004335880279541016]
 16  Ta    0.557463  0.013224  0.416224  [0.010188892483711243, -0.01277064811438322, -0.0019797533750534058]
 17  Mg    0.067253  0.01817   0.097808  [-0.005224797874689102, -0.006004069000482559, 0.0018514355178922415]
 18  Eu    0.058908  0.513617  0.339384  [0.008843471296131611, -0.007854867726564407, -0.0017121974378824234]
 19  Eu    0.053697  0.017438  0.663781  [0.018819035962224007, -0.011730147525668144, -0.007419019937515259]","Eu2Mg3Ta2CuO12","('Cu', 'Eu', 'Mg', 'O', 'Ta')","0.08715648007186057","3.0","# generated using pymatgen
data_Eu2Mg3Ta2CuO12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.39532654
_cell_length_b   5.47774038
_cell_length_c   8.65511613
_cell_angle_alpha   90.43435082
_cell_angle_beta   89.60127014
_cell_angle_gamma   100.09957490
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Eu2Mg3Ta2CuO12
_chemical_formula_sum   'Eu2 Mg3 Ta2 Cu1 O12'
_cell_volume   251.81998607
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.78556915  0.12772952  0.23021848  1
  Mg  Mg1  1  0.56355775  0.51564427  0.60364513  1
  O  O2  1  0.78966396  0.77419274  0.46430585  1
  Mg  Mg3  1  0.58562207  0.44112848  0.95785924  1
  Cu  Cu4  1  0.57107446  0.98511349  0.06923212  1
  O  O5  1  0.82615249  0.17138917  0.92977815  1
  O  O6  1  0.30165290  0.86328923  0.92535158  1
  O  O7  1  0.31772373  0.38712018  0.78329634  1
  O  O8  1  0.32662774  0.77638341  0.54240297  1
  O  O9  1  0.26675475  0.37552520  1.08917835  1
  Ta  Ta10  1  0.09053433  0.53186284  0.92176923  1
  O  O11  1  0.79239824  0.25604991  0.53696406  1
  O  O12  1  0.83757845  0.61879274  0.78192657  1
  O  O13  1  0.87333230  0.64610616  0.08932805  1
  O  O14  1  0.32967212  0.25611684  0.45970759  1
  O  O15  1  0.33837085  0.88125305  0.23081505  1
  Ta  Ta16  1  0.55746336  0.01322352  0.41622360  1
  Mg  Mg17  1  0.06725301  0.01817000  0.09780826  1
  Eu  Eu18  1  0.05890842  0.51361667  0.33938429  1
  Eu  Eu19  1  0.05369685  0.01743770  0.66378077  1
"
"Full Formula (Y3 Al9)
Reduced Formula: YAl3
abc   :   4.502734   8.671959   8.668077
angles: 134.475633  90.003984  89.992288
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Al    0.331048  0.762462  0.724415  [-0.0007932991720736027, -0.0006880313158035278, 0.000615045428276062]
  1  Al    0.831057  0.934121  0.391834  [-0.001445867819711566, -0.03997302055358887, -0.01648707687854767]
  2  Y     0.330994  0.157744  0.742325  [-8.454732596874237e-05, 0.01673150807619095, -0.027589626610279083]
  3  Al    0.330523  0.594878  0.881694  [0.003331959480419755, 0.04511737823486328, 0.03060213476419449]
  4  Al    0.830998  0.887886  0.012877  [-0.0001992848119698465, 0.0004183253040537238, -0.0037233508192002773]
  5  Al    0.331266  0.180403  0.142938  [-0.0018702817615121603, -0.03562149405479431, -0.02309994213283062]
  6  Al    0.830601  0.507777  0.96539   [0.003223320934921503, 0.04350373148918152, 0.035785920917987823]
  7  Al    0.830996  0.841564  0.633088  [0.0007297676056623459, 0.040730394423007965, 0.01875169575214386]
  8  Y     0.330949  0.618016  0.282928  [2.360716462135315e-05, -0.016190461814403534, 0.02800757624208927]
  9  Al    0.331049  1.01434   0.301772  [-0.0006253370083868504, -0.011301830410957336, -0.009478256106376648]
 10  Y     0.830963  0.388067  0.512559  [5.544640589505434e-05, -0.0002214654814451933, 0.0021522047463804483]
 11  Al    0.831225  0.268106  0.059793  [-0.0023454977199435234, -0.04250495135784149, -0.03553624078631401]","YAl3","('Al', 'Y')","0.17418858150131053","3.0","# generated using pymatgen
data_YAl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.50273396
_cell_length_b   8.67195881
_cell_length_c   8.66807683
_cell_angle_alpha   134.47563299
_cell_angle_beta   90.00398425
_cell_angle_gamma   89.99228802
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YAl3
_chemical_formula_sum   'Y3 Al9'
_cell_volume   241.51256038
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.33104815  0.76246241  0.72441529  1
  Al  Al1  1  0.83105666  0.93412111  0.39183401  1
  Y  Y2  1  0.33099447  0.15774355  0.74232474  1
  Al  Al3  1  0.33052313  0.59487807  0.88169397  1
  Al  Al4  1  0.83099764  0.88788617  0.01287702  1
  Al  Al5  1  0.33126582  0.18040253  0.14293764  1
  Al  Al6  1  0.83060120  0.50777690  0.96539048  1
  Al  Al7  1  0.83099622  0.84156379  0.63308798  1
  Y  Y8  1  0.33094872  0.61801592  0.28292771  1
  Al  Al9  1  0.33104929  1.01433689  0.30177199  1
  Y  Y10  1  0.83096329  0.38806686  0.51255869  1
  Al  Al11  1  0.83122515  0.26810630  0.05979345  1
"
