cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,1.5000,456,0.2140,0.0000,0.0867,0.0562,1143.17
1,16,4,4,12,0,1.5000,458,0.2297,0.0000,0.0836,0.0545,278.98
2,15,4,4,11,0,1.5000,461,0.2498,0.0000,0.0804,0.0516,821.71
3,16,4,4,12,0,1.5000,464,0.2547,0.0000,0.0831,0.0538,376.71
4,16,4,4,12,0,1.5000,465,0.2302,0.0000,0.0838,0.0545,433.15
5,16,4,4,12,0,1.5000,468,0.2716,0.0000,0.0851,0.0550,254.61
6,16,4,4,12,0,1.5000,471,0.2131,0.0001,0.0825,0.0528,269.29
7,16,4,4,12,0,1.5000,473,0.2553,0.0001,0.0845,0.0551,332.43
8,16,4,4,12,0,1.5000,476,0.3492,0.0001,0.0853,0.0547,218.83
9,16,4,4,12,0,1.5000,477,0.1719,0.0001,0.0835,0.0550,262.34
10,16,4,4,12,0,1.5000,479,0.1912,0.0001,0.0821,0.0542,201.12
11,16,4,4,12,0,1.5000,482,0.2523,0.0001,0.0811,0.0528,261.04
12,16,4,4,12,0,1.5000,484,0.2051,0.0001,0.0834,0.0540,379.36
13,16,4,4,12,0,1.5000,486,0.2942,0.0001,0.0825,0.0542,339.74
14,16,4,4,12,0,1.5000,487,0.1821,0.0001,0.0829,0.0546,385.37
15,16,4,4,12,0,1.5000,490,0.2299,0.0001,0.0828,0.0537,219.77
16,16,4,4,12,0,1.5000,493,0.6174,0.0001,0.0845,0.0544,414.40
17,15,4,4,11,0,1.5000,494,0.2180,0.0001,0.0807,0.0540,268.75
18,16,4,4,12,0,1.5000,497,0.2279,0.0002,0.0836,0.0542,434.01
19,16,4,4,12,0,1.5000,500,0.4131,0.0002,0.0828,0.0550,359.07
