"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (La7 Nd2 Ag2)
Reduced Formula: La7(NdAg)2
abc   :   6.858746   6.950245   8.780691
angles: 113.215184  99.728897  96.673676
pbc   :       True       True       True
Sites (11)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  La    0.39062   0.7296    0.298136  [0.0009624594822525978, 0.0008601304143667221, -0.0016278019174933434]
  1  La    0.168812  0.013513  0.679106  [0.016804680228233337, -0.023242834955453873, -0.009642096236348152]
  2  La    0.927863  0.94776   0.212992  [-0.012730205431580544, 0.020397746935486794, 0.015377952717244625]
  3  La    0.681428  0.882766  0.770146  [-0.03888673335313797, -0.02410346269607544, -0.008787419646978378]
  4  Nd    0.415062  0.104275  0.098617  [0.03700818866491318, -0.023984836414456367, 0.020160216838121414]
  5  La    0.099079  0.576811  0.8263    [0.0436214841902256, 0.02269875258207321, 0.007178403437137604]
  6  La    0.612447  0.445409  0.916283  [-0.01852024346590042, 0.024352341890335083, 0.013635409064590931]
  7  La    0.853509  0.510727  0.383114  [0.01292289886623621, -0.01788778230547905, -0.01674458384513855]
  8  Nd    0.366962  0.355843  0.497953  [-0.039880506694316864, 0.020612560212612152, -0.019871346652507782]
  9  Ag    0.029701  0.308166  0.053915  [-0.008454602211713791, -0.01435777172446251, -0.03613477945327759]
 10  Ag    0.751791  0.150723  0.542027  [0.007152603939175606, 0.014655163511633873, 0.03645605593919754]","La7(NdAg)2","('Ag', 'La', 'Nd')","0.0","0","# generated using pymatgen
data_La7(NdAg)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.85874585
_cell_length_b   6.95024455
_cell_length_c   8.78069070
_cell_angle_alpha   113.21518380
_cell_angle_beta   99.72889668
_cell_angle_gamma   96.67367587
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La7(NdAg)2
_chemical_formula_sum   'La7 Nd2 Ag2'
_cell_volume   371.34791676
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.39061954  0.72960037  0.29813636  1
  La  La1  1  0.16881219  0.01351330  0.67910555  1
  La  La2  1  0.92786349  0.94775983  0.21299232  1
  La  La3  1  0.68142826  0.88276611  0.77014576  1
  Nd  Nd4  1  0.41506164  0.10427462  0.09861659  1
  La  La5  1  0.09907939  0.57681087  0.82629968  1
  La  La6  1  0.61244687  0.44540851  0.91628260  1
  La  La7  1  0.85350866  0.51072685  0.38311352  1
  Nd  Nd8  1  0.36696235  0.35584264  0.49795308  1
  Ag  Ag9  1  0.02970070  0.30816602  0.05391463  1
  Ag  Ag10  1  0.75179082  0.15072291  0.54202658  1
"
"Full Formula (As2 Au2)
Reduced Formula: AsAu
abc   :   4.174666   4.180920   5.903258
angles:  89.889697  90.036666 120.015303
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  As    0.700965  0.351713  0.155868  [0.002218907931819558, -0.0029732941184192896, -0.038083285093307495]
  1  Au    0.368098  0.685006  0.309384  [-0.0012826885795220733, 0.005489757750183344, 0.029664304107427597]
  2  As    0.70216   0.352186  0.743714  [0.002609628951177001, -0.001879325369372964, 0.03263372182846069]
  3  Au    0.035173  0.018502  0.589779  [-0.0035458621568977833, -0.0006371341878548265, -0.024214692413806915]","AsAu","('As', 'Au')","0.0","0","# generated using pymatgen
data_AsAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17466635
_cell_length_b   4.18092001
_cell_length_c   5.90325759
_cell_angle_alpha   89.88969676
_cell_angle_beta   90.03666602
_cell_angle_gamma   120.01530260
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AsAu
_chemical_formula_sum   'As2 Au2'
_cell_volume   89.21711439
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  As  As0  1  0.70096547  0.35171288  0.15586772  1
  Au  Au1  1  0.36809792  0.68500649  0.30938356  1
  As  As2  1  0.70216036  0.35218554  0.74371353  1
  Au  Au3  1  0.03517290  0.01850192  0.58977874  1
"
"Full Formula (Ce6 Mg5 Tl5)
Reduced Formula: Ce6(MgTl)5
abc   :   6.726270   6.714994   9.473903
angles:  91.736672  90.904819  84.952434
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ce    0.238512  0.617105  0.390849  [0.021000169217586517, -0.005553057417273521, 0.0009914170950651169]
  1  Ce    0.991733  0.942877  0.671909  [-0.005763191729784012, 0.009871399030089378, 0.0036170929670333862]
  2  Tl    0.927773  0.428366  0.140216  [-0.018078289926052094, 0.0042218416929244995, 0.017113354057073593]
  3  Ce    0.66133   0.217955  0.387738  [-0.023014381527900696, 0.011374016292393208, -0.007157551124691963]
  4  Mg    0.458259  0.908917  0.138093  [0.0096158217638731, -0.0070765381678938866, -0.00978352501988411]
  5  Mg    0.721978  0.700933  0.388013  [-0.010092243552207947, -0.019384726881980896, 0.001930377446115017]
  6  Ce    0.169244  0.171457  0.87937   [-0.027665015310049057, 0.010397445410490036, -0.0043420009315013885]
  7  Ce    0.443796  0.415185  0.183202  [-0.0036898478865623474, 0.0014070980250835419, 0.02372848242521286]
  8  Mg    0.679846  0.169291  0.903836  [-0.018793918192386627, -0.02409810572862625, 0.002750229090452194]
  9  Mg    0.942832  0.912206  0.129787  [0.00993366725742817, -0.0021936893463134766, 0.0021951645612716675]
 10  Ce    0.441498  0.417234  0.605014  [0.008387994021177292, -0.0020543658174574375, -0.006647495552897453]
 11  Tl    0.230204  0.666658  0.91001   [0.024171272292733192, 0.021724607795476913, -0.008836489170789719]
 12  Mg    0.717725  0.650476  0.893434  [0.03504163771867752, -0.024374932050704956, -0.0014655375853180885]
 13  Tl    0.932946  0.439093  0.638249  [-0.0048790983855724335, 0.0031273886561393738, -0.035622529685497284]
 14  Tl    0.183316  0.125706  0.372003  [0.01099810004234314, 0.022203341126441956, 0.005975984036922455]
 15  Tl    0.490296  0.917293  0.64312   [-0.0071727558970451355, 0.0004082806408405304, 0.015553046017885208]","Ce6(MgTl)5","('Ce', 'Mg', 'Tl')","0.0","0","# generated using pymatgen
data_Ce6(MgTl)5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.72627002
_cell_length_b   6.71499397
_cell_length_c   9.47390277
_cell_angle_alpha   91.73667151
_cell_angle_beta   90.90481930
_cell_angle_gamma   84.95243413
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce6(MgTl)5
_chemical_formula_sum   'Ce6 Mg5 Tl5'
_cell_volume   426.01423567
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.23851192  0.61710484  0.39084856  1
  Ce  Ce1  1  0.99173314  0.94287684  0.67190867  1
  Tl  Tl2  1  0.92777288  0.42836596  0.14021597  1
  Ce  Ce3  1  0.66132999  0.21795516  0.38773839  1
  Mg  Mg4  1  0.45825887  0.90891736  0.13809269  1
  Mg  Mg5  1  0.72197756  0.70093304  0.38801271  1
  Ce  Ce6  1  0.16924406  0.17145651  0.87937045  1
  Ce  Ce7  1  0.44379567  0.41518492  0.18320151  1
  Mg  Mg8  1  0.67984567  0.16929091  0.90383615  1
  Mg  Mg9  1  0.94283172  0.91220641  0.12978738  1
  Ce  Ce10  1  0.44149752  0.41723356  0.60501377  1
  Tl  Tl11  1  0.23020426  0.66665762  0.91000984  1
  Mg  Mg12  1  0.71772453  0.65047559  0.89343446  1
  Tl  Tl13  1  0.93294623  0.43909295  0.63824932  1
  Tl  Tl14  1  0.18331556  0.12570635  0.37200343  1
  Tl  Tl15  1  0.49029650  0.91729305  0.64312002  1
"
"Full Formula (Tb4 B1 C1 Br2)
Reduced Formula: Tb4BCBr2
abc   :   3.771176   6.545935   7.505108
angles: 106.984021  89.995623  90.003699
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  C     0.201958  0.629063  0.672325  [0.000458353926660493, 0.0012522414326667786, -0.0023274552077054977]
  1  Br    0.702073  0.629107  0.172408  [-0.0005719637265428901, -0.0008946164743974805, -0.0024004701990634203]
  2  B     0.702071  0.129168  0.672275  [-0.0014318590983748436, -0.0021267770789563656, 0.0012187379179522395]
  3  Tb    0.201887  0.362886  0.855933  [0.0024036457762122154, -0.005020469427108765, -0.017023712396621704]
  4  Tb    0.70195   0.850892  0.852075  [0.00032519130036234856, -0.0150008425116539, -0.025387078523635864]
  5  Tb    0.702019  0.40729   0.492353  [-0.00042739836499094963, 0.013165660202503204, 0.03369957208633423]
  6  Tb    0.202091  0.89528   0.488685  [-0.0010928245028480887, 0.007488906383514404, 0.014633923768997192]
  7  Br    0.201947  0.128979  0.172378  [0.00033693615114316344, 0.0011358298361301422, -0.002413203939795494]","Tb4BCBr2","('B', 'Br', 'C', 'Tb')","0.0","0","# generated using pymatgen
data_Tb4BCBr2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77117643
_cell_length_b   6.54593538
_cell_length_c   7.50510845
_cell_angle_alpha   106.98402081
_cell_angle_beta   89.99562342
_cell_angle_gamma   90.00369870
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb4BCBr2
_chemical_formula_sum   'Tb4 B1 C1 Br2'
_cell_volume   177.18985887
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.20195760  0.62906312  0.67232478  1
  Br  Br1  1  0.70207292  0.62910712  0.17240752  1
  B  B2  1  0.70207138  0.12916791  0.67227461  1
  Tb  Tb3  1  0.20188694  0.36288556  0.85593263  1
  Tb  Tb4  1  0.70195028  0.85089249  0.85207534  1
  Tb  Tb5  1  0.70201920  0.40729009  0.49235347  1
  Tb  Tb6  1  0.20209050  0.89528004  0.48868477  1
  Br  Br7  1  0.20194719  0.12897898  0.17237760  1
"
"Full Formula (Nd1 Cu4 Au8)
Reduced Formula: Nd(CuAu2)4
abc   :   5.322281   7.036123   7.040175
angles:  81.771702  67.758201  67.794472
pbc   :       True       True       True
Sites (13)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Cu    0.586344  0.036545  0.071808  [-0.0008647125214338303, -0.0006384466541931033, 0.0029807614628225565]
  1  Au    0.086048  0.875947  0.73233   [-0.008435984142124653, -0.03010893426835537, 0.033235833048820496]
  2  Nd    0.086461  0.536408  0.071743  [-0.0029110927134752274, 0.00399748794734478, 0.0011056200601160526]
  3  Cu    0.586367  0.536578  0.572152  [-0.006896012928336859, 0.0017060863319784403, -0.015704751014709473]
  4  Cu    0.086457  0.036503  0.07185   [-0.006022500805556774, 0.005172610282897949, -0.004645111039280891]
  5  Cu    0.086056  0.536769  0.571662  [0.002206109929829836, -0.006621679291129112, 0.003463425673544407]
  6  Au    0.585947  0.756254  0.852291  [-0.008427167311310768, -0.023514799773693085, 0.026033733040094376]
  7  Au    0.586419  0.31701   0.291277  [0.00341316731646657, 0.023167036473751068, -0.02085104212164879]
  8  Au    0.08579   0.197244  0.411236  [0.019206225872039795, 0.029962223023176193, -0.027630386874079704]
  9  Au    0.80604   0.316987  0.851976  [-0.007431570906192064, 0.017818845808506012, 0.031197305768728256]
 10  Au    0.365948  0.756288  0.291512  [0.020182523876428604, -0.026205502450466156, -0.017209632322192192]
 11  Au    0.425872  0.197212  0.732324  [-0.014190109446644783, 0.032085709273815155, 0.02783619984984398]
 12  Au    0.746391  0.875831  0.411629  [0.010171182453632355, -0.026820583269000053, -0.039811961352825165]","Nd(CuAu2)4","('Au', 'Cu', 'Nd')","0.0","0","# generated using pymatgen
data_Nd(CuAu2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.32228147
_cell_length_b   7.03612253
_cell_length_c   7.04017520
_cell_angle_alpha   81.77170201
_cell_angle_beta   67.75820109
_cell_angle_gamma   67.79447236
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd(CuAu2)4
_chemical_formula_sum   'Nd1 Cu4 Au8'
_cell_volume   225.92731445
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.58634423  0.03654521  0.07180814  1
  Au  Au1  1  0.08604785  0.87594696  0.73232970  1
  Nd  Nd2  1  0.08646066  0.53640794  0.07174322  1
  Cu  Cu3  1  0.58636681  0.53657839  0.57215161  1
  Cu  Cu4  1  0.08645658  0.03650291  0.07184961  1
  Cu  Cu5  1  0.08605591  0.53676882  0.57166223  1
  Au  Au6  1  0.58594711  0.75625426  0.85229148  1
  Au  Au7  1  0.58641870  0.31700953  0.29127704  1
  Au  Au8  1  0.08579024  0.19724365  0.41123589  1
  Au  Au9  1  0.80603997  0.31698667  0.85197636  1
  Au  Au10  1  0.36594850  0.75628839  0.29151166  1
  Au  Au11  1  0.42587215  0.19721196  0.73232388  1
  Au  Au12  1  0.74639119  0.87583103  0.41162949  1
"
"Full Formula (Nd3 Sm2 Ho5)
Reduced Formula: Nd3Sm2Ho5
abc   :   5.120210   5.119595  13.148691
angles:  89.990054 101.222129  89.997193
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ho    0.826693  0.91559   0.782206  [-0.0035359058529138565, 0.000248690543230623, -0.018331123515963554]
  1  Ho    0.631421  0.915152  0.391888  [0.0022685155272483826, 2.941009370260872e-05, 0.01077515073120594]
  2  Nd    0.92795   0.415157  0.985443  [-0.0013299438869580626, -0.00021021290740463883, -0.006730938795953989]
  3  Ho    0.131321  0.415058  0.392041  [0.002178036142140627, -0.00014505500439554453, 0.011264625005424023]
  4  Nd    0.326442  0.415142  0.782145  [-0.0021657017059624195, -0.0002557169646024704, -0.01068134605884552]
  5  Ho    0.727906  0.41507   0.585232  [-0.0011385960970073938, -9.330664033768699e-05, -0.005953256040811539]
  6  Sm    0.531126  0.41517   0.191944  [0.0037548711989074945, -0.00016329161007888615, 0.018992846831679344]
  7  Ho    0.227571  0.915208  0.584695  [-0.0014276376459747553, 9.502668399363756e-05, -0.006853257771581411]
  8  Nd    0.031716  0.915505  0.193209  [0.0031707393936812878, 0.0002463959972374141, 0.016295764595270157]
  9  Sm    0.427845  0.915622  0.98547   [-0.0017743785865604877, 0.0002480597759131342, -0.00877846498042345]","Nd3Sm2Ho5","('Ho', 'Nd', 'Sm')","0.0","0","# generated using pymatgen
data_Nd3Sm2Ho5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12021043
_cell_length_b   5.11959523
_cell_length_c   13.14869088
_cell_angle_alpha   89.99005424
_cell_angle_beta   101.22212930
_cell_angle_gamma   89.99719323
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd3Sm2Ho5
_chemical_formula_sum   'Nd3 Sm2 Ho5'
_cell_volume   338.08184551
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.82669311  0.91558975  0.78220624  1
  Ho  Ho1  1  0.63142082  0.91515195  0.39188823  1
  Nd  Nd2  1  0.92795039  0.41515720  0.98544260  1
  Ho  Ho3  1  0.13132069  0.41505781  0.39204088  1
  Nd  Nd4  1  0.32644233  0.41514169  0.78214528  1
  Ho  Ho5  1  0.72790624  0.41507026  0.58523163  1
  Sm  Sm6  1  0.53112562  0.41516973  0.19194437  1
  Ho  Ho7  1  0.22757124  0.91520767  0.58469542  1
  Nd  Nd8  1  0.03171611  0.91550507  0.19320875  1
  Sm  Sm9  1  0.42784475  0.91562208  0.98547040  1
"
"Full Formula (Yb1 V2 Bi1 O6)
Reduced Formula: YbV2BiO6
abc   :   5.508736   5.538807   5.545479
angles:  90.065455 120.249140 119.956509
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  V     0.526083  0.195404  0.626439  [-0.0153123140335083, -0.0069560706615448, -0.008024342358112335]
  1  O     0.475731  0.87763   0.405446  [-0.011385440826416016, -0.0031335949897766113, -0.020061887800693512]
  2  Bi    0.977618  0.425385  0.306712  [-0.017440825700759888, 0.019790537655353546, -0.020062685012817383]
  3  Yb    0.989072  0.925844  0.823865  [0.016722919419407845, 0.02092605084180832, 0.016483668237924576]
  4  O     0.646887  0.53519   0.91632   [0.030078090727329254, -0.007130339741706848, 0.006367325782775879]
  5  O     0.476165  0.974022  0.915932  [0.006683900952339172, -0.0014451965689659119, -0.015093095600605011]
  6  O     0.015706  0.356513  0.902455  [-0.0014986395835876465, -0.01417086273431778, 0.01500069722533226]
  7  V     0.528916  0.697764  0.130185  [0.0025687813758850098, 0.016584545373916626, 0.031608812510967255]
  8  O     0.622954  0.462514  0.406884  [-0.013387814164161682, -0.0010914206504821777, -0.01306663453578949]
  9  O     0.060058  0.029156  0.416489  [0.002970755100250244, -0.023373395204544067, 0.006847769021987915]","YbV2BiO6","('Bi', 'O', 'V', 'Yb')","0.0639562660510468","0","# generated using pymatgen
data_YbV2BiO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.50873646
_cell_length_b   5.53880705
_cell_length_c   5.54547894
_cell_angle_alpha   90.06545489
_cell_angle_beta   120.24913953
_cell_angle_gamma   119.95650902
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbV2BiO6
_chemical_formula_sum   'Yb1 V2 Bi1 O6'
_cell_volume   119.20157776
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.52608336  0.19540430  0.62643929  1
  O  O1  1  0.47573081  0.87763032  0.40544600  1
  Bi  Bi2  1  0.97761760  0.42538548  0.30671173  1
  Yb  Yb3  1  0.98907164  0.92584358  0.82386477  1
  O  O4  1  0.64688741  0.53519015  0.91632001  1
  O  O5  1  0.47616547  0.97402212  0.91593181  1
  O  O6  1  0.01570596  0.35651282  0.90245499  1
  V  V7  1  0.52891626  0.69776368  0.13018461  1
  O  O8  1  0.62295385  0.46251426  0.40688377  1
  O  O9  1  0.06005845  0.02915597  0.41648897  1
"
"Full Formula (Rb3 Hg2)
Reduced Formula: Rb3Hg2
abc   :   4.660803   4.667335  14.031337
angles:  99.538227  99.549506  89.980575
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Hg    0.230394  0.190887  0.058617  [-0.0035300222225487232, -0.00040845759212970734, -0.009985636919736862]
  1  Rb    0.479872  0.939778  0.55749   [-0.0, -0.0, -0.0]
  2  Rb    0.121996  0.583227  0.840703  [0.0012141652405261993, 0.0016825459897518158, 0.015315532684326172]
  3  Rb    0.837454  0.297808  0.274606  [0.0010880827903747559, 0.0011774785816669464, 0.0006322860717773438]
  4  Hg    0.729477  0.691034  0.058376  [0.0012277700006961823, -0.0024515753611922264, -0.005962197668850422]","Rb3Hg2","('Hg', 'Rb')","0.0","0","# generated using pymatgen
data_Rb3Hg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.66080266
_cell_length_b   4.66733472
_cell_length_c   14.03133705
_cell_angle_alpha   99.53822699
_cell_angle_beta   99.54950587
_cell_angle_gamma   89.98057500
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb3Hg2
_chemical_formula_sum   'Rb3 Hg2'
_cell_volume   296.72437981
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  0.23039371  0.19088656  0.05861663  1
  Rb  Rb1  1  0.47987181  0.93977767  0.55748987  1
  Rb  Rb2  1  0.12199594  0.58322712  0.84070345  1
  Rb  Rb3  1  0.83745382  0.29780756  0.27460588  1
  Hg  Hg4  1  0.72947685  0.69103428  0.05837563  1
"
"Full Formula (Pr2 Y1 Er1 Sb4)
Reduced Formula: Pr2YErSb4
abc   :   4.474400   7.736432   7.744583
angles: 109.519032  90.003447  89.996710
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Pr    0.510974  0.518781  0.484234  [0.001127062365412712, 9.086752834264189e-05, -0.001030233222991228]
  1  Y     0.011202  0.018798  0.484257  [-0.004524560645222664, 0.0019554118625819683, -0.0004123642574995756]
  2  Sb    0.511022  0.780505  0.236791  [0.0019913148134946823, -0.013386448845267296, 0.003674117848277092]
  3  Pr    0.011074  0.518888  0.984241  [-0.0020736854057759047, -0.002551533281803131, 0.00047252699732780457]
  4  Er    0.511072  0.018728  0.984322  [-0.0005912203341722488, 0.0030844358261674643, -0.004998091608285904]
  5  Sb    0.011095  0.781423  0.739696  [-0.001383077702485025, -0.01208525151014328, 0.0013324553146958351]
  6  Sb    0.5109    0.257182  0.731704  [0.0045564379543066025, 0.010094093158841133, 0.00057267677038908]
  7  Sb    0.010983  0.256177  0.228704  [0.000897720456123352, 0.01279839500784874, 0.00038892123848199844]","Pr2YErSb4","('Er', 'Pr', 'Sb', 'Y')","0.0","0","# generated using pymatgen
data_Pr2YErSb4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.47440018
_cell_length_b   7.73643159
_cell_length_c   7.74458256
_cell_angle_alpha   109.51903230
_cell_angle_beta   90.00344721
_cell_angle_gamma   89.99670980
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2YErSb4
_chemical_formula_sum   'Pr2 Y1 Er1 Sb4'
_cell_volume   252.67889274
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.51097368  0.51878124  0.48423436  1
  Y  Y1  1  0.01120179  0.01879799  0.48425722  1
  Sb  Sb2  1  0.51102244  0.78050456  0.23679050  1
  Pr  Pr3  1  0.01107352  0.51888831  0.98424065  1
  Er  Er4  1  0.51107237  0.01872819  0.98432162  1
  Sb  Sb5  1  0.01109546  0.78142294  0.73969573  1
  Sb  Sb6  1  0.51090022  0.25718163  0.73170387  1
  Sb  Sb7  1  0.01098291  0.25617720  0.22870399  1
"
"Full Formula (Li1 Sc1 Be2 Pt2)
Reduced Formula: LiSc(BePt)2
abc   :   4.068411   4.068096   5.747250
angles:  89.999223  89.993910 119.997462
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Li    0.196244  0.088523  0.282666  [0.00023139853146858513, 7.436455780407414e-05, -0.0005330200074240565]
  1  Be    0.863072  0.421952  0.479861  [-0.0007460172055289149, -0.0004914773162454367, 0.0376652330160141]
  2  Sc    0.196266  0.088529  0.782646  [-8.057380182435736e-05, -2.215442873421125e-05, 0.00032262050081044436]
  3  Be    0.529456  0.75511   0.085451  [0.0006313947960734367, 0.000296439859084785, -0.03792361915111542]
  4  Pt    0.529702  0.755267  0.512122  [-0.0004688784247264266, -0.0005738215986639261, -0.04822424054145813]
  5  Pt    0.862819  0.421785  0.053165  [0.00043271109461784363, 0.0007165665156207979, 0.04869303107261658]","LiSc(BePt)2","('Be', 'Li', 'Pt', 'Sc')","0.021235727639502926","0","# generated using pymatgen
data_LiSc(BePt)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06841123
_cell_length_b   4.06809603
_cell_length_c   5.74724966
_cell_angle_alpha   89.99922312
_cell_angle_beta   89.99390974
_cell_angle_gamma   119.99746209
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiSc(BePt)2
_chemical_formula_sum   'Li1 Sc1 Be2 Pt2'
_cell_volume   82.37925080
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.19624426  0.08852262  0.28266587  1
  Be  Be1  1  0.86307199  0.42195161  0.47986085  1
  Sc  Sc2  1  0.19626604  0.08852907  0.78264649  1
  Be  Be3  1  0.52945568  0.75511025  0.08545062  1
  Pt  Pt4  1  0.52970172  0.75526674  0.51212206  1
  Pt  Pt5  1  0.86281878  0.42178473  0.05316529  1
"
