"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Tm2 Ni2 Ge2)
Reduced Formula: TmNiGe
abc   :   4.107333   4.104853   6.399680
angles:  89.970844  89.991661  89.975585
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Tm    0.829855  0.763865  0.066623  [0.0029419753700494766, -0.0024522899184376, -0.005920052528381348]
  1  Tm    0.329921  0.263826  0.45472   [0.0008149577770382166, 0.0005389116704463959, 0.0036311447620391846]
  2  Ni    0.329947  0.763837  0.760675  [-0.0007190934848040342, 0.000564892718102783, -0.001991580706089735]
  3  Ge    0.329991  0.263825  0.977142  [-0.004315251484513283, -0.0007798988372087479, -0.001701444387435913]
  4  Ni    0.829882  0.263819  0.760682  [0.0019510876154527068, -0.0009683524840511382, -0.0017498964443802834]
  5  Ge    0.829968  0.763776  0.544051  [-0.0006736957002431154, 0.0030967588536441326, 0.007731765508651733]","TmNiGe","('Ge', 'Ni', 'Tm')","0.0","0","# generated using pymatgen
data_TmNiGe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10733271
_cell_length_b   4.10485291
_cell_length_c   6.39967950
_cell_angle_alpha   89.97084416
_cell_angle_beta   89.99166147
_cell_angle_gamma   89.97558506
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TmNiGe
_chemical_formula_sum   'Tm2 Ni2 Ge2'
_cell_volume   107.89854973
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.82985511  0.76386487  0.06662343  1
  Tm  Tm1  1  0.32992135  0.26382613  0.45471993  1
  Ni  Ni2  1  0.32994654  0.76383680  0.76067531  1
  Ge  Ge3  1  0.32999123  0.26382492  0.97714153  1
  Ni  Ni4  1  0.82988180  0.26381871  0.76068189  1
  Ge  Ge5  1  0.82996842  0.76377648  0.54405072  1
"
"Full Formula (Ho2 Cr2 Se6)
Reduced Formula: HoCrSe3
abc   :   3.859060   7.408321   7.899377
angles:  96.632103  89.997322  90.001844
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ho    0.666149  0.422287  0.907889  [0.0008589300559833646, -0.028603672981262207, 0.011257946491241455]
  1  Cr    0.66624   0.894519  0.038641  [-0.0001528891734778881, -0.016059428453445435, 0.01828932762145996]
  2  Ho    0.166247  0.674711  0.476867  [-0.00030717230401933193, 0.02756854146718979, -0.010296061635017395]
  3  Se    0.16621   0.677778  0.093142  [0.0001484304666519165, -0.0017080307006835938, 0.035981714725494385]
  4  Cr    0.166232  0.202453  0.3462    [-0.00029568953323177993, 0.0156831294298172, -0.01915973424911499]
  5  Se    0.666207  0.972443  0.360505  [0.00011927826562896371, 0.021419592201709747, 0.021889597177505493]
  6  Se    0.166264  0.124477  0.024384  [-0.00022770815121475607, -0.019621387124061584, -0.02449539303779602]
  7  Se    0.666225  0.419205  0.291581  [0.00014896162610966712, 0.0005020871758460999, -0.03266508877277374]
  8  Se    0.16621   0.339104  0.650152  [-0.000576180755160749, 0.03968081623315811, -0.023687198758125305]
  9  Se    0.666217  0.757834  0.734666  [0.0002840107772499323, -0.03886166214942932, 0.02288500964641571]","HoCrSe3","('Cr', 'Ho', 'Se')","0.008126748668566584","0","# generated using pymatgen
data_HoCrSe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85906041
_cell_length_b   7.40832089
_cell_length_c   7.89937741
_cell_angle_alpha   96.63210343
_cell_angle_beta   89.99732176
_cell_angle_gamma   90.00184372
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoCrSe3
_chemical_formula_sum   'Ho2 Cr2 Se6'
_cell_volume   224.32529644
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.66614874  0.42228689  0.90788923  1
  Cr  Cr1  1  0.66623965  0.89451904  0.03864146  1
  Ho  Ho2  1  0.16624669  0.67471099  0.47686682  1
  Se  Se3  1  0.16621034  0.67777819  0.09314169  1
  Cr  Cr4  1  0.16623164  0.20245310  0.34620036  1
  Se  Se5  1  0.66620703  0.97244330  0.36050479  1
  Se  Se6  1  0.16626359  0.12447665  0.02438437  1
  Se  Se7  1  0.66622531  0.41920531  0.29158083  1
  Se  Se8  1  0.16620974  0.33910432  0.65015196  1
  Se  Se9  1  0.66621718  0.75783374  0.73466569  1
"
"Full Formula (Ce6 Ir2 Ru1)
Reduced Formula: Ce6Ir2Ru
abc   :   5.294347   5.762906   7.931214
angles: 111.722702 109.566012  98.075439
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ce    0.54415   0.784627  0.211569  [0.025350436568260193, 0.01705712080001831, -0.012318864464759827]
  1  Ce    0.962577  0.400951  0.078567  [-0.026273906230926514, -0.019173383712768555, 0.01210392639040947]
  2  Ce    0.291857  0.408127  0.748792  [-0.023473143577575684, -0.021605700254440308, 0.01207944005727768]
  3  Ce    0.876113  0.782287  0.874674  [0.021169722080230713, 0.017083823680877686, -0.01403851993381977]
  4  Ir    0.09142   0.090114  0.318917  [0.001879209652543068, -0.0025054796133190393, -0.003144502639770508]
  5  Ru    0.753109  0.09266   0.645031  [0.0005496670491993427, 5.867285653948784e-05, 0.00019367807544767857]
  6  Ce    0.214306  0.776758  0.541059  [0.025352999567985535, 0.023168593645095825, -0.010361481457948685]
  7  Ce    0.630516  0.403189  0.415453  [-0.02157306671142578, -0.016899466514587402, 0.012727874331176281]
  8  Ir    0.415432  0.095095  0.971111  [-0.002982032485306263, 0.0028157723136246204, 0.0027584433555603027]","Ce6Ir2Ru","('Ce', 'Ir', 'Ru')","0.0","0","# generated using pymatgen
data_Ce6Ir2Ru
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.29434703
_cell_length_b   5.76290574
_cell_length_c   7.93121413
_cell_angle_alpha   111.72270215
_cell_angle_beta   109.56601241
_cell_angle_gamma   98.07543914
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce6Ir2Ru
_chemical_formula_sum   'Ce6 Ir2 Ru1'
_cell_volume   201.92641075
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.54414961  0.78462712  0.21156923  1
  Ce  Ce1  1  0.96257671  0.40095093  0.07856673  1
  Ce  Ce2  1  0.29185746  0.40812694  0.74879226  1
  Ce  Ce3  1  0.87611315  0.78228713  0.87467412  1
  Ir  Ir4  1  0.09141975  0.09011354  0.31891662  1
  Ru  Ru5  1  0.75310853  0.09266003  0.64503127  1
  Ce  Ce6  1  0.21430569  0.77675819  0.54105931  1
  Ce  Ce7  1  0.63051593  0.40318870  0.41545284  1
  Ir  Ir8  1  0.41543244  0.09509454  0.97111149  1
"
"Full Formula (Ho1 Tm4 Zn7)
Reduced Formula: HoTm4Zn7
abc   :   5.525403   5.525448   9.746272
angles:  72.001560  72.001665  61.871374
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Tm    0.755407  0.025101  0.816537  [0.003371165134012699, 0.002187647856771946, -0.0034564100205898285]
  1  Tm    0.263663  0.533155  0.345856  [0.022658340632915497, 0.014478743076324463, -0.017333289608359337]
  2  Tm    0.635433  0.905002  0.228025  [-0.0034522591158747673, -0.001845567487180233, 0.0042069777846336365]
  3  Zn    0.939448  0.208866  0.287566  [0.030757561326026917, 0.01984391361474991, -0.014653973281383514]
  4  Ho    0.127137  0.39705   0.696213  [-0.01902392879128456, -0.012417207472026348, 0.013948112726211548]
  5  Zn    0.196255  0.965307  0.521127  [-0.0013846182264387608, -0.0005219373852014542, -0.000977860763669014]
  6  Zn    0.195969  0.965313  0.02269   [-0.001650445512495935, -0.00152610894292593, 0.0024578305892646313]
  7  Zn    0.45223   0.722068  0.75554   [-0.027968740090727806, -0.01791015826165676, 0.014082835055887699]
  8  Zn    0.695662  0.465889  0.521112  [-0.001160296844318509, -0.0008932296186685562, -0.0007750289514660835]
  9  Zn    0.695686  0.965393  0.520958  [0.0014254851266741753, 0.0007689037593081594, -9.169057011604309e-05]
 10  Tm    0.196239  0.465885  0.021653  [-0.0029008155688643456, -0.0013006902299821377, 0.00048366282135248184]
 11  Zn    0.695549  0.465649  0.022804  [-0.0006714113987982273, -0.0008643143810331821, 0.002108893124386668]","HoTm4Zn7","('Ho', 'Tm', 'Zn')","0.0","0","# generated using pymatgen
data_HoTm4Zn7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52540331
_cell_length_b   5.52544775
_cell_length_c   9.74627219
_cell_angle_alpha   72.00155982
_cell_angle_beta   72.00166546
_cell_angle_gamma   61.87137429
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoTm4Zn7
_chemical_formula_sum   'Ho1 Tm4 Zn7'
_cell_volume   244.79482116
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.75540682  0.02510095  0.81653722  1
  Tm  Tm1  1  0.26366311  0.53315451  0.34585554  1
  Tm  Tm2  1  0.63543343  0.90500186  0.22802454  1
  Zn  Zn3  1  0.93944773  0.20886592  0.28756596  1
  Ho  Ho4  1  0.12713744  0.39705034  0.69621310  1
  Zn  Zn5  1  0.19625487  0.96530742  0.52112748  1
  Zn  Zn6  1  0.19596884  0.96531268  0.02268959  1
  Zn  Zn7  1  0.45223024  0.72206819  0.75553957  1
  Zn  Zn8  1  0.69566191  0.46588902  0.52111227  1
  Zn  Zn9  1  0.69568597  0.96539301  0.52095795  1
  Tm  Tm10  1  0.19623877  0.46588474  0.02165276  1
  Zn  Zn11  1  0.69554860  0.46564877  0.02280398  1
"
"Full Formula (Hf1 Sc2 Pd3)
Reduced Formula: HfSc2Pd3
abc   :   3.310932   3.310984  10.076407
angles:  89.999599  89.994220  89.998292
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Sc    0.403167  0.748349  0.792316  [-0.00046200118958950043, -0.00022868158703204244, -0.02142840437591076]
  1  Hf    0.402961  0.748304  0.4571    [7.207185990409926e-05, 1.9175849956809543e-05, 0.0036005452275276184]
  2  Pd    0.902899  0.248272  0.297502  [0.0008845718111842871, 0.0002116370596922934, 0.01570729911327362]
  3  Sc    0.403036  0.748283  0.122237  [6.443568054237403e-06, 5.74480218347162e-05, 0.018542073667049408]
  4  Pd    0.903034  0.248339  0.616563  [1.0135350748896599e-05, -0.0001588947925483808, -0.010528385639190674]
  5  Pd    0.90316   0.248304  0.957525  [-0.000511283753439784, 9.93031426332891e-05, -0.005893114022910595]","HfSc2Pd3","('Hf', 'Pd', 'Sc')","0.0003004551136111454","0","# generated using pymatgen
data_HfSc2Pd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.31093248
_cell_length_b   3.31098411
_cell_length_c   10.07640693
_cell_angle_alpha   89.99959877
_cell_angle_beta   89.99422002
_cell_angle_gamma   89.99829175
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfSc2Pd3
_chemical_formula_sum   'Hf1 Sc2 Pd3'
_cell_volume   110.46205420
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.40316673  0.74834940  0.79231578  1
  Hf  Hf1  1  0.40296143  0.74830426  0.45710036  1
  Pd  Pd2  1  0.90289885  0.24827237  0.29750213  1
  Sc  Sc3  1  0.40303629  0.74828323  0.12223687  1
  Pd  Pd4  1  0.90303449  0.24833946  0.61656288  1
  Pd  Pd5  1  0.90315992  0.24830412  0.95752486  1
"
"Full Formula (Cs4 Na3 Pb1)
Reduced Formula: Cs4Na3Pb
abc   :   7.889320   8.260881   9.410115
angles: 117.430692  97.564817  93.239337
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Na    0.043742  0.218299  0.524583  [-0.009417250752449036, -0.0019058212637901306, 0.0002332795411348343]
  1  Cs    1.01005   0.63625   0.328977  [-0.0033639585599303246, 4.89354133605957e-05, 0.009854618459939957]
  2  Cs    0.494845  0.300462  0.341266  [-0.0015533454716205597, -0.010112464427947998, -0.000250745564699173]
  3  Pb    0.945821  0.025016  0.131681  [0.01592353731393814, -0.008233465254306793, -0.013376053422689438]
  4  Na    0.114954  0.107902  0.875448  [0.0021251440048217773, -0.0016665123403072357, 0.009350279346108437]
  5  Na    0.902337  0.623113  0.816353  [0.019419550895690918, 0.024607807397842407, -0.037806302309036255]
  6  Cs    0.600997  0.052646  0.728999  [0.004312917590141296, 0.02273430861532688, 0.01479736715555191]
  7  Cs    0.424223  0.686459  0.990934  [-0.02744653820991516, -0.02547280490398407, 0.01719752699136734]","Cs4Na3Pb","('Cs', 'Na', 'Pb')","0.0","0","# generated using pymatgen
data_Cs4Na3Pb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.88931954
_cell_length_b   8.26088145
_cell_length_c   9.41011500
_cell_angle_alpha   117.43069155
_cell_angle_beta   97.56481687
_cell_angle_gamma   93.23933714
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs4Na3Pb
_chemical_formula_sum   'Cs4 Na3 Pb1'
_cell_volume   534.78839265
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.04374154  0.21829915  0.52458342  1
  Cs  Cs1  1  1.01005421  0.63625010  0.32897714  1
  Cs  Cs2  1  0.49484459  0.30046196  0.34126587  1
  Pb  Pb3  1  0.94582073  0.02501552  0.13168092  1
  Na  Na4  1  0.11495405  0.10790248  0.87544823  1
  Na  Na5  1  0.90233742  0.62311301  0.81635333  1
  Cs  Cs6  1  0.60099743  0.05264640  0.72899936  1
  Cs  Cs7  1  0.42422267  0.68645889  0.99093416  1
"
"Full Formula (Pr2 Dy8 Cd1)
Reduced Formula: Pr2Dy8Cd
abc   :   5.675757   6.340796  10.148100
angles:  94.943791 106.238982  89.999187
pbc   :       True       True       True
Sites (11)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  -------------------------------------------------------------------------
  0  Dy    0.512662   0.457805  0.126432  [0.0075282324105501175, 0.014848019927740097, 0.025030840188264847]
  1  Dy    0.70108    0.527527  0.50309   [0.0011123251169919968, 0.012650355696678162, 0.0050633754581213]
  2  Dy    0.896316   0.596325  0.893597  [0.004690269008278847, -0.006461866199970245, 0.016534490510821342]
  3  Dy    0.275744   0.733044  0.652532  [0.0039029642939567566, 0.004720792174339294, 0.01203148066997528]
  4  Pr    0.608815  -0.001947  0.31836   [-0.0012962277978658676, 0.00523931160569191, -0.0002094842493534088]
  5  Dy    0.191878   0.205928  0.48475   [-0.007041893899440765, -0.015435460954904556, -0.025391720235347748]
  6  Cd    0.35235    0.331844  0.805607  [-0.00022573396563529968, -0.0003033219836652279, -0.0003699176013469696]
  7  Dy    0.808323   0.067233  0.717572  [-0.005073150619864464, 0.00676446408033371, -0.016815658658742905]
  8  Pr    0.095786   0.665752  0.292741  [0.0009787557646632195, -0.006222249940037727, 0.0007248483598232269]
  9  Dy    0.003492   0.136097  0.108047  [-0.0010698214173316956, -0.012082180008292198, -0.005149673670530319]
 10  Dy    0.428785   0.930469  0.95852   [-0.0035057179629802704, -0.0037178583443164825, -0.011448554694652557]","Pr2Dy8Cd","('Cd', 'Dy', 'Pr')","0.0","0","# generated using pymatgen
data_Pr2Dy8Cd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.67575656
_cell_length_b   6.34079584
_cell_length_c   10.14809998
_cell_angle_alpha   94.94379051
_cell_angle_beta   106.23898173
_cell_angle_gamma   89.99918676
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2Dy8Cd
_chemical_formula_sum   'Pr2 Dy8 Cd1'
_cell_volume   349.23194346
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.51266167  0.45780528  0.12643206  1
  Dy  Dy1  1  0.70108031  0.52752689  0.50309037  1
  Dy  Dy2  1  0.89631589  0.59632546  0.89359652  1
  Dy  Dy3  1  0.27574396  0.73304434  0.65253223  1
  Pr  Pr4  1  0.60881534  -0.00194726  0.31835952  1
  Dy  Dy5  1  0.19187771  0.20592768  0.48474964  1
  Cd  Cd6  1  0.35234991  0.33184442  0.80560710  1
  Dy  Dy7  1  0.80832303  0.06723335  0.71757244  1
  Pr  Pr8  1  0.09578578  0.66575248  0.29274109  1
  Dy  Dy9  1  0.00349213  0.13609685  0.10804680  1
  Dy  Dy10  1  0.42878536  0.93046863  0.95851956  1
"
"Full Formula (Pr1 In1 Ag11)
Reduced Formula: PrInAg11
abc   :   5.587767   7.407109   7.406204
angles:  81.823531  67.826815  67.836205
pbc   :       True       True       True
Sites (13)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ag    0.082951  0.910981  0.121935  [-0.0011525284498929977, -0.0011860188096761703, -0.0008468460291624069]
  1  Pr    0.082599  0.567607  0.465469  [3.305496647953987e-06, -0.006729677319526672, 0.003224221058189869]
  2  Ag    0.794189  0.349474  0.260434  [0.0011165272444486618, 0.04069523513317108, 0.003098953515291214]
  3  Ag    0.371596  0.772198  0.683523  [0.01626468636095524, 0.0046109966933727264, -0.04683608561754227]
  4  In    0.082866  0.203748  0.828843  [0.004255685023963451, 0.015005134046077728, -0.01153690367937088]
  5  Ag    0.584777  0.06107   0.469873  [-0.0030032172799110413, -0.024664828553795815, 0.004304517060518265]
  6  Ag    0.582746  0.349663  0.683222  [-0.0008798306807875633, -0.014308582991361618, 0.00877605564892292]
  7  Ag    0.432995  0.210686  0.12214   [0.004988531582057476, 0.00021052733063697815, -0.012753035873174667]
  8  Ag    0.582918  0.777656  0.255084  [0.0024125250056385994, 0.004486287012696266, 0.0005661919713020325]
  9  Ag    0.08365   0.060905  0.469676  [-0.011909035965800285, -0.01407154742628336, 0.006112563423812389]
 10  Ag    0.73286   0.910343  0.822278  [0.0023747924715280533, 0.020743353292346, -0.0008208807557821274]
 11  Ag    0.581222  0.563227  0.971575  [-0.017416462302207947, -0.01415238343179226, 0.021175112575292587]
 12  Ag    0.082239  0.563094  0.971599  [0.002945106942206621, -0.01063849963247776, 0.025536134839057922]","PrInAg11","('Ag', 'In', 'Pr')","0.0","0","# generated using pymatgen
data_PrInAg11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.58776712
_cell_length_b   7.40710856
_cell_length_c   7.40620434
_cell_angle_alpha   81.82353124
_cell_angle_beta   67.82681545
_cell_angle_gamma   67.83620489
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrInAg11
_chemical_formula_sum   'Pr1 In1 Ag11'
_cell_volume   262.89240961
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.08295067  0.91098091  0.12193476  1
  Pr  Pr1  1  0.08259939  0.56760679  0.46546882  1
  Ag  Ag2  1  0.79418946  0.34947398  0.26043427  1
  Ag  Ag3  1  0.37159603  0.77219782  0.68352283  1
  In  In4  1  0.08286623  0.20374844  0.82884279  1
  Ag  Ag5  1  0.58477693  0.06106973  0.46987319  1
  Ag  Ag6  1  0.58274644  0.34966274  0.68322219  1
  Ag  Ag7  1  0.43299532  0.21068581  0.12213998  1
  Ag  Ag8  1  0.58291788  0.77765615  0.25508394  1
  Ag  Ag9  1  0.08365035  0.06090467  0.46967637  1
  Ag  Ag10  1  0.73286017  0.91034320  0.82227827  1
  Ag  Ag11  1  0.58122239  0.56322699  0.97157459  1
  Ag  Ag12  1  0.08223905  0.56309382  0.97159883  1
"
"Full Formula (Pr1 Sm1 Cd1 Pb1)
Reduced Formula: PrSmCdPb
abc   :   4.394746   5.150343   5.184352
angles:  89.998112  90.002201  90.001636
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Pr    0.996801  0.667239  0.184119  [0.00024270638823509216, -0.0003335574292577803, -0.0002024695131694898]
  1  Pb    0.496772  0.667282  0.684128  [0.0004521509981714189, 0.00027972087264060974, -0.0002460782416164875]
  2  Sm    0.996785  0.167318  0.684072  [0.0004570949822664261, -0.0010399273596704006, 0.00014765700325369835]
  3  Cd    0.49688   0.167165  0.184057  [-0.0011519473046064377, 0.0010937866754829884, 0.0003008738858625293]","PrSmCdPb","('Cd', 'Pb', 'Pr', 'Sm')","0.0","0","# generated using pymatgen
data_PrSmCdPb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.39474588
_cell_length_b   5.15034309
_cell_length_c   5.18435198
_cell_angle_alpha   89.99811190
_cell_angle_beta   90.00220107
_cell_angle_gamma   90.00163583
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSmCdPb
_chemical_formula_sum   'Pr1 Sm1 Cd1 Pb1'
_cell_volume   117.34495056
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.99680068  0.66723892  0.18411920  1
  Pb  Pb1  1  0.49677175  0.66728215  0.68412779  1
  Sm  Sm2  1  0.99678480  0.16731823  0.68407178  1
  Cd  Cd3  1  0.49687959  0.16716548  0.18405655  1
"
"Full Formula (Tm6 Zn4)
Reduced Formula: Tm3Zn2
abc   :   4.991743   6.082147   8.713761
angles: 103.483112  90.057824 114.161010
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Tm    0.515344  0.513023  0.724158  [-0.001421294640749693, 0.014179233461618423, -0.011640042066574097]
  1  Tm    0.35079   0.182138  0.336772  [-0.004384010098874569, 0.002386620966717601, -0.005798611789941788]
  2  Tm    0.850035  0.181862  0.836521  [0.0007866472005844116, -0.0018963944166898727, 0.005878143012523651]
  3  Tm    0.016056  0.514417  0.224437  [0.00624479167163372, -0.0023328466340899467, -0.01153480727225542]
  4  Tm    0.685139  0.850557  0.449012  [-0.004415408242493868, -0.006941999774426222, 0.014389236457645893]
  5  Zn    0.975269  0.433883  0.542441  [0.0031152083538472652, 0.04490838944911957, 0.011789427138864994]
  6  Tm    0.184361  0.849887  0.949007  [0.0021598513703793287, -0.000635187141597271, 0.0064568892121315]
  7  Zn    0.725355  0.930716  0.130839  [-0.002653930801898241, -0.04681050777435303, -0.010401868261396885]
  8  Zn    0.475684  0.43351   0.04258   [-0.0020756423473358154, 0.04611583799123764, 0.009533942677080631]
  9  Zn    0.225066  0.93077   0.630759  [0.0026437691412866116, -0.04897313565015793, -0.008672278374433517]","Tm3Zn2","('Tm', 'Zn')","0.0","0","# generated using pymatgen
data_Tm3Zn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.99174250
_cell_length_b   6.08214674
_cell_length_c   8.71376062
_cell_angle_alpha   103.48311228
_cell_angle_beta   90.05782369
_cell_angle_gamma   114.16101014
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm3Zn2
_chemical_formula_sum   'Tm6 Zn4'
_cell_volume   233.33547681
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.51534388  0.51302295  0.72415774  1
  Tm  Tm1  1  0.35079041  0.18213797  0.33677194  1
  Tm  Tm2  1  0.85003495  0.18186155  0.83652070  1
  Tm  Tm3  1  0.01605555  0.51441658  0.22443705  1
  Tm  Tm4  1  0.68513890  0.85055663  0.44901183  1
  Zn  Zn5  1  0.97526913  0.43388258  0.54244065  1
  Tm  Tm6  1  0.18436067  0.84988656  0.94900699  1
  Zn  Zn7  1  0.72535509  0.93071613  0.13083861  1
  Zn  Zn8  1  0.47568387  0.43350980  0.04257971  1
  Zn  Zn9  1  0.22506594  0.93076951  0.63075908  1
"
