cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,11,4,11,0,0,300.0000,511,123.2776,0.0100,26.8461,16.0238,756.52
1,11,4,4,7,0,300.0000,515,95.3864,0.0099,26.0291,14.8449,101.43
2,7,4,4,3,0,300.0000,519,105.9616,0.0099,25.3408,15.2552,96.18
3,12,4,4,8,0,300.0000,523,59.3497,0.0099,26.9490,15.3178,96.42
4,6,3,3,3,0,300.0000,526,84.6502,0.0098,24.0737,14.2788,98.63
5,9,4,4,5,0,300.0000,530,112.3136,0.0098,24.8325,14.7229,103.98
6,7,4,4,3,0,300.0000,534,114.5592,0.0096,25.2430,15.5135,152.09
7,7,4,4,3,0,300.0000,538,87.4161,0.0097,24.4108,14.9829,272.70
8,8,4,4,4,0,300.0000,542,109.1315,0.0098,24.6560,15.2668,119.50
9,9,4,4,5,0,300.0000,546,96.7668,0.0098,23.6702,14.6592,122.98
10,12,4,4,8,0,300.0000,550,122.3304,0.0097,23.1168,14.9217,99.64
11,8,4,4,4,0,300.0000,554,110.3076,0.0097,23.2746,14.5021,104.80
12,8,4,4,4,0,300.0000,558,108.5352,0.0096,21.9129,13.8994,158.45
13,14,4,4,10,0,300.0000,562,137.4851,0.0095,23.9640,14.6971,161.94
14,9,4,4,5,0,300.0000,566,91.8147,0.0095,22.3909,14.3382,110.30
15,8,4,4,4,0,300.0000,570,113.7103,0.0094,24.2912,15.5680,131.76
16,15,4,4,11,0,300.0000,574,92.5647,0.0094,22.5331,14.0010,175.46
17,7,4,4,3,0,300.0000,578,102.4130,0.0093,22.8473,14.5286,113.96
18,7,4,4,3,0,300.0000,582,82.3929,0.0093,22.5463,14.6413,263.84
19,6,3,3,3,0,300.0000,585,88.2521,0.0092,22.7390,14.2927,113.66
