"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Gd1 Ho1 Mg2)
Reduced Formula: GdHoMg2
abc   :   4.781782   5.983400   5.982003
angles:  45.784101  66.437760  66.443419
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Mg    0.973072  0.362767  0.441031  [-0.001964278519153595, -0.00232101883739233, 0.014832381159067154]
  1  Ho    0.470532  0.86489   0.944442  [0.004267113283276558, -0.0021693450398743153, -0.005263304337859154]
  2  Gd    0.722876  0.112736  0.193155  [-0.0045806909911334515, 0.006502844393253326, -0.005525401793420315]
  3  Mg    0.220857  0.614706  0.694745  [0.002277844585478306, -0.0020124968141317368, -0.0040436708368361]","GdHoMg2","('Gd', 'Ho', 'Mg')","0.047136737231732215","0","# generated using pymatgen
data_GdHoMg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.78178221
_cell_length_b   5.98340031
_cell_length_c   5.98200314
_cell_angle_alpha   45.78410131
_cell_angle_beta   66.43775980
_cell_angle_gamma   66.44341936
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdHoMg2
_chemical_formula_sum   'Gd1 Ho1 Mg2'
_cell_volume   110.52100652
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.97307230  0.36276738  0.44103050  1
  Ho  Ho1  1  0.47053245  0.86488983  0.94444152  1
  Gd  Gd2  1  0.72287593  0.11273584  0.19315488  1
  Mg  Mg3  1  0.22085739  0.61470562  0.69474451  1
"
"Full Formula (Li5 Mn2 Cr1 S7)
Reduced Formula: Li5Mn2CrS7
abc   :   3.531509   6.951737  11.453085
angles:  76.872663  77.286599  69.781088
pbc   :       True       True       True
Sites (15)
  #  SP            a          b         c  forces
---  ----  ---------  ---------  --------  -----------------------------------------------------------------------
  0  S      0.800967   0.954664  0.242109  [-0.0002703368663787842, 0.0021773353219032288, 0.0004952996969223022]
  1  S      0.560398   0.655537  0.047808  [-0.007100710645318031, 0.001704677939414978, -0.002209101337939501]
  2  S      0.02151   -0.064866  0.81126   [0.0001621246337890625, -0.0010705552995204926, -0.0005253106355667114]
  3  Li     1.34369    0.215918  0.751167  [0.0515550896525383, -0.019748926162719727, 0.017164666205644608]
  4  Li     0.199629   1.03359   0.402935  [-0.004361491650342941, 0.005463758483529091, -0.003574959933757782]
  5  Li     0.449436   0.690871  0.259151  [-0.008135290816426277, -0.0009603090584278107, -0.0015316419303417206]
  6  Mn     0.702394   0.796784  0.698981  [-0.014613674953579903, 0.00030291080474853516, -0.00752626359462738]
  7  Li     0.230778   0.552017  0.904599  [-0.02442830428481102, 0.005830287933349609, -0.009359579533338547]
  8  Mn    -0.284326   0.304672  0.164571  [-0.004255227744579315, 0.001733630895614624, -0.0015176385641098022]
  9  Li     0.900355   0.35319   0.521523  [0.01855544000864029, 0.001355394721031189, 0.00954639445990324]
 10  S      0.234353   1.1868    1.00009   [0.009198557585477829, -1.8417835235595703e-05, 0.0064830482006073]
 11  Cr     0.895164   0.924213  0.029313  [0.0017439797520637512, 4.2811036109924316e-05, 0.0011649355292320251]
 12  S      0.084065   0.395136  0.28956   [0.00319671630859375, 0.002802126109600067, 0.0007411390542984009]
 13  S      0.386755   0.56702   0.668144  [-0.02728426642715931, 0.0024909600615501404, -0.011024795472621918]
 14  S      0.5668     0.089737  0.549949  [0.006037367507815361, -0.0021056681871414185, 0.0016737952828407288]","Li5Mn2CrS7","('Cr', 'Li', 'Mn', 'S')","0.11795397848790615","0","# generated using pymatgen
data_Li5Mn2CrS7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.53150899
_cell_length_b   6.95173722
_cell_length_c   11.45308541
_cell_angle_alpha   76.87266330
_cell_angle_beta   77.28659950
_cell_angle_gamma   69.78108834
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li5Mn2CrS7
_chemical_formula_sum   'Li5 Mn2 Cr1 S7'
_cell_volume   253.85094307
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  S  S0  1  0.80096739  0.95466427  0.24210870  1
  S  S1  1  0.56039843  0.65553666  0.04780756  1
  S  S2  1  0.02151000  -0.06486552  0.81125979  1
  Li  Li3  1  1.34368564  0.21591820  0.75116669  1
  Li  Li4  1  0.19962935  1.03359337  0.40293455  1
  Li  Li5  1  0.44943584  0.69087139  0.25915089  1
  Mn  Mn6  1  0.70239354  0.79678397  0.69898054  1
  Li  Li7  1  0.23077773  0.55201721  0.90459921  1
  Mn  Mn8  1  -0.28432584  0.30467188  0.16457111  1
  Li  Li9  1  0.90035519  0.35318984  0.52152314  1
  S  S10  1  0.23435323  1.18679700  1.00008811  1
  Cr  Cr11  1  0.89516359  0.92421263  0.02931282  1
  S  S12  1  0.08406489  0.39513648  0.28955994  1
  S  S13  1  0.38675541  0.56701975  0.66814381  1
  S  S14  1  0.56679998  0.08973691  0.54994914  1
"
"Full Formula (Sr2 Sb2 O6)
Reduced Formula: SrSbO3
abc   :   6.418745   6.019473   6.110853
angles:  55.860339  60.189199  59.802453
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Sb    0.444999  0.814739  0.086828  [-0.02103683352470398, 0.007636904716491699, -0.027422547340393066]
  1  Sr    0.016095  0.266596  0.548462  [0.016189448535442352, 0.015705689787864685, -0.015848778188228607]
  2  Sb    0.369357  0.489631  0.769333  [0.010540559887886047, -0.0022564902901649475, -0.0021483898162841797]
  3  O     0.575783  0.114462  1.01506   [-0.020229876041412354, 0.00395183265209198, 0.009182602167129517]
  4  O     0.181564  0.819299  0.47499   [-0.008281528949737549, -0.008934378623962402, 0.009638741612434387]
  5  Sr    0.80836   1.01687   0.28544   [-0.0043490976095199585, -0.007212519645690918, -0.007779516279697418]
  6  O     0.176309  0.221122  0.900367  [-0.008933722972869873, 0.0035940036177635193, 0.007288247346878052]
  7  O     0.607718  0.373649  0.451742  [-0.013459771871566772, -0.013375699520111084, -0.0059920549392700195]
  8  O     0.142228  0.633545  0.063075  [0.0358007550239563, 0.01845717430114746, 0.023797929286956787]
  9  O     0.621457  0.660936  0.657242  [0.013760268688201904, -0.017566800117492676, 0.009284228086471558]","SrSbO3","('O', 'Sb', 'Sr')","0.24926580763092893","0","# generated using pymatgen
data_SrSbO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.41874450
_cell_length_b   6.01947298
_cell_length_c   6.11085299
_cell_angle_alpha   55.86033862
_cell_angle_beta   60.18919854
_cell_angle_gamma   59.80245312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrSbO3
_chemical_formula_sum   'Sr2 Sb2 O6'
_cell_volume   161.10229481
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.44499934  0.81473934  0.08682816  1
  Sr  Sr1  1  0.01609505  0.26659617  0.54846223  1
  Sb  Sb2  1  0.36935697  0.48963060  0.76933307  1
  O  O3  1  0.57578287  0.11446226  1.01505947  1
  O  O4  1  0.18156406  0.81929862  0.47499013  1
  Sr  Sr5  1  0.80836010  1.01686909  0.28543989  1
  O  O6  1  0.17630854  0.22112184  0.90036659  1
  O  O7  1  0.60771787  0.37364872  0.45174217  1
  O  O8  1  0.14222834  0.63354502  0.06307489  1
  O  O9  1  0.62145715  0.66093603  0.65724242  1
"
"Full Formula (Cs2 Ag3 F11)
Reduced Formula: Cs2Ag3F11
abc   :   6.703541   7.005392   8.201128
angles:  79.904809  94.402924 103.650607
pbc   :       True       True       True
Sites (16)
  #  SP            a          b          c  forces
---  ----  ---------  ---------  ---------  ---------------------------------------------------------------------
  0  Ag     0.716803   0.673718   0.945463  [0.009150430560112, 0.010128453373908997, -0.0083695650100708]
  1  Cs    -0.019816   0.464323   0.587795  [0.011850729584693909, -0.006288629025220871, 0.01595858484506607]
  2  F      0.610484   0.143692   0.306321  [-0.025338709354400635, -0.007426619529724121, 0.0022891759872436523]
  3  Ag     0.442603   0.473384   0.307528  [-0.015180319547653198, -0.009836763143539429, 0.00438922643661499]
  4  F      0.644631   0.40615    0.889116  [0.03885279595851898, 0.012321233749389648, -0.0007710307836532593]
  5  F      0.695687   0.665165   0.354886  [-0.008678019046783447, -0.03685656189918518, 0.029325976967811584]
  6  F      0.429572   0.345597   0.538481  [-0.04864861071109772, -0.017726778984069824, 0.008100271224975586]
  7  F      0.447745   0.611942   0.06635   [0.007055699825286865, -0.005171239376068115, 0.0009671151638031006]
  8  Ag     0.512825  -0.06015    0.49694   [0.002517707645893097, -0.005084553733468056, 0.005447804927825928]
  9  F     -0.015537   0.715532   0.851637  [0.009535908699035645, 0.03964804857969284, -0.032809674739837646]
 10  Cs     0.322603   0.035477  -0.005192  [0.02598854899406433, 0.0084657222032547, -0.0056482404470443726]
 11  F      0.285088   0.808163   0.359813  [0.0020412802696228027, -0.014286160469055176, 0.017177224159240723]
 12  F      0.79246    0.938468   1.0049    [-0.023798897862434387, 0.0022407174110412598, -0.005397677421569824]
 13  F      0.191556   0.287114   0.256127  [-0.019657135009765625, 0.02210831642150879, -0.027702398598194122]
 14  F      0.404683   0.753342   0.694379  [0.03418436646461487, -0.008797720074653625, 0.011341750621795654]
 15  F      0.745603   1.05011    0.634702  [0.00012427568435668945, 0.016562610864639282, -0.014298319816589355]","Cs2Ag3F11","('Ag', 'Cs', 'F')","0.058795861033888855","0","# generated using pymatgen
data_Cs2Ag3F11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.70354053
_cell_length_b   7.00539199
_cell_length_c   8.20112813
_cell_angle_alpha   79.90480903
_cell_angle_beta   94.40292417
_cell_angle_gamma   103.65060746
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2Ag3F11
_chemical_formula_sum   'Cs2 Ag3 F11'
_cell_volume   368.20713177
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.71680272  0.67371794  0.94546281  1
  Cs  Cs1  1  -0.01981587  0.46432346  0.58779522  1
  F  F2  1  0.61048402  0.14369176  0.30632059  1
  Ag  Ag3  1  0.44260348  0.47338435  0.30752833  1
  F  F4  1  0.64463135  0.40615004  0.88911561  1
  F  F5  1  0.69568656  0.66516549  0.35488594  1
  F  F6  1  0.42957228  0.34559732  0.53848141  1
  F  F7  1  0.44774487  0.61194228  0.06635040  1
  Ag  Ag8  1  0.51282535  -0.06014972  0.49693968  1
  F  F9  1  -0.01553742  0.71553240  0.85163683  1
  Cs  Cs10  1  0.32260281  0.03547720  -0.00519167  1
  F  F11  1  0.28508783  0.80816251  0.35981267  1
  F  F12  1  0.79245968  0.93846756  1.00489474  1
  F  F13  1  0.19155556  0.28711353  0.25612706  1
  F  F14  1  0.40468316  0.75334172  0.69437916  1
  F  F15  1  0.74560328  1.05011002  0.63470173  1
"
"Full Formula (K3 Pd2 Br7)
Reduced Formula: K3Pd2Br7
abc   :   6.528546   6.601962  12.600830
angles: 107.175616 102.816879  94.265642
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Pd    0.234117  0.905389  0.540046  [-0.0006092190742492676, -0.022369354963302612, 0.007177382707595825]
  1  Br    0.488616  0.727793  0.056702  [0.002742508426308632, 0.026248665526509285, -0.00487565528601408]
  2  K     0.373524  0.617368  0.778752  [-0.006517596542835236, 0.007347665727138519, 0.003089204430580139]
  3  Br    0.557435  0.732214  0.540137  [-0.005833566188812256, -0.04235181212425232, 0.006475428119301796]
  4  Br    0.00874   0.241206  0.098369  [-0.0070534758269786835, -0.008459927514195442, -0.03316245228052139]
  5  Br    0.061603  0.668975  0.3485    [0.009052112698554993, 0.0009329617023468018, -0.013723522424697876]
  6  Pd    0.714841  0.114502  0.651464  [0.000399857759475708, -0.002250581979751587, 0.01073504239320755]
  7  K     0.537356  0.295323  0.15517   [0.0010171234607696533, 0.01045866310596466, -0.010777339339256287]
  8  K     0.002043  0.739675  0.083329  [0.0024746470153331757, -0.003207884728908539, -0.0029282551258802414]
  9  Br    0.422329  0.110192  0.751064  [0.006396882236003876, -0.004343315958976746, 0.007151961326599121]
 10  Br    0.955246  0.132916  0.529626  [-0.0033234506845474243, -0.005084007978439331, 0.021171867847442627]
 11  Br    0.85949   0.488174  0.77092   [0.0012542009353637695, 0.043078839778900146, 0.00966644287109375]","K3Pd2Br7","('Br', 'K', 'Pd')","0.004325794414104949","0","# generated using pymatgen
data_K3Pd2Br7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.52854580
_cell_length_b   6.60196184
_cell_length_c   12.60083041
_cell_angle_alpha   107.17561569
_cell_angle_beta   102.81687879
_cell_angle_gamma   94.26564162
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K3Pd2Br7
_chemical_formula_sum   'K3 Pd2 Br7'
_cell_volume   500.22511562
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.23411677  0.90538912  0.54004614  1
  Br  Br1  1  0.48861626  0.72779313  0.05670210  1
  K  K2  1  0.37352359  0.61736810  0.77875215  1
  Br  Br3  1  0.55743545  0.73221441  0.54013743  1
  Br  Br4  1  0.00874040  0.24120615  0.09836864  1
  Br  Br5  1  0.06160258  0.66897511  0.34850014  1
  Pd  Pd6  1  0.71484129  0.11450198  0.65146366  1
  K  K7  1  0.53735648  0.29532346  0.15517043  1
  K  K8  1  0.00204303  0.73967499  0.08332870  1
  Br  Br9  1  0.42232937  0.11019159  0.75106381  1
  Br  Br10  1  0.95524577  0.13291586  0.52962613  1
  Br  Br11  1  0.85949010  0.48817440  0.77092026  1
"
"Full Formula (Dy1 Zr3)
Reduced Formula: DyZr3
abc   :   3.241498   3.239215  10.619349
angles: 107.750476 107.681695  89.433628
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Zr    0.664839  0.626999  0.340107  [0.025538820773363113, 0.020155731588602066, -0.014307558536529541]
  1  Zr    0.420493  0.378989  0.572313  [-0.015252855606377125, -0.014026623219251633, 0.033136606216430664]
  2  Zr    0.157552  1.11325   0.807208  [-0.017376389354467392, -0.015979081392288208, -0.028196297585964203]
  3  Dy    0.906656  0.864689  0.072319  [0.007090449333190918, 0.009849965572357178, 0.009367262944579124]","DyZr3","('Dy', 'Zr')","0.12643161585684054","0","# generated using pymatgen
data_DyZr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.24149828
_cell_length_b   3.23921539
_cell_length_c   10.61934866
_cell_angle_alpha   107.75047553
_cell_angle_beta   107.68169521
_cell_angle_gamma   89.43362850
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyZr3
_chemical_formula_sum   'Dy1 Zr3'
_cell_volume   100.75598228
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.66483926  0.62699851  0.34010694  1
  Zr  Zr1  1  0.42049308  0.37898949  0.57231283  1
  Zr  Zr2  1  0.15755225  1.11324670  0.80720806  1
  Dy  Dy3  1  0.90665557  0.86468877  0.07231917  1
"
"Full Formula (Rb1 K1 S2 O8)
Reduced Formula: KRb(SO4)2
abc   :   5.817427   6.101107   7.276327
angles:  82.157999  88.903115 101.490765
pbc   :       True       True       True
Sites (12)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  O     0.866899  0.812866   0.802351  [-0.026883192360401154, 0.009023100137710571, -0.028479687869548798]
  1  S     0.404986  0.990256   0.344325  [-0.001692652702331543, -0.008419573307037354, 0.013209141790866852]
  2  O     0.634461  0.997224   0.245851  [-0.011370357125997543, -0.004885286092758179, 0.01988927461206913]
  3  O     0.752272  0.536357   0.077087  [0.007623288780450821, -0.011200614273548126, -0.018144160509109497]
  4  O     0.241212  0.06011    0.203691  [-0.00013552606105804443, -0.005666647106409073, 0.007782101631164551]
  5  Rb    0.983807  0.346926   0.405058  [-0.0024795271456241608, -0.026281502097845078, 0.00648314505815506]
  6  O     0.436622  0.145114   0.486929  [-0.002144171856343746, -0.01182541437447071, 0.008242592215538025]
  7  O     0.803926  0.408434   0.780947  [0.01498083770275116, 0.013565614819526672, -0.015761688351631165]
  8  O     0.142293  0.590215  -0.063576  [0.0003184080123901367, 0.03718632459640503, -0.020349301397800446]
  9  S     0.891958  0.587386   0.896288  [-0.0015027495101094246, 0.011972811073064804, -0.019625186920166016]
 10  O     0.311072  0.754901   0.434996  [-0.0016497820615768433, -0.01728668250143528, 0.020063137635588646]
 11  K     0.46684   0.998841   0.86384   [0.024935204535722733, 0.013817906379699707, 0.026690222322940826]","KRb(SO4)2","('K', 'O', 'Rb', 'S')","0.12612876178299867","1","# generated using pymatgen
data_KRb(SO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.81742672
_cell_length_b   6.10110704
_cell_length_c   7.27632704
_cell_angle_alpha   82.15799866
_cell_angle_beta   88.90311477
_cell_angle_gamma   101.49076456
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KRb(SO4)2
_chemical_formula_sum   'Rb1 K1 S2 O8'
_cell_volume   250.42813994
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.86689886  0.81286582  0.80235062  1
  S  S1  1  0.40498603  0.99025573  0.34432550  1
  O  O2  1  0.63446102  0.99722372  0.24585132  1
  O  O3  1  0.75227180  0.53635725  0.07708724  1
  O  O4  1  0.24121191  0.06011031  0.20369112  1
  Rb  Rb5  1  0.98380657  0.34692621  0.40505811  1
  O  O6  1  0.43662227  0.14511356  0.48692931  1
  O  O7  1  0.80392606  0.40843446  0.78094750  1
  O  O8  1  0.14229341  0.59021510  -0.06357590  1
  S  S9  1  0.89195799  0.58738571  0.89628781  1
  O  O10  1  0.31107183  0.75490063  0.43499649  1
  K  K11  1  0.46684023  0.99884103  0.86384043  1
"
"Full Formula (Eu2 Mg1 Zn2 Cd1)
Reduced Formula: Eu2MgZn2Cd
abc   :   4.867731   4.868824   7.555153
angles:  89.951863  90.004474 120.000127
pbc   :       True       True       True
Sites (6)
  #  SP            a         b          c  forces
---  ----  ---------  --------  ---------  ----------------------------------------------------------------------
  0  Eu    -0.011705  0.750847  -0.002133  [-0.0007849228568375111, 0.004297491163015366, -0.009747005999088287]
  1  Cd     0.322288  0.418755   0.735744  [-0.0018628932302817702, 0.0012797215022146702, -0.027351632714271545]
  2  Zn     0.320994  0.416567   0.226667  [-0.0008682728512212634, 0.03361997753381729, -0.004112470429390669]
  3  Zn     0.65576   0.086181   0.229788  [0.00047828006790950894, -0.00698241638019681, 0.0019610878080129623]
  4  Eu     0.991194  0.757389   0.456278  [0.0030543063767254353, -0.05329824984073639, 0.015483349561691284]
  5  Mg     0.655261  0.08499    0.719328  [-1.6518868505954742e-05, 0.021083462983369827, 0.0237666517496109]","Eu2MgZn2Cd","('Cd', 'Eu', 'Mg', 'Zn')","0.03348003563070034","1","# generated using pymatgen
data_Eu2MgZn2Cd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.86773082
_cell_length_b   4.86882366
_cell_length_c   7.55515309
_cell_angle_alpha   89.95186321
_cell_angle_beta   90.00447373
_cell_angle_gamma   120.00012722
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Eu2MgZn2Cd
_chemical_formula_sum   'Eu2 Mg1 Zn2 Cd1'
_cell_volume   155.06856101
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu0  1  -0.01170504  0.75084686  -0.00213323  1
  Cd  Cd1  1  0.32228754  0.41875486  0.73574437  1
  Zn  Zn2  1  0.32099358  0.41656704  0.22666674  1
  Zn  Zn3  1  0.65576003  0.08618138  0.22978788  1
  Eu  Eu4  1  0.99119369  0.75738921  0.45627805  1
  Mg  Mg5  1  0.65526135  0.08498978  0.71932753  1
"
"Full Formula (Cs1 Rb3 Cu1 F5)
Reduced Formula: CsRb3CuF5
abc   :  11.525009   8.560796  12.087325
angles:  36.176256  19.660168  38.957482
pbc   :       True       True       True
Sites (10)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  -----------------------------------------------------------------------
  0  Cu    0.495807   0.891456  0.612525  [-0.04491713270545006, -0.007181576453149319, 0.023481465876102448]
  1  Cs    0.002071   0.469208  0.8886    [0.009506143629550934, -0.00024787336587905884, -0.00562720000743866]
  2  Rb    0.212647   0.748645  0.231785  [0.004778070375323296, 0.00476047582924366, -0.003514118492603302]
  3  Rb    0.650629   1.0326    0.113943  [0.0012182341888546944, -0.0012743044644594193, -0.0005741063505411148]
  4  F     0.386982  -0.081898  0.200493  [0.03703328222036362, 0.0003976747393608093, -0.021516617387533188]
  5  F     0.639441   0.566238  0.731717  [-0.05027255415916443, 0.0023664236068725586, 0.027556374669075012]
  6  F     0.206145   0.668279  0.805958  [-0.01258387416601181, -0.007852834649384022, 0.009620044380426407]
  7  F     0.374861   0.217546  0.469238  [-0.04070058465003967, -0.01156681776046753, 0.023126840591430664]
  8  Rb    0.79281    0.309847  0.517272  [0.07756321132183075, 0.014388262294232845, -0.04243034869432449]
  9  F     0.639334   0.105042  0.569434  [0.018375232815742493, 0.0062105692923069, -0.010122306644916534]","CsRb3CuF5","('Cs', 'Cu', 'F', 'Rb')","0.01808200985336799","1","# generated using pymatgen
data_CsRb3CuF5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.52500893
_cell_length_b   8.56079568
_cell_length_c   12.08732496
_cell_angle_alpha   36.17625585
_cell_angle_beta   19.66016771
_cell_angle_gamma   38.95748244
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsRb3CuF5
_chemical_formula_sum   'Cs1 Rb3 Cu1 F5'
_cell_volume   235.91734246
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.49580706  0.89145584  0.61252456  1
  Cs  Cs1  1  0.00207083  0.46920751  0.88860018  1
  Rb  Rb2  1  0.21264701  0.74864454  0.23178469  1
  Rb  Rb3  1  0.65062881  1.03259883  0.11394320  1
  F  F4  1  0.38698169  -0.08189812  0.20049254  1
  F  F5  1  0.63944094  0.56623780  0.73171709  1
  F  F6  1  0.20614488  0.66827895  0.80595777  1
  F  F7  1  0.37486051  0.21754560  0.46923753  1
  Rb  Rb8  1  0.79280963  0.30984707  0.51727196  1
  F  F9  1  0.63933389  0.10504214  0.56943424  1
"
"Full Formula (Li1 Mo1 H4 O5)
Reduced Formula: LiMoH4O5
abc   :   3.760280   6.623027   5.593232
angles:  96.677150 107.234617  89.961378
pbc   :       True       True       True
Sites (11)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  O      0.588355  0.418495  0.314278  [0.005302168428897858, 0.0060199350118637085, 0.039873868227005005]
  1  O      0.069097  0.713472  0.293605  [-0.0030259937047958374, 0.0021837949752807617, -0.01367245614528656]
  2  O      0.683911  0.874397  0.627705  [0.011589005589485168, -0.0005622208118438721, -0.047858551144599915]
  3  O      1.11098   0.14234   0.363171  [-0.0021793246269226074, 0.0074051618576049805, 0.025462806224822998]
  4  Li     0.688958  0.171117  0.534398  [0.005625315010547638, 0.00233377143740654, 0.021632865071296692]
  5  O     -0.106796  0.350816  0.869363  [-0.014968961477279663, -0.012378215789794922, 0.025294780731201172]
  6  H      0.749918  0.81738   0.787054  [0.016612287610769272, -0.016882702708244324, -0.04791778326034546]
  7  H     -0.104558  0.744786  0.394857  [0.0022294968366622925, 0.009604029357433319, 0.00040212273597717285]
  8  H      0.441051  0.804113  0.520357  [-0.004453837871551514, -0.007465735077857971, -0.056736305356025696]
  9  H      0.081721  0.00534   0.270089  [-0.013941938057541847, 0.0047378987073898315, 0.011784225702285767]
 10  Mo     0.035024  0.405224  0.194573  [-0.002787947654724121, 0.005004167556762695, 0.04173445701599121]","LiMoH4O5","('H', 'Li', 'Mo', 'O')","0.21737538782396232","2","# generated using pymatgen
data_LiMoH4O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.76027980
_cell_length_b   6.62302695
_cell_length_c   5.59323217
_cell_angle_alpha   96.67715038
_cell_angle_beta   107.23461683
_cell_angle_gamma   89.96137779
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMoH4O5
_chemical_formula_sum   'Li1 Mo1 H4 O5'
_cell_volume   132.05561802
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.58835479  0.41849452  0.31427803  1
  O  O1  1  0.06909661  0.71347184  0.29360457  1
  O  O2  1  0.68391135  0.87439720  0.62770532  1
  O  O3  1  1.11097689  0.14234034  0.36317058  1
  Li  Li4  1  0.68895838  0.17111730  0.53439773  1
  O  O5  1  -0.10679582  0.35081617  0.86936309  1
  H  H6  1  0.74991784  0.81738029  0.78705386  1
  H  H7  1  -0.10455819  0.74478590  0.39485664  1
  H  H8  1  0.44105144  0.80411315  0.52035723  1
  H  H9  1  0.08172085  0.00534007  0.27008888  1
  Mo  Mo10  1  0.03502362  0.40522408  0.19457252  1
"
