cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,300.0000,516,59.5361,0.0096,25.1469,14.9091,1184.39
1,16,4,4,12,0,300.0000,520,72.9615,0.0096,24.0966,14.8432,234.88
2,16,4,4,12,0,300.0000,524,105.9280,0.0096,23.5198,13.8959,87.11
3,16,4,4,12,0,300.0000,528,71.7110,0.0095,25.5607,15.7091,134.64
4,13,4,4,9,0,300.0000,532,120.2219,0.0095,22.7344,14.2995,152.67
5,16,4,4,12,0,300.0000,536,109.0131,0.0095,23.9479,14.8666,118.92
6,16,4,4,12,0,300.0000,540,82.1817,0.0095,24.8502,14.7756,107.40
7,16,4,4,12,0,300.0000,544,116.6113,0.0092,23.8414,14.5165,133.17
8,16,4,4,12,0,300.0000,548,105.9649,0.0092,23.3006,14.5333,285.95
9,16,4,4,12,0,300.0000,552,101.3518,0.0092,24.1117,14.7780,129.65
10,14,4,4,10,0,300.0000,556,110.0081,0.0092,23.3724,14.2597,97.05
11,16,4,4,12,0,300.0000,560,114.7617,0.0091,23.7513,14.6305,124.02
12,16,4,4,12,0,300.0000,564,116.1041,0.0091,24.5470,14.0929,137.93
13,16,4,4,12,0,300.0000,568,131.1231,0.0091,23.3934,14.3055,116.99
14,16,4,4,12,0,300.0000,572,128.3543,0.0091,23.5052,14.2933,124.13
15,16,4,4,12,0,300.0000,576,124.6485,0.0092,21.2885,13.5200,113.24
16,16,4,4,12,0,300.0000,580,180.8897,0.0091,21.7793,13.4318,134.36
17,16,4,4,12,0,300.0000,584,113.8966,0.0092,23.5022,14.4791,271.18
18,16,4,4,12,0,300.0000,588,127.8466,0.0091,22.9024,13.7433,131.32
19,16,4,4,12,0,300.0000,592,161.0647,0.0093,21.3602,13.3559,217.68
