cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,16,8,16,0,0,1.5000,12,0.1775,nan,nan,nan,1450.12,nan,nan,nan
1,16,8,16,0,0,1.5000,23,0.2146,nan,nan,nan,958.93,nan,nan,nan
2,16,8,8,8,0,1.5000,26,0.2841,0.0000,0.0000,0.0000,577.68,nan,nan,nan
3,16,8,8,8,0,1.5000,30,0.2858,0.0000,0.0000,0.0000,266.61,nan,nan,nan
4,16,8,8,8,0,1.5000,35,0.4043,0.0000,0.0000,0.0000,506.98,nan,nan,nan
5,16,8,16,0,1,1.5000,42,0.0994,nan,nan,nan,964.71,0.9580,1.0000,1.0000
6,16,8,8,8,0,1.5000,47,0.4573,0.0017,0.0262,0.0000,553.47,nan,nan,nan
7,16,8,8,8,0,1.5000,50,0.3411,0.0009,0.0152,0.0152,389.84,nan,nan,nan
8,16,8,8,8,0,1.5000,53,0.4328,0.0024,0.0390,0.0000,508.23,nan,nan,nan
9,16,8,8,8,0,1.5000,58,0.3469,0.0000,0.0000,0.0000,643.60,nan,nan,nan
