number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_bags,params_n_estimators,params_neg_sample_ratio,state
0,0.9351877175116531,2026-05-29 15:27:56.977745,2026-05-29 15:36:45.126694,0 days 00:08:48.148949,20,2,10,350,1.9260714596148742,COMPLETE
1,0.924113746249833,2026-05-29 15:36:45.134841,2026-05-29 15:43:02.226048,0 days 00:06:17.091207,20,8,7,400,0.5871254182522991,COMPLETE
2,0.9033231746073888,2026-05-29 15:43:02.242649,2026-05-29 15:48:32.010522,0 days 00:05:29.767873,10,2,5,350,1.9548647782429915,COMPLETE
3,0.9307556557990824,2026-05-29 15:48:32.018721,2026-05-29 15:53:28.224718,0 days 00:04:56.205997,16,3,7,250,0.9563633644393066,COMPLETE
4,0.9219212749238779,2026-05-29 15:53:28.242024,2026-05-29 15:57:20.273683,0 days 00:03:52.031659,14,5,14,200,0.7092407909780627,COMPLETE
5,0.9316264560236138,2026-05-29 15:57:20.274212,2026-05-29 16:06:59.908024,0 days 00:09:39.633812,20,1,17,250,0.7995106732375397,COMPLETE
6,0.9274524849079432,2026-05-29 16:06:59.924467,2026-05-29 16:08:21.780233,0 days 00:01:21.855766,29,10,14,100,0.7557861855309373,PRUNED
7,0.9327213826569528,2026-05-29 16:08:21.780634,2026-05-29 16:12:35.050620,0 days 00:04:13.269986,22,5,17,100,0.9569206537600561,COMPLETE
8,0.9349049649967759,2026-05-29 16:12:35.090630,2026-05-29 16:15:17.681735,0 days 00:02:42.591105,28,3,6,100,1.2427653651669053,COMPLETE
9,0.9337621516946968,2026-05-29 16:15:17.682221,2026-05-29 16:21:23.799988,0 days 00:06:06.117767,19,2,15,250,0.9675666141341164,COMPLETE
10,0.8106736902812469,2026-05-29 16:21:23.856805,2026-05-29 16:23:36.086077,0 days 00:02:12.229272,5,7,10,350,1.8992929999178336,PRUNED
11,0.9351867537843139,2026-05-29 16:23:36.090424,2026-05-29 16:27:35.907353,0 days 00:03:59.816929,28,4,10,150,1.47042454782926,COMPLETE
12,0.9352577435005193,2026-05-29 16:27:35.924486,2026-05-29 16:32:38.112319,0 days 00:05:02.187833,25,4,10,200,1.6210912809578135,COMPLETE
13,0.9310565663216555,2026-05-29 16:32:38.112727,2026-05-29 16:41:55.490737,0 days 00:09:17.378010,25,1,10,350,1.68561236050184,COMPLETE
14,0.9332764650293701,2026-05-29 16:41:55.514867,2026-05-29 16:49:20.296066,0 days 00:07:24.781199,23,7,12,300,1.6862536973319178,COMPLETE
15,0.9135536177287141,2026-05-29 16:49:20.329646,2026-05-29 16:53:31.363328,0 days 00:04:11.033682,11,4,20,200,1.6889631648617418,PRUNED
16,0.9352151979484977,2026-05-29 16:53:31.365670,2026-05-29 17:03:14.456378,0 days 00:09:43.090708,25,3,9,400,1.4218736207076874,COMPLETE
17,0.9341456879755153,2026-05-29 17:03:14.595360,2026-05-29 17:12:13.889659,0 days 00:08:59.294299,25,6,8,400,1.319075310742581,COMPLETE
