number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_bags,params_n_estimators,params_neg_sample_ratio,state
0,0.9029909574764087,2026-05-29 15:27:56.336778,2026-05-29 15:45:40.422362,0 days 00:17:44.085584,20,2,10,350,1.9260714596148742,COMPLETE
1,0.8798564445452856,2026-05-29 15:45:40.522551,2026-05-29 15:59:49.851336,0 days 00:14:09.328785,20,8,7,400,0.5871254182522991,COMPLETE
2,0.840767393728987,2026-05-29 15:59:49.867195,2026-05-29 16:12:59.565375,0 days 00:13:09.698180,10,2,5,350,1.9548647782429915,COMPLETE
3,0.8890630752810157,2026-05-29 16:12:59.565677,2026-05-29 16:24:28.166810,0 days 00:11:28.601133,16,3,7,250,0.9563633644393066,COMPLETE
4,0.8722690590503648,2026-05-29 16:24:28.182673,2026-05-29 16:30:39.029168,0 days 00:06:10.846495,14,5,14,200,0.7092407909780627,COMPLETE
5,0.8987269985538962,2026-05-29 16:30:39.045559,2026-05-29 16:50:08.536632,0 days 00:19:29.491073,20,1,17,250,0.7995106732375397,COMPLETE
6,0.8833481769554443,2026-05-29 16:50:08.584197,2026-05-29 16:52:29.780077,0 days 00:02:21.195880,29,10,14,100,0.7557861855309373,PRUNED
7,0.8953734158652107,2026-05-29 16:52:29.792431,2026-05-29 17:00:05.773805,0 days 00:07:35.981374,22,5,17,100,0.9569206537600561,COMPLETE
8,0.9034707400000006,2026-05-29 17:00:05.849325,2026-05-29 17:05:33.061292,0 days 00:05:27.211967,28,3,6,100,1.2427653651669053,COMPLETE
9,0.898979407173778,2026-05-29 17:05:33.086519,2026-05-29 17:16:21.972562,0 days 00:10:48.886043,19,2,15,250,0.9675666141341164,COMPLETE
