number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8494463948871154,2026-05-29 15:28:20.631717,2026-05-29 15:30:40.054226,0 days 00:02:19.422509,0.6232334448672797,0.01700037298921102,7,10,250,1.9260714596148742,0.8661761457749352,1.4016725176148133,0.662397808134481,COMPLETE
1,0.8829179983815528,2026-05-29 15:30:40.054740,2026-05-29 15:32:50.598304,0 days 00:02:10.543564,0.6733618039413735,0.020589728197687916,9,16,300,0.5308767414437037,0.3042422429595377,1.2871346474483567,0.6727299868828402,COMPLETE
2,0.7976109884306556,2026-05-29 15:32:50.598778,2026-05-29 15:33:24.307666,0 days 00:00:33.708888,0.7824279936868144,0.027010527749605478,4,11,200,0.9368437102970628,0.7851759613930136,0.7995106732375397,0.7465447373174767,COMPLETE
3,0.8055785892044038,2026-05-29 15:33:24.308088,2026-05-29 15:33:57.480929,0 days 00:00:33.172841,0.9795542149013333,0.0178601378893971,7,13,50,1.3886218532930636,0.9656320330745594,1.7125960221746916,0.6260206371941118,COMPLETE
4,0.8216359440805248,2026-05-29 15:33:57.481293,2026-05-29 15:34:42.419726,0 days 00:00:44.938433,0.6137554084460873,0.015144860262751412,6,9,225,0.6465081710095758,0.9093204020787821,0.8881699724000254,0.798070764044508,COMPLETE
5,0.8386749805110899,2026-05-29 15:34:42.420152,2026-05-29 15:35:41.343497,0 days 00:00:58.923345,0.9100531293444458,0.01875220945578641,7,15,175,0.9675666141341164,0.9394989415641891,1.8422410256414732,0.9878338511058234,COMPLETE
6,0.7398860306137777,2026-05-29 15:35:41.344258,2026-05-29 15:35:56.616493,0 days 00:00:15.272235,0.7554709158757928,0.011662890273931383,4,14,50,1.8828113525346752,0.2713490317738959,1.743106263727894,0.7301321323053057,PRUNED
7,0.8508697712304911,2026-05-29 15:35:56.616825,2026-05-29 15:36:28.735577,0 days 00:00:32.118752,0.9947547746402069,0.1530883741573138,4,10,175,0.9214017645310711,0.7722447692966574,0.7980735223012586,0.6298202574719083,COMPLETE
8,0.9105221060615156,2026-05-29 15:36:28.735888,2026-05-29 15:37:43.165051,0 days 00:01:14.429163,0.7433862914177091,0.13780336485751998,8,5,225,1.7231921426822512,0.11586905952512971,1.7946551388133902,0.6296178606936361,COMPLETE
9,0.7782619141828852,2026-05-29 15:37:43.165482,2026-05-29 15:37:59.001381,0 days 00:00:15.835899,0.8550229885420852,0.030222834756467344,5,14,50,0.9963470372789738,0.8872127425763265,1.2083223877429239,0.8918424713352255,PRUNED
