number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_bags,params_n_estimators,params_neg_sample_ratio,state
0,0.9406455522769877,2026-05-29 15:27:56.502850,2026-05-29 15:43:23.350210,0 days 00:15:26.847360,20,2,10,350,1.9260714596148742,COMPLETE
1,0.9252760302082856,2026-05-29 15:43:23.401300,2026-05-29 15:54:35.808083,0 days 00:11:12.406783,20,8,7,400,0.5871254182522991,COMPLETE
2,0.9033288833039574,2026-05-29 15:54:35.857286,2026-05-29 16:04:43.548889,0 days 00:10:07.691603,10,2,5,350,1.9548647782429915,COMPLETE
3,0.9333929609024916,2026-05-29 16:04:43.594219,2026-05-29 16:15:25.474910,0 days 00:10:41.880691,16,3,7,250,0.9563633644393066,COMPLETE
4,0.9229059578345774,2026-05-29 16:15:25.518619,2026-05-29 16:21:41.563172,0 days 00:06:16.044553,14,5,14,200,0.7092407909780627,COMPLETE
5,0.9367583454721566,2026-05-29 16:21:41.579010,2026-05-29 16:39:13.392042,0 days 00:17:31.813032,20,1,17,250,0.7995106732375397,COMPLETE
6,0.9281434807696867,2026-05-29 16:39:13.436156,2026-05-29 16:43:01.672690,0 days 00:03:48.236534,29,10,14,100,0.7557861855309373,COMPLETE
7,0.9362183718118153,2026-05-29 16:43:01.673188,2026-05-29 16:50:44.518046,0 days 00:07:42.844858,22,5,17,100,0.9569206537600561,COMPLETE
8,0.9409241553826009,2026-05-29 16:50:44.556241,2026-05-29 16:55:37.607065,0 days 00:04:53.050824,28,3,6,100,1.2427653651669053,COMPLETE
9,0.9379809308131835,2026-05-29 16:55:37.650128,2026-05-29 17:05:58.405110,0 days 00:10:20.754982,19,2,15,250,0.9675666141341164,COMPLETE
10,0.9373928964609727,2026-05-29 17:05:58.438163,2026-05-29 17:18:52.474069,0 days 00:12:54.035906,29,7,20,150,1.5458576634977415,COMPLETE
