number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_bags,params_n_estimators,params_neg_sample_ratio,state
0,0.9406630452985576,2026-05-29 15:27:56.357018,2026-05-29 15:43:24.026088,0 days 00:15:27.669070,20,2,10,350,1.9260714596148742,COMPLETE
1,0.9254173280974609,2026-05-29 15:43:24.045110,2026-05-29 15:54:35.770255,0 days 00:11:11.725145,20,8,7,400,0.5871254182522991,COMPLETE
2,0.9032613303389887,2026-05-29 15:54:35.803254,2026-05-29 16:04:41.531189,0 days 00:10:05.727935,10,2,5,350,1.9548647782429915,COMPLETE
3,0.9334725393178044,2026-05-29 16:04:41.570200,2026-05-29 16:15:30.483718,0 days 00:10:48.913518,16,3,7,250,0.9563633644393066,COMPLETE
4,0.9228386711751003,2026-05-29 16:15:30.636991,2026-05-29 16:21:43.685433,0 days 00:06:13.048442,14,5,14,200,0.7092407909780627,COMPLETE
5,0.9367383709172208,2026-05-29 16:21:43.715518,2026-05-29 16:39:03.695191,0 days 00:17:19.979673,20,1,17,250,0.7995106732375397,COMPLETE
6,0.9292039940090161,2026-05-29 16:39:03.735490,2026-05-29 16:41:20.779280,0 days 00:02:17.043790,29,10,14,100,0.7557861855309373,PRUNED
7,0.9363100384668781,2026-05-29 16:41:20.779767,2026-05-29 16:48:53.617449,0 days 00:07:32.837682,22,5,17,100,0.9569206537600561,COMPLETE
8,0.9407384183699354,2026-05-29 16:48:53.644426,2026-05-29 16:53:45.792731,0 days 00:04:52.148305,28,3,6,100,1.2427653651669053,COMPLETE
9,0.9379358016983103,2026-05-29 16:53:45.793412,2026-05-29 17:04:05.677638,0 days 00:10:19.884226,19,2,15,250,0.9675666141341164,COMPLETE
10,0.937428790647008,2026-05-29 17:04:05.774652,2026-05-29 17:16:50.547300,0 days 00:12:44.772648,29,7,20,150,1.5458576634977415,COMPLETE
