number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9242121563880067,2026-05-29 15:27:56.354620,2026-05-29 15:31:11.331830,0 days 00:03:14.977210,0.6232334448672797,0.01700037298921102,7,10,250,1.9260714596148742,0.8661761457749352,1.4016725176148133,0.662397808134481,COMPLETE
1,0.9411221172369801,2026-05-29 15:31:11.332393,2026-05-29 15:35:13.782164,0 days 00:04:02.449771,0.6733618039413735,0.020589728197687916,9,16,300,0.5308767414437037,0.3042422429595377,1.2871346474483567,0.6727299868828402,COMPLETE
2,0.8865137412852345,2026-05-29 15:35:13.782810,2026-05-29 15:36:28.614274,0 days 00:01:14.831464,0.7824279936868144,0.027010527749605478,4,11,200,0.9368437102970628,0.7851759613930136,0.7995106732375397,0.7465447373174767,COMPLETE
3,0.8781448147076732,2026-05-29 15:36:28.615192,2026-05-29 15:37:38.984030,0 days 00:01:10.368838,0.9795542149013333,0.0178601378893971,7,13,50,1.3886218532930636,0.9656320330745594,1.7125960221746916,0.6260206371941118,COMPLETE
4,0.9029010802266931,2026-05-29 15:37:38.984453,2026-05-29 15:39:11.285970,0 days 00:01:32.301517,0.6137554084460873,0.015144860262751412,6,9,225,0.6465081710095758,0.9093204020787821,0.8881699724000254,0.798070764044508,COMPLETE
5,0.915594315260812,2026-05-29 15:39:11.286440,2026-05-29 15:41:08.377379,0 days 00:01:57.090939,0.9100531293444458,0.01875220945578641,7,15,175,0.9675666141341164,0.9394989415641891,1.8422410256414732,0.9878338511058234,COMPLETE
6,0.7929988379930336,2026-05-29 15:41:08.377733,2026-05-29 15:41:41.801578,0 days 00:00:33.423845,0.7554709158757928,0.011662890273931383,4,14,50,1.8828113525346752,0.2713490317738959,1.743106263727894,0.7301321323053057,PRUNED
7,0.9313484118238808,2026-05-29 15:41:41.802327,2026-05-29 15:42:51.638370,0 days 00:01:09.836043,0.9947547746402069,0.1530883741573138,4,10,175,0.9214017645310711,0.7722447692966574,0.7980735223012586,0.6298202574719083,COMPLETE
8,0.9532580753288636,2026-05-29 15:42:51.638871,2026-05-29 15:45:23.581176,0 days 00:02:31.942305,0.7433862914177091,0.13780336485751998,8,5,225,1.7231921426822512,0.11586905952512971,1.7946551388133902,0.6296178606936361,COMPLETE
9,0.8534242557130142,2026-05-29 15:45:23.581594,2026-05-29 15:45:56.310792,0 days 00:00:32.729198,0.8550229885420852,0.030222834756467344,5,14,50,0.9963470372789738,0.8872127425763265,1.2083223877429239,0.8918424713352255,PRUNED
10,0.9541449891018811,2026-05-29 15:45:56.311158,2026-05-29 15:48:25.286226,0 days 00:02:28.975068,0.7031707810405968,0.27953218463315727,10,5,125,1.5592004779335948,0.011114384822711307,1.953969609131142,0.8760988294276582,COMPLETE
11,0.9541005296985453,2026-05-29 15:48:25.287041,2026-05-29 15:50:54.315812,0 days 00:02:29.028771,0.7137827456726563,0.28969232317416627,10,5,125,1.5775705732126288,0.011046564754964586,1.9983757906873774,0.8810796931031994,COMPLETE
12,0.953904446563838,2026-05-29 15:50:54.316271,2026-05-29 15:53:23.480831,0 days 00:02:29.164560,0.6891391873199937,0.29709644819696446,10,5,125,1.4687846610548618,0.033585884934471955,1.9880571168606025,0.887098392707996,COMPLETE
13,0.9552293701850519,2026-05-29 15:53:23.509377,2026-05-29 15:58:12.208181,0 days 00:04:48.698804,0.6966219731921359,0.28566589314187435,10,20,125,1.497307997551048,0.4970853936108525,1.5282569121934015,0.8868629796025166,COMPLETE
14,0.9493139238477399,2026-05-29 15:58:12.209061,2026-05-29 16:01:48.367251,0 days 00:03:36.158190,0.8235194332173258,0.08661437933030057,9,20,100,1.2693150724540767,0.5776293574902625,1.4983411593479468,0.9601556176358149,COMPLETE
