model,descriptor,property,best_pca,R2,RMSE,Spearman,n_train
gp,orb,K_Voigt,25,0.8258196817481991,30.493258578565865,0.9193254802181634,100
mtgp_2,orb,K_Voigt,25,0.7843986516017423,33.91043886441029,0.902149666308152,100
dgp,orb,K_Voigt,10,0.788487482508161,33.617408550468,0.9057369101922734,100
gp,orb,K_VRH,25,0.8028100173487305,32.433793492285744,0.9103688042058072,100
mtgp_2,orb,K_VRH,25,0.7727382190331669,34.80775203725898,0.8952291631874443,100
dgp,orb,K_VRH,10,0.752144751782536,36.37039464381884,0.8932262312361864,100
gp,orb,K_Reuss,25,0.7647460815164386,35.796631042202286,0.892685649873114,100
mtgp_2,orb,K_Reuss,25,0.7446328902295889,37.28794569947753,0.8790247367238102,100
dgp,orb,K_Reuss,10,0.7043222526761814,40.12986873967948,0.8740472630846778,100
gp,orb,G_Voigt,25,0.6916745082503359,24.922744585199577,0.8584360836715659,100
mtgp_2,orb,G_Voigt,25,0.6849875457533358,25.19014450428291,0.8573399553025626,100
dgp,orb,G_Voigt,10,0.6571735231093372,26.30310731063101,0.8630864790727039,100
gp,orb,G_VRH,25,0.6512438515920187,26.018351955653948,0.8484007946211081,100
mtgp_2,orb,G_VRH,25,0.656011837649666,25.84019941746484,0.84723159166081,100
dgp,orb,G_VRH,10,0.6011566406359763,27.838879856065056,0.8535840026264445,100
gp,orb,G_Reuss,25,0.575501852098861,28.806853634714862,0.8016387939405579,100
mtgp_2,orb,G_Reuss,25,0.5951533826241316,28.132517155337137,0.8049982929249577,100
dgp,orb,G_Reuss,10,0.5168061777856033,30.74321897055239,0.8138955661456905,100
gp,orb,elastic_anisotropy,50,-0.003353321306536,20.016714686073893,0.2132133955056434,100
mtgp_2,orb,elastic_anisotropy,10,-0.008490627245161,20.067889009620767,0.1468943450693079,100
dgp,orb,elastic_anisotropy,50,-0.0033850815233894,20.017029052265087,0.0079729942058244,100
gp,orb,poisson_ratio,25,0.3780960853301053,0.0487318899980064,0.6379487411812879,100
mtgp_2,orb,poisson_ratio,50,0.3746150452135638,0.0486288357516689,0.6355149907741475,100
dgp,orb,poisson_ratio,25,0.2411253598217514,0.0534007128505494,0.5014770645061296,100
gp,orb,K_Voigt,50,0.9055170683769738,22.470192847070532,0.9560168830533444,250
mtgp_2,orb,K_Voigt,25,0.8334704508956374,29.80476518591795,0.9322124143054776,250
dgp,orb,K_Voigt,10,0.8497678249812164,28.344048471531796,0.9336721949649742,250
gp,orb,K_VRH,50,0.8828715780464821,24.98745271071474,0.9451562699593272,250
mtgp_2,orb,K_VRH,25,0.8193722610375331,31.004577487989923,0.9228909024207044,250
dgp,orb,K_VRH,10,0.8195162191657197,31.013078652160296,0.924819495188794,250
gp,orb,K_Reuss,50,0.8429480110534296,29.2427923443904,0.924948293678759,250
mtgp_2,orb,K_Reuss,25,0.784182447678448,34.268209080657854,0.9019399837581732,250
dgp,orb,K_Reuss,10,0.7646738458975515,35.7865735656189,0.9023813861109928,250
gp,orb,G_Voigt,50,0.7991693263019239,20.315930872007005,0.9054705988285128,250
mtgp_2,orb,G_Voigt,25,0.7090383176637729,24.457369834196182,0.8760217487608581,250
dgp,orb,G_Voigt,10,0.7489429318613636,22.71748567361687,0.8816258422603651,250
gp,orb,G_VRH,50,0.7516270418582612,22.144963079069612,0.8939980843507278,250
mtgp_2,orb,G_VRH,25,0.6795345110840274,25.160786798956757,0.8640371572312043,250
dgp,orb,G_VRH,10,0.6819442310846118,25.06244981907222,0.8694212499663552,250
gp,orb,G_Reuss,50,0.6714752314258725,25.57796765442317,0.8473515516803719,250
mtgp_2,orb,G_Reuss,25,0.6120470872616917,27.796939584880743,0.8159541493317164,250
dgp,orb,G_Reuss,10,0.5870776023814825,28.675359037428393,0.8243884458481107,250
gp,orb,elastic_anisotropy,50,-0.0028963594111457,21.53163217885473,0.2663261722273088,250
mtgp_2,orb,elastic_anisotropy,10,-0.0086083301788046,21.592812285031915,0.2292250037288391,250
dgp,orb,elastic_anisotropy,50,-0.003310440468221,21.536076866927957,0.0051403463664005,250
gp,orb,poisson_ratio,50,0.532161526439559,0.0424130593260275,0.7455737803674403,250
mtgp_2,orb,poisson_ratio,50,0.3966829780662593,0.047731000570189,0.6648738075879661,250
dgp,orb,poisson_ratio,10,0.4041229590695218,0.0478619390336348,0.6510458101943467,250
