model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
gp,soap,10,100,elastic_anisotropy,R2,-0.006281815667476,0.0009308327525321,gp_soap_pca10_n100,,14.817893217299872
gp,soap,10,100,elastic_anisotropy,RMSE,20.04590314408872,0.0092719097971279,gp_soap_pca10_n100,0.0004625339018392,0.0462533901836985
gp,soap,10,100,elastic_anisotropy,Spearman,0.0012845151766448,0.020696340389298,gp_soap_pca10_n100,16.112180506389645,1611.21792520503
gp,soap,10,100,G_Reuss,R2,0.0316367940751663,0.0475787203659143,gp_soap_pca10_n100,1.5039046071757889,150.3904602422132
gp,soap,10,100,G_Reuss,RMSE,43.51414362541645,1.076650502891114,gp_soap_pca10_n100,0.0247425414632829,2.474254146322604
gp,soap,10,100,G_Reuss,Spearman,0.3039867083023385,0.0624719541925371,gp_soap_pca10_n100,0.2055088347165622,20.55088346489577
gp,soap,10,100,G_VRH,R2,0.0480626539340683,0.0543591590287193,gp_soap_pca10_n100,1.1310061883658873,113.1006186012696
gp,soap,10,100,G_VRH,RMSE,43.00066731034504,1.2250054234966277,gp_soap_pca10_n100,0.0284880561191178,2.8488056119051643
gp,soap,10,100,G_VRH,Spearman,0.3202398183961927,0.0732130591116165,gp_soap_pca10_n100,0.2286194748619271,22.86194747905371
gp,soap,10,100,G_Voigt,R2,0.0693452581489297,0.0463164032768502,gp_soap_pca10_n100,0.6679101717002559,66.79101707370896
gp,soap,10,100,G_Voigt,RMSE,43.33436003569501,1.0745103975242576,gp_soap_pca10_n100,0.0247958062987239,2.4795806298666725
gp,soap,10,100,G_Voigt,Spearman,0.3248678651752967,0.0676271937395797,gp_soap_pca10_n100,0.208168307761337,20.81683076972592
gp,soap,10,100,K_Reuss,R2,0.1223414702979328,0.0371483042985385,gp_soap_pca10_n100,0.3036444159782686,30.364441573007444
gp,soap,10,100,K_Reuss,RMSE,69.13658469186001,1.462248794063423,gp_soap_pca10_n100,0.0211501450437655,2.1150145043735
gp,soap,10,100,K_Reuss,Spearman,0.3669214566317909,0.0548659669317284,gp_soap_pca10_n100,0.1495305492226553,14.95305491819026
gp,soap,10,100,K_VRH,R2,0.1154324137072702,0.0401299161344834,gp_soap_pca10_n100,0.3476485923291053,34.76485920279346
gp,soap,10,100,K_VRH,RMSE,68.69722352972933,1.5704000140724663,gp_soap_pca10_n100,0.0228597304721181,2.2859730472084885
gp,soap,10,100,K_VRH,Spearman,0.3602255365764046,0.0510501936123579,gp_soap_pca10_n100,0.141717308821414,14.171730878207272
gp,soap,10,100,K_Voigt,R2,0.1183785688005596,0.0411727808107403,gp_soap_pca10_n100,0.3478060364127807,34.78060361189725
gp,soap,10,100,K_Voigt,RMSE,68.61931590706675,1.6147597326078644,gp_soap_pca10_n100,0.0235321455957792,2.3532145595744938
gp,soap,10,100,K_Voigt,Spearman,0.3647270909659382,0.0523404712891316,gp_soap_pca10_n100,0.1435058502249279,14.350585018558188
gp,soap,10,100,poisson_ratio,R2,0.1159081966629323,0.0143928418727299,gp_soap_pca10_n100,0.1241744957398061,12.41744956326744
gp,soap,10,100,poisson_ratio,RMSE,0.058119837418015,0.0004738031436006,gp_soap_pca10_n100,0.0081521759978932,0.8152175983866758
gp,soap,10,100,poisson_ratio,Spearman,0.3788595356866525,0.0289390195378016,gp_soap_pca10_n100,0.0763845615904901,7.638456157032842
gp,mace,10,100,elastic_anisotropy,R2,-0.0048994690887622,0.0033026331973304,gp_mace_pca10_n100,,67.40797972371323
gp,mace,10,100,elastic_anisotropy,RMSE,20.032104799401484,0.0329233938602254,gp_mace_pca10_n100,0.0016435314306666,0.1643531430658486
gp,mace,10,100,elastic_anisotropy,Spearman,0.071161645092164,0.0545581757740727,gp_mace_pca10_n100,0.7666795182069281,76.66795171295507
gp,mace,10,100,G_Reuss,R2,0.4428603622924333,0.0425175548472418,gp_mace_pca10_n100,0.0960066839740474,9.600668395236866
gp,mace,10,100,G_Reuss,RMSE,32.990738459222136,1.294725435691243,gp_mace_pca10_n100,0.0392451183622814,3.924511836216248
gp,mace,10,100,G_Reuss,Spearman,0.6853692440364944,0.031052105391763,gp_mace_pca10_n100,0.0453071182606343,4.5307118254023715
gp,mace,10,100,G_VRH,R2,0.4757087860076445,0.0285413889601618,gp_mace_pca10_n100,0.0599976073591021,5.999760734648989
gp,mace,10,100,G_VRH,RMSE,31.913146259861,0.8767635005798385,gp_mace_pca10_n100,0.0274734272027134,2.747342720262737
gp,mace,10,100,G_VRH,Spearman,0.7216173742810954,0.0144204984216474,gp_mace_pca10_n100,0.0199835798521532,1.9983579849383932
gp,mace,10,100,G_Voigt,R2,0.4680200783783915,0.0243596463594229,gp_mace_pca10_n100,0.0520482934061821,5.204829339506122
gp,mace,10,100,G_Voigt,RMSE,32.764909972391344,0.7382050611483724,gp_mace_pca10_n100,0.0225303552419464,2.2530355241877733
gp,mace,10,100,G_Voigt,Spearman,0.7316731026340632,0.0090491948836471,gp_mace_pca10_n100,0.0123678113232118,1.236781132152149
gp,mace,10,100,K_Reuss,R2,0.7656591236167684,0.0124662136644742,gp_mace_pca10_n100,0.0162816758528092,1.6281675850682715
gp,mace,10,100,K_Reuss,RMSE,35.71993617866344,0.9563420025500162,gp_mace_pca10_n100,0.0267733401808614,2.677334018078649
gp,mace,10,100,K_Reuss,Spearman,0.8811361615111479,0.0071012265869223,gp_mace_pca10_n100,0.00805917053131,0.8059170530395421
gp,mace,10,100,K_VRH,R2,0.7795108257632495,0.014348296444414,gp_mace_pca10_n100,0.0184067956084702,1.8406795606108928
gp,mace,10,100,K_VRH,RMSE,34.28810308685702,1.1337807776601392,gp_mace_pca10_n100,0.0330663021744917,3.306630217439536
gp,mace,10,100,K_VRH,Spearman,0.8903592647246861,0.0090702115163678,gp_mace_pca10_n100,0.0101871366713665,1.0187136670222383
gp,mace,10,100,K_Voigt,R2,0.7758195208246801,0.0164270257441481,gp_mace_pca10_n100,0.0211737721251026,2.1173772122373427
gp,mace,10,100,K_Voigt,RMSE,34.58740805830555,1.299703286633578,gp_mace_pca10_n100,0.0375773542915563,3.757735429144768
gp,mace,10,100,K_Voigt,Spearman,0.8893388328318503,0.0112322072804078,gp_mace_pca10_n100,0.0126298401303831,1.2629840128962997
gp,mace,10,100,poisson_ratio,R2,0.0655106304910374,0.0703995103231507,gp_mace_pca10_n100,1.0746272749242147,107.46272732838288
gp,mace,10,100,poisson_ratio,RMSE,0.0597113625733532,0.0022942772295622,gp_mace_pca10_n100,0.0384227914200377,3.842279135569023
gp,mace,10,100,poisson_ratio,Spearman,0.3772195564228632,0.0433637778512788,gp_mace_pca10_n100,0.1149563354097898,11.495633537931518
gp,orb,10,100,elastic_anisotropy,R2,-0.0111395552243767,0.0023571065343111,gp_orb_pca10_n100,,21.159790186175936
gp,orb,10,100,elastic_anisotropy,RMSE,20.094218329880412,0.0234247738806896,gp_orb_pca10_n100,0.0011657469574647,0.1165746957458903
gp,orb,10,100,elastic_anisotropy,Spearman,0.1271997376595193,0.0490902181625382,gp_orb_pca10_n100,0.3859301840223914,38.59301837189866
gp,orb,10,100,G_Reuss,R2,0.4539321932504694,0.0598908754027848,gp_orb_pca10_n100,0.1319379332272615,13.193793319819594
gp,orb,10,100,G_Reuss,RMSE,32.63751724568336,1.7874962377706294,gp_orb_pca10_n100,0.0547681437995117,5.476814379934389
gp,orb,10,100,G_Reuss,Spearman,0.777309556637368,0.0200743507900948,gp_orb_pca10_n100,0.0258254264580718,2.582542645474946
gp,orb,10,100,G_VRH,R2,0.5678853048478022,0.0478653819457075,gp_orb_pca10_n100,0.0842870585611223,8.428705854628003
gp,orb,10,100,G_VRH,RMSE,28.93911996983932,1.5983092980926483,gp_orb_pca10_n100,0.0552300588185965,5.5230058818405725
gp,orb,10,100,G_VRH,Spearman,0.8462173116978432,0.013722069371509,gp_orb_pca10_n100,0.016215774815546,1.6215774813629822
gp,orb,10,100,G_Voigt,R2,0.6384929383196949,0.0246468946832777,gp_orb_pca10_n100,0.0386016715363215,3.860167153027584
gp,orb,10,100,G_Voigt,RMSE,27.000685702948505,0.925825389940042,gp_orb_pca10_n100,0.0342889584407458,3.4288958440618864
gp,orb,10,100,G_Voigt,Spearman,0.8639356163870844,0.0151823316281968,gp_orb_pca10_n100,0.0175734526279726,1.7573452625938557
gp,orb,10,100,K_Reuss,R2,0.7171927526849915,0.0181657799549431,gp_orb_pca10_n100,0.0253290065842619,2.532900658073026
gp,orb,10,100,K_Reuss,RMSE,39.234485101700486,1.247884514173097,gp_orb_pca10_n100,0.0318058083580918,3.180580835801082
gp,orb,10,100,K_Reuss,Spearman,0.8758341099242332,0.0062736018229862,gp_orb_pca10_n100,0.0071630023904057,0.716300238958793
gp,orb,10,100,K_VRH,R2,0.760585795763083,0.0173952204578795,gp_orb_pca10_n100,0.0228708195114624,2.2870819508455433
gp,orb,10,100,K_VRH,RMSE,35.72553840927359,1.290805947217388,gp_orb_pca10_n100,0.036131182473161,3.613118247305992
gp,orb,10,100,K_VRH,Spearman,0.8948769053550858,0.0064276358644238,gp_orb_pca10_n100,0.0071827039294005,0.7182703928597927
gp,orb,10,100,K_Voigt,R2,0.7891927123902132,0.0167909883983449,gp_orb_pca10_n100,0.021276157438771,2.1276157436075063
gp,orb,10,100,K_Voigt,RMSE,33.536950967642,1.3368401336482292,gp_orb_pca10_n100,0.039861707611347,3.9861707611228225
gp,orb,10,100,K_Voigt,Spearman,0.9051688997336124,0.0065637886833383,gp_orb_pca10_n100,0.0072514518398389,0.7251451839037832
gp,orb,10,100,poisson_ratio,R2,0.1053768093498871,0.0431310685007189,gp_orb_pca10_n100,0.4093032306331176,40.93032302446989
gp,orb,10,100,poisson_ratio,RMSE,0.0584499437540541,0.0014088283411205,gp_orb_pca10_n100,0.0241031599114718,2.4103159870234556
