model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.4710237322856803,0.6559843976917956
gp,mace,25,0.5335876562159207,0.7021646875629891
gp,mace,50,0.2291527438234182,0.586458112761473
gp,orb,10,0.5026898689227206,0.7166687302643882
gp,orb,25,0.5851690520185953,0.7568983371953278
gp,orb,50,0.043534020763711725,0.5659336201958065
gp,soap,10,0.07685294249492289,0.3026390658639074
gp,soap,25,-0.0038415228622300755,0.26323160633607623
gp,soap,50,0.15528148914128792,0.41711128740339465
gp,uma,10,0.1334440005144799,0.4043267865452252
gp,uma,25,0.38376724173686894,0.6221442526607868
gp,uma,50,0.1352053401337096,0.5033364437670618
mtgp_2,mace,10,0.4026637127466096,0.6266401394335563
mtgp_2,mace,25,0.45611128325079753,0.6841569367015669
mtgp_2,mace,50,0.16056715826760343,0.556320328066177
mtgp_2,orb,10,0.41453804584759246,0.646623386597154
mtgp_2,orb,25,0.5718159665302454,0.7495740583137951
mtgp_2,orb,50,0.48922111832915305,0.7329960304989747
mtgp_2,soap,10,-0.14253901213807785,0.1790037324105182
mtgp_2,soap,25,-0.007957395238372187,0.1998389304867166
mtgp_2,soap,50,0.11885409855549069,0.3675621287342227
mtgp_2,uma,10,0.006659657086655688,0.15290948052584946
mtgp_2,uma,25,0.3028829548733255,0.5603299644211786
mtgp_2,uma,50,0.21684482758351992,0.5430728872148184
dgp,mace,10,0.5019498236966619,0.6836646070225223
dgp,mace,25,0.5501765092157972,0.7187528208222975
dgp,mace,50,-0.0044023291248683006,0.0047624243415575005
dgp,orb,10,0.5306506031996536,0.7380808447866295
dgp,orb,25,0.44761209666539137,0.6286247861186454
dgp,orb,50,-0.03459236489634929,-0.007047079139640674
dgp,soap,10,-0.018151598218009928,0.2332923678903544
dgp,soap,25,0.07623112655554487,0.3611930366856365
dgp,soap,50,-0.02194652691427265,-0.00015582547181912506
dgp,uma,10,0.11586551055499081,0.48650105840325164
dgp,uma,25,0.4258026390772572,0.650507956784731
dgp,uma,50,-0.004962009696390147,-0.0025221601363334626
