model,property,best_pca,R2,Spearman
gp,K_Voigt,25,0.8258196817481991,0.9193254802181634
gp,K_VRH,25,0.8028100173487305,0.9103688042058072
gp,K_Reuss,25,0.7647460815164386,0.892685649873114
gp,G_Voigt,25,0.6916745082503359,0.8639356163870844
gp,G_VRH,25,0.6512438515920187,0.8484007946211081
gp,G_Reuss,25,0.575501852098861,0.8016387939405579
gp,elastic_anisotropy,50,-0.003353321306536,0.2132133955056434
gp,poisson_ratio,25,0.3780960853301053,0.6379487411812879
mtgp_2,K_Voigt,25,0.7843986516017423,0.902149666308152
mtgp_2,K_VRH,25,0.7727382190331669,0.8952291631874443
mtgp_2,K_Reuss,25,0.7446328902295889,0.8790247367238102
mtgp_2,G_Voigt,25,0.6849875457533358,0.8573399553025626
mtgp_2,G_VRH,25,0.656011837649666,0.84723159166081
mtgp_2,G_Reuss,25,0.5951533826241316,0.8049982929249577
mtgp_2,elastic_anisotropy,10,-0.008490627245161,0.1965787119287591
mtgp_2,poisson_ratio,50,0.3746150452135638,0.6355149907741475
dgp,K_Voigt,10,0.788487482508161,0.9057369101922734
dgp,K_VRH,10,0.752144751782536,0.8932262312361864
dgp,K_Reuss,10,0.7043222526761814,0.8740472630846778
dgp,G_Voigt,10,0.6571735231093372,0.8630864790727039
dgp,G_VRH,10,0.6011566406359763,0.8535840026264445
dgp,G_Reuss,10,0.5168061777856033,0.8138955661456905
dgp,elastic_anisotropy,50,-0.0033850815233894,0.1797905569966422
dgp,poisson_ratio,25,0.2411253598217514,0.5297045395058635
