model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,50,0.6067990989091093,22.407093187876832,0.7620768127997226
gp,orb,50,0.6728591780114195,20.78916809323203,0.810605204268224
gp,soap,50,0.28111653606684367,37.59617828425295,0.558426399798607
gp,uma,50,0.5462420970870328,26.412402544401786,0.717575921894323
mtgp_2,mace,25,0.5375052343767304,26.444988681908548,0.7544458296870947
mtgp_2,orb,25,0.5944153993017547,24.27783001259542,0.7775220002917643
mtgp_2,soap,50,0.2250893779432073,39.89430239210821,0.5080321743821169
mtgp_2,uma,50,0.45775945127304735,31.76005134905702,0.6872707074388
dgp,mace,25,0.6123489959001189,22.79835899700043,0.7747653581743079
dgp,orb,10,0.6054836136903454,24.159730094178656,0.7797809200847031
dgp,soap,25,0.19491655569804173,40.71494129291334,0.5283562229347886
dgp,uma,25,0.5847216604957264,25.289953171229662,0.7381729597719281
