model,descriptor,property,pca,R2,Spearman
gp,mace,K_Voigt,10,0.8853158881730071,0.943311979440304
gp,mace,K_Voigt,25,0.8954894438702923,0.9511131094086755
gp,mace,K_Voigt,50,0.9033172120752988,0.9570171012071624
gp,mace,K_VRH,10,0.8595091509378754,0.9326669980859864
gp,mace,K_VRH,25,0.8714928312100862,0.940242681623463
gp,mace,K_VRH,50,0.8833474887823133,0.946525330156546
gp,mace,K_Reuss,10,0.8149329722869115,0.911231795792561
gp,mace,K_Reuss,25,0.8243468767919271,0.9178816803286672
gp,mace,K_Reuss,50,0.842497189432815,0.9258237195211084
gp,mace,G_Voigt,10,0.6269674897102158,0.8270082129633336
gp,mace,G_Voigt,25,0.6867209718208789,0.8751971451740049
gp,mace,G_Voigt,50,0.6777179975185719,0.8637534026121653
gp,mace,G_VRH,10,0.6075835594583939,0.8154272967083755
gp,mace,G_VRH,25,0.6571837805818886,0.8642286061666301
gp,mace,G_VRH,50,0.6466914068516587,0.8450903747174745
gp,mace,G_Reuss,10,0.5563845198701804,0.770552812481551
gp,mace,G_Reuss,25,0.6002405551474409,0.8216386192038115
gp,mace,G_Reuss,50,0.5906036877555663,0.7945458839043973
gp,mace,elastic_anisotropy,10,-0.0062091058457685,0.1538311870140334
gp,mace,elastic_anisotropy,25,-0.0023088227830605,0.1902358990770175
gp,mace,elastic_anisotropy,50,-0.0029867751109911,0.1841775809755246
gp,mace,poisson_ratio,10,0.3352485230218388,0.5991445924004615
gp,mace,poisson_ratio,25,0.299145109732,0.5610523210895445
gp,mace,poisson_ratio,50,0.313204583967642,0.5796811093034029
gp,orb,K_Voigt,10,0.85278125973567,0.93567335399078
gp,orb,K_Voigt,25,0.8907865793790901,0.951107928441384
gp,orb,K_Voigt,50,0.9055170683769738,0.9560168830533444
gp,orb,K_VRH,10,0.8236006916005877,0.9248473629634896
gp,orb,K_VRH,25,0.8644523472300311,0.9411268098253388
gp,orb,K_VRH,50,0.8828715780464821,0.9451562699593272
gp,orb,K_Reuss,10,0.7758083380484984,0.9030224638949484
gp,orb,K_Reuss,25,0.8256795419423233,0.9219340086931398
gp,orb,K_Reuss,50,0.8429480110534296,0.924948293678759
gp,orb,G_Voigt,10,0.7591936236356644,0.8905484523793415
gp,orb,G_Voigt,25,0.7924170992970738,0.9041441641325682
gp,orb,G_Voigt,50,0.7991693263019239,0.9054705988285128
gp,orb,G_VRH,10,0.707004019690906,0.8799144813240556
gp,orb,G_VRH,25,0.737586279844607,0.8934282671731445
gp,orb,G_VRH,50,0.7516270418582612,0.8939980843507278
gp,orb,G_Reuss,10,0.6234115924596454,0.835846961007273
gp,orb,G_Reuss,25,0.6450005217262961,0.8461351396727217
gp,orb,G_Reuss,50,0.6714752314258725,0.8473515516803719
gp,orb,elastic_anisotropy,10,-0.0053678573028183,0.1387731546781949
gp,orb,elastic_anisotropy,25,-0.0087107754421694,0.1431808313727496
gp,orb,elastic_anisotropy,50,-0.0028963594111457,0.2663261722273088
gp,orb,poisson_ratio,10,0.3423278387492828,0.599292084904649
gp,orb,poisson_ratio,25,0.4737793842916977,0.6939945677245059
gp,orb,poisson_ratio,50,0.532161526439559,0.7455737803674403
gp,soap,K_Voigt,10,0.2522990329757938,0.5353248339731869
gp,soap,K_Voigt,25,0.2210691623897025,0.574841486106161
gp,soap,K_Voigt,50,0.4462016422305634,0.7194303546429832
gp,soap,K_VRH,10,0.2644029335352417,0.5508285206574033
gp,soap,K_VRH,25,0.2187839224008253,0.5697651772788896
gp,soap,K_VRH,50,0.437892737594049,0.7129626676170198
gp,soap,K_Reuss,10,0.2617983726993032,0.5495364353895175
gp,soap,K_Reuss,25,0.2284863172859276,0.5712141293631613
gp,soap,K_Reuss,50,0.4226827585776465,0.6975899439656679
gp,soap,G_Voigt,10,0.0778373756452921,0.3956505381592301
gp,soap,G_Voigt,25,0.1295189580160404,0.4705603958314761
gp,soap,G_Voigt,50,0.3073608180151898,0.6274911267977832
gp,soap,G_VRH,10,0.0620891746950601,0.3849276166576629
gp,soap,G_VRH,25,0.085407482380759,0.447620027622653
gp,soap,G_VRH,50,0.2857306535634215,0.617017130398941
gp,soap,G_Reuss,10,0.0431888896598425,0.3613592951856875
gp,soap,G_Reuss,25,0.0847954256470979,0.4450086851275775
gp,soap,G_Reuss,50,0.2494108321455095,0.5834681981367936
gp,soap,elastic_anisotropy,10,-0.0048015331549362,0.1172284416014883
gp,soap,elastic_anisotropy,25,-0.005871181032549,0.1289968825209571
gp,soap,elastic_anisotropy,50,-0.0069804702904294,0.1316119528636678
gp,soap,poisson_ratio,10,0.0898692883553325,0.3635089539240357
