descriptor,property,R2,best_pca,model
mace,K_Voigt,0.9033172120752988,50,gp
mace,K_VRH,0.8833474887823133,50,gp
mace,K_Reuss,0.842497189432815,50,gp
mace,G_Voigt,0.6777179975185719,50,gp
mace,G_VRH,0.6466914068516587,50,gp
mace,G_Reuss,0.5906036877555663,50,gp
mace,elastic_anisotropy,-0.0029867751109911,50,gp
mace,poisson_ratio,0.313204583967642,50,gp
orb,K_Voigt,0.9055170683769738,50,gp
orb,K_VRH,0.8828715780464821,50,gp
orb,K_Reuss,0.8429480110534296,50,gp
orb,G_Voigt,0.7991693263019239,50,gp
orb,G_VRH,0.7516270418582612,50,gp
orb,G_Reuss,0.6714752314258725,50,gp
orb,elastic_anisotropy,-0.0028963594111457,50,gp
orb,poisson_ratio,0.532161526439559,50,gp
soap,K_Voigt,0.4462016422305634,50,gp
soap,K_VRH,0.437892737594049,50,gp
soap,K_Reuss,0.4226827585776465,50,gp
soap,G_Voigt,0.3073608180151898,50,gp
soap,G_VRH,0.2857306535634215,50,gp
soap,G_Reuss,0.2494108321455095,50,gp
soap,elastic_anisotropy,-0.0069804702904294,50,gp
soap,poisson_ratio,0.1066333166987992,50,gp
uma,K_Voigt,0.7821818479663619,50,gp
uma,K_VRH,0.7787177036588628,50,gp
uma,K_Reuss,0.7586486897915655,50,gp
uma,G_Voigt,0.6203538165085962,50,gp
uma,G_VRH,0.6175128367327251,50,gp
uma,G_Reuss,0.5602027556475352,50,gp
uma,elastic_anisotropy,-0.0046139920621786,50,gp
uma,poisson_ratio,0.2569331184527942,50,gp
mace,K_Voigt,0.794464544784872,25,mtgp_2
mace,K_VRH,0.7867160698431526,25,mtgp_2
mace,K_Reuss,0.7597818160615516,25,mtgp_2
mace,G_Voigt,0.6048975777568456,25,mtgp_2
mace,G_VRH,0.5862232704660258,25,mtgp_2
mace,G_Reuss,0.5387861332910994,25,mtgp_2
mace,elastic_anisotropy,0.0012693988856849,25,mtgp_2
mace,poisson_ratio,0.2279030639246114,25,mtgp_2
orb,K_Voigt,0.8334704508956374,25,mtgp_2
orb,K_VRH,0.8193722610375331,25,mtgp_2
orb,K_Reuss,0.784182447678448,25,mtgp_2
orb,G_Voigt,0.7090383176637729,25,mtgp_2
orb,G_VRH,0.6795345110840274,25,mtgp_2
orb,G_Reuss,0.6120470872616917,25,mtgp_2
orb,elastic_anisotropy,-0.0167422500930269,25,mtgp_2
orb,poisson_ratio,0.3344203688859542,25,mtgp_2
soap,K_Voigt,0.3362018971034831,50,mtgp_2
soap,K_VRH,0.3315863731499448,50,mtgp_2
soap,K_Reuss,0.3186678727071594,50,mtgp_2
soap,G_Voigt,0.2531991063160514,50,mtgp_2
soap,G_VRH,0.2388608809530224,50,mtgp_2
soap,G_Reuss,0.2122104171853705,50,mtgp_2
soap,elastic_anisotropy,-0.0052578889634428,50,mtgp_2
soap,poisson_ratio,0.1152463650940694,50,mtgp_2
uma,K_Voigt,0.6110551711973307,50,mtgp_2
uma,K_VRH,0.6124146305010338,50,mtgp_2
uma,K_Reuss,0.5991220867179596,50,mtgp_2
uma,G_Voigt,0.5121029079817443,50,mtgp_2
uma,G_VRH,0.5110393250912029,50,mtgp_2
uma,G_Reuss,0.4844950920560434,50,mtgp_2
uma,elastic_anisotropy,-0.0038452678916706,50,mtgp_2
uma,poisson_ratio,0.3356916645307349,50,mtgp_2
mace,K_Voigt,0.8913659932387729,25,dgp
mace,K_VRH,0.865026144461876,25,dgp
mace,K_Reuss,0.8243241990800275,25,dgp
mace,G_Voigt,0.6996342109244409,25,dgp
mace,G_VRH,0.6590549364100597,25,dgp
mace,G_Reuss,0.6025231429666561,25,dgp
mace,elastic_anisotropy,-0.0075717052340865,25,dgp
mace,poisson_ratio,0.364435045353205,25,dgp
orb,K_Voigt,0.8497678249812164,10,dgp
orb,K_VRH,0.8195162191657197,10,dgp
orb,K_Reuss,0.7646738458975515,10,dgp
orb,G_Voigt,0.7489429318613636,10,dgp
orb,G_VRH,0.6819442310846118,10,dgp
orb,G_Reuss,0.5870776023814825,10,dgp
orb,elastic_anisotropy,-0.0121767049187044,10,dgp
orb,poisson_ratio,0.4041229590695218,10,dgp
soap,K_Voigt,0.3356305166452628,25,dgp
soap,K_VRH,0.3347345384608425,25,dgp
soap,K_Reuss,0.3203873057190168,25,dgp
soap,G_Voigt,0.1641829151025296,25,dgp
soap,G_VRH,0.14887936115223,25,dgp
soap,G_Reuss,0.1310334644537998,25,dgp
soap,elastic_anisotropy,-0.0108224736280362,25,dgp
soap,poisson_ratio,0.1353068176786886,25,dgp
uma,K_Voigt,0.7938272949666555,25,dgp
uma,K_VRH,0.7795723772149599,25,dgp
uma,K_Reuss,0.7552164547951026,25,dgp
uma,G_Voigt,0.695899521919813,25,dgp
uma,G_VRH,0.6800437060015307,25,dgp
uma,G_Reuss,0.6440575003180777,25,dgp
uma,elastic_anisotropy,-0.0062356116209281,25,dgp
uma,poisson_ratio,0.3353920403706005,25,dgp
