model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,25,0.258905876755007,8.567715630609966,0.6691485067656032
gp,orb,50,0.2940100042681168,8.653147058426882,0.7118809543902433
gp,soap,25,0.05558887035980465,9.12390474655488,0.45222298491924307
gp,uma,50,0.28353860336226994,8.558774976931579,0.6742693339902426
mtgp_2,mace,50,0.25606999381962314,8.583892728818341,0.6662263518802116
mtgp_2,orb,50,0.31704184999561325,8.458464662563529,0.7528030255274242
mtgp_2,soap,50,0.07478954702077033,9.06838798554549,0.48831301004093
mtgp_2,uma,50,0.29258829431537975,8.456685394645765,0.6923103573430914
dgp,mace,10,0.22501090709726834,8.667763924843124,0.6582416719179068
dgp,orb,25,0.2786166958060911,8.495589982229376,0.7187470305222169
dgp,soap,25,0.08651947608797862,8.991435171194269,0.5303845787455925
dgp,uma,25,0.2756547929221953,8.44529215309594,0.6136817080507567
