model,descriptor,property,best_pca,R2,RMSE,Spearman
gp,mace,band_gap,50,0.5052595460158921,1.1267133483754908,0.6495454225907121
gp,orb,band_gap,50,0.6747950032822041,0.9132678641822536,0.7608156397575538
gp,soap,band_gap,10,0.1850913539506979,1.445578611440608,0.4944799498960462
gp,uma,band_gap,50,0.6012884732331149,1.0114772694185206,0.709962336857652
mtgp_2,mace,band_gap,50,0.4990739050189405,1.1335535933252188,0.6590508933382837
mtgp_2,orb,band_gap,50,0.6751272945652039,0.9122967846597132,0.7599170971677646
mtgp_2,soap,band_gap,25,0.1762257927691025,1.4528634626246697,0.461343913970248
mtgp_2,uma,band_gap,50,0.6033537389116381,1.0089192027633012,0.7145266172118512
dgp,mace,band_gap,10,0.3888878290954239,1.252216540521489,0.5821639510310781
dgp,orb,band_gap,25,0.5603774325730446,1.0599833584654788,0.6993518647137283
dgp,soap,band_gap,25,0.167394487794415,1.461262653335155,0.4987309040224867
dgp,uma,band_gap,25,0.4804732911404312,1.154299407423701,0.6114729474276333
gp,mace,n,25,0.3807490428615477,0.9240686686969533,0.8175246043179258
gp,orb,n,50,0.3720268475736164,0.930373088938934,0.8434956403771672
gp,soap,n,50,0.0716066317660464,1.1308169596250768,0.5434541426504151
gp,uma,n,50,0.3536031014845165,0.9434295165646108,0.7749436074311815
mtgp_2,mace,n,25,0.3713192140510684,0.9310013157393272,0.7992496297564179
mtgp_2,orb,n,50,0.3839603594248003,0.9215441050452726,0.8540324746834254
mtgp_2,soap,n,50,0.1209301595699952,1.1003908759611989,0.5940217922978628
mtgp_2,uma,n,50,0.3458605622360506,0.9489346848828186,0.7653415720134347
dgp,mace,n,10,0.3454553457356072,0.9500804668818402,0.7887198632859851
dgp,orb,n,10,0.3592724170855049,0.940049496385872,0.8174796454104432
dgp,soap,n,25,0.1288669617910841,1.0956820317297482,0.6361307596893392
dgp,uma,n,25,0.3687586512326507,0.9327624079743992,0.7042595740322882
gp,mace,poly_electronic,25,0.1247184283406569,12.712545105870133,0.7560561692686388
gp,orb,poly_electronic,10,0.1052995440128982,12.852429649624264,0.6576195735328118
gp,soap,poly_electronic,50,0.009227063964758,13.524710645142209,0.5390395573519337
gp,uma,poly_electronic,50,0.1033833695257418,12.86570953339616,0.7215091059829629
mtgp_2,mace,poly_electronic,25,0.1224436644944974,12.729198233114952,0.7560972241010849
mtgp_2,orb,poly_electronic,10,0.1257078835433561,12.70552772173814,0.7318598640187286
mtgp_2,soap,poly_electronic,50,0.0120133485928424,13.50524776933876,0.5637230640722447
mtgp_2,uma,poly_electronic,50,0.1117309852975713,12.805403014028348,0.7268844487619772
dgp,mace,poly_electronic,10,0.115529233376735,12.779558100807767,0.775109131647268
dgp,orb,poly_electronic,10,0.1137127294081181,12.792738380788192,0.7867167578598788
dgp,soap,poly_electronic,25,0.0375573602335004,13.330737568715248,0.605576123738778
dgp,uma,poly_electronic,25,0.1612030757475859,12.445119250092173,0.6833864252724113
gp,mace,poly_total,25,0.0725766904259659,19.45480607580319,0.4746877299823139
gp,orb,poly_total,25,0.0939364818855266,19.229786279861813,0.543226164449339
gp,soap,poly_total,25,-0.0006634652252468,20.20898339779123,0.3041316309680733
gp,uma,poly_total,50,0.0758794692057065,19.414483588347025,0.490662285689174
mtgp_2,mace,poly_total,50,0.0785170136120337,19.385306987113864,0.4833463818961549
mtgp_2,orb,poly_total,10,0.1017075380825618,19.147241046610112,0.4770626475486565
mtgp_2,soap,poly_total,50,-0.000375305069375,20.206619618083973,0.3433179855913958
mtgp_2,uma,poly_total,50,0.1094078908162587,19.06348467690859,0.5624887913851029
dgp,mace,poly_total,25,0.0708041650092895,19.46891818213522,0.4140359415152216
dgp,orb,poly_total,25,0.1005856320620408,19.15858108803798,0.591627625818783
dgp,soap,poly_total,25,0.012259094532915,20.07805843099692,0.3811005275317664
dgp,uma,poly_total,25,0.0921841535681134,19.248987546893485,0.4556078854706941
