model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
gp,soap,25,250,band_gap,R2,0.1682760050162539,0.0170809054372731,gp_soap_pca25_n250,0.1015052944454157,10.150529438509498
gp,soap,25,250,band_gap,RMSE,1.446667982580332,0.0149241447106582,gp_soap_pca25_n250,0.0103162196788505,1.0316219678137415
gp,soap,25,250,band_gap,Spearman,0.5020324714079143,0.0141095698976478,gp_soap_pca25_n250,0.0281048950042584,2.81048949986602
gp,soap,25,250,n,R2,0.2548002746035153,0.0347976509106776,gp_soap_pca25_n250,0.136568341477751,13.65683414241528
gp,soap,25,250,n,RMSE,0.9930785069469966,0.0231376142650601,gp_soap_pca25_n250,0.0232988772823124,2.3298877279966277
gp,soap,25,250,n,Spearman,0.6696994983100785,0.0454513013607129,gp_soap_pca25_n250,0.0678682027915577,6.786820278142362
gp,soap,25,250,poly_electronic,R2,0.0871701659807732,0.0149923585663876,gp_soap_pca25_n250,0.1719895608515235,17.19895606542203
gp,soap,25,250,poly_electronic,RMSE,13.288631396864862,0.1087687165103718,gp_soap_pca25_n250,0.0081850954595695,0.8185095459507944
gp,soap,25,250,poly_electronic,Spearman,0.5608859025280005,0.0636372590674542,gp_soap_pca25_n250,0.1134584748531405,11.345847483291212
gp,soap,25,250,poly_total,R2,0.0284851391783607,0.0398686237617639,gp_soap_pca25_n250,1.3996288911254782,139.96288862119374
gp,soap,25,250,poly_total,RMSE,20.69633416111742,0.4268913948835237,gp_soap_pca25_n250,0.0206264255089933,2.062642550889373
gp,soap,25,250,poly_total,Spearman,0.3127523392669668,0.044447742877503,gp_soap_pca25_n250,0.1421180189464936,14.211801890105258
gp,mace,25,250,band_gap,R2,0.5931525613198684,0.0106665395039709,gp_mace_pca25_n250,0.0179827926229231,1.798279261989142
gp,mace,25,250,band_gap,RMSE,1.0117691659229795,0.0131568092935026,gp_mace_pca25_n250,0.0130037658159906,1.3003765814705388
gp,mace,25,250,band_gap,Spearman,0.7115607123817537,0.0093547567381145,gp_mace_pca25_n250,0.0131468145659729,1.3146814564125309
gp,mace,25,250,n,R2,0.3853561628976757,0.0303664831703478,gp_mace_pca25_n250,0.0788010835015789,7.880108348113005
gp,mace,25,250,n,RMSE,0.9018711741961332,0.0222681282639396,gp_mace_pca25_n250,0.024691030050703,2.469103004796533
gp,mace,25,250,n,Spearman,0.8180825439906603,0.0108472696689279,gp_mace_pca25_n250,0.0132593828686457,1.325938286702497
