model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.23503838300224772,0.629368247596647
gp,mace,25,0.2671105763675343,0.6595616749203066
gp,mace,50,0.28811971353421717,0.6880816867974144
gp,orb,10,0.2957504189354111,0.6728632561466641
gp,orb,25,0.33932920656872056,0.7333512242698558
gp,orb,50,0.3553724721543998,0.7490611494068954
gp,soap,10,0.12835622319250325,0.5395403368020979
gp,soap,25,0.1346828961947258,0.51134255287824
gp,soap,50,0.14463626191863538,0.5477676082230266
gp,uma,10,0.1642323138353025,0.5518378242998666
gp,uma,25,0.25057637806760164,0.6065052126401428
gp,uma,50,0.32019176909823105,0.6926879299749014
mtgp_2,mace,10,0.24245870273370387,0.6265019510521145
mtgp_2,mace,25,0.29354268759357566,0.6912302505946033
mtgp_2,mace,50,0.3033480009166659,0.7122863622295228
mtgp_2,orb,10,0.2958104920402445,0.6919134763011543
mtgp_2,orb,25,0.33913134281668905,0.7502682500100771
mtgp_2,orb,50,0.3449463475461397,0.7434268698734853
mtgp_2,soap,10,0.0572078250733076,0.45784931545587737
mtgp_2,soap,25,0.15306261583668518,0.4935836473730154
mtgp_2,soap,50,0.20381061304608564,0.5771417682404487
mtgp_2,uma,10,0.17926258948367665,0.5707948625988756
mtgp_2,uma,25,0.27823593959239434,0.6446317094568716
mtgp_2,uma,50,0.34073250425457535,0.7238010544914861
dgp,mace,10,0.31353320232822895,0.7035756371801772
dgp,mace,25,0.25363458734685296,0.5903821407293864
dgp,mace,50,-0.00428659206236935,-0.008465432037181024
dgp,orb,10,0.3428255985749653,0.7493890458477195
dgp,orb,25,0.3016794601548523,0.5955982427176673
dgp,orb,50,-0.007652743447411276,-0.004356662855098399
dgp,soap,10,0.05223596175914495,0.4698616261156008
dgp,soap,25,0.21639600824601268,0.6005640989330925
dgp,soap,50,-0.00617445467379095,0.00040712575807537487
dgp,uma,10,0.23404133858760476,0.6469690121239006
dgp,uma,25,0.33399793750391776,0.7127816541305878
dgp,uma,50,-0.00366291201305775,-0.004923353475966275
