descriptor,property,R2,best_pca,model
mace,band_gap,0.6450134817129312,50,gp
mace,n,0.3636107115108068,50,gp
mace,poly_electronic,0.0572609708972124,50,gp
mace,poly_total,0.0865936900159181,50,gp
orb,band_gap,0.8114677530046214,50,gp
orb,n,0.4057900960870281,50,gp
orb,poly_electronic,0.0934014559805125,50,gp
orb,poly_total,0.1108305835454372,50,gp
soap,band_gap,0.1561373173098953,50,gp
soap,n,0.2799620283169762,50,gp
soap,poly_electronic,0.1145213259461021,50,gp
soap,poly_total,0.027924376101568,50,gp
uma,band_gap,0.707551117741003,50,gp
uma,n,0.3960312929648852,50,gp
uma,poly_electronic,0.0974925011102839,50,gp
uma,poly_total,0.0796921645767521,50,gp
mace,band_gap,0.6435904053167988,50,mtgp_2
mace,n,0.3851736305149337,50,mtgp_2
mace,poly_electronic,0.091816429317628,50,mtgp_2
mace,poly_total,0.0928115385173031,50,mtgp_2
orb,band_gap,0.7748883182881479,50,mtgp_2
orb,n,0.4181920736941943,50,mtgp_2
orb,poly_electronic,0.0974976101152676,50,mtgp_2
orb,poly_total,0.0892073880869488,50,mtgp_2
soap,band_gap,0.345539298619093,50,mtgp_2
soap,n,0.2786285248304829,50,mtgp_2
soap,poly_electronic,0.115097733769395,50,mtgp_2
soap,poly_total,0.0759768949653716,50,mtgp_2
uma,band_gap,0.6976209647530667,50,mtgp_2
uma,n,0.4091134238743944,50,mtgp_2
uma,poly_electronic,0.1214885410336918,50,mtgp_2
uma,poly_total,0.1347070873571482,50,mtgp_2
mace,band_gap,0.5533785491510615,10,dgp
mace,n,0.4438684220032599,10,dgp
mace,poly_electronic,0.1774317378023084,10,dgp
mace,poly_total,0.0794541003562858,10,dgp
orb,band_gap,0.6739541540841901,10,dgp
orb,n,0.4239435610667173,10,dgp
orb,poly_electronic,0.1452293284957481,10,dgp
orb,poly_total,0.1281753506532057,10,dgp
soap,band_gap,0.334196762488292,25,dgp
soap,n,0.3046909311526798,25,dgp
soap,poly_electronic,0.1384613543413009,25,dgp
soap,poly_total,0.0882349850017781,25,dgp
uma,band_gap,0.6349767983951089,25,dgp
uma,n,0.4115370562060388,25,dgp
uma,poly_electronic,0.1812617333453885,25,dgp
uma,poly_total,0.1082161620691348,25,dgp
