model,property,best_pca,R2,Spearman
gp,band_gap,50,0.8515128458095628,0.8921399419684797
gp,n,25,0.4266569004117952,0.8692017707644342
gp,poly_electronic,50,-0.8723514516209004,0.6920580682983734
gp,poly_total,50,0.0078814254065372,0.5657460578978104
mtgp_2,band_gap,50,0.8400782020533191,0.8891440150354093
mtgp_2,n,50,0.4493415217720627,0.9068246891115463
mtgp_2,poly_electronic,50,-0.7771680205481661,0.718629626245733
mtgp_2,poly_total,50,-0.0271612927910357,0.5961000393677744
dgp,band_gap,25,0.8358372590666374,0.8679478546745353
dgp,n,10,0.5519096693588467,0.9039480418563488
dgp,poly_electronic,50,-0.0456785758259864,0.8325378766610344
dgp,poly_total,10,0.0927548052813815,0.6777276676218789
