model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
gp,soap,50,500,eps_electronic,R2,-0.0012552980802908,1.0709988053884944e-06,gp_soap_pca50_n500,,0.08531827913112953
gp,soap,50,500,eps_electronic,RMSE,103825.28898820966,0.0555286654191924,gp_soap_pca50_n500,5.348279399010216e-07,5.348279399010211e-05
gp,soap,50,500,eps_electronic,MAE,3683.971596788222,0.0820273713375028,gp_soap_pca50_n500,2.2266016222550765e-05,0.002226601622255016
gp,soap,50,500,eps_electronic,SMAPE,39.38680262257965,0.9779459359219465,gp_soap_pca50_n500,0.02482927962680855,2.482927962674551
gp,soap,50,500,eps_electronic,Spearman,0.6714594301494927,0.0120176752055127,gp_soap_pca50_n500,0.01789784261848419,1.7897842615818678
gp,soap,50,500,eps_total,R2,-0.0012608372880366,1.0677479005165527e-06,gp_soap_pca50_n500,,0.08468561534166354
gp,soap,50,500,eps_total,RMSE,116489.98428186604,0.0621126506122071,gp_soap_pca50_n500,5.33201639566846e-07,5.3320163956684564e-05
gp,soap,50,500,eps_total,MAE,4142.421112340844,1.3496034993930808,gp_soap_pca50_n500,0.0003258006520323165,0.03258006520323086
gp,soap,50,500,eps_total,SMAPE,57.22626017277646,4.7595807225614095,gp_soap_pca50_n500,0.08317126976656122,8.317126976641589
gp,soap,50,500,eps_total,Spearman,0.3219306147555237,0.0522551283287568,gp_soap_pca50_n500,0.16231798385636512,16.231798380594494
gp,soap,50,500,last phdos peak,R2,0.7083484213247212,0.0139829293317507,gp_soap_pca50_n500,0.01974018563576447,1.9740185632977678
gp,soap,50,500,last phdos peak,RMSE,249.644912485465,6.05868002352039,gp_soap_pca50_n500,0.024269190840703163,2.426919084069344
gp,soap,50,500,last phdos peak,MAE,125.4607121023992,6.590122867978554,gp_soap_pca50_n500,0.05252738293562204,5.252738293558018
gp,soap,50,500,last phdos peak,SMAPE,20.148533862460347,0.9561671037737632,gp_soap_pca50_n500,0.047455914673535715,4.745591467330019
gp,soap,50,500,last phdos peak,Spearman,0.9246095741912874,0.0060877662093028,gp_soap_pca50_n500,0.006584147924952522,0.6584147924240421
gp,mace,50,500,eps_electronic,R2,-0.0012542814964921,8.36467698283187e-07,gp_mace_pca50_n500,,0.06668898759437834
gp,mace,50,500,eps_electronic,RMSE,103825.23628081224,0.043368827396068,gp_mace_pca50_n500,4.177098839319754e-07,4.17709883931975e-05
gp,mace,50,500,eps_electronic,MAE,3682.837860958078,0.0586750230398352,gp_mace_pca50_n500,1.593201364139639e-05,0.0015932013641395955
gp,mace,50,500,eps_electronic,SMAPE,25.386439289915295,0.8591933430326908,gp_mace_pca50_n500,0.0338445787225467,3.3844578722413385
gp,mace,50,500,eps_electronic,Spearman,0.8783785121959313,0.0064338828809121,gp_mace_pca50_n500,0.007324727086990667,0.7324727086156775
gp,mace,50,500,eps_total,R2,-0.001262294146527,2.360997212637834e-06,gp_mace_pca50_n500,,0.18704016271433851
gp,mace,50,500,eps_total,RMSE,116490.06902962884,0.1373430107364433,gp_mace_pca50_n500,1.1790104674202793e-06,0.00011790104674202783
gp,mace,50,500,eps_total,MAE,4141.356023509426,1.2977660049491595,gp_mace_pca50_n500,0.0003133674085449479,0.03133674085449404
gp,mace,50,500,eps_total,SMAPE,54.31066510876833,4.671144091522531,gp_mace_pca50_n500,0.08600786019039905,8.600786019024069
gp,mace,50,500,eps_total,Spearman,0.4228528595012181,0.0982262170473758,gp_mace_pca50_n500,0.23229408254029518,23.22940824853602
gp,mace,50,500,last phdos peak,R2,0.8099513261248129,0.0243308527807605,gp_mace_pca50_n500,0.030039894986246537,3.0039894982537683
gp,mace,50,500,last phdos peak,RMSE,201.15994051066215,13.03112391024281,gp_mace_pca50_n500,0.06477991531098169,6.47799153109495
