model,descriptor,property,best_pca,R2,RMSE,Spearman
gp,mace,eps_electronic,25,-0.0008337516099794,84702.06981855519,0.8139847400508238
gp,orb,eps_electronic,25,-0.000831546369885,84701.97650208915,0.8306990998016724
gp,soap,eps_electronic,50,-0.0008352087590093,84702.13147890713,0.6807228618221528
gp,uma,eps_electronic,25,-0.0008308344228625,84701.94637549897,0.6343575721885422
mtgp_2,mace,eps_electronic,10,-0.0008340821503554,84702.0838056286,0.6947611216086843
mtgp_2,orb,eps_electronic,50,-0.0008314581480409,84701.97276893929,0.8537140236578207
mtgp_2,soap,eps_electronic,25,-0.0008350003894878,84702.12266158863,0.4111702648799797
mtgp_2,uma,eps_electronic,25,-0.0008319804504444,84701.99487058107,0.6504846967897626
dgp,mace,eps_electronic,10,-0.0008352273180497,84702.13226424338,0.6174764474472447
dgp,orb,eps_electronic,10,-0.0008330704722729,84702.04099569547,0.7897350069735005
dgp,soap,eps_electronic,25,-0.0008351406446692,84702.12859658625,0.4759859206376444
dgp,uma,eps_electronic,25,-0.0008327437633201,84702.02717069897,0.5179388627738445
gp,mace,eps_total,10,-0.0008364348363216,95033.94762159971,0.3773292384906374
gp,orb,eps_total,50,-0.0008381635842904,95034.0296977831,0.5375249477114499
gp,soap,eps_total,25,-0.0008361936015957,95033.93616843432,0.2208824823397537
gp,uma,eps_total,50,-0.0008382028113862,95034.0315601773,0.449616629697473
mtgp_2,mace,eps_total,50,-0.0008370791713765,95033.97821282977,0.4684357339688946
mtgp_2,orb,eps_total,10,-0.0008364814598221,95033.9498351528,0.4185105463873786
mtgp_2,soap,eps_total,25,-0.0008361206051245,95033.9327027516,0.2237402226575104
mtgp_2,uma,eps_total,50,-0.0008219838272874,95033.26152234862,0.4400097710025612
dgp,mace,eps_total,10,-0.00083778251215,95034.01160550537,0.370164910744557
dgp,orb,eps_total,25,-0.0008329094934027,95033.7802477794,0.3965988451769212
dgp,soap,eps_total,10,-0.0008381261872681,95034.02792218844,0.1696260760772504
dgp,uma,eps_total,25,-0.0008328115859986,95033.77559934318,0.2570577252664132
gp,mace,last phdos peak,25,0.5098168286475024,337.6586189828819,0.7730739163404516
gp,orb,last phdos peak,25,0.6350129640598117,290.70093935237384,0.8502695637538841
gp,soap,last phdos peak,50,0.5128154528220552,337.51497990786186,0.8248181808801036
gp,uma,last phdos peak,50,0.4900866968848274,345.41273565595486,0.762894142172376
mtgp_2,mace,last phdos peak,25,0.4647496142910929,347.767333887992,0.7814173445254241
mtgp_2,orb,last phdos peak,50,0.7935464839383123,218.1117133918886,0.8664806260933113
mtgp_2,soap,last phdos peak,10,0.4234018020387914,367.3936455791313,0.7955644352029057
mtgp_2,uma,last phdos peak,25,0.4642716982376242,353.84094266665545,0.7765283013826728
dgp,mace,last phdos peak,10,0.1769880662470142,436.7024594485697,0.6106442287645258
dgp,orb,last phdos peak,10,0.6893139891820457,268.6176605771865,0.8620083166629418
dgp,soap,last phdos peak,25,0.3562506489932546,385.4388117504683,0.6522583636237778
dgp,uma,last phdos peak,10,0.2951429172058467,403.97148074843426,0.6026498617267887
