model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.018605094144472634,0.5793863982968147
gp,mace,25,0.16938143245863688,0.6579213759655619
gp,mace,50,0.1671047316478408,0.574358085824075
gp,orb,10,0.19828332326617334,0.6864962876040023
gp,orb,25,0.21111403133817797,0.7400657510247202
gp,orb,50,0.12506707029132436,0.6916544915412716
gp,soap,10,0.14040990149167287,0.4252540322298912
gp,soap,25,0.15229123835604505,0.48080824432347863
gp,soap,50,0.17038122581292844,0.5975393973738026
gp,uma,10,0.1339229508605149,0.5218502983769934
gp,uma,25,0.14789400739945294,0.5928753974550452
gp,uma,50,0.16280505864543587,0.6216269335963335
mtgp_2,mace,10,0.048780599318192064,0.5932914507053322
mtgp_2,mace,25,0.1543589925709052,0.6565136358852776
mtgp_2,mace,50,0.11397795725932497,0.6164919724410658
mtgp_2,orb,10,0.17344236470048588,0.6683307257259307
mtgp_2,orb,25,0.16643923057874932,0.677217344054415
mtgp_2,orb,50,0.2639582610161622,0.7580909433956795
mtgp_2,soap,10,0.1405760219822658,0.5149435877211662
mtgp_2,soap,25,0.0715664366080309,0.4529960515163645
mtgp_2,soap,50,0.0591465096716062,0.5194245112874532
mtgp_2,uma,10,0.11992622833122517,0.5234594999795651
mtgp_2,uma,25,0.15420138685754678,0.6054274630557231
mtgp_2,uma,50,0.10423082231288193,0.6143286216141949
dgp,mace,10,0.058438352138938165,0.5327618623187759
dgp,mace,25,-0.010414927533458967,0.010266517404240798
dgp,mace,50,-0.0017520791741286665,0.012463094778661733
dgp,orb,10,0.22921545717850245,0.7117450182938949
dgp,orb,25,0.12979715228908315,0.5021392122961733
dgp,orb,50,-0.0031380826766483996,0.003431445724040467
dgp,soap,10,0.023300168419165632,0.2795718018854217
dgp,soap,25,0.11819216903851404,0.4611221033632554
dgp,soap,50,-0.0051403269009635665,-0.002871863256389466
dgp,uma,10,0.09782331891589213,0.49710115053116005
dgp,uma,25,0.0656926745451767,0.41040418658002525
dgp,uma,50,-0.0016872547084893334,0.0013882104110186332
