model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,50,0.23202427922258886,64151.703183177655,0.6964743557188142
gp,orb,50,0.2733262563423365,64130.70912231133,0.7585671950278375
gp,soap,50,0.21485398995112867,64159.344279498466,0.5871308751322878
gp,uma,50,0.25601423853104566,64140.822412372545,0.7104059926194587
mtgp_2,mace,25,0.22629278923467133,64154.26781930268,0.6928391481662165
mtgp_2,orb,25,0.27381733202829234,64131.10810711746,0.7761391004610866
mtgp_2,soap,50,0.17966108745156364,64172.22331380007,0.6234136005248593
mtgp_2,uma,10,0.2242717263942076,64155.14041496645,0.6242170569457981
dgp,mace,25,0.21152106278489954,64160.41572961485,0.590206444313966
dgp,orb,10,0.2724487145357693,64131.88228999756,0.7311652139674036
dgp,soap,10,0.17960304010173353,64172.45983564533,0.5090795118916159
dgp,uma,10,0.2095541994511024,64161.371040389065,0.5790101284609521
