descriptor,property,R2,best_pca,model
mace,eps_electronic,-0.0009543672734788,50,gp
mace,eps_total,-0.0009552480459662,50,gp
mace,last phdos peak,0.6979824529872116,50,gp
orb,eps_electronic,-0.0009523202485078,50,gp
orb,eps_total,-0.0009631608796202,50,gp
orb,last phdos peak,0.8218942501551375,50,gp
soap,eps_electronic,-0.000955630414869,50,gp
soap,eps_total,-0.0009598628904446,50,gp
soap,last phdos peak,0.6464774631586996,50,gp
uma,eps_electronic,-0.0009540044091705,50,gp
uma,eps_total,-0.0009592443993038,50,gp
uma,last phdos peak,0.7699559644016113,50,gp
mace,eps_electronic,-0.0009543171030635,25,mtgp_2
mace,eps_total,-0.0009554075177472,25,mtgp_2
mace,last phdos peak,0.6807880923248247,25,mtgp_2
orb,eps_electronic,-0.0009552950482148,25,mtgp_2
orb,eps_total,-0.0009582450942454,25,mtgp_2
orb,last phdos peak,0.8233655362273371,25,mtgp_2
soap,eps_electronic,-0.0009556001462417,50,mtgp_2
soap,eps_total,-0.0009574243501514,50,mtgp_2
soap,last phdos peak,0.540896286851084,50,mtgp_2
uma,eps_electronic,-0.0009554294108003,10,mtgp_2
uma,eps_total,-0.0009583848783642,10,mtgp_2
uma,last phdos peak,0.6747289934717873,10,mtgp_2
mace,eps_electronic,-0.0009561163764278,25,dgp
mace,eps_total,-0.0009557106163347,25,dgp
mace,last phdos peak,0.6364750153474611,25,dgp
orb,eps_electronic,-0.0009538870390043,10,dgp
orb,eps_total,-0.0009558285960235,10,dgp
orb,last phdos peak,0.8192558592423357,10,dgp
soap,eps_electronic,-0.0009568905460966,10,dgp
soap,eps_total,-0.0009592459442843,10,dgp
soap,last phdos peak,0.5407252567955815,10,dgp
uma,eps_electronic,-0.0009568399076324,10,dgp
uma,eps_total,-0.0009581497595553,10,dgp
uma,last phdos peak,0.6305775880204949,10,dgp
