model,descriptor,property,pca,R2,Spearman
gp,mace,eps_electronic,10,-0.0012560673070209,0.8447206749402417
gp,mace,eps_electronic,25,-0.0012556597851776,0.8337693629007707
gp,mace,eps_electronic,50,-0.0012542814964921,0.8783785121959313
gp,mace,eps_total,10,-0.0012576851556443,0.3390924319283498
gp,mace,eps_total,25,-0.0012620473280734,0.3774111151386772
gp,mace,eps_total,50,-0.001262294146527,0.4228528595012181
gp,mace,last phdos peak,10,0.516876138588697,0.8003861105611569
gp,mace,last phdos peak,25,0.7864334478838979,0.854307761757725
gp,mace,last phdos peak,50,0.8099513261248129,0.8569870593898908
gp,orb,eps_electronic,10,-0.0012480083313114,0.8629175041182092
gp,orb,eps_electronic,25,-0.0012467789832887,0.9091781485015568
gp,orb,eps_electronic,50,-0.0012437492608985,0.92970130832187
gp,orb,eps_total,10,-0.0012603455856983,0.4072661025351182
gp,orb,eps_total,25,-0.0012558307040809,0.4919531489506432
gp,orb,eps_total,50,-0.0012543187717736,0.5962047257189809
gp,orb,last phdos peak,10,0.845003468439617,0.9138106081012908
gp,orb,last phdos peak,25,0.8990248541231658,0.9293354188560358
gp,orb,last phdos peak,50,0.9113489615797354,0.947421539169437
gp,soap,eps_electronic,10,-0.0012559874254105,0.644909845503648
gp,soap,eps_electronic,25,-0.0012562751968572,0.5760646369113129
gp,soap,eps_electronic,50,-0.0012552980802908,0.6714594301494927
gp,soap,eps_total,10,-0.0012603284811633,0.2122481249220022
gp,soap,eps_total,25,-0.0012583127027908,0.2667568617448593
gp,soap,eps_total,50,-0.0012608372880366,0.3219306147555237
gp,soap,last phdos peak,10,0.594913458108091,0.8870469023877743
gp,soap,last phdos peak,25,0.6447664141398943,0.9061143500404268
gp,soap,last phdos peak,50,0.7083484213247212,0.9246095741912874
gp,uma,eps_electronic,10,-0.0012566062718813,0.6754194265090996
gp,uma,eps_electronic,25,-0.001253230383187,0.7699231096783828
gp,uma,eps_electronic,50,-0.0012540929473662,0.8429378349335275
gp,uma,eps_total,10,-0.0012587735544182,0.3670952105894904
gp,uma,eps_total,25,-0.0012617082315379,0.4207081679583635
gp,uma,eps_total,50,-0.001259690554298,0.4982524944506628
gp,uma,last phdos peak,10,0.7506008991047919,0.8944327860510031
gp,uma,last phdos peak,25,0.7979188607838315,0.9099840495462456
gp,uma,last phdos peak,50,0.8178792717686225,0.9267029548040062
mtgp_2,mace,eps_electronic,10,-0.0012569253519746,0.8158197393063658
mtgp_2,mace,eps_electronic,25,-0.0012556487697819,0.8343543241169746
mtgp_2,mace,eps_electronic,50,-0.0012550592430291,0.8759369537729127
mtgp_2,mace,eps_total,10,-0.0012591127349993,0.5359730733875813
