model,descriptor,property,best_pca,R2,RMSE,Spearman,n_train
gp,orb,band_gap,50,0.6747950032822041,0.9132678641822536,0.7608156397575538,100
mtgp_2,orb,band_gap,50,0.6751272945652039,0.9122967846597132,0.7599170971677646,100
dgp,orb,band_gap,25,0.5603774325730446,1.0599833584654788,0.6993518647137283,100
gp,orb,n,50,0.3720268475736164,0.930373088938934,0.8434956403771672,100
mtgp_2,orb,n,50,0.3839603594248003,0.9215441050452726,0.8540324746834254,100
dgp,orb,n,10,0.3592724170855049,0.940049496385872,0.8174796454104432,100
gp,orb,poly_electronic,10,0.1052995440128982,12.852429649624264,0.6576195735328118,100
mtgp_2,orb,poly_electronic,10,0.1257078835433561,12.70552772173814,0.7318598640187286,100
dgp,orb,poly_electronic,10,0.1137127294081181,12.792738380788192,0.7867167578598788,100
gp,orb,poly_total,25,0.0939364818855266,19.229786279861813,0.543226164449339,100
mtgp_2,orb,poly_total,10,0.1017075380825618,19.147241046610112,0.4770626475486565,100
dgp,orb,poly_total,25,0.1005856320620408,19.15858108803798,0.591627625818783,100
gp,orb,band_gap,50,0.8114677530046214,0.6886854912381538,0.8648339913747318,250
mtgp_2,orb,band_gap,50,0.7748883182881479,0.7522244656568096,0.8365639031693627,250
dgp,orb,band_gap,10,0.6739541540841901,0.9039127788316186,0.7618951081347508,250
gp,orb,n,25,0.4286707042092634,0.86962803051518,0.8467626893976867,250
mtgp_2,orb,n,50,0.4181920736941943,0.8774991085398224,0.8545009061874371,250
dgp,orb,n,10,0.4239435610667173,0.8730418156768358,0.8556221156461945,250
gp,orb,poly_electronic,25,0.1022256878395371,13.173090886215608,0.6929373391586896,250
mtgp_2,orb,poly_electronic,25,0.0998241310270889,13.188682833159287,0.7438972036585734,250
dgp,orb,poly_electronic,25,0.1481104163809523,12.826055822173569,0.6521596684138495,250
gp,orb,poly_total,50,0.1108305835454372,19.802307537492403,0.5849903143513181,250
mtgp_2,orb,poly_total,25,0.1467207605580949,19.396141016060906,0.6245713334523902,250
dgp,orb,poly_total,10,0.1281753506532057,19.609080004829103,0.5740645552166976,250
gp,orb,band_gap,50,0.8515128458095628,0.6246540769410702,0.8921399419684797,500
mtgp_2,orb,band_gap,50,0.8400782020533191,0.6471533551920398,0.8891440150354093,500
dgp,orb,band_gap,25,0.8358372590666374,0.6578013338284439,0.8679478546745353,500
gp,orb,n,25,0.4266569004117952,0.7305143951315449,0.8647050911746241,500
mtgp_2,orb,n,50,0.4493415217720627,0.7185600925618851,0.9068246891115463,500
dgp,orb,n,10,0.5519096693588467,0.6437764016073357,0.8928648649825213,500
gp,orb,poly_electronic,50,-0.8723514516209004,11.273584103329869,0.6920580682983734,500
mtgp_2,orb,poly_electronic,50,-0.7771680205481661,10.984760815057705,0.718629626245733,500
dgp,orb,poly_electronic,50,-0.0456785758259864,8.459686394108036,-0.0186353355118628,500
gp,orb,poly_total,50,0.0078814254065372,18.697929721326197,0.5310223541555091,500
mtgp_2,orb,poly_total,50,-0.0271612927910357,19.032377872803515,0.5787784961660108,500
dgp,orb,poly_total,10,0.0927548052813815,17.865473444336608,0.6060797426070484,500
