model,descriptor,property,best_pca,R2,RMSE,Spearman,n_train
gp,orb,eps_electronic,25,-0.000831546369885,84701.97650208915,0.8306990998016724,100
mtgp_2,orb,eps_electronic,50,-0.0008314581480409,84701.97276893929,0.8537140236578207,100
dgp,orb,eps_electronic,10,-0.0008330704722729,84702.04099569547,0.7897350069735005,100
gp,orb,eps_total,50,-0.0008381635842904,95034.0296977831,0.5375249477114499,100
mtgp_2,orb,eps_total,10,-0.0008364814598221,95033.9498351528,0.4185105463873786,100
dgp,orb,eps_total,25,-0.0008329094934027,95033.7802477794,0.3965988451769212,100
gp,orb,last phdos peak,25,0.6350129640598117,290.70093935237384,0.8502695637538841,100
mtgp_2,orb,last phdos peak,50,0.7935464839383123,218.1117133918886,0.8664806260933113,100
dgp,orb,last phdos peak,10,0.6893139891820457,268.6176605771865,0.8620083166629418,100
gp,orb,eps_electronic,10,-0.000951713540872,90571.86194356454,0.8462642734667323,250
mtgp_2,orb,eps_electronic,50,-0.0009525287236614,90571.89882477242,0.9263045102876962,250
dgp,orb,eps_electronic,25,-0.0009537681498366,90571.95489984375,0.6610780514270381,250
gp,orb,eps_total,25,-0.0009472563514499,101619.39438216352,0.3925866808248046,250
mtgp_2,orb,eps_total,50,-0.0009523713656734,101619.6540346378,0.5645999418634874,250
dgp,orb,eps_total,25,-0.000951221668788,101619.59567382556,0.4585475471243778,250
gp,orb,last phdos peak,50,0.8218942501551375,200.03624923250223,0.8754471716511206,250
mtgp_2,orb,last phdos peak,25,0.8233655362273371,201.34814678014865,0.8985500892361309,250
dgp,orb,last phdos peak,10,0.8192558592423357,203.85706244012795,0.874083288855301,250
gp,orb,eps_electronic,50,-0.0012437492608985,103824.69020801396,0.92970130832187,500
mtgp_2,orb,eps_electronic,50,-0.00124533049196,103824.7721915515,0.927989708253395,500
dgp,orb,eps_electronic,10,-0.0012441686739264,103824.71195401363,0.858656212812839,500
gp,orb,eps_total,50,-0.0012543187717736,116489.60508752037,0.5962047257189809,500
mtgp_2,orb,eps_total,10,-0.001245941886822,116489.1177882147,0.655365456814624,500
dgp,orb,eps_total,10,-0.0012436931776893,116488.9869755623,0.5440321943040644,500
gp,orb,last phdos peak,50,0.9113489615797354,137.5838852249922,0.947421539169437,500
mtgp_2,orb,last phdos peak,25,0.9070059250022238,140.65529688142487,0.9252452132264676,500
dgp,orb,last phdos peak,25,0.9090659964536426,138.402910610897,0.907928998997335,500
