paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
adit,ACC,7,3006084,1,6,MoN,"('Mo', 'N')",0.9347042033535355,375.1875972743435,P-6m2,187,8,8.892162377093733,MoN,False
adit,BASE,23,3006095,1,14,MoC,"('C', 'Mo')",0.8727598399122442,351.6487391666528,P6_3/mmc,194,8,8.459097332465237,MoC,False
mg,ACC,113,3006104,1,16,Os5W3,"('Os', 'W')",0.8410222914474295,339.5884707500232,Cmmm,65,8,20.6116411708521,Os5W3,False
mg,ACC,7,3006080,1,19,FeRe9Os2,"('Fe', 'Os', 'Re')",0.8401424999598929,339.2541499847593,Imm2,44,12,19.898293616783874,FeRe9Os2,False
mg,ACC,99,3003721,1,8,CoIrOs2,"('Co', 'Ir', 'Os')",0.8368215184630844,337.99217701597206,P4/mmm,123,4,19.326419024091763,CoIrOs2,False
mg,ACC,99,3003721,2,2,CoIrOs2,"('Co', 'Ir', 'Os')",0.8367866062736039,337.9789103839695,P4/mmm,123,4,19.338452427735724,CoIrOs2,False
mg,ACC,99,3003721,3,18,CoIrOs2,"('Co', 'Ir', 'Os')",0.8357947228394845,337.6019946790041,I-4m2,119,4,19.338861789309817,CoIrOs2,False
cf,ACC,99,3003725,1,16,Re5W,"('Re', 'W')",0.8328024675809249,336.46493768075146,P1,1,12,20.138525752124114,Re5W,False
cf,BASE,99,3003723,1,18,VIr7,"('Ir', 'V')",0.8026246105416196,324.99735200581546,P-6m2,187,8,20.212588043236362,VIr7,False
adit,ACC,99,3003729,1,9,TiVN2,"('N', 'Ti', 'V')",0.771195818097009,313.0544108768634,R3m,160,16,5.777484744470594,TiVN2,False
adit,ACC,17,3003728,1,3,TaB2W,"('B', 'Ta', 'W')",0.7711780907816069,313.04767449701063,Amm2,38,4,14.641378533328478,TaB2W,False
mg,ACC,113,3006104,2,19,ReOs2Pt3,"('Os', 'Pt', 'Re')",0.761959272316004,309.5445234800815,P4mm,99,6,21.119874462487342,ReOs2Pt3,False
adit,BASE,17,3003726,1,1,FeB2MoW,"('B', 'Fe', 'Mo', 'W')",0.7532388241242844,306.2307531672281,Pmc2_1,26,10,11.243248654904328,FeB2MoW,False
adit,BASE,17,3003726,2,8,FeB2MoW,"('B', 'Fe', 'Mo', 'W')",0.7530171281098431,306.1465086817404,Pmc2_1,26,10,11.242964496134627,FeB2MoW,False
mg,ACC,113,3006104,3,8,Ti7V2N9,"('N', 'Ti', 'V')",0.7445294531561187,302.9211921993251,P-1,2,18,5.506577788117668,Ti7V2N9,False
adit,BASE,23,3006095,2,1,Mn(BMo)3,"('B', 'Mn', 'Mo')",0.7326286546402182,298.3988887632829,Cmcm,63,14,8.435502795507013,Mn(BMo)3,False
adit,ACC,23,3006096,1,5,FeRe(PW)2,"('Fe', 'P', 'Re', 'W')",0.7309327029044022,297.7544271036728,Pmc2_1,26,12,14.029633810302398,FeRe(PW)2,False
mg,BASE,113,3006103,1,10,Hf3TaN4,"('Hf', 'N', 'Ta')",0.7276267009074895,296.498146344846,Cmmm,65,8,13.998917221118319,Hf3TaN4,False
cf,ACC,113,3006106,1,2,ReIr2Rh5,"('Ir', 'Re', 'Rh')",0.7163230827682574,292.2027714519378,C2,5,8,15.632087341702958,ReIr2Rh5,False
mg,ACC,17,3003720,1,18,CuRu13W4,"('Cu', 'Ru', 'W')",0.6849102916751364,280.2659108365518,Pm,6,18,13.579092425944863,CuRu13W4,False
