paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
mg,BASE,17,3003718,1,15,AlPt4,"('Al', 'Pt')",0.5605258546231184,232.99982475678502,C2/m,12,10,17.571117717650942,AlPt4,False
mg,BASE,17,3003718,2,19,ZrTaTiO6,"('O', 'Ta', 'Ti', 'Zr')",0.5431089769458639,226.38141123942827,P312,149,9,6.40201058565718,ZrTaTiO6,False
mg,BASE,17,3003718,3,5,Zr3TiN3,"('N', 'Ti', 'Zr')",0.5109821854136267,214.17323045717816,Cm,8,7,6.43731884832421,Zr3TiN3,False
mg,BASE,99,3003719,1,7,Nb3Ir2Ru,"('Ir', 'Nb', 'Ru')",0.6098833680242078,251.75567984919897,P4/mmm,123,6,13.0276893098412,Nb3Ir2Ru,False
mg,BASE,99,3003719,2,9,FePt2Rh5,"('Fe', 'Pt', 'Rh')",0.5873415600725028,243.18979282755106,I-4m2,119,8,13.72051342694236,FePt2Rh5,False
mg,BASE,99,3003719,3,7,Ta2PdRh3,"('Pd', 'Rh', 'Ta')",0.5660522674578018,235.09986163396468,Cmmm,65,6,13.828662152243513,Ta2PdRh3,False
mg,ACC,17,3003720,1,18,CuRu13W4,"('Cu', 'Ru', 'W')",0.6849102916751364,280.2659108365518,Pm,6,18,13.579092425944863,CuRu13W4,False
mg,ACC,17,3003720,2,7,Rh5W3,"('Rh', 'W')",0.6647672788183607,272.6115659509771,Cmce,64,16,14.876603105574944,Rh5W3,False
mg,ACC,17,3003720,3,17,Mo2Pt3Rh2,"('Mo', 'Pt', 'Rh')",0.615962905747492,254.06590418404696,C2/m,12,7,15.297063029217806,Mo2Pt3Rh2,False
mg,ACC,99,3003721,1,8,CoIrOs2,"('Co', 'Ir', 'Os')",0.8368215184630844,337.99217701597206,P4/mmm,123,4,19.326419024091763,CoIrOs2,False
mg,ACC,99,3003721,2,2,CoIrOs2,"('Co', 'Ir', 'Os')",0.8367866062736039,337.9789103839695,P4/mmm,123,4,19.338452427735724,CoIrOs2,False
mg,ACC,99,3003721,3,18,CoIrOs2,"('Co', 'Ir', 'Os')",0.8357947228394845,337.6019946790041,I-4m2,119,4,19.338861789309817,CoIrOs2,False
cf,BASE,17,3003722,1,8,OsO2,"('O', 'Os')",0.6381571331044918,262.4997105797069,C2/m,12,6,10.241488078596479,OsO2,False
cf,BASE,17,3003722,2,7,CeTa3C4,"('C', 'Ce', 'Ta')",0.6381073600620945,262.4807968235959,R-3m,166,8,12.18436913953314,CeTa3C4,False
cf,BASE,17,3003722,3,17,LuMo3O8,"('Lu', 'Mo', 'O')",0.4886774890320712,205.69744583218704,P2/m,10,12,6.543768406665472,LuMo3O8,False
cf,BASE,99,3003723,1,18,VIr7,"('Ir', 'V')",0.8026246105416196,324.99735200581546,P-6m2,187,8,20.212588043236362,VIr7,False
cf,BASE,99,3003723,2,7,Fe11Re2,"('Fe', 'Re')",0.681795816408797,279.0824102353429,P-1,2,13,10.469477676110811,Fe11Re2,False
cf,BASE,99,3003723,3,4,TiV2N,"('N', 'Ti', 'V')",0.521956819724306,218.34359149523627,C2/m,12,4,5.586801031761139,TiV2N,False
cf,ACC,17,3003724,1,17,C,"('C',)",0.5276425931387194,220.50418539271337,P-1,2,4,1.8453437188063397,C,True
cf,ACC,17,3003724,2,8,Yb2WN2O,"('N', 'O', 'W', 'Yb')",0.4270910479587446,182.29459822432295,P3m1,156,6,10.067690151587714,Yb2WN2O,False
cf,ACC,17,3003724,3,9,Sm2MnVO6,"('Mn', 'O', 'Sm', 'V')",0.4142726897472789,177.42362210396598,P2_1/c,14,20,6.729762974098439,Sm2MnVO6,False
cf,ACC,99,3003725,1,16,Re5W,"('Re', 'W')",0.8328024675809249,336.46493768075146,P1,1,12,20.138525752124114,Re5W,False
cf,ACC,99,3003725,2,6,V2RuRh5,"('Rh', 'Ru', 'V')",0.5909629717104729,244.5659292499797,Pm,6,8,10.628813768054783,V2RuRh5,False
cf,ACC,99,3003725,3,7,HfTi2NbO8,"('Hf', 'Nb', 'O', 'Ti')",0.498942220818334,209.5980439109669,P1,1,12,5.676209757706081,HfTi2NbO8,False
adit,BASE,17,3003726,1,1,FeB2MoW,"('B', 'Fe', 'Mo', 'W')",0.7532388241242844,306.2307531672281,Pmc2_1,26,10,11.243248654904328,FeB2MoW,False
adit,BASE,17,3003726,2,8,FeB2MoW,"('B', 'Fe', 'Mo', 'W')",0.7530171281098431,306.1465086817404,Pmc2_1,26,10,11.242964496134627,FeB2MoW,False
adit,BASE,17,3003726,3,1,TiCrB2,"('B', 'Cr', 'Ti')",0.6341282478367176,260.9687341779527,Amm2,38,4,5.3686793053654265,TiCrB2,False
adit,BASE,99,3003727,1,3,V2WO6,"('O', 'V', 'W')",0.5633016134126805,234.05461309681857,P2,3,18,6.338545875276536,V2WO6,False
adit,BASE,99,3003727,2,9,Nb2V3Ru,"('Nb', 'Ru', 'V')",0.4989370538542641,209.59608046462037,P6_3/mmc,194,12,7.903585718453063,Nb2V3Ru,False
adit,BASE,99,3003727,3,17,Mn3NiP4,"('Mn', 'Ni', 'P')",0.4944252362483207,207.88158977436186,Pm,6,8,6.101031183598066,Mn3NiP4,False
