paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
mg,BASE,23,3006085,1,11,Li13Mg3,"('Li', 'Mg')",1.0,2.0,Amm2,38,16,0.8460228539521425,Li13Mg3,False
mg,ACC,7,3006074,1,19,Li4Mg,"('Li', 'Mg')",1.0,2.0,C2/m,12,10,0.8661591434208953,Li4Mg,False
mg,ACC,23,3006086,1,19,Li4Mg,"('Li', 'Mg')",1.0,2.0,I4/mmm,139,5,0.8693280298435607,Li4Mg,False
cf,BASE,7,3006075,1,6,NaLi5,"('Li', 'Na')",1.0,2.0,P1,1,6,0.6748346632018688,NaLi5,False
mg,BASE,23,3006085,2,18,Li13Mg3Al2,"('Al', 'Li', 'Mg')",0.9569687716421804,1.9246953503738158,P1,1,18,1.0588964889444235,Li13Mg3Al2,False
cf,ACC,23,3006193,1,0,NaLi2,"('Li', 'Na')",0.9563847906761972,1.923673383683345,P2_1/m,11,6,0.7977346436305298,NaLi2,False
mg,BASE,113,3006097,1,17,Li7Mg3,"('Li', 'Mg')",0.9523307508732308,1.9165788140281539,P1,1,20,0.9862891654684831,Li7Mg3,False
mg,BASE,113,3006097,2,12,Li5Mg3,"('Li', 'Mg')",0.8491148663033051,1.735951016030784,Amm2,38,8,1.0723531007302756,Li5Mg3,False
mg,ACC,7,3006074,2,14,Li5Mg3,"('Li', 'Mg')",0.8467623734543402,1.7318341535450954,Immm,71,8,1.0986371181210248,Li5Mg3,False
mg,BASE,23,3006085,3,17,Li7(MgAl)2,"('Al', 'Li', 'Mg')",0.8168424060436287,1.6794742105763503,C2/m,12,11,1.2511592068060056,Li7(MgAl)2,False
mg,BASE,113,3006097,3,19,Li7Mg5,"('Li', 'Mg')",0.8024486612077287,1.6542851571135253,C2/m,12,12,1.142290204311387,Li7Mg5,False
mg,ACC,7,3006074,3,15,Li9Mg7,"('Li', 'Mg')",0.7769599528247227,1.6096799174432648,P1,1,16,1.1676376892889546,Li9Mg7,False
cf,ACC,99,3003446,1,1,Li5CaMg2,"('Ca', 'Li', 'Mg')",0.723321528673405,1.5158126751784589,Pm,6,8,1.1095664983026305,Li5CaMg2,False
cf,ACC,7,3006076,1,3,LiMg,"('Li', 'Mg')",0.7178916257638972,1.50631034508682,Pm,6,6,1.2421112073206384,LiMg,False
mg,ACC,17,3003441,1,16,Li3Mg4,"('Li', 'Mg')",0.6667318959746333,1.4167808179556083,Cm,8,7,1.3106388249975063,Li3Mg4,False
cf,BASE,113,3006099,1,18,Li6TiO5,"('Li', 'O', 'Ti')",0.5971901158701106,1.2950827027726937,P1,1,12,2.2610987943645373,Li6TiO5,False
adit,ACC,23,3006090,1,4,LiMg2,"('Li', 'Mg')",0.5907748486451447,1.2838559851290032,Ama2,40,6,1.4374722976027494,LiMg2,False
mg,ACC,99,3003442,1,16,Li5Mg2Cu,"('Cu', 'Li', 'Mg')",0.5743091273705229,1.255040972898415,I4/mmm,139,8,1.7353623278096058,Li5Mg2Cu,False
adit,BASE,17,3003447,1,2,Li3PO4,"('Li', 'O', 'P')",0.5180297538243899,1.1565520691926823,P1,1,16,2.3096539470527397,Li3PO4,False
adit,ACC,17,3003449,1,15,Na2BO3,"('B', 'Na', 'O')",0.4804527061304183,1.090792235728232,P1,1,12,1.9469142780928492,Na2BO3,False
