paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
mg,BASE,17,3003439,1,17,Li4Fe3OsO8,"('Fe', 'Li', 'O', 'Os')",0.230569725842145,0.6534970202237538,P1,1,16,5.46727751434962,Li4Fe3OsO8,False
mg,BASE,17,3003439,2,4,Fe4AsO8,"('As', 'Fe', 'O')",0.1993813703947222,0.5989173981907638,Cm,8,13,4.747610954505431,Fe4AsO8,False
mg,BASE,17,3003439,3,17,RbCoPdF6,"('Co', 'F', 'Pd', 'Rb')",0.172127912081302,0.5512238461422785,C2,5,9,3.6955916014935615,RbCoPdF6,False
mg,BASE,99,3003440,1,18,Li3Mg2Fe2NiO8,"('Fe', 'Li', 'Mg', 'Ni', 'O')",0.3495110647680549,0.861644363344096,P-1,2,16,4.135530901759641,Li3Mg2Fe2NiO8,False
mg,BASE,99,3003440,2,7,Na6CaCl8,"('Ca', 'Cl', 'Na')",0.302466263471317,0.7793159610748047,Fm-3m,225,15,2.036796866076886,Na6CaCl8,False
mg,BASE,99,3003440,3,15,K2Na4CaCl8,"('Ca', 'Cl', 'K', 'Na')",0.2752358151288851,0.731662676475549,C2/m,12,15,1.9523028198691241,K2Na4CaCl8,False
mg,ACC,17,3003441,1,16,Li3Mg4,"('Li', 'Mg')",0.6667318959746333,1.4167808179556083,Cm,8,7,1.3106388249975063,Li3Mg4,False
mg,ACC,17,3003441,2,19,Li5Ni3O7,"('Li', 'Ni', 'O')",0.391681256348764,0.935442198610337,R3,146,15,4.181653900996794,Li5Ni3O7,False
mg,ACC,17,3003441,3,13,Al6Ag2Sn,"('Ag', 'Al', 'Sn')",0.1098967878160928,0.4423193786781624,Cm,8,9,5.067880242607894,Al6Ag2Sn,False
mg,ACC,99,3003442,1,16,Li5Mg2Cu,"('Cu', 'Li', 'Mg')",0.5743091273705229,1.255040972898415,I4/mmm,139,8,1.7353623278096058,Li5Mg2Cu,False
mg,ACC,99,3003442,2,2,Ca(BeAl5)2,"('Al', 'Be', 'Ca')",0.3809667303685193,0.9166917781449088,Fmmm,69,13,2.5420659114679784,Ca(BeAl5)2,False
