paradigm,setup,seed,rank,comp,reduced_formula,value,in_seed_formula,strict_match_id,strict_match_dist,best_anon_match_id,best_anon_dist,min_density_diff_pct,min_volume_diff_pct,n_seed_candidates_same_formula
cf,BASE,7,1,NaLi5,NaLi5,2.0,False,,,,,,,0
mg,ACC,23,1,Li4Mg,Li4Mg,2.0,False,,,,,,,0
mg,ACC,7,1,Li4Mg,Li4Mg,2.0,False,,,,,,,0
mg,BASE,23,1,Li13Mg3,Li13Mg3,2.0,False,,,,,,,0
mg,BASE,23,2,Li13Mg3Al2,Li13Mg3Al2,1.9246953503738158,False,,,,,,,0
cf,ACC,23,1,NaLi2,NaLi2,1.923673383683345,False,,,,,,,0
mg,BASE,113,1,Li7Mg3,Li7Mg3,1.9165788140281539,False,,,,,,,0
mg,BASE,113,2,Li5Mg3,Li5Mg3,1.735951016030784,False,,,,,,,0
mg,ACC,7,2,Li5Mg3,Li5Mg3,1.7318341535450954,False,,,,,,,0
mg,BASE,23,3,Li7(MgAl)2,Li7(MgAl)2,1.6794742105763503,False,,,,,,,0
mg,BASE,113,3,Li7Mg5,Li7Mg5,1.6542851571135253,False,,,,,,,0
mg,ACC,7,3,Li9Mg7,Li9Mg7,1.6096799174432648,False,,,,,,,0
cf,ACC,99,1,Li5CaMg2,Li5CaMg2,1.5158126751784589,False,,,,,,,0
cf,ACC,7,1,LiMg,LiMg,1.50631034508682,False,,,,,,,0
mg,ACC,17,1,Li3Mg4,Li3Mg4,1.4167808179556083,False,,,,,,,0
cf,BASE,113,1,Li6TiO5,Li6TiO5,1.2950827027726937,False,,,,,,,0
adit,ACC,23,1,LiMg2,LiMg2,1.2838559851290032,False,,,,,,,0
mg,ACC,99,1,Li5Mg2Cu,Li5Mg2Cu,1.255040972898415,False,,,,,,,0
adit,BASE,17,1,Li3PO4,Li3PO4,1.1565520691926823,False,,,,,,,0
adit,ACC,17,1,Na2BO3,Na2BO3,1.090792235728232,False,,,,,,,0
