"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Sm15 Co3 Ni2)
Reduced Formula: Sm15Co3Ni2
abc   :   8.545902   7.683666   8.756936
angles: 104.114873  94.712646  92.105004
pbc   :       True       True       True
Sites (20)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  -----------------------------------------------------------------------
  0  Sm    0.499212  0.433184   0.257889  [0.0049306852743029594, -0.001995362341403961, 0.010643631219863892]
  1  Sm    0.970558  0.311536   0.845617  [-0.008826438337564468, 0.0005795862525701523, -0.00028170645236968994]
  2  Sm    0.122353  0.569307   0.198221  [0.01456410065293312, -0.003055563196539879, -0.0006058349972590804]
  3  Sm    0.355801  0.146223   0.898317  [-0.010794814676046371, 0.009949170053005219, 0.018292278051376343]
  4  Sm    0.40695   0.947874   0.21934   [0.03243692219257355, -0.010204572230577469, 0.0010028034448623657]
  5  Ni    0.657644  0.339599  -0.04771   [-0.01177787035703659, -0.02336139976978302, 0.00898795761168003]
  6  Sm    0.85126   0.545725   0.531243  [0.006680339574813843, -0.009762749075889587, 0.002548355609178543]
  7  Sm    0.760872  0.70681    0.133455  [0.013782612979412079, -0.03273910656571388, 0.0002459511160850525]
  8  Sm    0.20629   0.298898   0.476329  [0.0032529979944229126, -0.009099453687667847, 0.014679670333862305]
  9  Ni    0.617426  0.798239   0.435774  [0.0017903894186019897, -0.015367630869150162, 0.010645046830177307]
 10  Co    0.163316  0.202024   0.124443  [-0.0037078596651554108, -0.031602583825588226, 0.053027763962745667]
 11  Sm    0.674103  0.891733   0.7908    [-0.0020144134759902954, 0.007795266807079315, -0.010501287877559662]
 12  Sm    0.062999  0.840664   0.911976  [-0.0015294067561626434, -0.0026201605796813965, 0.0008078217506408691]
 13  Sm    0.405325  0.571944   0.868881  [-0.0030680447816848755, 0.01867040991783142, -0.022245049476623535]
 14  Sm    0.930588  0.968571   0.49935   [-0.030706072226166725, 0.010939471423625946, -0.03160971403121948]
 15  Co    0.077867  0.943846   0.241316  [0.029091432690620422, 0.003555476665496826, 0.00717887282371521]
 16  Sm    0.842048  0.180326   0.174455  [-0.0023435354232788086, -0.0029928795993328094, -0.004796959459781647]
 17  Sm    0.306502  0.796184   0.55635   [-0.018132269382476807, 0.04092402756214142, -0.027818098664283752]
 18  Sm    0.59421   0.21426    0.600373  [-0.010304011404514313, 0.016184642910957336, -0.004804495722055435]
 19  Co    0.509144  0.540276   0.578552  [-0.0033248327672481537, 0.03420346975326538, -0.02539694681763649]","Sm15Co3Ni2","('Co', 'Ni', 'Sm')","0.075725759133135","0","# generated using pymatgen
data_Sm15Co3Ni2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.54590158
_cell_length_b   7.68366556
_cell_length_c   8.75693593
_cell_angle_alpha   104.11487309
_cell_angle_beta   94.71264565
_cell_angle_gamma   92.10500363
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm15Co3Ni2
_chemical_formula_sum   'Sm15 Co3 Ni2'
_cell_volume   554.80906281
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.49921224  0.43318408  0.25788920  1
  Sm  Sm1  1  0.97055788  0.31153608  0.84561663  1
  Sm  Sm2  1  0.12235260  0.56930734  0.19822132  1
  Sm  Sm3  1  0.35580066  0.14622310  0.89831687  1
  Sm  Sm4  1  0.40695010  0.94787386  0.21933969  1
  Ni  Ni5  1  0.65764450  0.33959871  -0.04771048  1
  Sm  Sm6  1  0.85126017  0.54572489  0.53124343  1
  Sm  Sm7  1  0.76087153  0.70681001  0.13345535  1
  Sm  Sm8  1  0.20629025  0.29889753  0.47632910  1
  Ni  Ni9  1  0.61742609  0.79823940  0.43577404  1
  Co  Co10  1  0.16331611  0.20202372  0.12444349  1
  Sm  Sm11  1  0.67410321  0.89173296  0.79079997  1
  Sm  Sm12  1  0.06299884  0.84066426  0.91197636  1
  Sm  Sm13  1  0.40532526  0.57194394  0.86888068  1
  Sm  Sm14  1  0.93058833  0.96857082  0.49935000  1
  Co  Co15  1  0.07786686  0.94384564  0.24131572  1
  Sm  Sm16  1  0.84204821  0.18032580  0.17445458  1
  Sm  Sm17  1  0.30650208  0.79618405  0.55634959  1
  Sm  Sm18  1  0.59421033  0.21425978  0.60037288  1
  Co  Co19  1  0.50914448  0.54027649  0.57855205  1
"
"Full Formula (Sm2 Tl1 Ag1 Rh2)
Reduced Formula: Sm2TlAgRh2
abc   :   5.682827   5.693889   6.991733
angles:  50.662664  50.733078  62.594320
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ag    0.27397   0.279557  0.262509  [0.02788078412413597, 0.025136712938547134, -0.007255241274833679]
  1  Tl    1.11916   0.126622  0.903393  [0.007566826418042183, -0.000865299254655838, -0.016845613718032837]
  2  Rh    0.203225  0.712354  0.402731  [0.012608455494046211, 0.01403993833810091, -0.009816205129027367]
  3  Sm    0.774907  0.780725  0.900792  [-0.05091839283704758, -0.030372485518455505, 0.01440337672829628]
  4  Rh    0.704503  0.210527  0.402377  [0.02615283988416195, -0.008240681141614914, 0.005661781877279282]
  5  Sm    0.627224  0.631068  0.555765  [-0.023290500044822693, 0.00030179694294929504, 0.013851914554834366]","Sm2TlAgRh2","('Ag', 'Rh', 'Sm', 'Tl')","0.1696856776195575","0","# generated using pymatgen
data_Sm2TlAgRh2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.68282738
_cell_length_b   5.69388940
_cell_length_c   6.99173324
_cell_angle_alpha   50.66266389
_cell_angle_beta   50.73307790
_cell_angle_gamma   62.59431959
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2TlAgRh2
_chemical_formula_sum   'Sm2 Tl1 Ag1 Rh2'
_cell_volume   134.80622597
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.27397037  0.27955732  0.26250909  1
  Tl  Tl1  1  1.11916051  0.12662182  0.90339258  1
  Rh  Rh2  1  0.20322454  0.71235438  0.40273132  1
  Sm  Sm3  1  0.77490743  0.78072451  0.90079161  1
  Rh  Rh4  1  0.70450252  0.21052728  0.40237733  1
  Sm  Sm5  1  0.62722419  0.63106811  0.55576487  1
"
"Full Formula (Cd3 Ag5)
Reduced Formula: Cd3Ag5
abc   :   3.127114   5.031015  10.219137
angles: 103.453068  98.804414  90.032953
pbc   :       True       True       True
Sites (8)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Ag    0.182526   0.210188  0.510838  [-0.00573278684169054, -0.008069150149822235, -0.011507729068398476]
  1  Cd    0.557192  -0.035725  0.267029  [0.0015166373923420906, -0.04155384376645088, -0.009152580052614212]
  2  Cd    0.92396    0.960516  0.004297  [0.0058879368007183075, 0.023860808461904526, -0.012902304530143738]
  3  Ag    0.680842   0.70469   0.506606  [-0.003971903119236231, -0.0035206854809075594, 0.011683688499033451]
  4  Ag    0.427956   0.458755  1.01118   [0.007561692968010902, 0.026026129722595215, 0.006924298591911793]
  5  Ag    0.302739   0.945742  0.751312  [-0.004551876801997423, 0.020463868975639343, -0.0007742494344711304]
  6  Cd    0.805342   0.444885  0.756657  [-0.004757247865200043, 0.01757279969751835, -0.005025575403124094]
  7  Ag    0.054429   0.461109  0.26043   [0.004047557711601257, -0.034779924899339676, 0.020754462108016014]","Cd3Ag5","('Ag', 'Cd')","0.13076923942547442","0","# generated using pymatgen
data_Cd3Ag5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.12711422
_cell_length_b   5.03101548
_cell_length_c   10.21913745
_cell_angle_alpha   103.45306818
_cell_angle_beta   98.80441376
_cell_angle_gamma   90.03295287
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cd3Ag5
_chemical_formula_sum   'Cd3 Ag5'
_cell_volume   154.40968218
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.18252577  0.21018799  0.51083835  1
  Cd  Cd1  1  0.55719178  -0.03572499  0.26702944  1
  Cd  Cd2  1  0.92396032  0.96051575  0.00429666  1
  Ag  Ag3  1  0.68084199  0.70469000  0.50660620  1
  Ag  Ag4  1  0.42795623  0.45875521  1.01117989  1
  Ag  Ag5  1  0.30273906  0.94574221  0.75131168  1
  Cd  Cd6  1  0.80534216  0.44488524  0.75665719  1
  Ag  Ag7  1  0.05442886  0.46110856  0.26043020  1
"
"Full Formula (Li1 Yb2 Zn1)
Reduced Formula: LiYb2Zn
abc   :   6.347923   6.411658   5.233001
angles:  35.400484  65.088394  59.515506
pbc   :       True       True       True
Sites (4)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Zn    0.300678   0.596     0.829742  [8.83638858795166e-06, -0.013737600296735764, 0.033851392567157745]
  1  Yb    0.829968   0.338153  0.332316  [-0.00981663167476654, -0.027814872562885284, 0.007617060095071793]
  2  Yb    0.258812   1.10048   0.850635  [0.017386334016919136, 0.0539332740008831, -0.03304155170917511]
  3  Li    0.673432  -0.085142  0.334199  [-0.007578548043966293, -0.012380804866552353, -0.008426923304796219]","LiYb2Zn","('Li', 'Yb', 'Zn')","0.004766654576587573","0","# generated using pymatgen
data_LiYb2Zn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.34792332
_cell_length_b   6.41165771
_cell_length_c   5.23300081
_cell_angle_alpha   35.40048441
_cell_angle_beta   65.08839429
_cell_angle_gamma   59.51550571
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiYb2Zn
_chemical_formula_sum   'Li1 Yb2 Zn1'
_cell_volume   106.31272919
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.30067809  0.59599952  0.82974236  1
  Yb  Yb1  1  0.82996800  0.33815321  0.33231604  1
  Yb  Yb2  1  0.25881233  1.10047566  0.85063509  1
  Li  Li3  1  0.67343160  -0.08514188  0.33419876  1
"
"Full Formula (Mg1 Al1 Zn1 Ag1)
Reduced Formula: MgAlZnAg
abc   :   3.996072   5.202619   5.195713
angles:  45.452337  67.611030  67.125613
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Al    0.697438  0.850296  0.622658  [-0.018137769773602486, -0.012495910748839378, 0.025324512273073196]
  1  Ag    0.442313  0.596876  0.384378  [0.014202650636434555, 0.016145750880241394, -0.02550530433654785]
  2  Mg    0.946437  0.097209  0.875812  [-0.006770405452698469, -0.015209381468594074, 0.018883846700191498]
  3  Zn    0.19386   0.345478  0.133235  [0.010705496184527874, 0.011559547856450081, -0.01870303601026535]","MgAlZnAg","('Ag', 'Al', 'Mg', 'Zn')","0.12045984509019406","0","# generated using pymatgen
data_MgAlZnAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.99607230
_cell_length_b   5.20261851
_cell_length_c   5.19571262
_cell_angle_alpha   45.45233737
_cell_angle_beta   67.61103009
_cell_angle_gamma   67.12561266
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgAlZnAg
_chemical_formula_sum   'Mg1 Al1 Zn1 Ag1'
_cell_volume   69.95798120
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.69743797  0.85029569  0.62265834  1
  Ag  Ag1  1  0.44231285  0.59687603  0.38437810  1
  Mg  Mg2  1  0.94643745  0.09720917  0.87581228  1
  Zn  Zn3  1  0.19386035  0.34547834  0.13323456  1
"
"Full Formula (Y2 Al1 Ni3)
Reduced Formula: Y2AlNi3
abc   :   5.063968   5.067838   5.315254
angles:  58.381106  90.015254  63.275905
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Ni    0.661744   0.66341   0.120227  [-0.013634494505822659, 0.017644869163632393, -0.0031520379707217216]
  1  Ni    0.160424   0.163717  0.121744  [0.027138404548168182, 0.01242198795080185, -0.020983124151825905]
  2  Ni    0.162998   0.1628    0.621695  [0.003687264397740364, 0.036599695682525635, -0.03348264843225479]
  3  Y     0.786249  -0.080077  0.490796  [0.007966967299580574, -0.010093708522617817, 0.023123202845454216]
  4  Y     0.534597   0.412789  0.744576  [-0.03561747819185257, -0.011070393957197666, 0.004479255527257919]
  5  Al    0.158926   0.667161  0.117386  [0.010459299199283123, -0.0455024391412735, 0.030015286058187485]","Y2AlNi3","('Al', 'Ni', 'Y')","0.21613704080647556","0","# generated using pymatgen
data_Y2AlNi3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06396792
_cell_length_b   5.06783781
_cell_length_c   5.31525376
_cell_angle_alpha   58.38110602
_cell_angle_beta   90.01525389
_cell_angle_gamma   63.27590460
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2AlNi3
_chemical_formula_sum   'Y2 Al1 Ni3'
_cell_volume   98.62857129
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.66174355  0.66340998  0.12022664  1
  Ni  Ni1  1  0.16042357  0.16371700  0.12174438  1
  Ni  Ni2  1  0.16299756  0.16279961  0.62169495  1
  Y  Y3  1  0.78624906  -0.08007671  0.49079623  1
  Y  Y4  1  0.53459718  0.41278885  0.74457609  1
  Al  Al5  1  0.15892597  0.66716128  0.11738607  1
"
"Full Formula (Na2 Si2 O5)
Reduced Formula: Na2Si2O5
abc   :   6.852795   4.789520   4.965629
angles: 118.680232  82.750924  98.114834
pbc   :       True       True       True
Sites (9)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  O     0.159185   0.481333  0.7832    [-0.0033130645751953125, 0.00478660874068737, 0.020152803510427475]
  1  Si    0.379832   0.398372  0.753859  [0.004396975040435791, -0.003429979085922241, -0.011424615979194641]
  2  O     0.550065   0.602851  0.630582  [-0.01878178119659424, 0.019864678382873535, 0.011215448379516602]
  3  Na    1.10967    0.934007  0.254214  [-0.016210757195949554, 0.015815818682312965, 0.03092808462679386]
  4  Na    0.83064    0.438048  0.75214   [-0.0174119770526886, 0.02601630799472332, 0.03756776079535484]
  5  O     0.394887   0.014038  0.508591  [0.009588897228240967, -0.015859484672546387, -0.05281677842140198]
  6  O     0.470742   0.449726  1.06952   [0.03685861825942993, -0.03947806358337402, -0.04423511028289795]
  7  O     0.781334  -0.114177  0.337825  [-0.0016090869903564453, 0.0014496445655822754, 0.020648151636123657]
  8  Si    0.561448   0.749785  0.386367  [0.0064820051193237305, -0.009165346622467041, -0.012035943567752838]","Na2Si2O5","('Na', 'O', 'Si')","0.23103051631802485","1","# generated using pymatgen
data_Na2Si2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.85279484
_cell_length_b   4.78951998
_cell_length_c   4.96562860
_cell_angle_alpha   118.68023186
_cell_angle_beta   82.75092435
_cell_angle_gamma   98.11483412
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2Si2O5
_chemical_formula_sum   'Na2 Si2 O5'
_cell_volume   141.23169547
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.15918529  0.48133347  0.78319981  1
  Si  Si1  1  0.37983150  0.39837212  0.75385949  1
  O  O2  1  0.55006488  0.60285084  0.63058193  1
  Na  Na3  1  1.10966558  0.93400659  0.25421422  1
  Na  Na4  1  0.83063979  0.43804831  0.75213960  1
  O  O5  1  0.39488698  0.01403751  0.50859073  1
  O  O6  1  0.47074211  0.44972633  1.06952448  1
  O  O7  1  0.78133402  -0.11417730  0.33782493  1
  Si  Si8  1  0.56144756  0.74978476  0.38636663  1
"
"Full Formula (Tb1 Pt1 Au2)
Reduced Formula: TbPtAu2
abc   :   5.357813   4.464567   5.356590
angles:  64.932113  43.711603  64.968148
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Pt    0.068097  0.386606  0.39306   [-0.0006874930113554001, -0.0012795329093933105, -0.00023495126515626907]
  1  Au    0.334018  0.622615  0.660237  [-0.0077622090466320515, -0.022513115778565407, -0.0337534174323082]
  2  Au    0.802069  0.150217  0.126042  [0.008043525740504265, 0.021994970738887787, 0.03231709077954292]
  3  Tb    0.568115  0.886353  0.89305   [0.00040618516504764557, 0.001797727425582707, 0.0016712709330022335]","TbPtAu2","('Au', 'Pt', 'Tb')","0.26888857072788014","1","# generated using pymatgen
data_TbPtAu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.35781298
_cell_length_b   4.46456747
_cell_length_c   5.35658983
_cell_angle_alpha   64.93211341
_cell_angle_beta   43.71160255
_cell_angle_gamma   64.96814773
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbPtAu2
_chemical_formula_sum   'Tb1 Pt1 Au2'
_cell_volume   78.79202733
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.06809665  0.38660553  0.39306006  1
  Au  Au1  1  0.33401764  0.62261484  0.66023745  1
  Au  Au2  1  0.80206916  0.15021738  0.12604238  1
  Tb  Tb3  1  0.56811514  0.88635272  0.89304953  1
"
"Full Formula (Sr1 Tm1 Al4)
Reduced Formula: SrTmAl4
abc   :   5.982429   5.981337   7.526206
angles:  50.998797  51.067546  44.154557
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Al    0.010075  0.730428  0.144154  [-0.01263410970568657, 0.0017605647444725037, -0.002097025513648987]
  1  Al    0.329066  0.041803  0.708269  [0.002688676118850708, 0.037585627287626266, -0.025533504784107208]
  2  Al    0.010665  0.727745  0.516566  [0.015799283981323242, -0.001359160989522934, 0.008414987474679947]
  3  Al    0.324393  0.04784   0.320589  [0.027887053787708282, -0.018573056906461716, 0.01777571439743042]
  4  Sr    0.608902  0.322421  0.734131  [-0.045647263526916504, -0.002186942845582962, 0.004414203576743603]
  5  Tm    0.723309  0.447681  0.115057  [0.011906333267688751, -0.01722702383995056, -0.002974370727315545]","SrTmAl4","('Al', 'Sr', 'Tm')","0.10428176003468162","1","# generated using pymatgen
data_SrTmAl4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98242907
_cell_length_b   5.98133717
_cell_length_c   7.52620594
_cell_angle_alpha   50.99879738
_cell_angle_beta   51.06754575
_cell_angle_gamma   44.15455682
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrTmAl4
_chemical_formula_sum   'Sr1 Tm1 Al4'
_cell_volume   137.78859304
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.01007460  0.73042792  0.14415432  1
  Al  Al1  1  0.32906623  0.04180318  0.70826947  1
  Al  Al2  1  0.01066541  0.72774497  0.51656608  1
  Al  Al3  1  0.32439277  0.04783984  0.32058876  1
  Sr  Sr4  1  0.60890217  0.32242106  0.73413109  1
  Tm  Tm5  1  0.72330909  0.44768135  0.11505660  1
"
"Full Formula (Rb2 Tm1 Ag1 Cl6)
Reduced Formula: Rb2TmAgCl6
abc   :  11.113919  10.389439   7.294113
angles:  53.379891  49.195801  35.901685
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Cl    0.971323  0.648323   0.805129  [0.002371162176132202, 0.0026896782219409943, -0.01363644003868103]
  1  Rb    0.491675  0.871382   0.344354  [-0.005345463752746582, 0.008094588294625282, 0.01575922593474388]
  2  Ag    0.361048  0.279767   0.581484  [-0.0042822035029530525, 0.0025391504168510437, 0.0049555301666259766]
  3  Tm    0.201781  0.566941  -0.069185  [0.0022457093000411987, -0.001866951584815979, -0.007678613066673279]
  4  Rb    0.837211  0.365331   0.957484  [-0.0024766065180301666, -0.0006880257278680801, 0.01145286113023758]
  5  Cl    0.430563  0.430179   0.118586  [0.0264899805188179, -0.04480816423892975, -0.02560022473335266]
  6  Cl    0.033455  0.428829   0.354013  [-0.016465365886688232, 0.024607038125395775, 0.013334639370441437]
  7  Cl    0.552097  0.349581   0.5818    [0.0005216971039772034, 0.011091859079897404, -0.01681724190711975]
  8  Cl    0.049327  0.947802   0.794274  [0.007164463400840759, -0.0022401809692382812, -0.002024115063250065]
  9  Cl    0.402445  0.954481   0.827062  [-0.01022331416606903, 0.0005809813737869263, 0.02025436796247959]","Rb2TmAgCl6","('Ag', 'Cl', 'Rb', 'Tm')","0.009267475808594923","1","# generated using pymatgen
data_Rb2TmAgCl6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.11391921
_cell_length_b   10.38943918
_cell_length_c   7.29411301
_cell_angle_alpha   53.37989051
_cell_angle_beta   49.19580116
_cell_angle_gamma   35.90168498
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2TmAgCl6
_chemical_formula_sum   'Rb2 Tm1 Ag1 Cl6'
_cell_volume   369.53642176
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cl  Cl0  1  0.97132339  0.64832262  0.80512912  1
  Rb  Rb1  1  0.49167470  0.87138150  0.34435430  1
  Ag  Ag2  1  0.36104769  0.27976732  0.58148354  1
  Tm  Tm3  1  0.20178126  0.56694053  -0.06918546  1
  Rb  Rb4  1  0.83721144  0.36533146  0.95748390  1
  Cl  Cl5  1  0.43056302  0.43017920  0.11858564  1
  Cl  Cl6  1  0.03345511  0.42882941  0.35401344  1
  Cl  Cl7  1  0.55209726  0.34958071  0.58179998  1
  Cl  Cl8  1  0.04932738  0.94780166  0.79427410  1
  Cl  Cl9  1  0.40244477  0.95448106  0.82706159  1
"
