cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,300.0000,516,58.4433,0.0098,25.9684,15.1683,951.33
1,16,4,4,12,0,300.0000,520,68.5008,0.0098,23.8826,14.5720,99.49
2,16,4,4,12,0,300.0000,524,66.4147,0.0097,24.1033,14.1121,103.11
3,16,4,4,12,0,300.0000,528,115.5156,0.0097,24.0606,14.4749,241.17
4,16,4,4,12,0,300.0000,532,99.8988,0.0096,25.1976,14.9839,354.36
5,16,4,4,12,0,300.0000,536,93.6078,0.0095,25.3948,15.2199,111.61
6,16,4,4,12,0,300.0000,540,96.7157,0.0095,23.8487,14.3436,95.53
7,16,4,4,12,0,300.0000,544,99.8390,0.0094,24.0726,14.7121,192.43
8,13,4,4,9,0,300.0000,548,112.8628,0.0094,22.5942,14.0311,150.38
9,16,4,4,12,0,300.0000,552,105.7475,0.0093,25.9340,14.5785,111.47
10,16,4,4,12,0,300.0000,556,99.6851,0.0094,24.2370,14.2085,239.82
11,16,4,4,12,0,300.0000,560,149.5938,0.0093,23.7472,14.1251,108.12
12,16,4,4,12,0,300.0000,564,103.2945,0.0093,24.5201,14.7203,116.02
13,16,4,4,12,0,300.0000,568,52.5117,0.0093,23.5144,14.5190,123.21
14,16,4,4,12,0,300.0000,572,106.0673,0.0093,22.9439,13.8035,91.30
15,16,4,4,12,0,300.0000,576,99.5956,0.0093,21.7325,13.5460,137.78
16,16,4,4,12,0,300.0000,580,98.6534,0.0093,21.8294,13.5139,105.50
17,16,4,4,12,0,300.0000,584,106.0353,0.0092,23.7935,14.4382,174.73
18,16,4,4,12,0,300.0000,588,115.6495,0.0092,23.5591,14.5436,195.04
19,16,4,4,12,0,300.0000,592,89.9209,0.0088,21.6987,13.8731,114.93
