rank,paradigm,setup,seed,comp,reduced_formula,value,sg_symbol,sg_number,n_atoms,in_seed_pool
1,adit,ACC,7,MoN,MoN,375.1875972743435,P-6m2,187,8,False
1,adit,BASE,23,MoC,MoC,351.6487391666528,P6_3/mmc,194,8,False
1,mg,ACC,113,Os5W3,Os5W3,339.5884707500232,Cmmm,65,8,False
1,mg,ACC,7,FeRe9Os2,FeRe9Os2,339.2541499847593,Imm2,44,12,False
1,mg,ACC,99,CoIrOs2,CoIrOs2,337.99217701597206,P4/mmm,123,4,False
2,mg,ACC,99,CoIrOs2,CoIrOs2,337.9789103839695,P4/mmm,123,4,False
3,mg,ACC,99,CoIrOs2,CoIrOs2,337.6019946790041,I-4m2,119,4,False
1,cf,ACC,99,Re5W,Re5W,336.46493768075146,P1,1,12,False
1,cf,BASE,99,VIr7,VIr7,324.99735200581546,P-6m2,187,8,False
1,adit,ACC,99,TiVN2,TiVN2,313.0544108768634,R3m,160,16,False
1,adit,ACC,17,TaB2W,TaB2W,313.04767449701063,Amm2,38,4,False
2,mg,ACC,113,ReOs2Pt3,ReOs2Pt3,309.5445234800815,P4mm,99,6,False
1,adit,BASE,17,FeB2MoW,FeB2MoW,306.2307531672281,Pmc2_1,26,10,False
2,adit,BASE,17,FeB2MoW,FeB2MoW,306.1465086817404,Pmc2_1,26,10,False
3,mg,ACC,113,Ti7V2N9,Ti7V2N9,302.9211921993251,P-1,2,18,False
2,adit,BASE,23,Mn(BMo)3,Mn(BMo)3,298.3988887632829,Cmcm,63,14,False
1,adit,ACC,23,FeRe(PW)2,FeRe(PW)2,297.7544271036728,Pmc2_1,26,12,False
1,mg,BASE,113,Hf3TaN4,Hf3TaN4,296.498146344846,Cmmm,65,8,False
1,cf,ACC,113,ReIr2Rh5,ReIr2Rh5,292.2027714519378,C2,5,8,False
1,mg,ACC,17,CuRu13W4,CuRu13W4,280.2659108365518,Pm,6,18,False
