rank,paradigm,setup,seed,comp,reduced_formula,value,sg_symbol,sg_number,n_atoms,in_seed_pool
1,mg,BASE,23,Li13Mg3,Li13Mg3,2.0,Amm2,38,16,False
1,mg,ACC,7,Li4Mg,Li4Mg,2.0,C2/m,12,10,False
1,mg,ACC,23,Li4Mg,Li4Mg,2.0,I4/mmm,139,5,False
1,cf,BASE,7,NaLi5,NaLi5,2.0,P1,1,6,False
2,mg,BASE,23,Li13Mg3Al2,Li13Mg3Al2,1.9246953503738158,P1,1,18,False
1,cf,ACC,23,NaLi2,NaLi2,1.923673383683345,P2_1/m,11,6,False
1,mg,BASE,113,Li7Mg3,Li7Mg3,1.9165788140281539,P1,1,20,False
2,mg,BASE,113,Li5Mg3,Li5Mg3,1.735951016030784,Amm2,38,8,False
2,mg,ACC,7,Li5Mg3,Li5Mg3,1.7318341535450954,Immm,71,8,False
3,mg,BASE,23,Li7(MgAl)2,Li7(MgAl)2,1.6794742105763503,C2/m,12,11,False
3,mg,BASE,113,Li7Mg5,Li7Mg5,1.6542851571135253,C2/m,12,12,False
3,mg,ACC,7,Li9Mg7,Li9Mg7,1.6096799174432648,P1,1,16,False
1,cf,ACC,99,Li5CaMg2,Li5CaMg2,1.5158126751784589,Pm,6,8,False
1,cf,ACC,7,LiMg,LiMg,1.50631034508682,Pm,6,6,False
1,mg,ACC,17,Li3Mg4,Li3Mg4,1.4167808179556083,Cm,8,7,False
1,cf,BASE,113,Li6TiO5,Li6TiO5,1.2950827027726937,P1,1,12,False
1,adit,ACC,23,LiMg2,LiMg2,1.2838559851290032,Ama2,40,6,False
1,mg,ACC,99,Li5Mg2Cu,Li5Mg2Cu,1.255040972898415,I4/mmm,139,8,False
1,adit,BASE,17,Li3PO4,Li3PO4,1.1565520691926823,P1,1,16,False
1,adit,ACC,17,Na2BO3,Na2BO3,1.090792235728232,P1,1,12,False
