paradigm,setup,seed,rank,comp,reduced_formula,value,in_seed_formula,strict_match_id,strict_match_dist,best_anon_match_id,best_anon_dist,min_density_diff_pct,min_volume_diff_pct,n_seed_candidates_same_formula
adit,ACC,7,1,MoN,MoN,375.1875972743435,False,,,,,,,0
adit,BASE,23,1,MoC,MoC,351.6487391666528,False,,,,,,,0
mg,ACC,113,1,Os5W3,Os5W3,339.5884707500232,False,,,,,,,0
mg,ACC,7,1,FeRe9Os2,FeRe9Os2,339.2541499847593,False,,,,,,,0
mg,ACC,99,1,CoIrOs2,CoIrOs2,337.99217701597206,False,,,,,,,0
mg,ACC,99,2,CoIrOs2,CoIrOs2,337.9789103839695,False,,,,,,,0
mg,ACC,99,3,CoIrOs2,CoIrOs2,337.6019946790041,False,,,,,,,0
cf,ACC,99,1,Re5W,Re5W,336.46493768075146,False,,,,,,,0
cf,BASE,99,1,VIr7,VIr7,324.99735200581546,False,,,,,,,0
adit,ACC,99,1,TiVN2,TiVN2,313.0544108768634,False,,,,,,,0
adit,ACC,17,1,TaB2W,TaB2W,313.04767449701063,False,,,,,,,0
mg,ACC,113,2,ReOs2Pt3,ReOs2Pt3,309.5445234800815,False,,,,,,,0
adit,BASE,17,1,FeB2MoW,FeB2MoW,306.2307531672281,False,,,,,,,0
adit,BASE,17,2,FeB2MoW,FeB2MoW,306.1465086817404,False,,,,,,,0
mg,ACC,113,3,Ti7V2N9,Ti7V2N9,302.9211921993251,False,,,,,,,0
adit,BASE,23,2,Mn(BMo)3,Mn(BMo)3,298.3988887632829,False,,,,,,,0
adit,ACC,23,1,FeRe(PW)2,FeRe(PW)2,297.7544271036728,False,,,,,,,0
mg,BASE,113,1,Hf3TaN4,Hf3TaN4,296.498146344846,False,,,,,,,0
cf,ACC,113,1,ReIr2Rh5,ReIr2Rh5,292.2027714519378,False,,,,,,,0
mg,ACC,17,1,CuRu13W4,CuRu13W4,280.2659108365518,False,,,,,,,0
