property,paradigm,setup,seed,jobid,best,oracle_calls
Cp,mg,BASE,17,3003439,0.6534970202237538,150.0
Cp,mg,BASE,99,3003440,0.861644363344096,173.0
Cp,mg,ACC,17,3003441,1.4167808179556083,92.0
Cp,mg,ACC,99,3003442,1.255040972898415,92.0
Cp,cf,BASE,17,3003443,0.8718153626741233,38.0
Cp,cf,BASE,99,3003444,0.9297203753553626,55.0
Cp,cf,ACC,17,3003445,0.7263247298977261,69.0
Cp,cf,ACC,99,3003446,1.5158126751784589,71.0
Cp,adit,BASE,17,3003447,1.1565520691926823,60.0
Cp,adit,BASE,99,3003448,0.7367435452277172,69.0
Cp,adit,ACC,17,3003449,1.090792235728232,83.0
Cp,adit,ACC,99,3003450,,
BM,mg,BASE,17,3003718,232.99982475678502,319.0
BM,mg,BASE,99,3003719,251.75567984919897,320.0
BM,mg,ACC,17,3003720,280.2659108365518,92.0
BM,mg,ACC,99,3003721,337.99217701597206,92.0
BM,cf,BASE,17,3003722,262.4997105797069,98.0
BM,cf,BASE,99,3003723,324.99735200581546,127.0
BM,cf,ACC,17,3003724,220.50418539271337,65.0
BM,cf,ACC,99,3003725,336.46493768075146,66.0
BM,adit,BASE,17,3003726,306.2307531672281,205.0
BM,adit,BASE,99,3003727,234.05461309681857,218.0
BM,adit,ACC,17,3003728,313.04767449701063,82.0
BM,adit,ACC,99,3003729,313.0544108768634,82.0
