cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,9,4,9,0,0,300.0000,509,134.1833,0.0098,25.8920,16.1470,357.79
1,11,4,4,7,0,300.0000,513,61.9643,0.0098,24.9165,15.6510,102.54
2,8,4,4,4,0,300.0000,517,86.2574,0.0097,26.4790,15.4869,96.79
3,12,4,4,8,0,300.0000,521,131.3342,0.0098,26.2536,15.6721,94.21
4,4,2,2,2,0,300.0000,523,64.3583,0.0098,24.1036,14.8412,90.17
5,12,4,4,8,0,300.0000,527,110.3572,0.0096,24.4776,15.3800,114.72
6,9,4,4,5,0,300.0000,531,88.5310,0.0096,23.5870,14.7392,114.99
7,9,4,4,5,0,300.0000,535,93.6181,0.0096,24.8558,15.4882,98.19
8,9,4,4,5,0,300.0000,539,114.8518,0.0095,23.7891,14.9056,118.51
9,14,4,4,10,0,300.0000,543,139.1682,0.0095,23.8589,14.8651,122.30
10,6,3,3,3,0,300.0000,546,93.2770,0.0095,23.7641,14.4006,111.35
11,14,4,4,10,0,300.0000,550,99.7932,0.0094,22.5234,14.6567,123.55
12,7,4,4,3,0,300.0000,554,96.4353,0.0094,23.0127,14.1858,196.83
13,7,4,4,3,0,300.0000,558,82.6790,0.0093,22.2668,14.1501,132.11
14,9,4,4,5,0,300.0000,562,111.3248,0.0093,23.7995,14.7489,143.23
15,12,4,4,8,0,300.0000,566,114.9151,0.0092,21.9145,14.0237,106.01
16,11,4,4,7,0,300.0000,570,130.6477,0.0092,23.3523,14.3458,213.60
17,11,4,4,7,0,300.0000,574,101.0052,0.0092,20.6827,13.2892,127.38
18,7,4,4,3,0,300.0000,578,98.6666,0.0092,22.3726,13.6727,107.61
19,9,4,4,5,0,300.0000,582,99.8075,0.0091,22.1650,13.8297,171.03
