cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,6,3,6,0,0,300.0000,506,86.8085,0.0101,23.3711,14.5422,631.08
1,5,3,3,2,0,300.0000,509,87.2370,0.0100,23.5399,14.8456,85.31
2,7,4,4,3,0,300.0000,513,69.0495,0.0100,23.1632,14.4703,90.19
3,8,4,4,4,0,300.0000,517,75.2884,0.0099,23.4645,14.3658,86.77
4,1,1,1,0,0,300.0000,518,21.9450,0.0099,23.0053,14.2393,93.09
5,10,4,4,6,0,300.0000,522,77.9319,0.0099,23.9226,14.4347,119.42
6,6,3,3,3,0,300.0000,525,49.4330,0.0098,23.5616,14.5494,86.33
7,10,4,4,6,0,300.0000,529,73.9728,0.0096,22.9848,14.1995,109.91
8,4,2,2,2,0,300.0000,531,106.2463,0.0096,23.3797,14.4933,114.26
9,7,4,4,3,0,300.0000,535,84.3723,0.0096,24.4101,14.8050,117.51
10,8,4,4,4,0,300.0000,539,59.2115,0.0096,23.4586,14.4951,97.39
11,4,2,2,2,0,300.0000,541,72.7383,0.0096,24.1956,14.1372,99.71
12,4,2,2,2,0,300.0000,543,54.2004,0.0096,22.8782,14.0232,133.19
13,7,4,4,3,0,300.0000,547,54.1585,0.0096,21.3792,13.1653,125.52
14,2,1,1,1,0,300.0000,548,15.9278,0.0096,21.8344,13.9568,76.99
15,5,3,3,2,0,300.0000,551,128.9266,0.0095,23.5861,13.9361,121.45
16,5,3,3,2,0,300.0000,554,129.4729,0.0095,22.9073,13.7741,92.01
17,6,3,3,3,0,300.0000,557,141.9216,0.0092,21.9247,13.1245,95.26
18,10,4,4,6,0,300.0000,561,67.3663,0.0092,23.1061,13.9898,98.98
19,7,4,4,3,0,300.0000,565,51.5969,0.0092,22.1779,13.8349,100.08
