"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Lu10 Pd4)
Reduced Formula: Lu5Pd2
abc   :   5.947680   8.851181   7.085630
angles:  90.979501  80.024794  78.117965
pbc   :       True       True       True
Sites (14)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ----------------------------------------------------------------------
  0  Lu     0.435592  0.765129  0.083825  [0.0074638500809669495, -0.008315302431583405, 0.01198548823595047]
  1  Pd     0.506766  0.011825  0.855104  [-0.004084406420588493, -0.034149691462516785, -0.04466600716114044]
  2  Lu     0.614619  0.373571  0.910734  [-0.0009475201368331909, -0.0009704306721687317, 0.023462429642677307]
  3  Lu     0.317741  0.155116  0.227718  [-0.001993270590901375, -0.01024850457906723, -0.03211688995361328]
  4  Lu     0.849911  0.666992  0.656447  [-0.01421251893043518, 0.006277741864323616, 0.023134589195251465]
  5  Pd     0.753014  0.821402  0.317749  [0.007884018123149872, 0.019089771434664726, 0.04532230645418167]
  6  Lu     0.010325  0.539946  0.1292    [0.004442503210157156, 0.014011017978191376, 0.0018367618322372437]
  7  Lu     0.470993  0.480702  0.418096  [-0.0033414047211408615, -0.011174507439136505, 0.005469173192977905]
  8  Pd     0.935537  0.376012  0.465665  [0.024098912253975868, 0.01537623256444931, -0.004941269755363464]
  9  Lu     0.31555   0.874111  0.57292   [-0.016422957181930542, -0.006339594721794128, -0.04090500622987747]
 10  Lu    -0.086229  0.985266  1.00161   [-0.0008973032236099243, -0.011365070939064026, -0.00394921749830246]
 11  Pd     0.282992  0.615405  0.787437  [0.0047102198004722595, 0.005141137167811394, -0.00431385263800621]
 12  Lu     0.774977  0.095753  0.512061  [-0.00206921249628067, 0.03142709657549858, 0.0157800130546093]
 13  Lu     0.18872   0.259952  0.74178   [-0.004630915820598602, -0.008759841322898865, 0.0039014965295791626]","Lu5Pd2","('Lu', 'Pd')","0.11299695189270023","0","# generated using pymatgen
data_Lu5Pd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.94768024
_cell_length_b   8.85118078
_cell_length_c   7.08563022
_cell_angle_alpha   90.97950068
_cell_angle_beta   80.02479354
_cell_angle_gamma   78.11796483
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Lu5Pd2
_chemical_formula_sum   'Lu10 Pd4'
_cell_volume   358.96625094
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Lu  Lu0  1  0.43559192  0.76512874  0.08382455  1
  Pd  Pd1  1  0.50676567  0.01182458  0.85510444  1
  Lu  Lu2  1  0.61461856  0.37357111  0.91073352  1
  Lu  Lu3  1  0.31774070  0.15511579  0.22771805  1
  Lu  Lu4  1  0.84991147  0.66699176  0.65644737  1
  Pd  Pd5  1  0.75301401  0.82140180  0.31774912  1
  Lu  Lu6  1  0.01032517  0.53994603  0.12920024  1
  Lu  Lu7  1  0.47099344  0.48070187  0.41809578  1
  Pd  Pd8  1  0.93553674  0.37601153  0.46566494  1
  Lu  Lu9  1  0.31554987  0.87411106  0.57292015  1
  Lu  Lu10  1  -0.08622871  0.98526631  1.00160652  1
  Pd  Pd11  1  0.28299249  0.61540471  0.78743686  1
  Lu  Lu12  1  0.77497723  0.09575349  0.51206098  1
  Lu  Lu13  1  0.18871990  0.25995160  0.74178050  1
"
"Full Formula (Ca1 Yb1 S2)
Reduced Formula: CaYbS2
abc   :   4.020598   4.019843   6.953511
angles:  73.210530  73.194532  60.001496
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Yb    0.837501  0.04764   0.266097  [-0.01402072049677372, -0.016880035400390625, -0.02161281928420067]
  1  S     0.586208  0.795156  1.01707   [0.009586777538061142, 0.007416497450321913, 0.03303069248795509]
  2  S     0.088147  0.297557  0.513348  [-0.009156212210655212, -0.008704457432031631, 0.012661430984735489]
  3  Ca    0.336913  0.544975  0.766348  [0.013590209186077118, 0.0181680116802454, -0.024079229682683945]","CaYbS2","('Ca', 'S', 'Yb')","0.10341436189416793","0","# generated using pymatgen
data_CaYbS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02059815
_cell_length_b   4.01984332
_cell_length_c   6.95351107
_cell_angle_alpha   73.21052969
_cell_angle_beta   73.19453207
_cell_angle_gamma   60.00149604
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaYbS2
_chemical_formula_sum   'Ca1 Yb1 S2'
_cell_volume   91.74983139
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.83750058  0.04763975  0.26609722  1
  S  S1  1  0.58620841  0.79515576  1.01706865  1
  S  S2  1  0.08814695  0.29755741  0.51334776  1
  Ca  Ca3  1  0.33691283  0.54497499  0.76634804  1
"
"Full Formula (Ce2 Gd1 In3)
Reduced Formula: Ce2GdIn3
abc   :   3.508728   6.349264   9.356763
angles: 100.926738  69.433584 123.460730
pbc   :       True       True       True
Sites (6)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  In    -0.228069  0.193279  0.354654  [0.021039064973592758, 0.0028312653303146362, -0.0030504465103149414]
  1  Ce     0.669787  0.691769  0.465885  [0.0014386996626853943, 0.0001720939762890339, 0.009083613753318787]
  2  In     0.817592  0.68861   0.807578  [0.021410055458545685, 0.012650832533836365, 0.012202251702547073]
  3  In     1.14668   0.202635  1.01068   [-0.050374455749988556, -0.020031504333019257, 0.002554435282945633]
  4  Gd     0.903566  0.185517  0.700019  [0.06297776103019714, 0.020552141591906548, -0.01998502016067505]
  5  Ce     0.015651  0.704597  0.151728  [-0.056491147726774216, -0.01617484726011753, -0.0008047819137573242]","Ce2GdIn3","('Ce', 'Gd', 'In')","0.08160352353965188","0","# generated using pymatgen
data_Ce2GdIn3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.50872834
_cell_length_b   6.34926439
_cell_length_c   9.35676284
_cell_angle_alpha   100.92673802
_cell_angle_beta   69.43358417
_cell_angle_gamma   123.46072994
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce2GdIn3
_chemical_formula_sum   'Ce2 Gd1 In3'
_cell_volume   162.81530168
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  -0.22806928  0.19327861  0.35465439  1
  Ce  Ce1  1  0.66978664  0.69176862  0.46588477  1
  In  In2  1  0.81759162  0.68861023  0.80757817  1
  In  In3  1  1.14668377  0.20263512  1.01067598  1
  Gd  Gd4  1  0.90356560  0.18551713  0.70001909  1
  Ce  Ce5  1  0.01565144  0.70459659  0.15172775  1
"
"Full Formula (Pr2 H2 O5)
Reduced Formula: Pr2H2O5
abc   :   3.904703   5.715642   6.076755
angles: 116.296145  91.297731  88.060802
pbc   :       True       True       True
Sites (9)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Pr     0.431106  0.746714  0.510332  [0.001272672787308693, -0.013149164617061615, -0.013380035758018494]
  1  O      0.312846  0.296032  0.161569  [0.010758370161056519, -0.020376965403556824, -0.032758086919784546]
  2  O      0.45858   0.169945  0.906882  [0.003721266984939575, -0.002799423411488533, -0.025066077709197998]
  3  O      0.944133  0.602383  0.621887  [0.0061517804861068726, -0.008755780756473541, -0.004423655569553375]
  4  H      0.428332  0.890903  1.09032   [-0.0028018392622470856, 0.037053175270557404, 0.05944925546646118]
  5  O     -0.074832  0.038761  0.504335  [-0.006007619202136993, -0.00824025273323059, -0.0061796195805072784]
  6  Pr     0.942993  0.425649  0.895306  [0.005040526390075684, 0.010659188032150269, 0.006552927196025848]
  7  H     -0.06102   0.118169  0.39151   [-0.02123948372900486, -0.016291286796331406, -0.011328905820846558]
  8  O      0.440415  0.717066  0.086097  [0.00310448557138443, 0.021900221705436707, 0.027133896946907043]","Pr2H2O5","('H', 'O', 'Pr')","0.2506011238400249","0","# generated using pymatgen
data_Pr2H2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.90470347
_cell_length_b   5.71564229
_cell_length_c   6.07675515
_cell_angle_alpha   116.29614549
_cell_angle_beta   91.29773118
_cell_angle_gamma   88.06080201
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2H2O5
_chemical_formula_sum   'Pr2 H2 O5'
_cell_volume   121.51176976
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.43110615  0.74671379  0.51033191  1
  O  O1  1  0.31284571  0.29603192  0.16156879  1
  O  O2  1  0.45858000  0.16994465  0.90688223  1
  O  O3  1  0.94413268  0.60238347  0.62188722  1
  H  H4  1  0.42833159  0.89090262  1.09032044  1
  O  O5  1  -0.07483210  0.03876132  0.50433456  1
  Pr  Pr6  1  0.94299274  0.42564901  0.89530581  1
  H  H7  1  -0.06102035  0.11816896  0.39151031  1
  O  O8  1  0.44041522  0.71706584  0.08609717  1
"
"Full Formula (Pr1 Tm2 Hf3 O10)
Reduced Formula: PrTm2Hf3O10
abc   :   4.097367   8.113091   8.511875
angles:  85.340280  90.039949  59.709134
pbc   :       True       True       True
Sites (16)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  O      0.554968  0.597949  0.478476  [0.014924295246601105, -0.014745071530342102, 0.021481812000274658]
  1  O      0.047656  0.10818   0.119547  [-0.006033647805452347, 0.007466493174433708, 0.0008761882781982422]
  2  Tm    -0.257711  0.90741   0.126385  [0.021902024745941162, -0.019388318061828613, -0.01500844955444336]
  3  O      1.05716   0.595104  0.207535  [0.014346107840538025, -0.012132227420806885, 0.0021129250526428223]
  4  O      0.146992  0.00703   0.64839   [-0.011054955422878265, 0.010049641132354736, -0.009823024272918701]
  5  Hf     0.617095  0.036547  0.575982  [-0.0013905614614486694, 0.0006328225135803223, -0.01374673843383789]
  6  O      0.933676  0.720421  0.670778  [-0.006523735821247101, 0.005559850484132767, 0.00877457857131958]
  7  O      0.346968  0.305577  0.49409   [0.010153129696846008, -0.007189691066741943, -0.04887169599533081]
  8  Pr     0.699479  0.452889  0.143892  [0.02947300672531128, -0.027806103229522705, 0.03418755531311035]
  9  Hf     1.05795   0.594993  0.454396  [0.00597362220287323, -0.00522962212562561, 0.009043331257998943]
 10  Tm     0.481601  0.672763  0.749346  [-0.0162242129445076, 0.014975905418395996, 0.014179706573486328]
 11  Hf     0.039281  0.11477   0.880395  [-0.02264198660850525, 0.021026134490966797, -0.0067931413650512695]
 12  O      0.585488  0.068884  0.856623  [-0.01510796882212162, 0.013899628072977066, -0.013142593204975128]
 13  O      0.757137  0.397742  0.875458  [-0.01889824867248535, 0.015346884727478027, 0.010585695505142212]
 14  O      0.365144  0.791545  0.982601  [-0.018629148602485657, 0.015850484371185303, 0.012147396802902222]
 15  O      0.743727  0.907988  0.378448  [0.01973170042037964, -0.018317729234695435, -0.006002902984619141]","PrTm2Hf3O10","('Hf', 'O', 'Pr', 'Tm')","0.3663198838250105","0","# generated using pymatgen
data_PrTm2Hf3O10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.09736722
_cell_length_b   8.11309134
_cell_length_c   8.51187498
_cell_angle_alpha   85.34027995
_cell_angle_beta   90.03994926
_cell_angle_gamma   59.70913439
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrTm2Hf3O10
_chemical_formula_sum   'Pr1 Tm2 Hf3 O10'
_cell_volume   243.23114334
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.55496759  0.59794924  0.47847555  1
  O  O1  1  0.04765615  0.10818012  0.11954706  1
  Tm  Tm2  1  -0.25771058  0.90740963  0.12638546  1
  O  O3  1  1.05716370  0.59510391  0.20753476  1
  O  O4  1  0.14699170  0.00702982  0.64838989  1
  Hf  Hf5  1  0.61709476  0.03654739  0.57598248  1
  O  O6  1  0.93367625  0.72042056  0.67077825  1
  O  O7  1  0.34696831  0.30557682  0.49408981  1
  Pr  Pr8  1  0.69947866  0.45288852  0.14389210  1
  Hf  Hf9  1  1.05795427  0.59499322  0.45439578  1
  Tm  Tm10  1  0.48160093  0.67276253  0.74934564  1
  Hf  Hf11  1  0.03928104  0.11477028  0.88039488  1
  O  O12  1  0.58548787  0.06888359  0.85662255  1
  O  O13  1  0.75713712  0.39774224  0.87545771  1
  O  O14  1  0.36514391  0.79154506  0.98260120  1
  O  O15  1  0.74372725  0.90798817  0.37844780  1
"
"Full Formula (C3 O6)
Reduced Formula: CO2
abc   :   5.885202   3.647551   9.503669
angles: 106.612853 109.647311  94.486445
pbc   :       True       True       True
Sites (9)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  O     0.242768   0.956533  0.89861   [0.014791250228881836, 0.02801644802093506, 0.015995502471923828]
  1  C     1.08861    1.00449   0.792349  [0.01418590173125267, 0.021677009761333466, 0.00457749143242836]
  2  O     0.520598   0.260391  0.404337  [-0.0344233512878418, -0.025949716567993164, -0.024560928344726562]
  3  O     0.772411   0.692352  0.976364  [-0.0037955641746520996, -0.034857749938964844, -0.009343624114990234]
  4  C     0.434057   0.457739  0.485814  [-0.011541795916855335, -0.007782243192195892, -0.0035051368176937103]
  5  O     0.346555   0.654538  0.566981  [0.010865569114685059, 0.010488271713256836, 0.018015742301940918]
  6  O     0.932997   0.052594  0.686859  [0.013687372207641602, 0.014612197875976562, -0.006812334060668945]
  7  C     0.837429  -0.048155  0.096999  [-0.002517290413379669, -0.013745885342359543, -0.0012534558773040771]
  8  O     0.904941   0.211944  0.2174    [-0.0012514591217041016, 0.00754094123840332, 0.006888389587402344]","CO2","('C', 'O')","0.13993559012353762","0","# generated using pymatgen
data_CO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.88520228
_cell_length_b   3.64755110
_cell_length_c   9.50366929
_cell_angle_alpha   106.61285334
_cell_angle_beta   109.64731075
_cell_angle_gamma   94.48644547
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CO2
_chemical_formula_sum   'C3 O6'
_cell_volume   180.64514708
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.24276773  0.95653274  0.89861039  1
  C  C1  1  1.08860948  1.00449199  0.79234933  1
  O  O2  1  0.52059778  0.26039078  0.40433658  1
  O  O3  1  0.77241085  0.69235159  0.97636350  1
  C  C4  1  0.43405728  0.45773899  0.48581371  1
  O  O5  1  0.34655549  0.65453792  0.56698074  1
  O  O6  1  0.93299737  0.05259445  0.68685919  1
  C  C7  1  0.83742933  -0.04815458  0.09699850  1
  O  O8  1  0.90494058  0.21194404  0.21740033  1
"
"Full Formula (Tl1 Bi2)
Reduced Formula: TlBi2
abc   :   4.470016   4.457060   6.308710
angles:  89.960349  90.169175 119.857498
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Tl    0.123459  0.215105  0.404623  [-0.002362743252888322, 0.0013806119095534086, 0.0005573914386332035]
  1  Bi    0.458095  0.88304   0.042504  [-0.015359772369265556, -0.00780840078368783, -0.0018195882439613342]
  2  Bi    0.787778  0.548272  0.766793  [0.01772252842783928, 0.006427793763577938, 0.0012621954083442688]","TlBi2","('Bi', 'Tl')","0.029774269851789624","1","# generated using pymatgen
data_TlBi2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.47001583
_cell_length_b   4.45705971
_cell_length_c   6.30871009
_cell_angle_alpha   89.96034927
_cell_angle_beta   90.16917539
_cell_angle_gamma   119.85749757
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlBi2
_chemical_formula_sum   'Tl1 Bi2'
_cell_volume   109.00551804
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  1  0.12345874  0.21510478  0.40462255  1
  Bi  Bi1  1  0.45809471  0.88304004  0.04250375  1
  Bi  Bi2  1  0.78777769  0.54827178  0.76679285  1
"
"Full Formula (Ni3 Ge2)
Reduced Formula: Ni3Ge2
abc   :   3.923015   3.923175   4.950292
angles:  89.996800  90.004920 120.008575
pbc   :       True       True       True
Sites (5)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ---------------------------------------------------------------------
  0  Ni    0.390696   0.656551  0.913903  [-0.013333527371287346, 0.008060911670327187, 0.03607214242219925]
  1  Ni    0.057144  -0.009918  0.660934  [0.009950881823897362, -0.00735118892043829, 0.001591712236404419]
  2  Ge    0.391177   0.655583  0.416304  [-0.016887839883565903, 0.013833492994308472, 0.015309922397136688]
  3  Ge    0.723867   0.323377  0.924088  [0.012416426092386246, -0.007103703450411558, -0.0466720275580883]
  4  Ni    0.057353  -0.009912  0.172553  [0.007853959687054157, -0.0074395970441401005, -0.006301790475845337]","Ni3Ge2","('Ge', 'Ni')","0.3467503493079262","1","# generated using pymatgen
data_Ni3Ge2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92301494
_cell_length_b   3.92317490
_cell_length_c   4.95029211
_cell_angle_alpha   89.99679973
_cell_angle_beta   90.00491956
_cell_angle_gamma   120.00857535
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ni3Ge2
_chemical_formula_sum   'Ni3 Ge2'
_cell_volume   65.97532749
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.39069637  0.65655118  0.91390271  1
  Ni  Ni1  1  0.05714417  -0.00991784  0.66093445  1
  Ge  Ge2  1  0.39117726  0.65558320  0.41630444  1
  Ge  Ge3  1  0.72386699  0.32337719  0.92408753  1
  Ni  Ni4  1  0.05735274  -0.00991228  0.17255252  1
"
"Full Formula (Sr1 Al1 Cu1 P2)
Reduced Formula: SrAlCuP2
abc   :   3.867553   3.870536   7.056379
angles: 105.661023 105.910010  90.009594
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  P     0.411681  0.162075  0.558698  [0.003627002239227295, -0.025499127805233, 0.0125657320022583]
  1  Sr    0.773477  0.511358  0.28181   [0.0010660942643880844, 0.04362693056464195, 0.009023182094097137]
  2  Cu    0.024661  0.27221   0.784472  [-0.004727579187601805, 0.001949024386703968, -0.01214639376848936]
  3  P     0.136473  0.882401  1.00855   [-0.00041641294956207275, -0.009280435740947723, -0.0042230188846588135]
  4  Al    0.523668  0.772616  0.783027  [0.000450934749096632, -0.010796353220939636, -0.005219408310949802]","SrAlCuP2","('Al', 'Cu', 'P', 'Sr')","0.15429371867751074","1","# generated using pymatgen
data_SrAlCuP2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.86755314
_cell_length_b   3.87053614
_cell_length_c   7.05637869
_cell_angle_alpha   105.66102289
_cell_angle_beta   105.91001011
_cell_angle_gamma   90.00959363
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrAlCuP2
_chemical_formula_sum   'Sr1 Al1 Cu1 P2'
_cell_volume   97.49865262
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  P  P0  1  0.41168056  0.16207516  0.55869829  1
  Sr  Sr1  1  0.77347734  0.51135794  0.28181047  1
  Cu  Cu2  1  0.02466082  0.27221025  0.78447208  1
  P  P3  1  0.13647333  0.88240136  1.00855300  1
  Al  Al4  1  0.52366794  0.77261619  0.78302695  1
"
"Full Formula (Na2 Rh1 F6)
Reduced Formula: Na2RhF6
abc   :   6.465269   5.833214   5.707296
angles:  67.894081  57.027505  57.937058
pbc   :       True       True       True
Sites (9)
  #  SP           a          b          c  forces
---  ----  --------  ---------  ---------  -----------------------------------------------------------------------
  0  F     0.315234   0.52023    0.042947  [-0.03493073582649231, 0.0031349658966064453, -0.012545391917228699]
  1  Na    0.410412   0.070741   0.115657  [-0.009263191372156143, -0.0026061423122882843, -0.0010135602205991745]
  2  Rh    0.206356   0.870573   0.816541  [-9.644463716540486e-07, 9.634586604079232e-06, -1.656352287682239e-05]
  3  F     0.375      0.700798   0.482464  [0.001033201813697815, -0.003543466329574585, -0.007500514388084412]
  4  F     0.535714  -0.101683   0.711128  [-0.0020479708909988403, -0.04532920569181442, 0.00023761391639709473]
  5  F     0.037714   0.040349   0.150618  [-0.0010599717497825623, 0.0035117343068122864, 0.007456988096237183]
  6  F     1.09748    0.220916   0.590133  [0.034918926656246185, -0.0031359195709228516, 0.012561872601509094]
  7  F     0.876998   0.84283   -0.078048  [0.0020356327295303345, 0.04533371329307556, -0.00022286176681518555]
  8  Na    0.002297   0.670404   0.517423  [0.009315120056271553, 0.002624964341521263, 0.0010422361083328724]","Na2RhF6","('F', 'Na', 'Rh')","0.11753612660859944","2","# generated using pymatgen
data_Na2RhF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.46526912
_cell_length_b   5.83321431
_cell_length_c   5.70729608
_cell_angle_alpha   67.89408139
_cell_angle_beta   57.02750518
_cell_angle_gamma   57.93705767
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2RhF6
_chemical_formula_sum   'Na2 Rh1 F6'
_cell_volume   151.86796089
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  F  F0  1  0.31523367  0.52023014  0.04294729  1
  Na  Na1  1  0.41041215  0.07074126  0.11565740  1
  Rh  Rh2  1  0.20635590  0.87057341  0.81654103  1
  F  F3  1  0.37499991  0.70079824  0.48246366  1
  F  F4  1  0.53571428  -0.10168314  0.71112771  1
  F  F5  1  0.03771361  0.04034950  0.15061801  1
  F  F6  1  1.09747948  0.22091564  0.59013282  1
  F  F7  1  0.87699831  0.84282962  -0.07804772  1
  Na  Na8  1  0.00229708  0.67040373  0.51742335  1
"
