"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Cs1 Ir1 F5)
Reduced Formula: CsIrF5
abc   :   4.083057   7.265895   6.173428
angles: 120.719122  88.339749  90.084529
pbc   :       True       True       True
Sites (7)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  F     0.590735   0.154263  0.308466  [-0.001229679211974144, -0.004404574632644653, -0.00921411532908678]
  1  F     0.110404   0.326032  0.142949  [-0.04020601511001587, 0.018528282642364502, 0.017986133694648743]
  2  F     0.076175  -0.001305  0.482323  [0.034978315234184265, -0.026982933282852173, -0.03598025441169739]
  3  F     0.109717   0.893465  0.986493  [-0.05598527565598488, 0.007384568452835083, -0.014665842056274414]
  4  Ir    0.090696   0.160536  0.309204  [-0.001410192809998989, -0.0038686804473400116, -0.008144322782754898]
  5  Cs    0.585445   0.720137  0.542292  [0.006713315844535828, 0.02391190081834793, 0.05271098017692566]
  6  F     1.06626    0.43074   0.626843  [0.05713951215147972, -0.014568477869033813, -0.002692677080631256]","CsIrF5","('Cs', 'F', 'Ir')","0.09798542766793553","0","# generated using pymatgen
data_CsIrF5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.08305678
_cell_length_b   7.26589475
_cell_length_c   6.17342839
_cell_angle_alpha   120.71912185
_cell_angle_beta   88.33974928
_cell_angle_gamma   90.08452864
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsIrF5
_chemical_formula_sum   'Cs1 Ir1 F5'
_cell_volume   157.36353922
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  F  F0  1  0.59073488  0.15426280  0.30846602  1
  F  F1  1  0.11040420  0.32603209  0.14294905  1
  F  F2  1  0.07617485  -0.00130491  0.48232326  1
  F  F3  1  0.10971746  0.89346524  0.98649307  1
  Ir  Ir4  1  0.09069603  0.16053583  0.30920360  1
  Cs  Cs5  1  0.58544539  0.72013671  0.54229152  1
  F  F6  1  1.06626355  0.43074043  0.62684272  1
"
"Full Formula (Mg1 In2 Ga3)
Reduced Formula: MgIn2Ga3
abc   :   4.817070   6.115910   5.693834
angles: 116.451777 114.824012  68.642572
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ga    1.01195   0.438668  0.402012  [-0.005332149565219879, 0.04794641211628914, 0.043656766414642334]
  1  In    0.697534  0.273873  0.615399  [0.0053255571983754635, -0.020174365490674973, -0.026378273963928223]
  2  In    0.40193   0.85921   0.59623   [0.01000852882862091, -0.002056347206234932, 0.00840853899717331]
  3  Ga    0.723865  0.783545  0.148667  [0.0024874024093151093, -0.01606476679444313, -0.0009213220328092575]
  4  Ga    0.073407  0.970576  0.015442  [-0.015487948432564735, -0.001395300729200244, -0.01405650656670332]
  5  Mg    0.326224  0.429248  0.02459   [0.0029985951259732246, -0.008255640044808388, -0.010709207504987717]","MgIn2Ga3","('Ga', 'In', 'Mg')","0.0622050546628458","0","# generated using pymatgen
data_MgIn2Ga3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.81706999
_cell_length_b   6.11591000
_cell_length_c   5.69383385
_cell_angle_alpha   116.45177720
_cell_angle_beta   114.82401213
_cell_angle_gamma   68.64257157
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgIn2Ga3
_chemical_formula_sum   'Mg1 In2 Ga3'
_cell_volume   133.02728992
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga  Ga0  1  1.01194642  0.43866780  0.40201191  1
  In  In1  1  0.69753421  0.27387258  0.61539852  1
  In  In2  1  0.40192975  0.85920953  0.59622952  1
  Ga  Ga3  1  0.72386477  0.78354480  0.14866703  1
  Ga  Ga4  1  0.07340661  0.97057581  0.01544165  1
  Mg  Mg5  1  0.32622412  0.42924774  0.02458985  1
"
"Full Formula (Ba2 Cu1 Ge1)
Reduced Formula: Ba2CuGe
abc   :   4.512889   4.840258   8.049805
angles: 107.332052 123.798043  89.970509
pbc   :       True       True       True
Sites (4)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  --------------------------------------------------------------------
  0  Ba    -0.083175  0.089131  0.687984  [-0.018008559942245483, -0.028774715960025787, 0.029634371399879456]
  1  Cu     0.253203  0.755706  0.031552  [-0.0065225884318351746, 0.01000950112938881, -0.008227728307247162]
  2  Ge     0.605818  0.68017   0.882561  [-0.009672097861766815, 0.014686524868011475, -0.03598867356777191]
  3  Ba     0.973527  0.367155  0.255927  [0.03420323133468628, 0.004078678786754608, 0.014581993222236633]","Ba2CuGe","('Ba', 'Cu', 'Ge')","0.020389010186683695","0","# generated using pymatgen
data_Ba2CuGe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.51288851
_cell_length_b   4.84025759
_cell_length_c   8.04980523
_cell_angle_alpha   107.33205163
_cell_angle_beta   123.79804291
_cell_angle_gamma   89.97050863
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2CuGe
_chemical_formula_sum   'Ba2 Cu1 Ge1'
_cell_volume   136.42756932
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  -0.08317538  0.08913110  0.68798419  1
  Cu  Cu1  1  0.25320301  0.75570619  0.03155175  1
  Ge  Ge2  1  0.60581799  0.68017012  0.88256117  1
  Ba  Ba3  1  0.97352731  0.36715543  0.25592694  1
"
"Full Formula (La7 Mg2 Tl3)
Reduced Formula: La7Mg2Tl3
abc   :   3.917480  13.131270   8.432849
angles:  71.488242  89.984260 107.449686
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Tl    0.399604  0.115     0.999869  [0.010971643961966038, -0.00966971181333065, 0.02224792167544365]
  1  La    0.408442  0.607564  0.018433  [-0.01542185340076685, -0.001770712435245514, 0.009686614386737347]
  2  La    1.04951   0.259365  0.657826  [0.00960666872560978, 0.0031899400055408478, 0.012582175433635712]
  3  La    0.409545  0.605334  0.514435  [-0.019717276096343994, -0.005510643124580383, -0.02545352652668953]
  4  La    0.721256  0.417674  0.864817  [-0.017533693462610245, 0.005125664174556732, -0.0053136032074689865]
  5  Tl    0.078017  0.776058  0.676926  [-0.026760676875710487, -0.01577184908092022, -0.010969078168272972]
  6  Mg    0.733904  0.433401  0.347138  [-0.017664242535829544, -0.006326083093881607, -0.014639144763350487]
  7  La    0.718279  0.928982  0.868296  [0.008330400101840496, 0.0026434510946273804, -0.03092362731695175]
  8  Tl    1.04617   0.757219  0.194237  [0.020382020622491837, 0.01423933357000351, 0.003565765917301178]
  9  La    0.04895   0.253025  0.219838  [-0.00894611980766058, -0.0003054887056350708, -0.01150430366396904]
 10  La    0.711873  0.933769  0.333773  [0.035644542425870895, 0.0016702115535736084, 0.05176577717065811]
 11  Mg    0.372759  0.086339  0.530447  [0.021108590066432953, 0.012485846877098083, -0.001044992357492447]","La7Mg2Tl3","('La', 'Mg', 'Tl')","0.04226969798908455","1","# generated using pymatgen
data_La7Mg2Tl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.91748001
_cell_length_b   13.13127034
_cell_length_c   8.43284864
_cell_angle_alpha   71.48824236
_cell_angle_beta   89.98426001
_cell_angle_gamma   107.44968568
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La7Mg2Tl3
_chemical_formula_sum   'La7 Mg2 Tl3'
_cell_volume   390.23065836
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  1  0.39960431  0.11500049  0.99986934  1
  La  La1  1  0.40844206  0.60756362  0.01843315  1
  La  La2  1  1.04951544  0.25936510  0.65782618  1
  La  La3  1  0.40954495  0.60533427  0.51443494  1
  La  La4  1  0.72125613  0.41767437  0.86481667  1
  Tl  Tl5  1  0.07801664  0.77605841  0.67692641  1
  Mg  Mg6  1  0.73390442  0.43340093  0.34713767  1
  La  La7  1  0.71827854  0.92898192  0.86829580  1
  Tl  Tl8  1  1.04616894  0.75721860  0.19423700  1
  La  La9  1  0.04895001  0.25302510  0.21983808  1
  La  La10  1  0.71187278  0.93376946  0.33377305  1
  Mg  Mg11  1  0.37275876  0.08633866  0.53044654  1
"
"Full Formula (Lu1 Cd2 Au1)
Reduced Formula: LuCd2Au
abc   :   4.601217   5.964748   5.968718
angles:  36.775649  67.343137  67.335115
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Cd    0.161632  0.088168  0.296304  [0.01297706924378872, 0.006011364050209522, -0.00225188210606575]
  1  Lu    0.43366   0.317952  0.521613  [-0.004186955280601978, -0.01299616415053606, 0.005444353446364403]
  2  Au    0.933206  0.816026  0.023542  [0.005866898223757744, 0.009437709115445614, -0.005535447970032692]
  3  Cd    0.707523  0.544896  0.749526  [-0.014657040126621723, -0.0024529341608285904, 0.0023429803550243378]","LuCd2Au","('Au', 'Cd', 'Lu')","0.11709844875291463","1","# generated using pymatgen
data_LuCd2Au
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.60121705
_cell_length_b   5.96474786
_cell_length_c   5.96871804
_cell_angle_alpha   36.77564947
_cell_angle_beta   67.34313658
_cell_angle_gamma   67.33511512
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LuCd2Au
_chemical_formula_sum   'Lu1 Cd2 Au1'
_cell_volume   89.62469905
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.16163160  0.08816830  0.29630419  1
  Lu  Lu1  1  0.43365988  0.31795223  0.52161346  1
  Au  Au2  1  0.93320621  0.81602612  0.02354170  1
  Cd  Cd3  1  0.70752277  0.54489633  0.74952562  1
"
"Full Formula (In2 I6)
Reduced Formula: InI3
abc   :   8.767856   8.830008   9.544871
angles:  65.376149  65.633472  62.696618
pbc   :       True       True       True
Sites (8)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ----------------------------------------------------------------------
  0  I      0.532027  0.414058  0.679231  [0.01630975306034088, 0.006018728017807007, 0.026870161294937134]
  1  I     -0.001263  0.364632  0.149386  [0.009376630187034607, -0.013615738600492477, -0.017581522464752197]
  2  I      0.360654  0.689506  0.130897  [0.0017685235943645239, -0.0009656028705649078, 0.0005948976613581181]
  3  In     0.802661  0.11731   0.800492  [0.002584606409072876, -0.00934302806854248, -0.005767554044723511]
  4  In     0.120531  0.469584  0.811671  [-0.014762341976165771, -0.023665055632591248, -0.0012111663818359375]
  5  I      0.722617  0.997442  0.125594  [-0.002696782350540161, 0.035677745938301086, -0.015805184841156006]
  6  I      0.87775   0.856615  0.662691  [-0.007955893874168396, 0.023722395300865173, 0.0043291449546813965]
  7  I      0.104993  0.218339  0.663638  [-0.004624456167221069, -0.017829421907663345, 0.008571222424507141]","InI3","('I', 'In')","0.0","1","# generated using pymatgen
data_InI3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.76785595
_cell_length_b   8.83000783
_cell_length_c   9.54487139
_cell_angle_alpha   65.37614892
_cell_angle_beta   65.63347214
_cell_angle_gamma   62.69661832
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InI3
_chemical_formula_sum   'In2 I6'
_cell_volume   574.05606882
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  I  I0  1  0.53202728  0.41405819  0.67923080  1
  I  I1  1  -0.00126303  0.36463161  0.14938627  1
  I  I2  1  0.36065354  0.68950569  0.13089742  1
  In  In3  1  0.80266103  0.11731022  0.80049161  1
  In  In4  1  0.12053111  0.46958385  0.81167144  1
  I  I5  1  0.72261725  0.99744233  0.12559365  1
  I  I6  1  0.87774991  0.85661489  0.66269095  1
  I  I7  1  0.10499333  0.21833921  0.66363753  1
"
"Full Formula (Rb3 Sc1 I6)
Reduced Formula: Rb3ScI6
abc   :   8.091557   9.286804  10.136049
angles:  53.385880  81.863197  89.151034
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  I     0.192391  0.386188  0.047991  [0.0002631323877722025, 0.0008769035339355469, -0.024091379716992378]
  1  I     0.746798  0.93391   0.581724  [-0.010935051366686821, -0.022594764828681946, 0.03894449397921562]
  2  Rb    0.861061  0.459516  0.831251  [-0.025646964088082314, -0.020387772470712662, -0.024552354589104652]
  3  I     0.668253  0.424266  0.225565  [0.013434559106826782, -0.004999583587050438, 0.006056278944015503]
  4  I     0.247648  0.082337  0.631108  [0.006516814231872559, 0.021831996738910675, -0.0030476897954940796]
  5  I     0.622468  1.02334   0.924635  [0.0033446475863456726, 0.009925324469804764, 0.019961923360824585]
  6  I     0.552808  0.52619   0.553294  [0.013992654159665108, 0.02245768904685974, -0.01750265061855316]
  7  Rb    0.069005  0.73265   0.077952  [-0.0074294134974479675, -0.012511998414993286, -0.024019740521907806]
  8  Rb    0.429119  1.01488   0.297895  [-0.003631582949310541, -1.9859522581100464e-05, 0.015727870166301727]
  9  Sc    0.576508  0.202374  0.584157  [0.010091245174407959, 0.005422055721282959, 0.012523271143436432]","Rb3ScI6","('I', 'Rb', 'Sc')","0.0","1","# generated using pymatgen
data_Rb3ScI6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.09155746
_cell_length_b   9.28680404
_cell_length_c   10.13604893
_cell_angle_alpha   53.38588019
_cell_angle_beta   81.86319670
_cell_angle_gamma   89.15103354
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb3ScI6
_chemical_formula_sum   'Rb3 Sc1 I6'
_cell_volume   602.88955663
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  I  I0  1  0.19239071  0.38618822  0.04799082  1
  I  I1  1  0.74679788  0.93390981  0.58172414  1
  Rb  Rb2  1  0.86106129  0.45951586  0.83125101  1
  I  I3  1  0.66825262  0.42426633  0.22556524  1
  I  I4  1  0.24764833  0.08233651  0.63110767  1
  I  I5  1  0.62246816  1.02334094  0.92463516  1
  I  I6  1  0.55280802  0.52619046  0.55329363  1
  Rb  Rb7  1  0.06900507  0.73265000  0.07795181  1
  Rb  Rb8  1  0.42911944  1.01488346  0.29789454  1
  Sc  Sc9  1  0.57650826  0.20237409  0.58415744  1
"
"Full Formula (Tb1 Gd1 Tl2)
Reduced Formula: TbGdTl2
abc   :   5.415994   5.404330   5.421341
angles:  60.074004  59.821749  60.151413
pbc   :       True       True       True
Sites (4)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  --------------------------------------------------------------------
  0  Tl    0.121269   0.243772  0.232097  [-0.011313077062368393, 0.024028819054365158, -0.023530125617980957]
  1  Gd    0.869994  -0.004654  0.979767  [-0.0020855581387877464, 0.00808011181652546, 0.006980470847338438]
  2  Tl    0.618015   0.748528  0.72793   [0.008657645434141159, -0.029087932780385017, 0.022633884102106094]
  3  Tb    0.369173   0.496258  0.480566  [0.004741037264466286, -0.003021002747118473, -0.006084226071834564]","TbGdTl2","('Gd', 'Tb', 'Tl')","0.0973725700142602","1","# generated using pymatgen
data_TbGdTl2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.41599428
_cell_length_b   5.40432988
_cell_length_c   5.42134087
_cell_angle_alpha   60.07400434
_cell_angle_beta   59.82174858
_cell_angle_gamma   60.15141258
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbGdTl2
_chemical_formula_sum   'Tb1 Gd1 Tl2'
_cell_volume   112.24284862
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  1  0.12126856  0.24377209  0.23209713  1
  Gd  Gd1  1  0.86999376  -0.00465391  0.97976746  1
  Tl  Tl2  1  0.61801550  0.74852829  0.72793018  1
  Tb  Tb3  1  0.36917329  0.49625751  0.48056598  1
"
"Full Formula (Ca1 Yb1 Zn1 Pb1)
Reduced Formula: CaYbZnPb
abc   :   5.355148   5.373306   5.355862
angles:  59.886591  60.239764  59.924216
pbc   :       True       True       True
Sites (4)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Ca     0.743058  0.454022  0.920321  [0.0033492418006062508, -0.005660166963934898, 0.0025319764390587807]
  1  Yb     0.243074  0.95354   0.420458  [0.003786994842812419, 0.002134974580258131, 0.0038620666600763798]
  2  Pb     0.492325  0.204031  0.670724  [0.007578876800835133, -0.00263361819088459, -0.0019362113671377301]
  3  Zn    -0.003453  0.702406  0.170108  [-0.014715101569890976, 0.006158796139061451, -0.004457834176719189]","CaYbZnPb","('Ca', 'Pb', 'Yb', 'Zn')","0.0296385211443509","1","# generated using pymatgen
data_CaYbZnPb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.35514779
_cell_length_b   5.37330563
_cell_length_c   5.35586175
_cell_angle_alpha   59.88659132
_cell_angle_beta   60.23976373
_cell_angle_gamma   59.92421550
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaYbZnPb
_chemical_formula_sum   'Ca1 Yb1 Zn1 Pb1'
_cell_volume   109.01426391
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.74305792  0.45402152  0.92032096  1
  Yb  Yb1  1  0.24307378  0.95354021  0.42045798  1
  Pb  Pb2  1  0.49232485  0.20403062  0.67072386  1
  Zn  Zn3  1  -0.00345328  0.70240562  0.17010773  1
"
"Full Formula (Tb2 Co4)
Reduced Formula: TbCo2
abc   :   3.878686   5.564315   5.564631
angles:  91.613129  69.602418  69.596396
pbc   :       True       True       True
Sites (6)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ---------------------------------------------------------------------
  0  Co    1.0701    0.18602    0.566616  [-0.01223309151828289, 0.0007564723491668701, 0.015852823853492737]
  1  Co    0.067915  0.686777   0.067627  [0.0201236754655838, -0.0036819663364440203, -0.013574812561273575]
  2  Tb    0.405535  0.601572   0.482772  [-0.036995939910411835, 0.03403588756918907, 0.019908998161554337]
  3  Co    0.735937  1.02036    0.400284  [0.0004459465853869915, -0.02364465780556202, 0.002405559876933694]
  4  Tb    0.400215  0.104232  -0.015546  [0.028902269899845123, -0.033053457736968994, -0.015555898658931255]
  5  Co    0.735697  0.518912   0.900834  [-0.00024293267051689327, 0.02558770775794983, -0.009036703035235405]","TbCo2","('Co', 'Tb')","0.2493488142725982","1","# generated using pymatgen
data_TbCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.87868627
_cell_length_b   5.56431529
_cell_length_c   5.56463144
_cell_angle_alpha   91.61312931
_cell_angle_beta   69.60241751
_cell_angle_gamma   69.59639553
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbCo2
_chemical_formula_sum   'Tb2 Co4'
_cell_volume   103.96197933
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  1.07010188  0.18602013  0.56661584  1
  Co  Co1  1  0.06791530  0.68677729  0.06762697  1
  Tb  Tb2  1  0.40553514  0.60157172  0.48277195  1
  Co  Co3  1  0.73593721  1.02035841  0.40028382  1
  Tb  Tb4  1  0.40021508  0.10423222  -0.01554633  1
  Co  Co5  1  0.73569695  0.51891242  0.90083422  1
"
