cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,300.0000,516,57.9175,0.0096,24.5999,14.7879,874.79
1,16,4,4,12,0,300.0000,520,121.1777,0.0096,24.1924,14.7606,103.54
2,16,4,4,12,0,300.0000,524,94.9400,0.0095,23.8842,14.2992,97.10
3,16,4,4,12,0,300.0000,528,87.0424,0.0095,24.2994,14.8142,90.89
4,16,4,4,12,0,300.0000,532,87.9814,0.0096,23.7833,14.3391,361.19
5,16,4,4,12,0,300.0000,536,85.8572,0.0096,24.0270,14.7722,137.93
6,16,4,4,12,0,300.0000,540,60.1901,0.0096,25.3212,14.8955,142.48
7,16,4,4,12,0,300.0000,544,98.0307,0.0094,22.9602,13.9605,153.59
8,16,4,4,12,0,300.0000,548,75.8297,0.0094,20.8486,13.2841,142.85
9,16,4,4,12,0,300.0000,552,87.5379,0.0093,22.9543,13.9128,82.70
10,16,4,4,12,0,300.0000,556,115.3769,0.0093,22.3620,13.4973,159.99
11,16,4,4,12,0,300.0000,560,72.7113,0.0093,21.6404,13.6991,191.50
12,16,4,4,12,0,300.0000,564,89.4490,0.0092,22.6590,13.9393,136.39
13,16,4,4,12,0,300.0000,568,110.2648,0.0092,21.0836,13.4446,102.78
14,16,4,4,12,0,300.0000,572,105.7184,0.0091,22.6893,14.0844,107.78
15,16,4,4,12,0,300.0000,576,144.3006,0.0091,19.3890,12.4108,124.69
16,16,4,4,12,0,300.0000,580,107.9232,0.0091,21.1098,13.3072,117.89
17,16,4,4,12,0,300.0000,584,108.6355,0.0092,21.6247,13.5643,128.14
18,16,4,4,12,0,300.0000,588,127.5123,0.0092,22.6266,13.9847,134.93
19,16,4,4,12,0,300.0000,592,169.7505,0.0092,21.2121,13.5933,145.22
