"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (La3 Mg2 Tl4)
Reduced Formula: La3(MgTl2)2
abc   :   5.174750   6.455486   9.069957
angles:  74.861394  73.425043  66.373299
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  La    0.090349  0.075278  0.283225  [0.0006300779059529305, 0.000302125234156847, -0.00021038687555119395]
  1  Tl    0.779859  0.727542  0.251923  [0.0030753614846616983, -0.012019507586956024, -0.008480023592710495]
  2  La    0.74816   0.431569  0.611321  [4.9338676035404205e-05, -0.001534290611743927, 0.002402564510703087]
  3  Tl    0.400586  0.422868  0.315278  [-0.0037467952352017164, 0.012014798820018768, 0.009690525010228157]
  4  Tl    0.002603  0.838652  0.695491  [-0.005786655470728874, -0.0025978311896324158, 0.018135916441679]
  5  La    0.432926  0.717687  0.955602  [0.0013405811041593552, 0.0015765000134706497, -0.002550683915615082]
  6  Tl    0.178645  0.310648  0.871419  [0.004320663399994373, 0.0038512423634529114, -0.018571054562926292]
  7  Mg    0.711774  0.118084  0.997612  [0.013363602571189404, -0.019314952194690704, -0.0463750958442688]
  8  Mg    0.469738  0.031035  0.568826  [-0.013246184214949608, 0.017721936106681824, 0.04595828801393509]","La3(MgTl2)2","('La', 'Mg', 'Tl')","0.0605186086929554","0","# generated using pymatgen
data_La3(MgTl2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17474951
_cell_length_b   6.45548641
_cell_length_c   9.06995731
_cell_angle_alpha   74.86139380
_cell_angle_beta   73.42504261
_cell_angle_gamma   66.37329882
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La3(MgTl2)2
_chemical_formula_sum   'La3 Mg2 Tl4'
_cell_volume   262.30900379
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.09034896  0.07527784  0.28322510  1
  Tl  Tl1  1  0.77985936  0.72754211  0.25192315  1
  La  La2  1  0.74816006  0.43156873  0.61132084  1
  Tl  Tl3  1  0.40058604  0.42286790  0.31527813  1
  Tl  Tl4  1  0.00260306  0.83865197  0.69549090  1
  La  La5  1  0.43292639  0.71768713  0.95560183  1
  Tl  Tl6  1  0.17864470  0.31064787  0.87141939  1
  Mg  Mg7  1  0.71177399  0.11808400  0.99761168  1
  Mg  Mg8  1  0.46973844  0.03103527  0.56882613  1
"
"Full Formula (Ho3 Cd3 Ag1)
Reduced Formula: Ho3Cd3Ag
abc   :   3.486750   4.904474  10.680329
angles: 103.274524  99.391480  90.001780
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ho    0.479035  0.177793  0.599627  [-0.0060553718358278275, -0.008653827011585236, -0.03958161175251007]
  1  Ho    0.287279  0.486208  0.215839  [0.003587003331631422, 0.004299010615795851, 0.019375260919332504]
  2  Cd    0.716795  0.915216  0.074052  [0.0009696958586573601, 0.0009275949560105801, 0.008955301716923714]
  3  Ho    0.082733  0.780889  0.805782  [0.005924009718000889, 0.00956012587994337, 0.04010048508644104]
  4  Ag    0.850861  0.050114  0.343644  [-0.0007449346594512463, -0.0029608597978949547, -0.008525028824806213]
  5  Cd    0.92521   0.624095  0.491914  [0.00020623020827770233, 0.0004441123455762863, 0.001936793327331543]
  6  Cd    0.639732  0.337818  0.919731  [-0.0038866298273205757, -0.0036161374300718307, -0.022261198610067368]","Ho3Cd3Ag","('Ag', 'Cd', 'Ho')","0.09207101578534514","0","# generated using pymatgen
data_Ho3Cd3Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.48674952
_cell_length_b   4.90447427
_cell_length_c   10.68032932
_cell_angle_alpha   103.27452359
_cell_angle_beta   99.39147963
_cell_angle_gamma   90.00177961
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho3Cd3Ag
_chemical_formula_sum   'Ho3 Cd3 Ag1'
_cell_volume   175.24443922
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.47903524  0.17779277  0.59962666  1
  Ho  Ho1  1  0.28727852  0.48620783  0.21583918  1
  Cd  Cd2  1  0.71679503  0.91521618  0.07405238  1
  Ho  Ho3  1  0.08273258  0.78088873  0.80578167  1
  Ag  Ag4  1  0.85086109  0.05011445  0.34364362  1
  Cd  Cd5  1  0.92520957  0.62409524  0.49191428  1
  Cd  Cd6  1  0.63973177  0.33781821  0.91973096  1
"
"Full Formula (Pr2 Er6 Tm3 Hf1)
Reduced Formula: Pr2Er6Tm3Hf
abc   :   6.146840   6.146851  11.379331
angles:  95.166135  95.159624 120.022050
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------------
  0  Pr    0.191138  0.180173  0.344896  [-0.0005675870925188065, -9.667826816439629e-06, 0.0007286076433956623]
  1  Er    0.441319  0.439893  0.095884  [-0.012094279751181602, 0.021405097097158432, 0.0010237246751785278]
  2  Pr    0.857677  0.513538  0.345027  [0.0003223912208341062, -0.00013730861246585846, -3.650086000561714e-06]
  3  Er    0.283388  0.605782  0.594196  [0.011153015308082104, 0.020003722980618477, -0.010813131928443909]
  4  Hf    0.524253  0.846797  0.344913  [0.0004708273336291313, 0.0001614266075193882, 0.0009322650730609894]
  5  Tm    0.357718  0.013559  0.844979  [-0.007814092561602592, 0.0045005036517977715, 8.889701712178066e-05]
  6  Er    0.931072  0.929744  0.594129  [-0.024251818656921387, -0.00029838457703590393, -0.0013198889791965485]
  7  Er    0.607498  0.25374   0.594186  [0.01181392464786768, -0.021515382453799248, -0.0014508143067359924]
  8  Tm    0.690897  0.680208  0.845006  [0.007979992777109146, -0.004567545838654041, -9.41781181609258e-05]
  9  Er    0.117579  0.763913  0.095904  [0.024096008390188217, 0.00021540885791182518, 0.0010526441037654877]
 10  Tm    0.024306  0.346777  0.845066  [-1.090564182959497e-05, -0.00017393098096363246, -0.00016741210129112005]
 11  Er    0.765287  0.087758  0.095946  [-0.011097471229732037, -0.01958395354449749, 0.010022934526205063]","Pr2Er6Tm3Hf","('Er', 'Hf', 'Pr', 'Tm')","0.06362712034081106","0","# generated using pymatgen
data_Pr2Er6Tm3Hf
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.14684034
_cell_length_b   6.14685142
_cell_length_c   11.37933113
_cell_angle_alpha   95.16613475
_cell_angle_beta   95.15962359
_cell_angle_gamma   120.02205018
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2Er6Tm3Hf
_chemical_formula_sum   'Pr2 Er6 Tm3 Hf1'
_cell_volume   366.18504271
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.19113832  0.18017310  0.34489600  1
  Er  Er1  1  0.44131912  0.43989335  0.09588443  1
  Pr  Pr2  1  0.85767703  0.51353764  0.34502702  1
  Er  Er3  1  0.28338755  0.60578171  0.59419552  1
  Hf  Hf4  1  0.52425266  0.84679719  0.34491282  1
  Tm  Tm5  1  0.35771801  0.01355853  0.84497928  1
  Er  Er6  1  0.93107182  0.92974400  0.59412874  1
  Er  Er7  1  0.60749772  0.25374050  0.59418645  1
  Tm  Tm8  1  0.69089712  0.68020808  0.84500552  1
  Er  Er9  1  0.11757901  0.76391312  0.09590439  1
  Tm  Tm10  1  0.02430567  0.34677703  0.84506573  1
  Er  Er11  1  0.76528713  0.08775815  0.09594570  1
"
"Full Formula (Cd1 Pd4 Pt1)
Reduced Formula: CdPd4Pt
abc   :   2.894643   2.894630  11.549338
angles:  90.002782  89.998524  90.014111
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Cd    0.072486  0.292975  0.090435  [-0.0002947179600596428, -0.0005064407014288008, -0.007032250985503197]
  1  Pd    0.072734  0.293074  0.427279  [-0.001123703783378005, -0.0004854258440900594, 0.04436957836151123]
  2  Pd    0.572225  0.792841  0.919393  [0.0017634700052440166, 0.0007542041130363941, -0.039757758378982544]
  3  Pd    0.572677  0.793002  0.261307  [-0.0004629350733011961, 0.000244581897277385, 0.04302797466516495]
  4  Pt    0.572567  0.793043  0.590327  [-6.686034612357616e-05, -0.0006185792153701186, -0.0008755963062867522]
  5  Pd    0.072378  0.29288   0.75335   [0.0001847508392529562, 0.0006117129814811051, -0.03973191976547241]","CdPd4Pt","('Cd', 'Pd', 'Pt')","0.3558413324445596","0","# generated using pymatgen
data_CdPd4Pt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.89464301
_cell_length_b   2.89462980
_cell_length_c   11.54933763
_cell_angle_alpha   90.00278243
_cell_angle_beta   89.99852435
_cell_angle_gamma   90.01411080
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CdPd4Pt
_chemical_formula_sum   'Cd1 Pd4 Pt1'
_cell_volume   96.77097196
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.07248576  0.29297539  0.09043519  1
  Pd  Pd1  1  0.07273440  0.29307362  0.42727946  1
  Pd  Pd2  1  0.57222507  0.79284115  0.91939258  1
  Pd  Pd3  1  0.57267717  0.79300213  0.26130708  1
  Pt  Pt4  1  0.57256725  0.79304252  0.59032743  1
  Pd  Pd5  1  0.07237773  0.29288034  0.75334983  1
"
"Full Formula (Ti2 Ga2 Pd2)
Reduced Formula: TiGaPd
abc   :   4.118467   3.813552   6.230038
angles: 107.825138  90.015246  90.024434
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ti    0.090475  0.218583  0.164773  [-0.00013893094728700817, -0.001654546707868576, -0.007896777242422104]
  1  Ti    0.090436  0.889404  0.50641   [0.0005374274333007634, -0.011204024776816368, -0.033602289855480194]
  2  Ga    0.090415  0.550702  0.829366  [1.5836150851100683e-05, 0.015490549616515636, 0.0390065535902977]
  3  Pd    0.59033   0.059059  0.846036  [0.0006721473764628172, 0.012408655136823654, 0.03000299260020256]
  4  Ga    0.590529  0.727298  0.181809  [-0.001580558717250824, -0.01242813840508461, -0.030333183705806732]
  5  Pd    0.590449  0.38493   0.496981  [0.0004940655780956149, -0.002612471580505371, 0.002822667360305786]","TiGaPd","('Ga', 'Pd', 'Ti')","0.30517725645967103","1","# generated using pymatgen
data_TiGaPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.11846660
_cell_length_b   3.81355168
_cell_length_c   6.23003848
_cell_angle_alpha   107.82513772
_cell_angle_beta   90.01524638
_cell_angle_gamma   90.02443391
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiGaPd
_chemical_formula_sum   'Ti2 Ga2 Pd2'
_cell_volume   93.15165761
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.09047491  0.21858330  0.16477334  1
  Ti  Ti1  1  0.09043636  0.88940409  0.50640998  1
  Ga  Ga2  1  0.09041460  0.55070212  0.82936594  1
  Pd  Pd3  1  0.59033040  0.05905906  0.84603558  1
  Ga  Ga4  1  0.59052887  0.72729817  0.18180859  1
  Pd  Pd5  1  0.59044904  0.38493000  0.49698076  1
"
"Full Formula (Ag2 Pd2 Se4)
Reduced Formula: AgPdSe2
abc   :   3.936212   6.146105   6.822575
angles:  90.040880  90.020020  89.942271
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ag    0.217681  0.288043  0.461252  [0.00011447305587353185, -0.005700394045561552, -0.0005929680773988366]
  1  Ag    0.717549  0.287166  0.960618  [-7.384270429611206e-05, 0.006809021346271038, 0.0011205468326807022]
  2  Pd    0.217666  0.787389  0.460867  [-0.00019737663387786597, 0.002499708905816078, 0.002304344903677702]
  3  Pd    0.717559  0.787877  0.961086  [0.0004366228822618723, -0.0025088381953537464, -0.0018229953711852431]
  4  Se    0.717789  0.573784  0.293805  [0.00017258524894714355, 0.0014402419328689575, 0.002917798236012459]
  5  Se    0.717538  0.001166  0.627766  [-0.0007469159900210798, 0.0012240558862686157, -0.0036931312642991543]
  6  Se    0.217771  0.573429  0.794293  [-3.071501851081848e-05, 0.001916348934173584, 0.0025935107842087746]
  7  Se    0.217374  0.002202  0.128057  [0.00032516208011657, -0.005680203437805176, -0.00282710581086576]","AgPdSe2","('Ag', 'Pd', 'Se')","0.18053834320715245","1","# generated using pymatgen
data_AgPdSe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.93621226
_cell_length_b   6.14610463
_cell_length_c   6.82257539
_cell_angle_alpha   90.04087954
_cell_angle_beta   90.02002010
_cell_angle_gamma   89.94227093
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgPdSe2
_chemical_formula_sum   'Ag2 Pd2 Se4'
_cell_volume   165.05414886
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.21768116  0.28804334  0.46125184  1
  Ag  Ag1  1  0.71754867  0.28716582  0.96061795  1
  Pd  Pd2  1  0.21766592  0.78738851  0.46086690  1
  Pd  Pd3  1  0.71755908  0.78787696  0.96108627  1
  Se  Se4  1  0.71778927  0.57378438  0.29380474  1
  Se  Se5  1  0.71753804  0.00116562  0.62776558  1
  Se  Se6  1  0.21777095  0.57342911  0.79429321  1
  Se  Se7  1  0.21737357  0.00220155  0.12805653  1
"
"Full Formula (Pr1 Sm1 Lu1 Al1)
Reduced Formula: PrSmLuAl
abc   :   3.509556   3.509996   9.383371
angles:  89.985127  90.020613  89.989400
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Sm    0.980399  0.090687  0.457255  [9.699554357212037e-05, 0.001019529765471816, -0.02704460918903351]
  1  Al    0.480302  0.591149  0.241832  [-0.0003114317078143358, -0.0019319914281368256, 0.035454221069812775]
  2  Pr    0.480346  0.590952  0.760048  [-0.00015227794938255101, -0.00027255044551566243, -0.029153045266866684]
  3  Lu    0.980111  0.090812  0.042353  [0.00036672037094831467, 0.0011850229930132627, 0.02074342966079712]","PrSmLuAl","('Al', 'Lu', 'Pr', 'Sm')","0.06303766254513854","1","# generated using pymatgen
data_PrSmLuAl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.50955617
_cell_length_b   3.50999633
_cell_length_c   9.38337139
_cell_angle_alpha   89.98512692
_cell_angle_beta   90.02061314
_cell_angle_gamma   89.98940032
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSmLuAl
_chemical_formula_sum   'Pr1 Sm1 Lu1 Al1'
_cell_volume   115.58932156
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.98039863  0.09068737  0.45725550  1
  Al  Al1  1  0.48030210  0.59114923  0.24183184  1
  Pr  Pr2  1  0.48034578  0.59095175  0.76004785  1
  Lu  Lu3  1  0.98011127  0.09081235  0.04235332  1
"
"Full Formula (La4 I1 Br3 O4)
Reduced Formula: La4IBr3O4
abc   :   4.118829   4.118843  17.479364
angles:  89.996903  89.998396  89.999995
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  La    0.369931  0.564027  0.817473  [-7.987690332811326e-05, 0.00022591650485992432, 0.01938951015472412]
  1  Br    0.370009  0.56426   0.57318   [-3.4318734833505005e-05, -6.26078326604329e-05, -0.03619582951068878]
  2  La    0.370036  0.564337  0.34235   [-5.1164541218895465e-05, -0.00018676643958315253, 0.01894962787628174]
  3  La    0.870024  0.064302  0.48082   [-0.00015169063408393413, -7.065441604936495e-05, -0.012231439352035522]
  4  I     0.369892  0.563986  0.066694  [9.618460899218917e-05, 0.00014542415738105774, -0.04579852148890495]
  5  La    0.869908  0.064004  0.955879  [1.3853423297405243e-05, -9.012006921693683e-05, -0.011402040719985962]
  6  Br    0.869962  0.064105  0.725898  [-7.380172610282898e-05, -0.00010079421917907894, 0.030835255980491638]
  7  O     0.370025  0.064316  0.411671  [5.2592746214941144e-05, 5.383044481277466e-06, 0.0008217226713895798]
  8  Br    0.870024  0.064319  0.249645  [2.0412520825630054e-05, -2.2495467419503257e-05, 0.031570106744766235]
  9  O     0.869915  0.564016  0.887213  [0.00011830276343971491, 5.1261173211969435e-05, 0.0020736027508974075]
 10  O     0.369917  0.064013  0.887213  [4.4841537601314485e-05, 0.00013079604832455516, 0.0021014194935560226]
 11  O     0.870026  0.564316  0.411681  [4.445202648639679e-05, -2.5331182769150473e-05, -0.0001129325246438384]","La4IBr3O4","('Br', 'I', 'La', 'O')","0.1384737224102021","1","# generated using pymatgen
data_La4IBr3O4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.11882875
_cell_length_b   4.11884256
_cell_length_c   17.47936420
_cell_angle_alpha   89.99690293
_cell_angle_beta   89.99839558
_cell_angle_gamma   89.99999517
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La4IBr3O4
_chemical_formula_sum   'La4 I1 Br3 O4'
_cell_volume   296.53404188
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.36993079  0.56402732  0.81747263  1
  Br  Br1  1  0.37000863  0.56425981  0.57317957  1
  La  La2  1  0.37003569  0.56433705  0.34235027  1
  La  La3  1  0.87002411  0.06430179  0.48082044  1
  I  I4  1  0.36989170  0.56398563  0.06669421  1
  La  La5  1  0.86990823  0.06400377  0.95587867  1
  Br  Br6  1  0.86996198  0.06410465  0.72589752  1
  O  O7  1  0.37002531  0.06431596  0.41167148  1
  Br  Br8  1  0.87002432  0.06431937  0.24964460  1
  O  O9  1  0.86991507  0.56401647  0.88721312  1
  O  O10  1  0.36991733  0.06401347  0.88721265  1
  O  O11  1  0.87002564  0.56431610  0.41168141  1
"
"Full Formula (Tb5 Y4 Tm3)
Reduced Formula: Tb5Y4Tm3
abc   :   5.531492   9.630917   8.653417
angles:  65.255624  69.829582  68.808894
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Y     0.397734  0.05752   0.790218  [0.015676025301218033, 0.007344258949160576, 0.001721167005598545]
  1  Tb    0.884229  0.23214   0.613426  [-0.015663903206586838, -0.006744330748915672, 2.5291461497545242e-05]
  2  Y     0.634369  0.480071  0.866474  [-0.020634189248085022, -0.008217943832278252, -0.0021823476999998093]
  3  Tb    0.384724  0.729125  0.119336  [-0.0015168730169534683, 0.004780933260917664, -0.007342902943491936]
  4  Tb    0.131487  0.978017  0.372326  [-0.005372983403503895, 0.006948607042431831, -0.003333278000354767]
  5  Y     0.7655    0.019129  0.080976  [0.0030034538358449936, -0.006678186357021332, -0.0029436470940709114]
  6  Tm    0.515279  0.268508  0.330582  [-0.0018362272530794144, 0.0026743891648948193, -0.0010623577982187271]
  7  Y     0.145057  0.305552  0.043592  [0.013126431964337826, 0.0057900939136743546, -0.002729645697399974]
  8  Tm    0.266481  0.519175  0.577683  [-0.00017234892584383488, 0.006802640855312347, 0.004294241778552532]
  9  Tb    0.647388  0.808415  0.541484  [0.0033576730638742447, -0.00468163937330246, 0.00872666947543621]
 10  Tb    0.898601  0.560237  0.288628  [0.009454501792788506, -0.008730219677090645, 0.005316713824868202]
 11  Tm    0.015613  0.768977  0.8293    [0.0005784376990050077, 0.0007113823667168617, -0.000489900354295969]","Tb5Y4Tm3","('Tb', 'Tm', 'Y')","0.05239835748544503","2","# generated using pymatgen
data_Tb5Y4Tm3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.53149159
_cell_length_b   9.63091730
_cell_length_c   8.65341678
_cell_angle_alpha   65.25562436
_cell_angle_beta   69.82958168
_cell_angle_gamma   68.80889390
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb5Y4Tm3
_chemical_formula_sum   'Tb5 Y4 Tm3'
_cell_volume   380.02952908
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.39773438  0.05752026  0.79021765  1
  Tb  Tb1  1  0.88422885  0.23214039  0.61342603  1
  Y  Y2  1  0.63436930  0.48007116  0.86647373  1
  Tb  Tb3  1  0.38472356  0.72912473  0.11933642  1
  Tb  Tb4  1  0.13148680  0.97801701  0.37232602  1
  Y  Y5  1  0.76550027  0.01912902  0.08097587  1
  Tm  Tm6  1  0.51527900  0.26850831  0.33058202  1
  Y  Y7  1  0.14505657  0.30555166  0.04359232  1
  Tm  Tm8  1  0.26648106  0.51917475  0.57768323  1
  Tb  Tb9  1  0.64738810  0.80841540  0.54148360  1
  Tb  Tb10  1  0.89860104  0.56023671  0.28862848  1
  Tm  Tm11  1  0.01561268  0.76897707  0.82929951  1
"
"Full Formula (Sm3 Ta1 N4)
Reduced Formula: Sm3TaN4
abc   :   4.896758   4.896746   5.964859
angles: 114.237569 114.236176  90.000085
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  N     0.661154  0.962133  0.598028  [-0.013072272762656212, -0.011665411293506622, -0.03891102224588394]
  1  Sm    0.632751  0.433685  0.540789  [-0.0008172770030796528, 0.0034800805151462555, 0.002512426348403096]
  2  Sm    0.382823  0.683798  0.040977  [-0.001641139853745699, -0.0004087612614966929, -0.0027194784488528967]
  3  N     0.104087  0.405302  0.483287  [0.013788558542728424, 0.013082966208457947, 0.04531183838844299]
  4  N     0.382977  0.183701  0.040855  [0.0036774463951587677, 0.0019027241505682468, -0.0047522662207484245]
  5  Ta    0.88243   0.18378   0.040816  [0.005628438666462898, -0.0005944836884737015, -0.0015351588372141123]
  6  N     0.882793  0.683754  0.040828  [-0.005805611610412598, -0.00011478457599878311, 0.0031615570187568665]
  7  Sm    0.132744  0.933931  0.54093   [-0.0017577740363776684, -0.005682073067873716, -0.0030679935589432716]","Sm3TaN4","('N', 'Sm', 'Ta')","0.42982998011692874","2","# generated using pymatgen
data_Sm3TaN4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.89675847
_cell_length_b   4.89674624
_cell_length_c   5.96485855
_cell_angle_alpha   114.23756867
_cell_angle_beta   114.23617588
_cell_angle_gamma   90.00008474
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm3TaN4
_chemical_formula_sum   'Sm3 Ta1 N4'
_cell_volume   116.45576006
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  N  N0  1  0.66115449  0.96213345  0.59802785  1
  Sm  Sm1  1  0.63275063  0.43368535  0.54078934  1
  Sm  Sm2  1  0.38282311  0.68379836  0.04097747  1
  N  N3  1  0.10408748  0.40530216  0.48328697  1
  N  N4  1  0.38297731  0.18370137  0.04085506  1
  Ta  Ta5  1  0.88242970  0.18377975  0.04081566  1
  N  N6  1  0.88279291  0.68375390  0.04082848  1
  Sm  Sm7  1  0.13274404  0.93393107  0.54092982  1
"
