"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Cs2 K1 Co1 F6)
Reduced Formula: Cs2KCoF6
abc   :   6.525794   6.406002   6.406437
angles: 120.004252  89.957560  90.071941
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  F     0.773201  0.64157   0.848659  [-0.0021808892488479614, -0.0033468008041381836, 0.0044714659452438354]
  1  Cs    0.7566    0.170773  0.319396  [-0.04758721590042114, 0.0005127899348735809, 0.00027337297797203064]
  2  F     0.772965  0.641622  0.261255  [-0.0014898627996444702, -0.0036164671182632446, -0.004473991692066193]
  3  F     0.77275   0.228891  0.84867   [0.00036206841468811035, 0.005147114396095276, -0.0005216214922256768]
  4  Cs    0.451538  0.837061  0.652896  [0.04571807384490967, -0.00022423919290304184, -0.0005306955426931381]
  5  K     0.103952  0.5039    0.986029  [0.0002637738361954689, 0.00026997094391845167, 0.000916936609428376]
  6  F     0.435131  0.779023  0.123769  [0.00034980475902557373, -0.005553223192691803, -0.0004058450285810977]
  7  F     0.434679  0.366315  0.123671  [0.0026889294385910034, 0.003419153392314911, -0.0045043304562568665]
  8  F     0.434992  0.366315  0.711064  [0.001353234052658081, 0.0029193051159381866, 0.0040975213050842285]
  9  Co    0.603939  0.503954  0.986182  [0.0005219578742980957, 0.00047220580745488405, 0.0006771768094040453]","Cs2KCoF6","('Co', 'Cs', 'F', 'K')","0.12574920908300433","0","# generated using pymatgen
data_Cs2KCoF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.52579434
_cell_length_b   6.40600246
_cell_length_c   6.40643659
_cell_angle_alpha   120.00425224
_cell_angle_beta   89.95755962
_cell_angle_gamma   90.07194112
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2KCoF6
_chemical_formula_sum   'Cs2 K1 Co1 F6'
_cell_volume   231.92560119
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  F  F0  1  0.77320142  0.64157026  0.84865934  1
  Cs  Cs1  1  0.75660026  0.17077260  0.31939594  1
  F  F2  1  0.77296467  0.64162158  0.26125516  1
  F  F3  1  0.77275045  0.22889082  0.84866999  1
  Cs  Cs4  1  0.45153761  0.83706054  0.65289635  1
  K  K5  1  0.10395173  0.50390003  0.98602864  1
  F  F6  1  0.43513087  0.77902293  0.12376937  1
  F  F7  1  0.43467877  0.36631548  0.12367094  1
  F  F8  1  0.43499164  0.36631478  0.71106407  1
  Co  Co9  1  0.60393946  0.50395427  0.98618151  1
"
"Full Formula (Dy2 Sc2 Tl2)
Reduced Formula: DyScTl
abc   :   4.199652   4.792219   8.150565
angles:  89.999133 104.929837  90.001116
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------------
  0  Dy    0.615071  0.566323  0.407985  [0.001959896180778742, 0.0001261791039723903, 0.00730607844889164]
  1  Tl    0.086826  0.066326  0.35138   [-0.00042555853724479675, -1.8183454812970012e-06, -0.0009577944874763489]
  2  Sc    0.447507  0.06636   0.072765  [-0.010077519342303276, -0.0002660835161805153, -0.044415272772312164]
  3  Sc    0.939736  0.566316  0.057181  [0.010228458791971207, 0.00022535922471433878, 0.045080795884132385]
  4  Dy    0.772187  0.066336  0.721987  [-0.0019825538620352745, -5.083291762275621e-05, -0.007320212200284004]
  5  Tl    0.300447  0.56634   0.778628  [0.00029724836349487305, -3.279093652963638e-05, 0.0003063976764678955]","DyScTl","('Dy', 'Sc', 'Tl')","0.0","0","# generated using pymatgen
data_DyScTl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.19965200
_cell_length_b   4.79221946
_cell_length_c   8.15056536
_cell_angle_alpha   89.99913331
_cell_angle_beta   104.92983683
_cell_angle_gamma   90.00111625
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyScTl
_chemical_formula_sum   'Dy2 Sc2 Tl2'
_cell_volume   158.49795710
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.61507118  0.56632255  0.40798477  1
  Tl  Tl1  1  0.08682621  0.06632553  0.35138037  1
  Sc  Sc2  1  0.44750748  0.06635953  0.07276460  1
  Sc  Sc3  1  0.93973623  0.56631570  0.05718147  1
  Dy  Dy4  1  0.77218743  0.06633576  0.72198719  1
  Tl  Tl5  1  0.30044739  0.56634049  0.77862754  1
"
"Full Formula (Cs4 Cd2)
Reduced Formula: Cs2Cd
abc   :   6.158390   9.486067   9.354028
angles: 119.257335  90.103846 108.882362
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Cs    0.02581   0.19543   0.534987  [0.004901682958006859, -0.001592614222317934, -0.007720693945884705]
  1  Cs    0.753069  0.64641   0.566068  [0.0003316216461826116, -0.0037804311141371727, -0.0077079590409994125]
  2  Cs    0.529868  0.199517  0.952147  [-0.0006889700889587402, 2.4868175387382507e-05, -0.009167023003101349]
  3  Cd    0.126957  0.390868  0.251995  [-0.0034222276881337166, 0.04458710551261902, 0.013378078117966652]
  4  Cs    0.303697  0.748766  0.113807  [0.00017528061289340258, 0.0012565944343805313, -0.004493060987442732]
  5  Cd    0.932371  0.004143  0.056569  [-0.0012973935808986425, -0.04049552232027054, 0.015710651874542236]","Cs2Cd","('Cd', 'Cs')","0.0","0","# generated using pymatgen
data_Cs2Cd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.15839000
_cell_length_b   9.48606693
_cell_length_c   9.35402839
_cell_angle_alpha   119.25733465
_cell_angle_beta   90.10384590
_cell_angle_gamma   108.88236171
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2Cd
_chemical_formula_sum   'Cs4 Cd2'
_cell_volume   442.53494214
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.02581015  0.19543015  0.53498725  1
  Cs  Cs1  1  0.75306890  0.64640991  0.56606759  1
  Cs  Cs2  1  0.52986838  0.19951699  0.95214688  1
  Cd  Cd3  1  0.12695660  0.39086821  0.25199468  1
  Cs  Cs4  1  0.30369657  0.74876618  0.11380708  1
  Cd  Cd5  1  0.93237109  0.00414302  0.05656899  1
"
"Full Formula (Mg6 Sn1 Pb2)
Reduced Formula: Mg6SnPb2
abc   :   3.466136   8.614789   8.611425
angles: 119.914393  89.969084  89.943142
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Mg    0.224806  0.796197  0.138744  [0.0009825511369854212, 0.0034067435190081596, 0.007560244761407375]
  1  Mg    0.225029  0.086344  0.721414  [-0.001624363474547863, -0.003926655277609825, -0.039647068828344345]
  2  Mg    0.725067  0.085121  0.063004  [-0.0017423253739252687, 0.005353265441954136, 0.0171126089990139]
  3  Mg    0.725658  0.450243  0.792844  [-0.0035581551492214203, -0.003100024536252022, 0.006786547601222992]
  4  Mg    0.224122  0.37641   0.428605  [-0.0004696236574091017, -0.024432692676782608, 0.012586869299411774]
  5  Mg    0.725489  0.721172  0.428795  [-0.002813922706991434, 0.00714605487883091, -0.0006223442032933235]
  6  Sn    0.723758  0.085572  0.429173  [0.005875790491700172, 0.008503356017172337, 0.003081487026065588]
  7  Pb    0.224576  0.751961  0.761818  [0.0017832380253821611, -0.0016695272643119097, 0.0023765272926539183]
  8  Pb    0.224853  0.41936   0.095971  [0.0015668406849727035, 0.008719504810869694, -0.009234849363565445]","Mg6SnPb2","('Mg', 'Pb', 'Sn')","0.041526230682321454","0","# generated using pymatgen
data_Mg6SnPb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.46613632
_cell_length_b   8.61478913
_cell_length_c   8.61142528
_cell_angle_alpha   119.91439347
_cell_angle_beta   89.96908390
_cell_angle_gamma   89.94314195
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg6SnPb2
_chemical_formula_sum   'Mg6 Sn1 Pb2'
_cell_volume   222.87914069
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.22480596  0.79619706  0.13874427  1
  Mg  Mg1  1  0.22502896  0.08634435  0.72141377  1
  Mg  Mg2  1  0.72506675  0.08512114  0.06300388  1
  Mg  Mg3  1  0.72565754  0.45024262  0.79284429  1
  Mg  Mg4  1  0.22412238  0.37641045  0.42860455  1
  Mg  Mg5  1  0.72548914  0.72117238  0.42879509  1
  Sn  Sn6  1  0.72375757  0.08557216  0.42917274  1
  Pb  Pb7  1  0.22457614  0.75196103  0.76181828  1
  Pb  Pb8  1  0.22485285  0.41935982  0.09597134  1
"
"Full Formula (Zr15 Be4 Al1)
Reduced Formula: Zr15Be4Al
abc   :   7.734494   9.096387   8.546598
angles: 115.915208  94.313939 124.469062
pbc   :       True       True       True
Sites (20)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Zr    0.265955  0.403886   0.561615  [0.010349668562412262, -0.006026560440659523, 0.010594426654279232]
  1  Zr    0.008844  0.556699   0.748398  [0.005746353417634964, 0.004735033959150314, -0.014521375298500061]
  2  Zr    0.179382  0.202497   0.819242  [0.011410247534513474, -0.0030428823083639145, 0.027468806132674217]
  3  Zr    0.35811   0.536879   0.272329  [-0.012449994683265686, 0.01326804980635643, 0.015776464715600014]
  4  Zr    0.470515  0.698296  -0.004447  [-0.0045361872762441635, -0.01955142617225647, 0.029984764754772186]
  5  Zr    0.517979  0.198661   0.669883  [-0.006861109286546707, 0.0037978775799274445, -0.025943327695131302]
  6  Zr    0.124904  0.724226   0.488256  [-0.015048950910568237, -0.01802407205104828, -0.04403373599052429]
  7  Zr    0.403305  0.056613   0.949695  [0.021898213773965836, 0.004046423360705376, -0.026411861181259155]
  8  Zr    0.276397  0.874002   0.224839  [-0.007681533694267273, 0.014226116240024567, -0.03810560703277588]
  9  Zr    0.585001  0.385878   0.411639  [-0.008736174553632736, 0.005386639386415482, -0.028376329690217972]
 10  Zr    0.832626  0.22755    0.241465  [-0.004434671252965927, -0.020149704068899155, 0.03324611485004425]
 11  Zr    0.032286  0.014681   0.113904  [0.005361292511224747, 0.00766640342772007, -0.004388622939586639]
 12  Be    0.926812  0.794524   0.737508  [0.009203322231769562, -0.008090643212199211, -0.0037428364157676697]
 13  Be    0.681215  0.595293   0.809504  [0.006296034902334213, 0.0037910733371973038, 0.007854558527469635]
 14  Zr    0.646173  0.880378   0.75209   [0.010303337126970291, -0.00552363321185112, 0.02388939820230007]
 15  Al    0.939607  0.373246   0.975818  [-0.008157684467732906, 0.0013366453349590302, 0.006946694105863571]
 16  Zr    0.729504  0.570355   0.122954  [-0.007207825779914856, -0.0007384419441223145, -0.010061735287308693]
 17  Be    0.823918  0.793593   0.497627  [-0.0011609643697738647, 0.0062230853363871574, 0.0012121088802814484]
 18  Be    0.089894  0.992776   0.430196  [-0.004018727689981461, -0.0010520704090595245, -0.005396433174610138]
 19  Zr    0.766669  0.040545   0.478889  [-0.0002745874226093292, 0.017722012475132942, 0.044008612632751465]","Zr15Be4Al","('Al', 'Be', 'Zr')","0.0443355527816563","0","# generated using pymatgen
data_Zr15Be4Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.73449438
_cell_length_b   9.09638709
_cell_length_c   8.54659836
_cell_angle_alpha   115.91520800
_cell_angle_beta   94.31393929
_cell_angle_gamma   124.46906182
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr15Be4Al
_chemical_formula_sum   'Zr15 Be4 Al1'
_cell_volume   401.48638124
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.26595486  0.40388588  0.56161485  1
  Zr  Zr1  1  0.00884425  0.55669930  0.74839770  1
  Zr  Zr2  1  0.17938162  0.20249673  0.81924176  1
  Zr  Zr3  1  0.35811016  0.53687946  0.27232863  1
  Zr  Zr4  1  0.47051488  0.69829564  -0.00444651  1
  Zr  Zr5  1  0.51797873  0.19866087  0.66988254  1
  Zr  Zr6  1  0.12490410  0.72422625  0.48825574  1
  Zr  Zr7  1  0.40330536  0.05661318  0.94969501  1
  Zr  Zr8  1  0.27639728  0.87400187  0.22483883  1
  Zr  Zr9  1  0.58500133  0.38587815  0.41163909  1
  Zr  Zr10  1  0.83262591  0.22754950  0.24146480  1
  Zr  Zr11  1  0.03228573  0.01468058  0.11390357  1
  Be  Be12  1  0.92681209  0.79452421  0.73750819  1
  Be  Be13  1  0.68121545  0.59529333  0.80950401  1
  Zr  Zr14  1  0.64617332  0.88037845  0.75208961  1
  Al  Al15  1  0.93960652  0.37324581  0.97581805  1
  Zr  Zr16  1  0.72950363  0.57035484  0.12295378  1
  Be  Be17  1  0.82391792  0.79359329  0.49762658  1
  Be  Be18  1  0.08989448  0.99277597  0.43019576  1
  Zr  Zr19  1  0.76666876  0.04054537  0.47888923  1
"
"Full Formula (Tb4 Cd3)
Reduced Formula: Tb4Cd3
abc   :   3.742697   3.743329  14.088594
angles:  97.636488  97.629666  89.997957
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Tb    0.177734  0.444814  0.011968  [0.004987189546227455, 0.003638431429862976, 0.015845168381929398]
  1  Cd    0.883486  0.150702  0.423154  [0.0006727366708219051, 0.0011782750952988863, 0.004923559725284576]
  2  Tb    0.452722  0.720257  0.561752  [0.0025097932666540146, 0.0002835988998413086, 0.011155009269714355]
  3  Tb    0.040222  0.307132  0.735937  [-0.0019211797043681145, -0.001356535591185093, -0.007136113941669464]
  4  Cd    0.609767  0.876349  0.874786  [-0.003192364005371928, -0.0011304751969873905, -0.009811585769057274]
  5  Tb    0.314834  0.581996  0.285772  [-0.0019078666809946299, -0.0019481577910482883, -0.013564325869083405]
  6  Cd    0.746501  0.013521  0.148953  [-0.0011483421549201012, -0.0006651420844718814, -0.00141166674438864]","Tb4Cd3","('Cd', 'Tb')","0.0","0","# generated using pymatgen
data_Tb4Cd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.74269655
_cell_length_b   3.74332935
_cell_length_c   14.08859366
_cell_angle_alpha   97.63648811
_cell_angle_beta   97.62966582
_cell_angle_gamma   89.99795701
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb4Cd3
_chemical_formula_sum   'Tb4 Cd3'
_cell_volume   193.86958249
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.17773412  0.44481394  0.01196828  1
  Cd  Cd1  1  0.88348556  0.15070173  0.42315357  1
  Tb  Tb2  1  0.45272156  0.72025727  0.56175194  1
  Tb  Tb3  1  0.04022225  0.30713173  0.73593681  1
  Cd  Cd4  1  0.60976655  0.87634876  0.87478579  1
  Tb  Tb5  1  0.31483424  0.58199600  0.28577242  1
  Cd  Cd6  1  0.74650060  0.01352145  0.14895280  1
"
"Full Formula (Sm6 Sc2 In2)
Reduced Formula: Sm3ScIn
abc   :   4.848335   6.951318   9.188645
angles: 100.940858 105.299136  89.997859
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Sm    0.027543  0.424582  0.185128  [-0.000947840977460146, -0.04943922162055969, -0.0015084072947502136]
  1  In    0.432747  0.640318  0.996178  [0.0014279941096901894, 0.0025839493609964848, 0.007507679983973503]
  2  Sm    0.83669   0.84826   0.804898  [0.004772216081619263, 0.015556148253381252, 0.014453812502324581]
  3  Sm    0.229715  0.532262  0.59016   [-0.0005870508030056953, -0.021940480917692184, -0.0014148307964205742]
  4  Sm    0.633622  0.741127  0.39874   [0.0013214433565735817, 0.029879150912165642, 0.002300744876265526]
  5  Sm    0.034276  0.947903  0.199219  [-0.0030660477932542562, 0.0315043181180954, -0.010833105072379112]
  6  Sm    0.835266  0.334046  0.801422  [0.00011971592903137207, 0.0011534467339515686, 0.00010744854807853699]
  7  Sc    0.438034  0.138559  0.00666   [-0.0020898976363241673, 0.010316399857401848, -0.006365993991494179]
  8  Sc    0.637272  0.235259  0.405202  [-0.003812978509813547, -0.016309019178152084, -0.012724209576845169]
  9  In    0.235597  0.046233  0.602308  [0.0028624609112739563, -0.003304706886410713, 0.008476881310343742]","Sm3ScIn","('In', 'Sc', 'Sm')","0.0","0","# generated using pymatgen
data_Sm3ScIn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.84833496
_cell_length_b   6.95131780
_cell_length_c   9.18864524
_cell_angle_alpha   100.94085843
_cell_angle_beta   105.29913626
_cell_angle_gamma   89.99785927
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm3ScIn
_chemical_formula_sum   'Sm6 Sc2 In2'
_cell_volume   292.86497696
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.02754291  0.42458214  0.18512814  1
  In  In1  1  0.43274742  0.64031777  0.99617768  1
  Sm  Sm2  1  0.83669030  0.84825970  0.80489834  1
  Sm  Sm3  1  0.22971539  0.53226202  0.59016050  1
  Sm  Sm4  1  0.63362223  0.74112696  0.39874042  1
  Sm  Sm5  1  0.03427556  0.94790346  0.19921891  1
  Sm  Sm6  1  0.83526567  0.33404586  0.80142169  1
  Sc  Sc7  1  0.43803435  0.13855883  0.00665953  1
  Sc  Sc8  1  0.63727241  0.23525874  0.40520241  1
  In  In9  1  0.23559670  0.04623261  0.60230801  1
"
"Full Formula (Ce4 C2 Cl2)
Reduced Formula: Ce2CCl
abc   :   3.688804   3.688734  14.207086
angles:  89.999166  89.994650 119.988144
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ce    0.913919  0.628165  0.335934  [-0.0013992339372634888, -0.0011748261749744415, 0.03260907530784607]
  1  Ce    0.913397  0.628044  0.643803  [0.0023039430379867554, 0.0031101147178560495, -0.036261409521102905]
  2  Ce    0.247238  0.295272  0.837402  [-0.0005308067193254828, -0.00245557795278728, -0.003010660409927368]
  3  C     0.580505  0.961913  0.740699  [-0.0007814259734004736, -0.003413868835195899, -0.012420863844454288]
  4  Ce    0.247137  0.294685  0.142353  [-4.33801906183362e-05, 0.0019062487408518791, -0.0004223287105560303]
  5  Cl    0.913749  0.628054  0.989785  [-0.0005299155600368977, 0.0016010890249162912, 0.004128598608076572]
  6  Cl    0.246674  0.294275  0.489714  [0.0007616153452545404, 0.002515695756301284, 0.006903880275785923]
  7  C     0.580584  0.96158   0.239079  [0.0002192491665482521, -0.002088777720928192, 0.00847390666604042]","Ce2CCl","('C', 'Ce', 'Cl')","0.01909880867755479","0","# generated using pymatgen
data_Ce2CCl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.68880417
_cell_length_b   3.68873380
_cell_length_c   14.20708628
_cell_angle_alpha   89.99916575
_cell_angle_beta   89.99464969
_cell_angle_gamma   119.98814446
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce2CCl
_chemical_formula_sum   'Ce4 C2 Cl2'
_cell_volume   167.43661398
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.91391901  0.62816477  0.33593381  1
  Ce  Ce1  1  0.91339670  0.62804378  0.64380269  1
  Ce  Ce2  1  0.24723753  0.29527223  0.83740207  1
  C  C3  1  0.58050469  0.96191253  0.74069888  1
  Ce  Ce4  1  0.24713729  0.29468524  0.14235255  1
  Cl  Cl5  1  0.91374936  0.62805398  0.98978469  1
  Cl  Cl6  1  0.24667432  0.29427505  0.48971354  1
  C  C7  1  0.58058430  0.96158042  0.23907893  1
"
"Full Formula (Er6 Zn2)
Reduced Formula: Er3Zn
abc   :   5.247786   6.361231   6.494629
angles: 101.702026  89.999827  89.999658
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Zn    0.318622  0.350697  0.313133  [5.6738779676379636e-05, -0.020593583583831787, 0.005092643201351166]
  1  Er    0.318648  0.545147  0.771631  [-0.00011974945664405823, -0.0008584223687648773, -0.0006410963833332062]
  2  Er    0.318603  0.070301  0.88328   [0.0002203914918936789, 0.004144787788391113, -0.02249257266521454]
  3  Zn    0.818633  0.950185  0.108719  [-2.7297799533698708e-05, 0.02100813388824463, -0.005117983557283878]
  4  Er    0.818646  0.755764  0.650222  [-0.0001075459731509909, 0.001066712662577629, 0.0007794387638568878]
  5  Er    0.818632  0.230624  0.538556  [9.17076613404788e-06, -0.003920160233974457, 0.02293190360069275]
  6  Er    0.318629  0.845159  0.321015  [2.3688189685344696e-05, -0.00213593989610672, -0.013447746634483337]
  7  Er    0.818636  0.455877  0.100899  [-5.540158599615097e-05, 0.0012884140014648438, 0.012895308434963226]","Er3Zn","('Er', 'Zn')","0.0","0","# generated using pymatgen
data_Er3Zn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.24778551
_cell_length_b   6.36123069
_cell_length_c   6.49462902
_cell_angle_alpha   101.70202606
_cell_angle_beta   89.99982698
_cell_angle_gamma   89.99965754
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Er3Zn
_chemical_formula_sum   'Er6 Zn2'
_cell_volume   212.29995963
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.31862198  0.35069659  0.31313296  1
  Er  Er1  1  0.31864802  0.54514693  0.77163087  1
  Er  Er2  1  0.31860264  0.07030076  0.88327965  1
  Zn  Zn3  1  0.81863307  0.95018511  0.10871916  1
  Er  Er4  1  0.81864571  0.75576412  0.65022193  1
  Er  Er5  1  0.81863192  0.23062426  0.53855570  1
  Er  Er6  1  0.31862867  0.84515928  0.32101474  1
  Er  Er7  1  0.81863588  0.45587663  0.10089908  1
"
"Full Formula (Sm2 Y5 Sc5)
Reduced Formula: Sm2(YSc)5
abc   :   5.976792   7.073194   9.283907
angles: 113.776021  92.164816  88.414304
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Sc    0.844366  0.429835  0.68706   [0.00646594911813736, -0.01090582087635994, -0.02072463184595108]
  1  Sm    0.675667  0.353623  0.034002  [0.005757387727499008, 0.0015405155718326569, 0.008497375063598156]
  2  Sc    0.498912  0.766065  0.368181  [-0.007082726806402206, 0.013178909197449684, 0.009098393842577934]
  3  Sm    0.168563  0.602898  0.035523  [-0.002376462332904339, 0.014233913272619247, 0.001610306091606617]
  4  Y     0.506963  0.270606  0.370701  [-0.005207338370382786, -0.0012334920465946198, 0.012298661284148693]
  5  Sc    0.009467  0.519129  0.372364  [0.006085646338760853, -0.00021897628903388977, 0.021595580503344536]
  6  Y     0.33482   0.178582  0.689542  [0.00036486401222646236, -0.00876725371927023, -0.020316941663622856]
  7  Y     0.67052   0.845284  0.029507  [-0.0006452843081206083, -0.0007765553891658783, -0.0036084959283471107]
  8  Y     0.168452  0.097877  0.034987  [-0.0018080086447298527, -0.005184645298868418, 0.008287901990115643]
  9  Sc    0.334513  0.676945  0.689231  [0.0013726353645324707, -0.004956454038619995, -0.018408574163913727]
 10  Sc    0.000511  0.015773  0.368565  [-0.008111323229968548, 0.011131111532449722, 0.009281398728489876]
 11  Y     0.836382  0.922215  0.685759  [0.00518465181812644, -0.008041255176067352, -0.007610980421304703]","Sm2(YSc)5","('Sc', 'Sm', 'Y')","0.030053548920783157","0","# generated using pymatgen
data_Sm2(YSc)5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.97679177
_cell_length_b   7.07319374
_cell_length_c   9.28390725
_cell_angle_alpha   113.77602093
_cell_angle_beta   92.16481608
_cell_angle_gamma   88.41430398
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2(YSc)5
_chemical_formula_sum   'Sm2 Y5 Sc5'
_cell_volume   358.87753165
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.84436596  0.42983472  0.68705956  1
  Sm  Sm1  1  0.67566709  0.35362338  0.03400243  1
  Sc  Sc2  1  0.49891182  0.76606475  0.36818146  1
  Sm  Sm3  1  0.16856340  0.60289836  0.03552349  1
  Y  Y4  1  0.50696318  0.27060641  0.37070125  1
  Sc  Sc5  1  0.00946724  0.51912860  0.37236361  1
  Y  Y6  1  0.33482036  0.17858217  0.68954219  1
  Y  Y7  1  0.67052022  0.84528396  0.02950693  1
  Y  Y8  1  0.16845233  0.09787653  0.03498673  1
  Sc  Sc9  1  0.33451289  0.67694536  0.68923122  1
  Sc  Sc10  1  0.00051139  0.01577335  0.36856497  1
  Y  Y11  1  0.83638225  0.92221465  0.68575863  1
"
