"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Na6 Sr1)
Reduced Formula: Na6Sr
abc   :   5.384039   5.355006  10.248341
angles: 105.150228  90.006262  89.991587
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Na    0.328376  0.039834  0.831628  [0.0005212700343690813, 0.004603898618370295, 0.022866034880280495]
  1  Na    0.328817  0.27372   0.299278  [-0.0009347934974357486, 0.003971748054027557, 0.01701793074607849]
  2  Na    0.828555  0.537633  0.828384  [-0.00043086393270641565, 0.002579672262072563, 0.003373933956027031]
  3  Na    0.328388  0.666704  0.085591  [0.0004984823754057288, -0.004912732169032097, -0.021649496629834175]
  4  Sr    0.828337  0.853333  0.458803  [0.0013412320986390114, -0.0002938988618552685, -0.0007131071761250496]
  5  Na    0.828691  0.168589  0.088921  [-0.0005332614528015256, -0.0018673213198781013, -0.0029368605464696884]
  6  Na    0.328552  0.4329    0.618174  [-0.00046205363469198346, -0.004081368912011385, -0.01795845665037632]","Na6Sr","('Na', 'Sr')","0.0","0","# generated using pymatgen
data_Na6Sr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.38403859
_cell_length_b   5.35500618
_cell_length_c   10.24834079
_cell_angle_alpha   105.15022819
_cell_angle_beta   90.00626248
_cell_angle_gamma   89.99158705
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na6Sr
_chemical_formula_sum   'Na6 Sr1'
_cell_volume   285.20606290
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.32837588  0.03983369  0.83162773  1
  Na  Na1  1  0.32881679  0.27372031  0.29927762  1
  Na  Na2  1  0.82855485  0.53763297  0.82838395  1
  Na  Na3  1  0.32838773  0.66670363  0.08559062  1
  Sr  Sr4  1  0.82833654  0.85333273  0.45880279  1
  Na  Na5  1  0.82869147  0.16858899  0.08892117  1
  Na  Na6  1  0.32855200  0.43289957  0.61817397  1
"
"Full Formula (Mn3 Ni5 Ge4)
Reduced Formula: Mn3Ni5Ge4
abc   :   4.074083   4.073945  10.434471
angles:  90.001957  90.000133 119.993254
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ni    0.025797  0.190273  0.076245  [-0.0030180811882019043, -0.00325017049908638, -0.04592210054397583]
  1  Mn    0.3586    0.856685  0.698558  [-0.0002707536914385855, 0.0016970336437225342, -0.0028979319613426924]
  2  Ni    0.692012  0.523484  0.826214  [0.0032302765175700188, -0.0016571760643273592, 0.00537911057472229]
  3  Mn    0.358566  0.856718  0.446812  [0.0023772476706653833, -0.00044406013330444694, 0.01564701646566391]
  4  Ni    0.692023  0.52332   0.320704  [0.004415081813931465, 0.00045698281610384583, 0.04914373159408569]
  5  Ge    0.692359  0.523524  0.076883  [-0.0006607756367884576, 0.001929815742187202, 0.01469893753528595]
  6  Mn    0.3588    0.856814  0.950164  [0.0018374683568254113, 0.0004176687798462808, -0.007273830473423004]
  7  Ni    0.358962  0.856785  0.198515  [-0.0006373783107846975, -4.754052497446537e-05, -0.0010989182628691196]
  8  Ge    0.025431  0.190102  0.824534  [-0.00332193193025887, 0.0008905656868591905, 0.006852209568023682]
  9  Ge    0.02551   0.18997   0.320267  [-0.0063467733561992645, 0.000897285295650363, -0.018509171903133392]
 10  Ge    0.691824  0.523417  0.572684  [0.0036301666405051947, -0.0006032640812918544, -0.010639358311891556]
 11  Ni    0.02523   0.190076  0.570774  [-0.0012345723807811737, -0.0002871910692192614, -0.005379755049943924]","Mn3Ni5Ge4","('Ge', 'Mn', 'Ni')","0.07352109604485049","0","# generated using pymatgen
data_Mn3Ni5Ge4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.07408284
_cell_length_b   4.07394465
_cell_length_c   10.43447090
_cell_angle_alpha   90.00195724
_cell_angle_beta   90.00013340
_cell_angle_gamma   119.99325435
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn3Ni5Ge4
_chemical_formula_sum   'Mn3 Ni5 Ge4'
_cell_volume   149.99457768
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.02579682  0.19027261  0.07624533  1
  Mn  Mn1  1  0.35859980  0.85668468  0.69855795  1
  Ni  Ni2  1  0.69201197  0.52348354  0.82621379  1
  Mn  Mn3  1  0.35856645  0.85671752  0.44681219  1
  Ni  Ni4  1  0.69202257  0.52332048  0.32070385  1
  Ge  Ge5  1  0.69235853  0.52352388  0.07688321  1
  Mn  Mn6  1  0.35879970  0.85681431  0.95016401  1
  Ni  Ni7  1  0.35896238  0.85678494  0.19851457  1
  Ge  Ge8  1  0.02543097  0.19010205  0.82453421  1
  Ge  Ge9  1  0.02550986  0.18996977  0.32026666  1
  Ge  Ge10  1  0.69182407  0.52341660  0.57268424  1
  Ni  Ni11  1  0.02523047  0.19007571  0.57077404  1
"
"Full Formula (Li1 Y1 In5)
Reduced Formula: LiYIn5
abc   :   4.684634   4.684347   7.753448
angles:  89.994366  89.986809  89.997247
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  In    0.971923  0.355165  0.544485  [-0.0014478807570412755, -0.0009111278923228383, -0.036424990743398666]
  1  Li    0.971114  0.855036  0.34163   [0.0016125045949593186, 0.0004981522215530276, -0.002920460421591997]
  2  In    0.471269  0.854969  0.138338  [0.0012786085717380047, 0.00014384575479198247, 0.03810727223753929]
  3  In    0.471327  0.85516   0.544554  [0.0011824292596429586, -6.716401549056172e-05, -0.03763032332062721]
  4  In    0.971727  0.355011  0.138365  [-0.0011042517144232988, 0.00022604747209697962, 0.037404805421829224]
  5  In    0.471888  0.355049  0.841031  [-0.0014271419495344162, 0.00016685202717781067, 0.00360002345405519]
  6  Y     0.971541  0.855081  0.841549  [-9.423494338989258e-05, -5.660206079483032e-05, -0.002136336173862219]","LiYIn5","('In', 'Li', 'Y')","0.0021344222015108488","0","# generated using pymatgen
data_LiYIn5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.68463354
_cell_length_b   4.68434699
_cell_length_c   7.75344825
_cell_angle_alpha   89.99436606
_cell_angle_beta   89.98680905
_cell_angle_gamma   89.99724740
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiYIn5
_chemical_formula_sum   'Li1 Y1 In5'
_cell_volume   170.14514438
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.97192279  0.35516531  0.54448521  1
  Li  Li1  1  0.97111439  0.85503612  0.34163020  1
  In  In2  1  0.47126934  0.85496891  0.13833842  1
  In  In3  1  0.47132703  0.85516015  0.54455411  1
  In  In4  1  0.97172732  0.35501142  0.13836522  1
  In  In5  1  0.47188791  0.35504876  0.84103119  1
  Y  Y6  1  0.97154067  0.85508087  0.84154859  1
"
"Full Formula (Dy1 Hf1 Tl2 S4)
Reduced Formula: DyHf(TlS2)2
abc   :   3.791638   6.683980   8.312878
angles: 104.631224  90.009225  89.998948
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Dy    0.923385  0.333647  0.98359   [-0.0004809657111763954, 0.0016513234004378319, 0.00202442379668355]
  1  Tl    0.92333   0.833356  0.483379  [3.3217016607522964e-05, 0.00025334313977509737, -0.0011702703777700663]
  2  Tl    0.423295  0.333484  0.483922  [8.64303729031235e-05, 0.0002666846849024296, -0.001534684095531702]
  3  S     0.923392  0.041476  0.162462  [0.0006803516298532486, 0.02137485146522522, 0.010222911834716797]
  4  S     0.923307  0.625784  0.804614  [0.00011812709271907806, -0.023509681224822998, -0.010489404201507568]
  5  S     0.423456  0.57873   0.168193  [-0.0006083033513277769, 0.024163782596588135, 0.016795337200164795]
  6  S     0.42327   0.088526  0.798998  [0.0009602001518942416, -0.021411530673503876, -0.022878944873809814]
  7  Hf    0.423403  0.833699  0.98348   [-0.0007892139256000519, -0.0027889078482985497, 0.0070303683169186115]","DyHf(TlS2)2","('Dy', 'Hf', 'S', 'Tl')","0.0","0","# generated using pymatgen
data_DyHf(TlS2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.79163821
_cell_length_b   6.68398034
_cell_length_c   8.31287783
_cell_angle_alpha   104.63122398
_cell_angle_beta   90.00922486
_cell_angle_gamma   89.99894832
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyHf(TlS2)2
_chemical_formula_sum   'Dy1 Hf1 Tl2 S4'
_cell_volume   203.84336762
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.92338545  0.33364692  0.98358985  1
  Tl  Tl1  1  0.92333033  0.83335561  0.48337878  1
  Tl  Tl2  1  0.42329457  0.33348448  0.48392171  1
  S  S3  1  0.92339243  0.04147583  0.16246190  1
  S  S4  1  0.92330684  0.62578409  0.80461383  1
  S  S5  1  0.42345594  0.57873047  0.16819300  1
  S  S6  1  0.42327033  0.08852606  0.79899791  1
  Hf  Hf7  1  0.42340299  0.83369880  0.98348001  1
"
"Full Formula (Ba4 Al6)
Reduced Formula: Ba2Al3
abc   :   6.492170   6.639274   9.332519
angles:  68.555171  69.657839  60.751483
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ba    0.423532  0.875508  0.754182  [-0.0009697889909148216, 0.004520658403635025, 0.004133932292461395]
  1  Ba    0.802716  0.806318  0.064927  [0.0017524221912026405, -0.007248051464557648, -0.007165834307670593]
  2  Al    0.33097   0.840952  0.40942   [-0.021518999710679054, -0.002660715952515602, -0.003556536976248026]
  3  Al    0.113761  0.090024  0.159285  [-0.002961079590022564, 0.0023417090997099876, -0.002106072846800089]
  4  Al    0.113422  0.590468  0.659411  [0.00029365456430241466, -5.0020404160022736e-05, 0.0014128534821793437]
  5  Ba    0.802585  0.306588  0.564862  [0.0010056504979729652, -0.00959218293428421, -0.006822600960731506]
  6  Ba    0.423553  0.37511   0.25427   [0.001027749851346016, 0.005874268710613251, 0.004930797964334488]
  7  Al    0.89549   0.840411  0.409502  [0.02091045491397381, 0.005167755763977766, 0.008353074081242085]
  8  Al    0.330959  0.341038  0.909618  [-0.020596753805875778, -0.00014705941430293024, -0.009807698428630829]
  9  Al    0.895327  0.340637  0.909474  [0.021056678146123886, 0.001793635543435812, 0.010628072544932365]","Ba2Al3","('Al', 'Ba')","0.050280990049530114","0","# generated using pymatgen
data_Ba2Al3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.49217022
_cell_length_b   6.63927365
_cell_length_c   9.33251877
_cell_angle_alpha   68.55517085
_cell_angle_beta   69.65783880
_cell_angle_gamma   60.75148282
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2Al3
_chemical_formula_sum   'Ba4 Al6'
_cell_volume   319.52803467
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.42353191  0.87550845  0.75418184  1
  Ba  Ba1  1  0.80271586  0.80631842  0.06492734  1
  Al  Al2  1  0.33096959  0.84095230  0.40941975  1
  Al  Al3  1  0.11376074  0.09002429  0.15928502  1
  Al  Al4  1  0.11342244  0.59046829  0.65941063  1
  Ba  Ba5  1  0.80258466  0.30658835  0.56486198  1
  Ba  Ba6  1  0.42355266  0.37511005  0.25426953  1
  Al  Al7  1  0.89549048  0.84041083  0.40950180  1
  Al  Al8  1  0.33095880  0.34103825  0.90961793  1
  Al  Al9  1  0.89532678  0.34063661  0.90947408  1
"
"Full Formula (Eu2 Pt3 Au1)
Reduced Formula: Eu2Pt3Au
abc   :   5.573259   5.573210   5.573228
angles:  60.008866  60.008032  60.008592
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Pt    0.388451  0.552883  0.643073  [0.0012955754064023495, -0.0012848188634961843, -0.0010948474518954754]
  1  Eu    0.011347  0.675754  0.265802  [0.02023386023938656, 0.014199592173099518, 0.037015363574028015]
  2  Pt    0.388465  0.052906  0.14307   [0.0006743893027305603, -0.0006212260341271758, -0.0022761146537959576]
  3  Au    0.38848   0.052877  0.643019  [9.289872832596302e-05, 0.0006966772489249706, 0.0013392113614827394]
  4  Pt    0.888493  0.052813  0.643021  [-0.0009606630774214864, 0.001867392798885703, 0.0006955340504646301]
  5  Eu    0.765657  0.430049  0.020119  [-0.021336063742637634, -0.014857608824968338, -0.035679131746292114]","Eu2Pt3Au","('Au', 'Eu', 'Pt')","0.0","0","# generated using pymatgen
data_Eu2Pt3Au
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.57325931
_cell_length_b   5.57321012
_cell_length_c   5.57322778
_cell_angle_alpha   60.00886558
_cell_angle_beta   60.00803238
_cell_angle_gamma   60.00859193
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Eu2Pt3Au
_chemical_formula_sum   'Eu2 Pt3 Au1'
_cell_volume   122.43063797
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.38845112  0.55288288  0.64307261  1
  Eu  Eu1  1  0.01134744  0.67575363  0.26580170  1
  Pt  Pt2  1  0.38846488  0.05290557  0.14307006  1
  Au  Au3  1  0.38847970  0.05287721  0.64301885  1
  Pt  Pt4  1  0.88849287  0.05281319  0.64302063  1
  Eu  Eu5  1  0.76565684  0.43004946  0.02011894  1
"
"Full Formula (Tm8 Al9 Ni1)
Reduced Formula: Tm8Al9Ni
abc   :   4.465571   8.561079  10.644077
angles:  84.716404  89.999832 105.118109
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Al    0.998496  0.035409  0.685914  [-3.8673970266245306e-06, 0.003217168152332306, 0.0013032779097557068]
  1  Al    0.869671  0.777903  0.535336  [0.00034851650707423687, 0.010287225246429443, 0.006262540817260742]
  2  Tm    0.501204  0.040926  0.486665  [7.728609489277005e-05, 0.012959852814674377, -0.010763132944703102]
  3  Tm    0.313356  0.665294  0.367493  [2.611801028251648e-05, 0.01810319907963276, 0.011960383504629135]
  4  Tm    0.813374  0.665153  0.854085  [-0.00038040627259761095, 0.00348015408962965, -0.01577230542898178]
  5  Al    0.754405  0.547378  0.209663  [0.00010395674325991422, -0.003672771155834198, 0.0452316515147686]
  6  Tm    0.258019  0.554515  0.650582  [-5.6934470194391906e-05, -0.009412959218025208, -0.0015193969011306763]
  7  Tm    0.125985  0.29054   0.261223  [0.00020346335077192634, -0.005399838089942932, 0.020043309777975082]
  8  Al    0.187429  0.413197  0.923963  [-0.00045672018313780427, -0.006167694926261902, -0.010517612099647522]
  9  Al    0.691407  0.421414  0.464245  [0.0002878438390325755, 0.01544981263577938, 0.02091936022043228]
 10  Tm    0.344077  0.726676  0.067713  [0.00018530864326748997, -0.03441885858774185, -0.0047559067606925964]
 11  Al    0.500946  0.040495  0.195069  [0.0003940898459404707, -0.007364239543676376, -0.024715974926948547]
 12  Tm    0.005985  0.050402  0.980635  [-0.00020102414418943226, -0.0061217546463012695, -0.012365680187940598]
 13  Al    0.435489  0.909382  0.798542  [-0.000241874746279791, -0.007021747995167971, -0.010701648890972137]
 14  Ni    0.12187   0.282343  0.528429  [0.00013556916383095086, -0.005541212856769562, 0.0015706000849604607]
 15  Al    0.640588  0.319526  0.042115  [-0.00025381683371961117, 0.0393170565366745, 0.01844324916601181]
 16  Tm    0.615084  0.268515  0.748459  [-0.00042596831917762756, -0.00460311584174633, 0.012110203504562378]
 17  Al    0.924427  0.88747   0.263475  [0.00025852862745523453, -0.013090170919895172, -0.04673302546143532]","Tm8Al9Ni","('Al', 'Ni', 'Tm')","0.006150842762354384","0","# generated using pymatgen
data_Tm8Al9Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.46557088
_cell_length_b   8.56107911
_cell_length_c   10.64407677
_cell_angle_alpha   84.71640431
_cell_angle_beta   89.99983242
_cell_angle_gamma   105.11810897
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm8Al9Ni
_chemical_formula_sum   'Tm8 Al9 Ni1'
_cell_volume   391.04936169
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.99849553  0.03540930  0.68591414  1
  Al  Al1  1  0.86967061  0.77790298  0.53533621  1
  Tm  Tm2  1  0.50120355  0.04092565  0.48666524  1
  Tm  Tm3  1  0.31335607  0.66529405  0.36749307  1
  Tm  Tm4  1  0.81337425  0.66515313  0.85408469  1
  Al  Al5  1  0.75440488  0.54737800  0.20966319  1
  Tm  Tm6  1  0.25801948  0.55451544  0.65058235  1
  Tm  Tm7  1  0.12598529  0.29053961  0.26122253  1
  Al  Al8  1  0.18742903  0.41319685  0.92396340  1
  Al  Al9  1  0.69140656  0.42141356  0.46424480  1
  Tm  Tm10  1  0.34407728  0.72667641  0.06771281  1
  Al  Al11  1  0.50094567  0.04049526  0.19506930  1
  Tm  Tm12  1  0.00598510  0.05040206  0.98063506  1
  Al  Al13  1  0.43548867  0.90938236  0.79854247  1
  Ni  Ni14  1  0.12186966  0.28234319  0.52842867  1
  Al  Al15  1  0.64058766  0.31952553  0.04211545  1
  Tm  Tm16  1  0.61508361  0.26851473  0.74845947  1
  Al  Al17  1  0.92442723  0.88746994  0.26347499  1
"
"Full Formula (Na2 Ga3 Ag5)
Reduced Formula: Na2Ga3Ag5
abc   :   2.973435   5.995525  11.350387
angles:  89.957379  90.027332 104.361640
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ag    0.495843  0.942505  0.022776  [-0.0012079457519575953, 0.005354262888431549, 0.0019535403698682785]
  1  Ag    0.302228  0.556592  0.500968  [-0.0003613075241446495, 0.01174444891512394, 0.010799301788210869]
  2  Ag    0.648916  0.249427  0.661744  [-0.00042100128484889865, -0.03472258150577545, 0.010127240791916847]
  3  Na    0.89156   0.735761  0.260368  [0.0002574217796791345, 0.001591031439602375, 0.0013815425336360931]
  4  Ga    0.152705  0.255885  0.160979  [-0.001183207961730659, -0.036122728139162064, 0.0004724934697151184]
  5  Na    0.390218  0.731669  0.763287  [-0.00020230301015544683, -0.017557578161358833, 0.012581855989992619]
  6  Ga    0.997897  0.948302  0.521951  [6.73715621815063e-05, 0.0309501513838768, -0.038954950869083405]
  7  Ga    0.131155  0.214485  0.864785  [0.0004946122062392533, 0.037604380398988724, 0.0026927143335342407]
  8  Ag    0.627829  0.208911  0.363234  [0.0011546260211616755, -0.00666094571352005, 0.0012611299753189087]
  9  Ag    0.786533  0.525116  0.002024  [0.0014017350040376186, 0.00781954824924469, -0.0023148665204644203]","Na2Ga3Ag5","('Ag', 'Ga', 'Na')","0.0","0","# generated using pymatgen
data_Na2Ga3Ag5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.97343491
_cell_length_b   5.99552496
_cell_length_c   11.35038721
_cell_angle_alpha   89.95737910
_cell_angle_beta   90.02733175
_cell_angle_gamma   104.36164002
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2Ga3Ag5
_chemical_formula_sum   'Na2 Ga3 Ag5'
_cell_volume   196.02328158
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.49584260  0.94250508  0.02277639  1
  Ag  Ag1  1  0.30222801  0.55659215  0.50096805  1
  Ag  Ag2  1  0.64891620  0.24942657  0.66174429  1
  Na  Na3  1  0.89155987  0.73576097  0.26036775  1
  Ga  Ga4  1  0.15270478  0.25588478  0.16097876  1
  Na  Na5  1  0.39021849  0.73166945  0.76328719  1
  Ga  Ga6  1  0.99789679  0.94830169  0.52195066  1
  Ga  Ga7  1  0.13115546  0.21448523  0.86478482  1
  Ag  Ag8  1  0.62782861  0.20891108  0.36323386  1
  Ag  Ag9  1  0.78653306  0.52511574  0.00202420  1
"
"Full Formula (Sr2 Li2 Bi2 O6)
Reduced Formula: SrLiBiO3
abc   :   3.554223   7.838090   6.788835
angles:  97.668672  89.992978 103.099338
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  O     0.111511  0.764026  0.593297  [-0.0012426823377609253, 0.009939707815647125, 0.02459321916103363]
  1  Bi    0.620868  0.78056   0.841441  [0.0019139843061566353, 0.002195000648498535, 0.02016976848244667]
  2  O     0.127923  0.796835  0.084062  [-0.0014856953639537096, -0.03619270771741867, 0.02109367400407791]
  3  Bi    0.894476  0.328898  0.579745  [-5.774199962615967e-06, -0.01704588532447815, 0.005230911076068878]
  4  Sr    0.572748  0.685974  0.322278  [-0.0006573443533852696, -0.01748839020729065, 0.02431236021220684]
  5  Li    0.241335  0.022505  0.642434  [0.00019424420315772295, 0.004783183336257935, -0.0010751783847808838]
  6  O     0.318607  0.176967  0.44898   [0.00022873771376907825, -0.018091678619384766, -0.017684459686279297]
  7  Sr    0.337373  0.214641  0.084618  [0.00015303166583180428, 0.026183858513832092, 7.408531382679939e-05]
  8  Li    0.991388  0.522649  0.002713  [0.00024518370628356934, 0.010521471500396729, -0.014490053057670593]
  9  O     0.790386  0.120591  0.799848  [0.00023536302614957094, 0.020292147994041443, -0.005679219961166382]
 10  O     0.94302   0.426019  0.248579  [0.00016646445146761835, 0.009154165163636208, -0.01556520164012909]
 11  O     0.47563   0.491031  0.875858  [0.00025453511625528336, 0.005749017000198364, -0.04097973555326462]","SrLiBiO3","('Bi', 'Li', 'O', 'Sr')","0.0","0","# generated using pymatgen
data_SrLiBiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.55422293
_cell_length_b   7.83809036
_cell_length_c   6.78883481
_cell_angle_alpha   97.66867222
_cell_angle_beta   89.99297799
_cell_angle_gamma   103.09933779
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrLiBiO3
_chemical_formula_sum   'Sr2 Li2 Bi2 O6'
_cell_volume   182.46785213
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.11151131  0.76402578  0.59329744  1
  Bi  Bi1  1  0.62086793  0.78055976  0.84144144  1
  O  O2  1  0.12792307  0.79683457  0.08406223  1
  Bi  Bi3  1  0.89447591  0.32889755  0.57974461  1
  Sr  Sr4  1  0.57274767  0.68597399  0.32227819  1
  Li  Li5  1  0.24133518  0.02250539  0.64243365  1
  O  O6  1  0.31860658  0.17696730  0.44897992  1
  Sr  Sr7  1  0.33737291  0.21464084  0.08461814  1
  Li  Li8  1  0.99138758  0.52264876  0.00271265  1
  O  O9  1  0.79038648  0.12059149  0.79984804  1
  O  O10  1  0.94301958  0.42601938  0.24857877  1
  O  O11  1  0.47562973  0.49103147  0.87585771  1
"
"Full Formula (Tb2 Pr2 Ho2 Er2)
Reduced Formula: TbPrHoEr
abc   :   5.115631   5.116572  10.808269
angles: 103.707766 103.668959  89.997965
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------------
  0  Tb    0.714615  0.521292  0.222375  [-0.001324330223724246, -0.0010133888572454453, -0.005212210118770599]
  1  Pr    0.465313  0.272043  0.724204  [-0.00031899334862828255, -0.0002851411700248718, -0.0009898412972688675]
  2  Tb    0.837009  0.143631  0.467463  [-0.0015940008452162147, -0.0015626787208020687, -0.006319043226540089]
  3  Pr    0.965497  0.771574  0.72454   [-0.00031567085534334183, -0.00039135245606303215, -0.0007981546223163605]
  4  Ho    0.214693  0.021184  0.222321  [-0.0006966660730540752, -0.0009664788376539946, -0.0034113647416234016]
  5  Ho    0.337214  0.64352   0.467366  [-0.0015086245257407427, -0.0017224918119609356, -0.006552506238222122]
  6  Er    0.092972  0.399496  0.978866  [0.0026872213929891586, 0.00324410037137568, 0.01090220920741558]
  7  Er    0.593407  0.899382  0.9797    [0.0030710629653185606, 0.0026974293868988752, 0.012380916625261307]","TbPrHoEr","('Er', 'Ho', 'Pr', 'Tb')","0.0","0","# generated using pymatgen
data_TbPrHoEr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.11563067
_cell_length_b   5.11657198
_cell_length_c   10.80826915
_cell_angle_alpha   103.70776644
_cell_angle_beta   103.66895946
_cell_angle_gamma   89.99796539
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbPrHoEr
_chemical_formula_sum   'Tb2 Pr2 Ho2 Er2'
_cell_volume   266.58909314
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.71461538  0.52129243  0.22237489  1
  Pr  Pr1  1  0.46531325  0.27204297  0.72420374  1
  Tb  Tb2  1  0.83700896  0.14363105  0.46746258  1
  Pr  Pr3  1  0.96549736  0.77157416  0.72453964  1
  Ho  Ho4  1  0.21469257  0.02118421  0.22232086  1
  Ho  Ho5  1  0.33721449  0.64351967  0.46736574  1
  Er  Er6  1  0.09297226  0.39949644  0.97886553  1
  Er  Er7  1  0.59340657  0.89938189  0.97969988  1
"
