cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,10,8,10,0,0,1.5000,165,0.1342,nan,nan,nan,1189.92,nan,nan,nan
1,9,8,8,1,0,1.5000,168,0.4481,0.0000,0.0000,0.0000,658.32,nan,nan,nan
2,10,8,8,2,0,1.5000,171,0.3900,0.0000,0.0000,0.0000,1145.05,nan,nan,nan
3,6,8,6,0,0,1.5000,174,0.2448,nan,nan,nan,629.98,nan,nan,nan
4,9,8,8,1,0,1.5000,176,0.4203,0.0000,0.0000,0.0000,797.08,nan,nan,nan
5,8,8,8,0,1,1.5000,179,0.1314,nan,nan,nan,961.47,0.9570,1.0000,1.0000
6,13,8,8,5,0,1.5000,182,0.4362,0.0000,0.0000,0.0000,655.48,nan,nan,nan
7,7,8,7,0,0,1.5000,184,0.0883,nan,nan,nan,831.65,nan,nan,nan
8,8,8,8,0,0,1.5000,186,0.0720,nan,nan,nan,636.82,nan,nan,nan
9,12,8,8,4,0,1.5000,188,0.4533,0.0000,0.0000,0.0000,762.71,nan,nan,nan
10,11,8,11,0,1,1.5000,192,0.2255,nan,nan,nan,1313.30,0.8612,1.0000,1.0000
11,5,8,5,0,0,1.5000,193,0.0612,nan,nan,nan,569.88,nan,nan,nan
12,8,8,8,0,0,1.5000,195,0.1769,nan,nan,nan,761.20,nan,nan,nan
13,6,8,6,0,0,1.5000,197,0.1685,nan,nan,nan,789.20,nan,nan,nan
14,11,8,8,3,0,1.5000,200,0.4236,0.0000,0.0000,0.0000,904.24,nan,nan,nan
15,10,8,10,0,1,1.5000,204,0.2195,nan,nan,nan,910.64,0.9580,1.0000,1.0000
16,15,8,8,7,0,1.5000,206,0.3725,0.0000,0.0000,0.0000,730.04,nan,nan,nan
17,7,8,7,0,0,1.5000,208,0.0895,nan,nan,nan,318.74,nan,nan,nan
18,6,8,6,0,0,1.5000,212,0.2231,nan,nan,nan,396.94,nan,nan,nan
19,13,8,8,5,0,1.5000,217,0.4145,0.0000,0.0000,0.0000,513.91,nan,nan,nan
