"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Li2 Mn2 F10)
Reduced Formula: LiMnF5
abc   :   4.900895   4.879859   8.121367
angles:  69.536800  77.471457  89.016933
pbc   :       True       True       True
Sites (14)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ----------------------------------------------------------------------
  0  Li     0.17251   0.490404  0.854319  [-0.04694756865501404, -0.0007351227104663849, -0.0027009041514247656]
  1  Li     0.326524  0.941908  0.195558  [0.04485008120536804, -0.0030847005546092987, -0.0011057378724217415]
  2  Mn     0.785467  0.358394  0.322908  [0.009899791330099106, -0.0018874257802963257, 0.005688190460205078]
  3  Mn     0.713079  1.07288   0.726928  [-0.010188836604356766, 0.001751050353050232, -0.005355656147003174]
  4  F      0.443883  0.819747  0.730112  [-0.013574369251728058, -0.03136248141527176, -0.005964852869510651]
  5  F      1.02186   0.276619  0.138416  [0.02787838876247406, 0.03187577426433563, 0.011605311185121536]
  6  F      0.877222  0.772969  0.860772  [0.009312529116868973, 0.033472951501607895, 0.007551375776529312]
  7  F      0.515118  0.103519  0.329256  [0.0099964439868927, -0.028825491666793823, -0.0024851858615875244]
  8  F      0.575478  0.387966  0.546339  [-0.020145922899246216, -0.02682538516819477, -0.01149982213973999]
  9  F      0.924409  0.044551  0.503461  [0.014523623511195183, 0.022337162867188454, 0.009692691266536713]
 10  F      0.052967  0.614279  0.318584  [0.015044175088405609, 0.025303713977336884, 0.008547037839889526]
 11  F     -0.014931  0.324863  0.721727  [-0.012128680944442749, 0.03604743629693985, 0.0004607662558555603]
 12  F      0.618303  0.655437  0.18915   [0.0018023326992988586, -0.024292457848787308, -0.0023816674947738647]
 13  F      0.477361  0.155264  0.911413  [-0.030322209000587463, -0.03377485275268555, -0.012051492929458618]","LiMnF5","('F', 'Li', 'Mn')","0.0","0","# generated using pymatgen
data_LiMnF5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.90089547
_cell_length_b   4.87985883
_cell_length_c   8.12136685
_cell_angle_alpha   69.53680019
_cell_angle_beta   77.47145720
_cell_angle_gamma   89.01693274
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnF5
_chemical_formula_sum   'Li2 Mn2 F10'
_cell_volume   177.27249228
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.17251001  0.49040446  0.85431882  1
  Li  Li1  1  0.32652386  0.94190792  0.19555836  1
  Mn  Mn2  1  0.78546697  0.35839397  0.32290841  1
  Mn  Mn3  1  0.71307884  1.07288012  0.72692757  1
  F  F4  1  0.44388255  0.81974741  0.73011174  1
  F  F5  1  1.02186382  0.27661915  0.13841587  1
  F  F6  1  0.87722209  0.77296902  0.86077200  1
  F  F7  1  0.51511848  0.10351933  0.32925563  1
  F  F8  1  0.57547789  0.38796581  0.54633943  1
  F  F9  1  0.92440900  0.04455125  0.50346082  1
  F  F10  1  0.05296678  0.61427937  0.31858394  1
  F  F11  1  -0.01493066  0.32486278  0.72172744  1
  F  F12  1  0.61830258  0.65543653  0.18915034  1
  F  F13  1  0.47736083  0.15526436  0.91141286  1
"
"Full Formula (Ti4 C2 S2)
Reduced Formula: Ti2CS
abc   :   3.176768   3.175751  12.022605
angles: 105.336677  89.999360 120.010998
pbc   :       True       True       True
Sites (8)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  -----------------------------------------------------------------------
  0  Ti    -0.159824  0.198802  0.425025  [0.00014252416440285742, -0.01602211594581604, -0.00424190703779459]
  1  Ti     0.642545  0.803612  0.128241  [0.0011889452580362558, -0.040233295410871506, -0.006664186716079712]
  2  Ti     0.03496   0.588194  0.7214    [-0.00045126143959350884, 0.04203943908214569, 0.02283252775669098]
  3  Ti     0.838851  1.19602   0.924852  [-0.0005966536700725555, -0.021802103146910667, -0.006360293831676245]
  4  S      0.079315  0.677146  0.28276   [0.0006514295237138867, -0.03286613151431084, -0.01915399730205536]
  5  S      0.600453  0.719278  0.567315  [-0.0001459611812606454, 0.0067480746656656265, -0.0023347437381744385]
  6  C      0.43096   0.380192  0.814875  [-0.0008185871411114931, 0.035917770117521286, 0.02296242117881775]
  7  C      0.245758  0.009953  0.034645  [2.958207915071398e-05, 0.026218213140964508, -0.007039695978164673]","Ti2CS","('C', 'S', 'Ti')","0.18026116044457036","0","# generated using pymatgen
data_Ti2CS
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17676775
_cell_length_b   3.17575144
_cell_length_c   12.02260530
_cell_angle_alpha   105.33667694
_cell_angle_beta   89.99935966
_cell_angle_gamma   120.01099786
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CS
_chemical_formula_sum   'Ti4 C2 S2'
_cell_volume   100.01086302
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  -0.15982423  0.19880184  0.42502492  1
  Ti  Ti1  1  0.64254489  0.80361202  0.12824071  1
  Ti  Ti2  1  0.03496015  0.58819382  0.72139976  1
  Ti  Ti3  1  0.83885149  1.19602306  0.92485190  1
  S  S4  1  0.07931518  0.67714620  0.28275984  1
  S  S5  1  0.60045347  0.71927825  0.56731490  1
  C  C6  1  0.43096043  0.38019165  0.81487476  1
  C  C7  1  0.24575757  0.00995263  0.03464542  1
"
"Full Formula (Gd2 Ag4)
Reduced Formula: GdAg2
abc   :   4.772135   5.917202   5.913659
angles:  72.790160  66.236870  66.200676
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Gd    0.071323  0.736952  0.065914  [0.0011743977665901184, -0.0037789680063724518, 0.0007968991994857788]
  1  Gd    0.132018  0.17606   0.506154  [-0.005554800853133202, 0.0029804669320583344, 0.004990262910723686]
  2  Ag    0.76754   0.761892  0.649437  [-0.012242365628480911, -0.020874913781881332, 0.014952338300645351]
  3  Ag    0.436448  0.583466  0.489507  [0.011709408834576607, 0.027208726853132248, -0.01575702801346779]
  4  Ag    0.435779  0.151328  0.922562  [0.003497985191643238, 0.019680052995681763, -0.011260409839451313]
  5  Ag    0.765996  0.329126  1.08415   [0.0014153483789414167, -0.025215361267328262, 0.006277925800532103]","GdAg2","('Ag', 'Gd')","0.0","0","# generated using pymatgen
data_GdAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.77213494
_cell_length_b   5.91720244
_cell_length_c   5.91365896
_cell_angle_alpha   72.79015989
_cell_angle_beta   66.23686967
_cell_angle_gamma   66.20067555
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdAg2
_chemical_formula_sum   'Gd2 Ag4'
_cell_volume   138.05250958
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.07132342  0.73695216  0.06591426  1
  Gd  Gd1  1  0.13201779  0.17605991  0.50615405  1
  Ag  Ag2  1  0.76754024  0.76189155  0.64943717  1
  Ag  Ag3  1  0.43644765  0.58346559  0.48950667  1
  Ag  Ag4  1  0.43577880  0.15132810  0.92256206  1
  Ag  Ag5  1  0.76599610  0.32912551  1.08415447  1
"
"Full Formula (Na2 Y2 Mg2 Re2 O12)
Reduced Formula: NaYMgReO6
abc   :   5.386165   5.631655   7.718021
angles:  90.017380  90.263172  89.939654
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Na    0.380432  0.364586  0.888302  [-0.004625385627150536, 0.010755002498626709, 0.0007588110165670514]
  1  Na    0.87749   0.949482  0.388138  [0.025594152510166168, 0.00978773832321167, 0.0013236012309789658]
  2  Y     0.853829  0.837257  0.891427  [-0.016533423215150833, 0.006385393440723419, -0.010562487877905369]
  3  Y     0.353268  0.479065  0.391529  [-0.024542488157749176, -0.02766263484954834, -0.005337582901120186]
  4  Mg    0.367533  0.921564  0.637778  [0.00039277970790863037, -0.01584039069712162, 0.008104502223432064]
  5  Mg    0.867873  0.39471   0.137849  [-0.00887543335556984, -0.004841608926653862, -0.0040412480011582375]
  6  Re    0.370041  0.916196  0.137276  [0.011667914688587189, 0.014890700578689575, -0.002063944935798645]
  7  Re    0.870365  0.399696  0.637532  [-0.0012321844696998596, 0.012671202421188354, 0.0017305463552474976]
  8  O     0.197807  0.205178  0.192854  [-0.014506429433822632, -0.013028085231781006, 0.021573320031166077]
  9  O     0.069527  0.682602  0.58747   [0.028953805565834045, -0.02272164821624756, -0.029517091810703278]
 10  O     0.587872  0.608775  0.679404  [0.0028443336486816406, 0.017330199480056763, 0.003789067268371582]
 11  O     0.669481  0.092486  0.082944  [-0.001581341028213501, 0.033945828676223755, 0.0018001645803451538]
 12  O     0.570033  0.6339    0.086547  [-0.0012900829315185547, 0.028190702199935913, -0.006598912179470062]
 13  O     0.697513  0.111155  0.692547  [-0.008076399564743042, 0.0061106085777282715, 0.014656603336334229]
 14  O     0.16979   0.223538  0.58291   [-0.0238247811794281, -0.013365685939788818, -0.017108604311943054]
 15  O     0.087121  0.707604  0.178324  [0.027966678142547607, -0.011235341429710388, 0.021161004900932312]
 16  O     0.454164  0.875061  0.378518  [0.021645888686180115, 0.013669293373823166, -0.007232457399368286]
 17  O     0.955387  0.439975  0.878376  [0.016362622380256653, -0.005270041525363922, 0.008605211973190308]
 18  O     0.759883  0.378889  0.395616  [-0.003992694430053234, -0.02078041434288025, 0.010002672672271729]
 19  O     0.260157  0.939175  0.89565   [-0.026347707957029343, -0.018991030752658844, -0.011043131351470947]","NaYMgReO6","('Mg', 'Na', 'O', 'Re', 'Y')","0.0","0","# generated using pymatgen
data_NaYMgReO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.38616473
_cell_length_b   5.63165473
_cell_length_c   7.71802067
_cell_angle_alpha   90.01737996
_cell_angle_beta   90.26317217
_cell_angle_gamma   89.93965380
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaYMgReO6
_chemical_formula_sum   'Na2 Y2 Mg2 Re2 O12'
_cell_volume   234.10826595
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.38043202  0.36458574  0.88830215  1
  Na  Na1  1  0.87748964  0.94948216  0.38813824  1
  Y  Y2  1  0.85382852  0.83725664  0.89142668  1
  Y  Y3  1  0.35326834  0.47906455  0.39152923  1
  Mg  Mg4  1  0.36753266  0.92156384  0.63777808  1
  Mg  Mg5  1  0.86787288  0.39471034  0.13784921  1
  Re  Re6  1  0.37004125  0.91619615  0.13727609  1
  Re  Re7  1  0.87036465  0.39969604  0.63753176  1
  O  O8  1  0.19780677  0.20517834  0.19285383  1
  O  O9  1  0.06952749  0.68260247  0.58746968  1
  O  O10  1  0.58787226  0.60877518  0.67940409  1
  O  O11  1  0.66948140  0.09248583  0.08294425  1
  O  O12  1  0.57003311  0.63390030  0.08654681  1
  O  O13  1  0.69751299  0.11115478  0.69254672  1
  O  O14  1  0.16979002  0.22353850  0.58291040  1
  O  O15  1  0.08712073  0.70760380  0.17832377  1
  O  O16  1  0.45416386  0.87506144  0.37851797  1
  O  O17  1  0.95538685  0.43997504  0.87837613  1
  O  O18  1  0.75988287  0.37888932  0.39561625  1
  O  O19  1  0.26015725  0.93917535  0.89564976  1
"
"Full Formula (Tl1 Ge1 F3)
Reduced Formula: TlGeF3
abc   :   4.858378   4.889707   5.204946
angles:  90.818636  89.789191  77.782181
pbc   :       True       True       True
Sites (5)
  #  SP            a          b         c  forces
---  ----  ---------  ---------  --------  ---------------------------------------------------------------------
  0  Tl     0.321737   0.76796   0.217259  [-0.009399007074534893, -0.0023441538214683533, -0.03561815619468689]
  1  Ge     0.906217   0.363404  0.774317  [-0.004235349595546722, -0.00880502164363861, 0.0012576282024383545]
  2  F     -0.00958   -0.027613  0.829179  [-0.001332104206085205, -0.00141105055809021, 0.028986342251300812]
  3  F      0.954988   0.43711   0.130219  [0.01916070282459259, 0.012202486395835876, -0.024111181497573853]
  4  F      0.513201   0.400521  0.832393  [-0.0041942596435546875, 0.0003578066825866699, 0.029485352337360382]","TlGeF3","('F', 'Ge', 'Tl')","0.0","0","# generated using pymatgen
data_TlGeF3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.85837818
_cell_length_b   4.88970697
_cell_length_c   5.20494621
_cell_angle_alpha   90.81863607
_cell_angle_beta   89.78919053
_cell_angle_gamma   77.78218138
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlGeF3
_chemical_formula_sum   'Tl1 Ge1 F3'
_cell_volume   120.83312941
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  1  0.32173718  0.76795968  0.21725895  1
  Ge  Ge1  1  0.90621679  0.36340384  0.77431705  1
  F  F2  1  -0.00957985  -0.02761321  0.82917913  1
  F  F3  1  0.95498780  0.43711032  0.13021877  1
  F  F4  1  0.51320095  0.40052084  0.83239263  1
"
"Full Formula (Nb2 Ag2 S6)
Reduced Formula: NbAgS3
abc   :   3.462828   6.214957  11.289869
angles:  89.383553 107.900998  89.551526
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  --------------------------------------------------------------------
  0  Nb     0.577481  0.508818  0.95277   [-0.013549625873565674, 0.017772585153579712, 0.0009465217590332031]
  1  Nb     0.037757  0.414384  0.451561  [0.01782386004924774, -0.019039690494537354, 0.006557464599609375]
  2  Ag     0.284359  0.973301  0.155581  [-0.04590463638305664, 0.025193028151988983, -0.026005618274211884]
  3  Ag     0.72921   0.944946  0.645113  [0.03523422032594681, -0.017153896391391754, 0.008031398057937622]
  4  S      0.546279  0.692143  0.463798  [0.022751852869987488, -0.022068768739700317, 0.010716371238231659]
  5  S      1.22851   0.256642  0.643255  [0.02519547939300537, -0.020818650722503662, 0.004525303840637207]
  6  S     -0.045288  0.697786  0.835031  [-0.006449639797210693, 0.008981972932815552, 0.0023158788681030273]
  7  S      0.769222  0.665574  0.142411  [-0.02217824012041092, 0.019447147846221924, 0.00045555830001831055]
  8  S      0.099111  0.231763  0.970494  [-0.020981982350349426, 0.019772425293922424, -0.008025506511330605]
  9  S      0.427747  0.225693  0.336826  [0.008058745414018631, -0.012086153030395508, 0.000482410192489624]","NbAgS3","('Ag', 'Nb', 'S')","0.0","0","# generated using pymatgen
data_NbAgS3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.46282818
_cell_length_b   6.21495708
_cell_length_c   11.28986918
_cell_angle_alpha   89.38355335
_cell_angle_beta   107.90099768
_cell_angle_gamma   89.55152562
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbAgS3
_chemical_formula_sum   'Nb2 Ag2 S6'
_cell_volume   231.18122053
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.57748097  0.50881757  0.95276989  1
  Nb  Nb1  1  0.03775725  0.41438415  0.45156131  1
  Ag  Ag2  1  0.28435905  0.97330066  0.15558110  1
  Ag  Ag3  1  0.72920963  0.94494640  0.64511274  1
  S  S4  1  0.54627894  0.69214281  0.46379834  1
  S  S5  1  1.22851069  0.25664206  0.64325532  1
  S  S6  1  -0.04528783  0.69778580  0.83503147  1
  S  S7  1  0.76922223  0.66557402  0.14241094  1
  S  S8  1  0.09911116  0.23176338  0.97049368  1
  S  S9  1  0.42774688  0.22569273  0.33682588  1
"
"Full Formula (Li2 Sn4)
Reduced Formula: LiSn2
abc   :   3.200213   3.204633  14.681860
angles: 102.467346  76.436966  89.463395
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Li    0.24186   0.712544  0.800928  [0.04160737618803978, -0.021076232194900513, 0.014592761173844337]
  1  Li    0.928126  0.040858  0.302975  [0.0060284617356956005, 0.00025881920009851456, -0.02213754877448082]
  2  Sn    0.613903  0.333569  0.949021  [0.015270140022039413, -0.014901475980877876, 0.003989736549556255]
  3  Sn    0.605525  0.384287  0.153819  [-0.06119503080844879, 0.03407398611307144, 0.0031395787373185158]
  4  Sn    0.253574  0.701964  0.448617  [-0.01674657128751278, 0.014782782644033432, -0.03128810599446297]
  5  Sn    0.912618  0.052993  0.655029  [0.015035637654364109, -0.013137879781425, 0.03170357644557953]","LiSn2","('Li', 'Sn')","0.02778475592442331","0","# generated using pymatgen
data_LiSn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.20021303
_cell_length_b   3.20463262
_cell_length_c   14.68186037
_cell_angle_alpha   102.46734551
_cell_angle_beta   76.43696600
_cell_angle_gamma   89.46339479
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiSn2
_chemical_formula_sum   'Li2 Sn4'
_cell_volume   142.63360702
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.24186013  0.71254369  0.80092791  1
  Li  Li1  1  0.92812615  0.04085793  0.30297515  1
  Sn  Sn2  1  0.61390276  0.33356862  0.94902149  1
  Sn  Sn3  1  0.60552460  0.38428651  0.15381908  1
  Sn  Sn4  1  0.25357401  0.70196415  0.44861723  1
  Sn  Sn5  1  0.91261849  0.05299325  0.65502890  1
"
"Full Formula (Fe2 Bi2 O6)
Reduced Formula: FeBiO3
abc   :   5.337176   5.664484   5.454577
angles:  84.484652 105.468512  73.664591
pbc   :       True       True       True
Sites (10)
  #  SP            a          b         c  forces
---  ----  ---------  ---------  --------  ----------------------------------------------------------------------
  0  Fe     0.567715   0.476115  0.510691  [-0.00431610643863678, -0.0031228065490722656, -0.003380224108695984]
  1  Fe     0.80487    0.574132  0.070958  [-0.0013471953570842743, -0.008727051317691803, 0.004368819296360016]
  2  Bi     0.395853   0.194269  0.034651  [-0.013196345418691635, 0.005178108811378479, -0.007802186533808708]
  3  Bi    -0.027931   0.821689  0.610825  [0.004776567220687866, 0.011479422450065613, 0.012429051101207733]
  4  O      0.457997   0.519143  0.828648  [-0.014844298362731934, 0.014859646558761597, -0.021701358258724213]
  5  O      0.748405   0.24417   0.320796  [-0.0029585883021354675, 0.01523330807685852, -0.017057940363883972]
  6  O      0.201667   0.480855  0.289844  [-0.005587197840213776, -0.03312569111585617, -0.028608381748199463]
  7  O      0.72992   -0.081546  0.873306  [0.042033687233924866, -0.00019904226064682007, 0.06013783812522888]
  8  O      0.627469   0.758165  0.321302  [0.005743149667978287, 0.0034748315811157227, 0.010178446769714355]
  9  O      0.936636   0.452874  0.776364  [-0.010304033756256104, -0.0050508975982666016, -0.008563905954360962]","FeBiO3","('Bi', 'Fe', 'O')","0.0","0","# generated using pymatgen
data_FeBiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.33717623
_cell_length_b   5.66448418
_cell_length_c   5.45457656
_cell_angle_alpha   84.48465195
_cell_angle_beta   105.46851172
_cell_angle_gamma   73.66459081
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeBiO3
_chemical_formula_sum   'Fe2 Bi2 O6'
_cell_volume   149.88211865
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.56771486  0.47611548  0.51069132  1
  Fe  Fe1  1  0.80486967  0.57413193  0.07095836  1
  Bi  Bi2  1  0.39585333  0.19426874  0.03465077  1
  Bi  Bi3  1  -0.02793089  0.82168896  0.61082494  1
  O  O4  1  0.45799709  0.51914299  0.82864752  1
  O  O5  1  0.74840510  0.24417034  0.32079565  1
  O  O6  1  0.20166720  0.48085452  0.28984354  1
  O  O7  1  0.72991955  -0.08154602  0.87330648  1
  O  O8  1  0.62746879  0.75816538  0.32130210  1
  O  O9  1  0.93663644  0.45287380  0.77636400  1
"
"Full Formula (Li2 Sc1 Mn3 S8)
Reduced Formula: Li2ScMn3S8
abc   :   7.053875   7.053675   7.227084
angles:  60.925783  60.936688  59.960565
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Li    0.039946  0.556028  0.468666  [0.003481553867459297, 0.006505951285362244, 0.012159854173660278]
  1  Li    0.787199  0.303164  0.230353  [-0.02937035635113716, -0.015082401223480701, 0.03571541979908943]
  2  Sc    0.411556  0.928007  0.355216  [0.007191291078925133, 0.005739418789744377, -0.019479822367429733]
  3  Mn    0.412497  0.428308  0.852788  [0.0009180400520563126, 0.006279551424086094, 0.0011947564780712128]
  4  Mn    0.911777  0.929078  0.852704  [0.010364925488829613, -0.003775737714022398, 0.00397633109241724]
  5  Mn    0.412839  0.929008  0.852486  [-0.012432120740413666, -0.0019566109403967857, -0.0031636860221624374]
  6  S     0.194445  0.179167  0.070828  [-0.0018016248941421509, 0.00567144900560379, -0.008361633867025375]
  7  S     0.64834   0.165436  0.64249   [0.008701633661985397, -0.008514337241649628, 0.013334609568119049]
  8  S     0.161257  0.677805  0.635162  [0.005215398967266083, 0.0049117207527160645, -0.004088863730430603]
  9  S     0.662875  0.710846  0.070704  [0.003466591238975525, -0.009554058313369751, -0.0021524615585803986]
 10  S     0.66196   0.178315  0.071987  [0.0049044787883758545, 0.005221500992774963, -0.005155429244041443]
 11  S     0.160263  0.148151  0.636307  [0.008218472823500633, -0.006041288375854492, -0.011148445308208466]
 12  S     0.631738  0.67659   0.636098  [0.0033572614192962646, 0.00911952555179596, 1.7702579498291016e-05]
 13  S     0.176972  0.692986  0.06109   [-0.0122155100107193, 0.0014754943549633026, -0.012848325073719025]","Li2ScMn3S8","('Li', 'Mn', 'S', 'Sc')","0.23034141594735313","0","# generated using pymatgen
data_Li2ScMn3S8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.05387451
_cell_length_b   7.05367492
_cell_length_c   7.22708382
_cell_angle_alpha   60.92578299
_cell_angle_beta   60.93668815
_cell_angle_gamma   59.96056457
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2ScMn3S8
_chemical_formula_sum   'Li2 Sc1 Mn3 S8'
_cell_volume   257.70913132
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.03994621  0.55602751  0.46866582  1
  Li  Li1  1  0.78719933  0.30316398  0.23035250  1
  Sc  Sc2  1  0.41155620  0.92800701  0.35521562  1
  Mn  Mn3  1  0.41249673  0.42830827  0.85278760  1
  Mn  Mn4  1  0.91177659  0.92907774  0.85270364  1
  Mn  Mn5  1  0.41283906  0.92900830  0.85248607  1
  S  S6  1  0.19444534  0.17916719  0.07082769  1
  S  S7  1  0.64833968  0.16543604  0.64248971  1
  S  S8  1  0.16125662  0.67780451  0.63516212  1
  S  S9  1  0.66287466  0.71084563  0.07070377  1
  S  S10  1  0.66196037  0.17831495  0.07198707  1
  S  S11  1  0.16026276  0.14815114  0.63630665  1
  S  S12  1  0.63173802  0.67659023  0.63609778  1
  S  S13  1  0.17697150  0.69298623  0.06109041  1
"
"Full Formula (Sr1 Eu1 Mg1 W1 O6)
Reduced Formula: SrEuMgWO6
abc   :   5.679275   5.645249   5.685849
angles:  59.747037  60.033963  59.873222
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  -----------------------------------------------------------------------
  0  Sr    0.574492  0.841909   0.533023  [-0.0006184633821249008, 0.0003081434406340122, -0.002334617543965578]
  1  Eu    0.077392  0.33938    0.036627  [0.001738729071803391, -0.010425198823213577, 0.004535283427685499]
  2  Mg    0.825284  0.091203   0.78418   [5.974184023216367e-05, -0.0022829161025583744, -0.0006420741556212306]
  3  W     0.325215  0.591105   0.284052  [0.0002577314153313637, 0.0007079169154167175, -9.332224726676941e-05]
  4  O     0.034925  0.822118   0.091092  [-0.014282286167144775, -0.009143352508544922, 0.011704683303833008]
  5  O     0.623936  0.35555    0.468562  [0.010640442371368408, 0.008746147155761719, -0.012963414192199707]
  6  O     0.514858  0.341713   0.049435  [-0.01871246099472046, -0.0009109973907470703, 0.0013481378555297852]
  7  O     0.127691  0.84035    0.518491  [0.023788630962371826, 0.007069587707519531, -0.002172231674194336]
  8  O     0.559704  0.839448  -0.009599  [-0.014585018157958984, 0.003506779670715332, -0.021142199635505676]
  9  O     0.090548  0.342755   0.587194  [0.011713266372680664, 0.002424478530883789, 0.02176031470298767]","SrEuMgWO6","('Eu', 'Mg', 'O', 'Sr', 'W')","0.0","0","# generated using pymatgen
data_SrEuMgWO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.67927528
_cell_length_b   5.64524893
_cell_length_c   5.68584915
_cell_angle_alpha   59.74703744
_cell_angle_beta   60.03396299
_cell_angle_gamma   59.87322245
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrEuMgWO6
_chemical_formula_sum   'Sr1 Eu1 Mg1 W1 O6'
_cell_volume   128.56230449
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.57449198  0.84190932  0.53302296  1
  Eu  Eu1  1  0.07739220  0.33937964  0.03662708  1
  Mg  Mg2  1  0.82528442  0.09120288  0.78417951  1
  W  W3  1  0.32521466  0.59110533  0.28405193  1
  O  O4  1  0.03492506  0.82211813  0.09109203  1
  O  O5  1  0.62393579  0.35555002  0.46856152  1
  O  O6  1  0.51485843  0.34171295  0.04943524  1
  O  O7  1  0.12769051  0.84034997  0.51849096  1
  O  O8  1  0.55970359  0.83944787  -0.00959868  1
  O  O9  1  0.09054829  0.34275514  0.58719379  1
"
