"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Nd2 Ge5 Pd1)
Reduced Formula: Nd2Ge5Pd
abc   :   4.509263   4.363876   9.181260
angles:  73.871945  89.971165  89.990153
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Pd    0.360943  0.889522  0.606661  [-0.0015544579364359379, 0.02322303131222725, 0.002547726035118103]
  1  Ge    0.86029   0.221232  0.911134  [0.00038810353726148605, 0.009484978392720222, -0.005496524274349213]
  2  Nd    0.359975  0.697595  0.041413  [0.0030327800195664167, -0.01787640154361725, -0.025259964168071747]
  3  Ge    0.360895  1.02738   0.323865  [-0.0015947786159813404, 0.005772894248366356, -0.004401832818984985]
  4  Nd    0.86108   0.481275  0.450023  [-0.0013550864532589912, -0.007288655266165733, 0.0013764798641204834]
  5  Ge    0.360661  0.310404  0.744083  [-0.0008865464478731155, 0.02021968550980091, 0.016726069152355194]
  6  Ge    0.860797  0.80738   0.735712  [-0.0006087585352361202, 0.017276562750339508, -0.0027453452348709106]
  7  Ge    0.860806  0.161316  0.191632  [0.0025787353515625, -0.05081210657954216, 0.017253421247005463]","Nd2Ge5Pd","('Ge', 'Nd', 'Pd')","0.0036390160923780446","0","# generated using pymatgen
data_Nd2Ge5Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.50926303
_cell_length_b   4.36387645
_cell_length_c   9.18125965
_cell_angle_alpha   73.87194521
_cell_angle_beta   89.97116461
_cell_angle_gamma   89.99015312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2Ge5Pd
_chemical_formula_sum   'Nd2 Ge5 Pd1'
_cell_volume   173.55709252
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.36094319  0.88952215  0.60666058  1
  Ge  Ge1  1  0.86028965  0.22123215  0.91113415  1
  Nd  Nd2  1  0.35997535  0.69759466  0.04141292  1
  Ge  Ge3  1  0.36089450  1.02737993  0.32386534  1
  Nd  Nd4  1  0.86108015  0.48127531  0.45002334  1
  Ge  Ge5  1  0.36066138  0.31040390  0.74408254  1
  Ge  Ge6  1  0.86079736  0.80738001  0.73571153  1
  Ge  Ge7  1  0.86080567  0.16131587  0.19163172  1
"
"Full Formula (Nd1 Mg1 Cr2 O8)
Reduced Formula: NdMgCr2O8
abc   :   5.984135   5.975781   5.950274
angles: 106.176113 105.506068 116.166582
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Mg    0.694034  0.053077  0.501106  [0.04609426110982895, 0.01486145704984665, -0.00785687193274498]
  1  O     0.649896  0.313895  0.835483  [0.004584759473800659, -0.005645245313644409, 0.0004733055830001831]
  2  Nd    0.973523  0.842423  1.03418   [-1.4207791537046432e-05, 0.00973756704479456, 0.008294189348816872]
  3  Cr    0.481709  0.331054  0.030695  [-0.005749646574258804, -0.003498375415802002, -0.006040181964635849]
  4  O     0.643511  0.692404  0.211431  [0.002103865146636963, -0.0029544830322265625, 0.0016307085752487183]
  5  O     0.046432  0.236899  0.368834  [-0.024865077808499336, -0.013002634048461914, 0.024837857112288475]
  6  O     0.499578  0.169494  0.231236  [-0.007824979722499847, 0.00621187686920166, 0.0036632120609283447]
  7  O     0.204243  0.738974  0.341998  [0.007560253143310547, -0.008142352104187012, -0.015841007232666016]
  8  O     0.127702  0.171151  0.853652  [-0.023086845874786377, -1.2993812561035156e-05, -0.004965834319591522]
  9  Cr    0.232233  0.586754  0.532991  [-0.00205191969871521, -0.002639591693878174, -0.0019170306622982025]
 10  O     0.57737   0.744398  0.685913  [0.013184070587158203, -0.022355079650878906, 0.00170222669839859]
 11  O     0.106467  0.644017  0.739091  [-0.009934663772583008, 0.02744048833847046, -0.003980875015258789]","NdMgCr2O8","('Cr', 'Mg', 'Nd', 'O')","0.0","0","# generated using pymatgen
data_NdMgCr2O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98413498
_cell_length_b   5.97578070
_cell_length_c   5.95027418
_cell_angle_alpha   106.17611283
_cell_angle_beta   105.50606783
_cell_angle_gamma   116.16658231
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdMgCr2O8
_chemical_formula_sum   'Nd1 Mg1 Cr2 O8'
_cell_volume   163.54593895
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.69403433  0.05307681  0.50110634  1
  O  O1  1  0.64989625  0.31389519  0.83548318  1
  Nd  Nd2  1  0.97352340  0.84242314  1.03418398  1
  Cr  Cr3  1  0.48170866  0.33105368  0.03069519  1
  O  O4  1  0.64351141  0.69240434  0.21143127  1
  O  O5  1  0.04643189  0.23689932  0.36883369  1
  O  O6  1  0.49957796  0.16949440  0.23123574  1
  O  O7  1  0.20424268  0.73897406  0.34199816  1
  O  O8  1  0.12770208  0.17115107  0.85365207  1
  Cr  Cr9  1  0.23223264  0.58675394  0.53299114  1
  O  O10  1  0.57737046  0.74439824  0.68591281  1
  O  O11  1  0.10646695  0.64401740  0.73909096  1
"
"Full Formula (Mg1 Sb1 Pd2)
Reduced Formula: MgSbPd2
abc   :   3.469111   4.507079   5.863816
angles: 123.121200 107.239541  90.001588
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------
  0  Pd    0.168091  0.652374  0.015768  [0.0126565620303154, 0.034168753772974014, 0.008687902241945267]
  1  Sb    0.430884  0.32912   0.54192   [0.012334495782852173, -0.007002855651080608, 0.017669089138507843]
  2  Pd    0.92511   0.829938  0.529593  [0.008549682796001434, -0.020399220287799835, 0.011038599535822868]
  3  Mg    0.667903  0.152179  0.011198  [-0.03354077413678169, -0.006766702979803085, -0.03739558160305023]","MgSbPd2","('Mg', 'Pd', 'Sb')","0.012349739672063828","0","# generated using pymatgen
data_MgSbPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.46911148
_cell_length_b   4.50707931
_cell_length_c   5.86381606
_cell_angle_alpha   123.12120023
_cell_angle_beta   107.23954136
_cell_angle_gamma   90.00158800
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgSbPd2
_chemical_formula_sum   'Mg1 Sb1 Pd2'
_cell_volume   71.81802719
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.16809077  0.65237420  0.01576836  1
  Sb  Sb1  1  0.43088375  0.32911990  0.54191987  1
  Pd  Pd2  1  0.92510953  0.82993752  0.52959348  1
  Mg  Mg3  1  0.66790260  0.15217867  0.01119806  1
"
"Full Formula (Rb2 Y1 In1 F6)
Reduced Formula: Rb2YInF6
abc   :   9.888540   7.167907   4.467462
angles:  71.067704  76.517225  52.968697
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ----------------------------------------------------------------------
  0  Y      0.799711  0.638139  0.489557  [0.0019065747037529945, -0.006749909371137619, -0.013626724481582642]
  1  Rb     0.035788  0.906843  0.762258  [-0.0038137435913085938, 0.015496725216507912, -0.03330564498901367]
  2  F      0.537993  0.956582  0.421829  [0.0027289092540740967, 0.012085512280464172, 0.02162776328623295]
  3  F      0.32881   0.444772  0.856791  [-0.0005982443690299988, 0.0139506496489048, 0.04977674037218094]
  4  F      0.063851  0.330089  0.47716   [-0.005976781249046326, -0.04160130023956299, 0.007511968724429607]
  5  In     0.305269  0.134384  0.067818  [0.007608029991388321, -0.00020717736333608627, 0.010636439546942711]
  6  Rb     0.546232  0.365452  0.279434  [-0.0010622143745422363, 0.006318025290966034, 0.018753990530967712]
  7  F      0.875187  0.888449  0.350686  [0.0037707090377807617, -0.020264312624931335, -0.027599165216088295]
  8  F     -0.198863  0.643626  0.985044  [0.0018897736445069313, -0.0017907069995999336, -0.013647487387061119]
  9  F      0.727689  0.386977  0.677016  [-0.006453096866607666, 0.022762492299079895, -0.02012788876891136]","Rb2YInF6","('F', 'In', 'Rb', 'Y')","0.0","1","# generated using pymatgen
data_Rb2YInF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.88853958
_cell_length_b   7.16790655
_cell_length_c   4.46746221
_cell_angle_alpha   71.06770443
_cell_angle_beta   76.51722536
_cell_angle_gamma   52.96869662
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2YInF6
_chemical_formula_sum   'Rb2 Y1 In1 F6'
_cell_volume   238.81306739
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.79971086  0.63813851  0.48955652  1
  Rb  Rb1  1  0.03578849  0.90684251  0.76225764  1
  F  F2  1  0.53799299  0.95658246  0.42182927  1
  F  F3  1  0.32880993  0.44477187  0.85679139  1
  F  F4  1  0.06385114  0.33008916  0.47715995  1
  In  In5  1  0.30526893  0.13438422  0.06781762  1
  Rb  Rb6  1  0.54623182  0.36545208  0.27943362  1
  F  F7  1  0.87518727  0.88844850  0.35068558  1
  F  F8  1  -0.19886325  0.64362585  0.98504358  1
  F  F9  1  0.72768913  0.38697687  0.67701607  1
"
"Full Formula (Yb1 Tl2 Cu4 Te5)
Reduced Formula: YbTl2Cu4Te5
abc   :   4.214378   4.237081  21.768362
angles:  78.758368  81.331493  59.607721
pbc   :       True       True       True
Sites (12)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Te     0.608592  0.646429  0.885744  [0.03103865683078766, -0.04051379859447479, 0.0003789141774177551]
  1  Te     0.03802   0.620926  0.645486  [0.00549890473484993, 0.006856811232864857, 0.005369991064071655]
  2  Tl     0.837285  0.513431  0.352402  [-0.04832068085670471, 0.056955885142087936, -0.011290118098258972]
  3  Cu     0.392061  0.987735  0.597642  [-0.021014368161559105, 0.03722449392080307, -0.003272309899330139]
  4  Yb     0.534984  0.3742    0.157005  [-0.024795526638627052, 0.024365123361349106, -0.004111051559448242]
  5  Tl     0.036904  0.003179  0.767631  [-0.03085610829293728, 0.020648669451475143, 0.0036144405603408813]
  6  Te     0.178271  0.962267  0.244907  [-0.009309464134275913, 0.012328351847827435, -0.003455042839050293]
  7  Te     0.41509   0.136089  0.475839  [-0.029479755088686943, 0.02635294944047928, 0.0038450956344604492]
  8  Cu     0.916307  0.945715  0.935254  [0.03134726360440254, -0.0409960076212883, 0.003374055027961731]
  9  Cu     0.563067  0.52344   1.00726   [0.03908127546310425, -0.0377986878156662, -0.0010247081518173218]
 10  Te    -0.116531  0.805915  0.059163  [0.008156269788742065, -0.006287097930908203, -0.0005842931568622589]
 11  Cu     1.06235   0.769758  0.523024  [0.04865354299545288, -0.05913669243454933, 0.007154971361160278]","YbTl2Cu4Te5","('Cu', 'Te', 'Tl', 'Yb')","0.0","1","# generated using pymatgen
data_YbTl2Cu4Te5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.21437819
_cell_length_b   4.23708109
_cell_length_c   21.76836235
_cell_angle_alpha   78.75836815
_cell_angle_beta   81.33149302
_cell_angle_gamma   59.60772086
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbTl2Cu4Te5
_chemical_formula_sum   'Yb1 Tl2 Cu4 Te5'
_cell_volume   328.23747480
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.60859173  0.64642854  0.88574354  1
  Te  Te1  1  0.03801963  0.62092644  0.64548624  1
  Tl  Tl2  1  0.83728549  0.51343126  0.35240158  1
  Cu  Cu3  1  0.39206061  0.98773470  0.59764164  1
  Yb  Yb4  1  0.53498400  0.37419973  0.15700479  1
  Tl  Tl5  1  0.03690432  0.00317867  0.76763063  1
  Te  Te6  1  0.17827103  0.96226683  0.24490701  1
  Te  Te7  1  0.41509031  0.13608855  0.47583924  1
  Cu  Cu8  1  0.91630716  0.94571516  0.93525397  1
  Cu  Cu9  1  0.56306698  0.52343953  1.00726367  1
  Te  Te10  1  -0.11653050  0.80591530  0.05916337  1
  Cu  Cu11  1  1.06234523  0.76975771  0.52302380  1
"
"Full Formula (Sc2 Re1 H2 O13)
Reduced Formula: Sc2ReH2O13
abc   :   8.613693   6.479016   6.249581
angles:  59.181234  97.807561  94.108018
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  O     0.840865  0.20565   1.00475   [-0.0017341375350952148, -0.014596834778785706, 0.03397643566131592]
  1  Re    0.690017  0.357381  0.771348  [0.008194893598556519, 0.0021132975816726685, -0.0012822151184082031]
  2  Sc    0.257439  0.488024  0.36902   [0.0038768649101257324, 0.009093761444091797, -0.01760539412498474]
  3  O     0.63297   0.580703  0.829643  [0.0011739730834960938, 2.002716064453125e-05, -0.002046912908554077]
  4  O     1.09188   0.174501  0.704896  [0.013367235660552979, -0.03608149290084839, 0.07991648465394974]
  5  O     0.307715  0.610731  0.589635  [-0.006205692887306213, 0.008620589971542358, -0.009640112519264221]
  6  O     0.474127  0.25376   0.73657   [-0.0055272579193115234, 0.030093133449554443, -0.05130121111869812]
  7  H     0.921643  0.582927  0.301103  [0.007568880915641785, -0.029924795031547546, 0.026619210839271545]
  8  O     0.589251  0.063188  0.780639  [-0.005177319049835205, 0.022176146507263184, -0.03064698353409767]
  9  H     0.001404  0.747432  1.04722   [-0.0010426342487335205, -0.021757055073976517, 0.016711581498384476]
 10  O     0.50093   0.033003  0.310504  [-0.0015707742422819138, -0.019825980067253113, 0.0342458039522171]
 11  Sc    0.414913  0.777449  0.745827  [-0.00438690185546875, 0.012702643871307373, -0.021523356437683105]
 12  O     0.36816   0.145163  0.225032  [-0.0004227161407470703, 0.00846524816006422, -0.014976859092712402]
 13  O     0.291313  1.1217    0.429239  [-0.005848690867424011, 0.018025755882263184, -0.03653258830308914]
 14  O     0.331045  0.679896  0.051422  [-0.00031910836696624756, 0.017206043004989624, -0.023113898932933807]
 15  O     0.00536   1.00612   0.720373  [-0.0043092817068099976, 0.023298174142837524, -0.012098904699087143]
 16  O     0.016519  0.606566  0.217391  [0.0009822249412536621, -0.02425418794155121, 0.009564824402332306]
 17  O     0.766952  0.507336  0.486375  [0.001379549503326416, -0.005374163389205933, 0.019734621047973633]","Sc2ReH2O13","('H', 'O', 'Re', 'Sc')","0.0","1","# generated using pymatgen
data_Sc2ReH2O13
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.61369265
_cell_length_b   6.47901620
_cell_length_c   6.24958099
_cell_angle_alpha   59.18123449
_cell_angle_beta   97.80756135
_cell_angle_gamma   94.10801797
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sc2ReH2O13
_chemical_formula_sum   'Sc2 Re1 H2 O13'
_cell_volume   296.75048250
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.84086465  0.20565031  1.00474739  1
  Re  Re1  1  0.69001705  0.35738150  0.77134782  1
  Sc  Sc2  1  0.25743867  0.48802353  0.36902014  1
  O  O3  1  0.63296967  0.58070265  0.82964315  1
  O  O4  1  1.09187672  0.17450077  0.70489618  1
  O  O5  1  0.30771523  0.61073096  0.58963508  1
  O  O6  1  0.47412669  0.25376026  0.73657040  1
  H  H7  1  0.92164264  0.58292734  0.30110323  1
  O  O8  1  0.58925123  0.06318842  0.78063889  1
  H  H9  1  0.00140405  0.74743197  1.04722113  1
  O  O10  1  0.50092962  0.03300274  0.31050363  1
  Sc  Sc11  1  0.41491350  0.77744923  0.74582704  1
  O  O12  1  0.36815962  0.14516292  0.22503167  1
  O  O13  1  0.29131315  1.12169799  0.42923871  1
  O  O14  1  0.33104530  0.67989555  0.05142203  1
  O  O15  1  0.00535979  1.00612353  0.72037332  1
  O  O16  1  0.01651887  0.60656600  0.21739134  1
  O  O17  1  0.76695231  0.50733631  0.48637471  1
"
"Full Formula (In4 Au4)
Reduced Formula: InAu
abc   :   4.868784   4.812554   7.993504
angles:  80.538110  89.992602  90.001046
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  In    0.984021  0.212405  0.227522  [0.0005990718491375446, 0.0399622917175293, 0.020790450274944305]
  1  Au    0.984104  0.659177  0.442897  [-0.0016376578714698553, 0.03484177589416504, 0.011825211346149445]
  2  Au    0.484047  0.900421  0.277017  [0.00029001920484006405, 0.025944694876670837, -0.022394638508558273]
  3  In    0.483876  0.339401  0.485927  [0.0004997653886675835, 0.038704536855220795, 0.00033886730670928955]
  4  In    0.983981  0.56332   0.844547  [-0.0016312797088176012, -0.04048965871334076, 0.027010690420866013]
  5  Au    0.983434  0.108947  0.663831  [0.0010336232371628284, -0.038843244314193726, -0.01201128214597702]
  6  In    0.483426  0.027535  0.874914  [0.0010301618603989482, -0.033204998821020126, -0.027791552245616913]
  7  Au    0.484021  0.474731  0.056108  [-0.00018371548503637314, -0.02691539004445076, 0.002232179045677185]","InAu","('Au', 'In')","0.0","1","# generated using pymatgen
data_InAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.86878406
_cell_length_b   4.81255362
_cell_length_c   7.99350446
_cell_angle_alpha   80.53810969
_cell_angle_beta   89.99260168
_cell_angle_gamma   90.00104610
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InAu
_chemical_formula_sum   'In4 Au4'
_cell_volume   184.74991477
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.98402110  0.21240474  0.22752206  1
  Au  Au1  1  0.98410394  0.65917741  0.44289693  1
  Au  Au2  1  0.48404658  0.90042109  0.27701681  1
  In  In3  1  0.48387641  0.33940144  0.48592704  1
  In  In4  1  0.98398137  0.56331999  0.84454730  1
  Au  Au5  1  0.98343412  0.10894687  0.66383140  1
  In  In6  1  0.48342551  0.02753464  0.87491395  1
  Au  Au7  1  0.48402110  0.47473067  0.05610815  1
"
"Full Formula (Zr4 Ti1 Ni1)
Reduced Formula: Zr4TiNi
abc   :   3.178311   5.111603   7.876172
angles:  71.343579  89.614096  89.311166
pbc   :       True       True       True
Sites (6)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Zr     0.395197  0.468635  0.233627  [-0.016720788553357124, 0.011839345097541809, -0.030796006321907043]
  1  Zr     0.368043  0.147113  0.968491  [0.024236707016825676, 0.028330862522125244, -0.020274721086025238]
  2  Zr     0.886853  0.285886  0.60435   [-0.005734775215387344, -0.014262419193983078, -0.027373410761356354]
  3  Zr    -0.111213  0.904374  0.35482   [-0.010478813201189041, -0.02516600489616394, 0.028050333261489868]
  4  Ni     0.885778  0.740394  0.955133  [0.012423243373632431, 0.031170543283224106, 0.006142288446426392]
  5  Ti     0.389193  0.736895  0.706361  [-0.0037255501374602318, -0.03191228210926056, 0.044251471757888794]","Zr4TiNi","('Ni', 'Ti', 'Zr')","0.0","2","# generated using pymatgen
data_Zr4TiNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17831075
_cell_length_b   5.11160261
_cell_length_c   7.87617249
_cell_angle_alpha   71.34357894
_cell_angle_beta   89.61409638
_cell_angle_gamma   89.31116574
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr4TiNi
_chemical_formula_sum   'Zr4 Ti1 Ni1'
_cell_volume   121.22531528
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.39519745  0.46863504  0.23362730  1
  Zr  Zr1  1  0.36804284  0.14711343  0.96849126  1
  Zr  Zr2  1  0.88685287  0.28588625  0.60434987  1
  Zr  Zr3  1  -0.11121316  0.90437392  0.35482045  1
  Ni  Ni4  1  0.88577768  0.74039373  0.95513330  1
  Ti  Ti5  1  0.38919324  0.73689539  0.70636095  1
"
"Full Formula (Er6 Cu2)
Reduced Formula: Er3Cu
abc   :   5.837950   4.765228   8.663091
angles: 107.492952  91.411446  64.739309
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Cu    0.524003  0.561505  0.480338  [0.011272016912698746, -0.027391599491238594, 0.02202405408024788]
  1  Er    0.857078  0.603179  0.920884  [-0.004407833330333233, 0.016070660203695297, -0.005895908921957016]
  2  Er    0.734102  0.871954  0.299908  [0.02443668432533741, -0.056425243616104126, 0.025718970224261284]
  3  Er    0.102451  0.235148  0.48559   [-0.015175610780715942, 0.037870123982429504, -0.021832913160324097]
  4  Er    0.664666  0.052086  0.679485  [-0.03197328746318817, 0.06779950857162476, -0.028716571629047394]
  5  Er    0.260195  0.828035  0.799797  [-0.018054401502013206, 0.04575951397418976, -0.022300418466329575]
  6  Cu    0.962614  0.157608  0.121337  [0.017139622941613197, -0.044192563742399216, 0.006030131131410599]
  7  Er    0.397082  0.45727   0.112643  [0.016762830317020416, -0.03949042409658432, 0.024972669780254364]","Er3Cu","('Cu', 'Er')","0.0","2","# generated using pymatgen
data_Er3Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.83795031
_cell_length_b   4.76522777
_cell_length_c   8.66309109
_cell_angle_alpha   107.49295180
_cell_angle_beta   91.41144564
_cell_angle_gamma   64.73930927
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Er3Cu
_chemical_formula_sum   'Er6 Cu2'
_cell_volume   206.36887520
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.52400296  0.56150464  0.48033774  1
  Er  Er1  1  0.85707785  0.60317928  0.92088367  1
  Er  Er2  1  0.73410244  0.87195418  0.29990835  1
  Er  Er3  1  0.10245068  0.23514786  0.48558991  1
  Er  Er4  1  0.66466646  0.05208622  0.67948505  1
  Er  Er5  1  0.26019547  0.82803460  0.79979687  1
  Cu  Cu6  1  0.96261371  0.15760827  0.12133724  1
  Er  Er7  1  0.39708200  0.45727013  0.11264346  1
"
"Full Formula (Zn2 Ge1 Pb1 Se4)
Reduced Formula: Zn2GePbSe4
abc   :   4.064739   7.084917   7.379166
angles:  89.163173  90.285166  90.256907
pbc   :       True       True       True
Sites (8)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Se     0.387336  0.514157  0.020389  [0.020279107615351677, -7.401406764984131e-05, -0.02542930096387863]
  1  Se     0.410147  0.857945  0.55797   [-0.021263090893626213, -6.742775440216064e-07, 0.010664939880371094]
  2  Pb     0.888576  0.696341  0.246142  [0.015979036688804626, 0.001700475811958313, -0.026157192885875702]
  3  Ge     0.377928  0.19224   0.181667  [0.03595705330371857, 0.0036983657628297806, 0.034191906452178955]
  4  Zn     0.415019  0.520504  0.679963  [-0.02792157232761383, -0.0006916522979736328, -0.031021516770124435]
  5  Se     0.879563  0.044929  1.00506   [0.0325394943356514, 0.0014928430318832397, 0.02290334179997444]
  6  Zn    -0.08667   1.03606   0.658238  [-0.027516070753335953, -0.002149229869246483, 0.03670155629515648]
  7  Se     0.91287   0.369323  0.550189  [-0.02805388905107975, -0.003976080566644669, -0.02185378596186638]","Zn2GePbSe4","('Ge', 'Pb', 'Se', 'Zn')","0.0","2","# generated using pymatgen
data_Zn2GePbSe4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06473861
_cell_length_b   7.08491659
_cell_length_c   7.37916576
_cell_angle_alpha   89.16317283
_cell_angle_beta   90.28516601
_cell_angle_gamma   90.25690743
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn2GePbSe4
_chemical_formula_sum   'Zn2 Ge1 Pb1 Se4'
_cell_volume   212.48031500
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Se  Se0  1  0.38733589  0.51415715  0.02038889  1
  Se  Se1  1  0.41014686  0.85794531  0.55797026  1
  Pb  Pb2  1  0.88857563  0.69634118  0.24614228  1
  Ge  Ge3  1  0.37792803  0.19223994  0.18166740  1
  Zn  Zn4  1  0.41501890  0.52050403  0.67996287  1
  Se  Se5  1  0.87956343  0.04492921  1.00505802  1
  Zn  Zn6  1  -0.08666975  1.03605995  0.65823799  1
  Se  Se7  1  0.91286998  0.36932260  0.55018869  1
"
