cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,7,8,7,0,0,1.5000,165,0.2378,nan,nan,nan,865.67,nan,nan,nan
1,9,8,8,1,0,1.5000,167,0.3283,0.0000,0.0000,0.0000,490.61,nan,nan,nan
2,5,8,5,0,0,1.5000,168,0.1068,nan,nan,nan,611.04,nan,nan,nan
3,9,8,8,1,0,1.5000,171,0.3394,0.0000,0.0000,0.0000,697.96,nan,nan,nan
4,6,8,6,0,0,1.5000,171,0.0000,nan,nan,nan,667.51,nan,nan,nan
5,2,8,2,0,1,1.5000,172,0.1540,nan,nan,nan,227.38,nan,nan,nan
6,8,8,8,0,0,1.5000,174,0.0681,nan,nan,nan,476.36,nan,nan,nan
7,6,8,6,0,0,1.5000,177,0.1472,nan,nan,nan,266.03,nan,nan,nan
8,6,8,6,0,0,1.5000,180,0.1611,nan,nan,nan,659.61,nan,nan,nan
9,7,8,7,0,0,1.5000,181,0.0621,nan,nan,nan,409.66,nan,nan,nan
10,4,8,4,0,1,1.5000,182,0.0778,nan,nan,nan,254.50,nan,nan,nan
11,6,8,6,0,0,1.5000,184,0.1968,nan,nan,nan,610.57,nan,nan,nan
12,9,8,8,1,0,1.5000,186,0.3733,0.0000,0.0000,0.0000,1018.77,nan,nan,nan
13,8,8,8,0,0,1.5000,190,0.2682,nan,nan,nan,476.16,nan,nan,nan
14,3,8,3,0,0,1.5000,191,0.0739,nan,nan,nan,112.09,nan,nan,nan
15,4,8,4,0,1,1.5000,192,0.0555,nan,nan,nan,150.00,nan,nan,nan
16,2,8,2,0,0,1.5000,193,0.1145,nan,nan,nan,95.47,nan,nan,nan
17,11,8,8,3,0,1.5000,195,0.3637,0.0000,0.0000,0.0000,685.39,nan,nan,nan
18,4,8,4,0,0,1.5000,195,0.0000,nan,nan,nan,291.85,nan,nan,nan
19,7,8,7,0,0,1.5000,200,0.2504,nan,nan,nan,460.45,nan,nan,nan
